"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561339389.A.AFC#00000", "piggy37", "民主、自由 是不是被大家無限上崗了<br><br>很多人認為的自由就是 我愛怎樣就怎樣<br><br><br>以為自己沒有錯 但是卻是侵犯他人<br><br><br>新聞自由是不是也是一樣<br><br>ㄧ堆人說反民主 怎不說違反新聞自由<br><br>--<br>", "", ""
"Gossiping#M.1561339389.A.AFC#00001", "fan8512", "五樓無限被肛", "1.161.23.245 06/24 09:23", "0"
"Gossiping#M.1561339389.A.AFC#00002", "roloveyou", "4", "49.217.5.74 06/24 09:23", "0"
"Gossiping#M.1561339389.A.AFC#00003", "vin850411", "還來啊", "114.42.215.166 06/24 09:24", "0"
"Gossiping#M.1561339389.A.AFC#00004", "stun991", "新聞自由是指媒體有報導的自由，你不爽看可以不要看", "111.82.76.70 06/24 09:24", "1"
"Gossiping#M.1561339389.A.AFC#00005", "a868886615", "幾篇了", "223.139.201.17 06/24 09:24", "0"
"Gossiping#M.1561339389.A.AFC#00006", "Dethklok", "統媒 能抹228,抹64,抹反送中,抹反紅媒!!台灣國民黨員王金平你們怎不會被抹掉??", "101.12.21.42 06/24 09:24", "1"
"Gossiping#M.1561339389.A.AFC#00007", "oldmangoes", "44444", "101.12.8.245 06/24 09:24", "0"
"Gossiping#M.1561339389.A.AFC#00008", "sabenklu", "五樓被肛成無線符號", "1.173.63.204 06/24 09:24", "0"
"Gossiping#M.1561339389.A.AFC#00009", "kps1247", "這論調討論到爛了 去爬文好嗎", "101.9.192.227 06/24 09:24", "0"
"Gossiping#M.1561339389.A.AFC#00010", "sm3bp078", "攻殺小", "110.26.98.120 06/24 09:24", "0"
"Gossiping#M.1561339389.A.AFC#00011", "asuka99", "要幾篇", "114.47.117.136 06/24 09:25", "0"
"Gossiping#M.1561339389.A.AFC#00012", "chter", "滾", "42.73.62.189 06/24 09:25", "0"
"Gossiping#M.1561339389.A.AFC#00013", "kevinaa", "就是被上綱到讓支那為所欲為，多讀點書吧", "27.247.35.145 06/24 09:25", "0"
"Gossiping#M.1561339389.A.AFC#00014", "qqqqq55", "有事嗎", "115.82.133.78 06/24 09:26", "0"
"Gossiping#M.1561339389.A.AFC#00015", "RICEFINCH", "可以了啦！", "218.211.154.92 06/24 09:26", "0"
"Gossiping#M.1561339389.A.AFC#00016", "goldman0204", "零分 下一位", "1.170.36.177 06/24 09:26", "0"
"Gossiping#M.1561339389.A.AFC#00017", "Plumpy", "崩潰嗎？", "39.12.192.76 06/24 09:26", "0"
"Gossiping#M.1561339389.A.AFC#00018", "jessicali", "學習一下言論自由，新聞自由再po好嗎", "223.137.77.213 06/24 09:27", "1"
"Gossiping#M.1561339389.A.AFC#00019", "Arad", "就中國人沒碰過民主以為民主就是為所欲為", "114.46.43.6 06/24 09:27", "0"
"Gossiping#M.1561339389.A.AFC#00020", "abomgo", "自由本來就是有前提的", "111.82.166.4 06/24 09:27", "0"
"Gossiping#M.1561339389.A.AFC#00021", "xyz085700", "韓粉？", "220.141.127.2 06/24 09:27", "0"
"Gossiping#M.1561339389.A.AFC#00022", "k7p83n", "跟你講原因你會回嗎？不會嘛那你問屁你根本不想知道答案", "49.217.162.5 06/24 09:27", "1"
"Gossiping#M.1561339389.A.AFC#00023", "yankeefat", "新聞自由被無限上綱怎麼不講", "111.248.160.92 06/24 09:28", "0"
"Gossiping#M.1561339389.A.AFC#00024", "lowsan", "台灣的自由確實被中共濫用來統戰", "114.136.65.109 06/24 09:28", "0"
"Gossiping#M.1561339389.A.AFC#00025", "versace", "支那人以為的自由？是不是支霉看太多", "114.136.110.30 06/24 09:29", "0"
"Gossiping#M.1561339389.A.AFC#00026", "ccvs", "Bye", "223.137.183.184 06/24 09:29", "0"
"Gossiping#M.1561339389.A.AFC#00027", "m26ageyn", "無限上綱", "111.82.213.187 06/24 09:29", "0"
"Gossiping#M.1561339389.A.AFC#00028", "ganjuro", "綱啦幹!", "49.213.164.186 06/24 09:29", "0"
"Gossiping#M.1561339389.A.AFC#00029", "AetherG", "防衛式民主：任何將台灣推向極權獨裁的中國媒體，不在新聞自由言論自由的保障範圍之內", "107.77.164.132 06/24 09:29", "1"
"Gossiping#M.1561339389.A.AFC#00030", "Sinful", "紅媒超抖 才過幾個小時發了幾百篇 XD", "1.171.149.129 06/24 09:29", "0"
"Gossiping#M.1561339389.A.AFC#00031", "jorden", "無限上網", "1.170.148.251 06/24 09:29", "0"
"Gossiping#M.1561339389.A.AFC#00032", "bluelune", "無限上崗是全年無休的意思嗎？那很累喔", "114.137.82.183 06/24 09:29", "1"
"Gossiping#M.1561339389.A.AFC#00033", "scudder98", "支那人比我們自由可以在公車上大小便哩", "123.241.101.117 06/24 09:30", "1"
"Gossiping#M.1561339389.A.AFC#00034", "bigsun0709", "賣國賊沒有自由民主權", "101.15.146.126 06/24 09:30", "0"
"Gossiping#M.1561339389.A.AFC#00035", "Playorange", "讓敵國電視台洗腦叫新聞自由喔 頭殼還好？", "106.104.101.77 06/24 09:30", "1"
"Gossiping#M.1561339389.A.AFC#00036", "firstnowantg", "不讀書也不爬文 給我下去", "114.136.191.90 06/24 09:31", "0"
"Gossiping#M.1561339389.A.AFC#00037", "okichan", "崗三小糙", "36.227.91.215 06/24 09:31", "0"
"Gossiping#M.1561339389.A.AFC#00038", "obrag", "4", "42.72.31.105 06/24 09:31", "0"
"Gossiping#M.1561339389.A.AFC#00039", "sasa789", "綱啦 乾，無限上網", "223.139.243.111 06/24 09:32", "0"
"Gossiping#M.1561339389.A.AFC#00040", "maro1357", "太早", "27.247.108.196 06/24 09:32", "0"
"Gossiping#M.1561339389.A.AFC#00041", "konichiwaman", "要新聞自由就能不要新聞倫理嗎？", "12.145.6.12 06/24 09:32", "0"
"Gossiping#M.1561339389.A.AFC#00042", "Acone", "不歌頌國家不歌頌黨的，怎麼有臉講自由？", "49.218.18.165 06/24 09:32", "1"
"Gossiping#M.1561339389.A.AFC#00043", "JT0624", "對啊 叛國不是言論自由", "111.82.4.100 06/24 09:34", "0"
"Gossiping#M.1561339389.A.AFC#00044", "abasqoo", "你大概沒搞清楚民主定義 民主不是智障", "110.28.69.170 06/24 09:34", "0"
"Gossiping#M.1561339389.A.AFC#00045", "bighorse0", "有的人以為自己有不讓別人報新聞的自由民主不是智障 不需要黨幫我們選新聞", "114.41.26.29 06/24 09:34", "1"
"Gossiping#M.1561339389.A.AFC#00046", "Sueo", "OK", "101.9.52.171 06/24 09:35", "0"
"Gossiping#M.1561339389.A.AFC#00047", "aram9527", "是要來幾次 有沒有別招", "36.232.18.188 06/24 09:36", "0"
"Gossiping#M.1561339389.A.AFC#00048", "j19950307", "敵對勢力要併吞我家 開大門讓他進來？", "42.73.245.159 06/24 09:36", "1"
"Gossiping#M.1561339389.A.AFC#00049", "Derrick906", "笑死人這是連看都沒有看的價值好嗎？", "123.193.96.244 06/24 09:36", "1"
"Gossiping#M.1561339389.A.AFC#00050", "bighorse0", "絕不能開大門 所以先禁運是必須的", "114.41.26.29 06/24 09:36", "0"
"Gossiping#M.1561339389.A.AFC#00051", "randolph80", "照你這樣講，得憂鬱症自殺也是自由，為什麼要阻止", "101.9.160.30 06/24 09:37", "1"
"Gossiping#M.1561339389.A.AFC#00052", "SansSouci", "要讀書哦", "223.140.139.24 06/24 09:37", "0"
"Gossiping#M.1561339389.A.AFC#00053", "Murloc", "中共現在開始來抹啦？ 每次都同一招不管用啦", "36.228.38.132 06/24 09:37", "1"
"Gossiping#M.1561339389.A.AFC#00054", "Beef", "支那人滾啦", "39.12.99.199 06/24 09:38", "0"
"Gossiping#M.1561339389.A.AFC#00055", "letxinter", "零分   下去", "223.141.34.53 06/24 09:39", "0"
"Gossiping#M.1561339389.A.AFC#00056", "kakain", "打著自由的名義侵害自由 這麼厚臉皮的事我是真心佩服 新聞自由不代表別可以讓媒體成為他國的統戰工具 不然我們乾脆開放共產黨黨員參加台灣選舉算了 假想敵欸 笑死", "175.96.127.74 06/24 09:39", "1"
"Gossiping#M.1561339389.A.AFC#00057", "terader", "下一篇", "59.120.184.235 06/24 09:40", "0"
"Gossiping#M.1561339389.A.AFC#00058", "ttykimo", "你在說中天對不對", "61.228.102.133 06/24 09:40", "0"
"Gossiping#M.1561339389.A.AFC#00059", "bighorse0", "英粉說要保護台灣民主 結果侵害新聞自由 打著民主的名義侵害自由 這麼厚臉皮", "114.41.26.29 06/24 09:41", "1"
"Gossiping#M.1561339389.A.AFC#00060", "johnruby", "。", "140.112.217.58 06/24 09:41", "0"
"Gossiping#M.1561339389.A.AFC#00061", "chaichai38", "智商堪慮", "27.52.36.52 06/24 09:41", "0"
"Gossiping#M.1561339389.A.AFC#00062", "charlotte537", "零分", "101.10.105.65 06/24 09:41", "0"
"Gossiping#M.1561339389.A.AFC#00063", "zold", "最討厭就是「假民主之名，行統戰之實」！若這樣都可以，要不要開放共產黨選總統？", "49.216.244.223 06/24 09:42", "0"
"Gossiping#M.1561339389.A.AFC#00064", "Erector", "幾篇", "180.176.20.66 06/24 09:42", "0"
"Gossiping#M.1561339389.A.AFC#00065", "alpe", "公民教育去認真看一下，再去看媒體第四權定義，再來導風向", "42.73.18.18 06/24 09:42", "1"
"Gossiping#M.1561339389.A.AFC#00066", "worldtree", "中國人，沒有資格談論自由", "101.13.195.88 06/24 09:43", "0"
"Gossiping#M.1561339389.A.AFC#00067", "bighorse0", "開放共產黨選總統又怎樣 選不中而已啊我比較怕現在作弊英想學中共選穩贏的", "114.41.26.29 06/24 09:43", "1"
"Gossiping#M.1561339389.A.AFC#00068", "QUIBECK", "支那人被狗幹", "219.91.22.32 06/24 09:44", "0"
"Gossiping#M.1561339389.A.AFC#00069", "juicedrink", "顏色對了，任何事情都可以被合理化，這就是臺灣的悲哀。對的顏色=綠色", "61.230.45.97 06/24 09:44", "1"
"Gossiping#M.1561339389.A.AFC#00070", "garybawbaw", "肛喇淦", "123.194.128.247 06/24 09:44", "0"
"Gossiping#M.1561339389.A.AFC#00071", "etcoming", "供三小", "60.249.179.118 06/24 09:45", "0"
"Gossiping#M.1561339389.A.AFC#00072", "Ilat", "具有台灣特色的民主自由", "118.160.143.192 06/24 09:48", "0"
"Gossiping#M.1561339389.A.AFC#00073", "vuzj3", "綱啦贛", "1.165.185.89 06/24 09:48", "0"
"Gossiping#M.1561339389.A.AFC#00074", "kimgordon", "可憐 建議你移民中國 最自由", "1.160.81.51 06/24 09:48", "0"
"Gossiping#M.1561339389.A.AFC#00075", "BIGKAO", "XX", "180.217.184.26 06/24 09:48", "0"
"Gossiping#M.1561339389.A.AFC#00076", "LuckyQ", "現在是無限上綱", "220.143.49.126 06/24 09:48", "0"
"Gossiping#M.1561339389.A.AFC#00077", "dyt123", "媒體與一般個人言論不同，媒體是可以慫恿 所以不能用言論自由來看", "27.52.193.217 06/24 09:50", "0"
"Gossiping#M.1561339389.A.AFC#00078", "gedicht", "嗯嗯，納粹也會哭他們沒有得到民主自由", "140.122.228.123 06/24 09:50", "1"
"Gossiping#M.1561339389.A.AFC#00079", "iamexwilly", "你習爸爸沒教你而已", "223.136.145.8 06/24 09:50", "0"
"Gossiping#M.1561339389.A.AFC#00080", "elainakuo", "媒體有報導事實的責任", "114.45.72.142 06/24 09:52", "0"
"Gossiping#M.1561339389.A.AFC#00081", "dyt123", "不然古代三國對戰唱對方家鄉思情的歌，所以媒體不能用言論自由來看", "27.52.193.217 06/24 09:54", "0"
"Gossiping#M.1561339389.A.AFC#00082", "Doukyusei", "中國人沒有資格享用台灣的民主自由", "42.77.166.28 06/24 09:54", "0"
"Gossiping#M.1561339389.A.AFC#00083", "GORDON2037", "假新聞跟人說新聞自由?", "61.228.155.112 06/24 09:55", "0"
"Gossiping#M.1561339389.A.AFC#00084", "CLRIS", "連基本的觀念都沒有 派點強的人來好嗎？", "49.217.161.99 06/24 09:56", "0"
"Gossiping#M.1561339389.A.AFC#00085", "kakain", "以新聞自由做掩護施行統戰 散佈偏頗、錯誤的訊息，今天不是不讓你說 而是身為新聞媒體 你不能亂說", "175.96.127.74 06/24 10:01", "1"
