"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561348116.A.4FE#00000", "ergostepo", "昨天看了一場矛盾的遊行<br><br>舉著民主反民主  用言論自由箝制言論自由<br><br>用這種非我族類 其心必異的手法<br><br>試圖剷除異己，讓媒體  讓台灣  讓社會只能有一種聲音……<br><br>遊行反言論自由 恐怕會重創台灣民主<br><br>--<br>", "", ""
"Gossiping#M.1561348116.A.4FE#00001", "VVizZ", "巴西龜好吃嗎", "211.21.120.163 06/24 11:48", "0"
"Gossiping#M.1561348116.A.4FE#00002", "wang0301", "又一篇  滾", "223.139.115.103 06/24 11:49", "0"
"Gossiping#M.1561348116.A.4FE#00003", "SUMPO", "下去", "1.161.137.241 06/24 11:49", "0"
"Gossiping#M.1561348116.A.4FE#00004", "kkb512sk", "射精", "223.136.67.199 06/24 11:49", "0"
"Gossiping#M.1561348116.A.4FE#00005", "dannies", "頭香", "180.204.4.151 06/24 11:49", "0"
"Gossiping#M.1561348116.A.4FE#00006", "Insatiable", "恐恁老司", "101.10.72.82 06/24 11:49", "0"
"Gossiping#M.1561348116.A.4FE#00007", "Kreen", "巴西的 VPN 順嗎？", "123.240.179.130 06/24 11:49", "0"
"Gossiping#M.1561348116.A.4FE#00008", "telboy", "跳版支那狗滾", "59.115.71.140 06/24 11:49", "0"
"Gossiping#M.1561348116.A.4FE#00009", "LoliconWei", "那看到支持92共識反對一國兩制的造勢哩？", "180.217.208.38 06/24 11:49", "1"
"Gossiping#M.1561348116.A.4FE#00010", "gary11018", "下去啦", "36.233.88.141 06/24 11:49", "0"
"Gossiping#M.1561348116.A.4FE#00011", "veigarlol", "五毛 哈哈", "61.223.19.141 06/24 11:49", "0"
"Gossiping#M.1561348116.A.4FE#00012", "Arodz", "滾了啦", "42.73.155.48 06/24 11:49", "0"
"Gossiping#M.1561348116.A.4FE#00013", "zold", "巴西跳板五毛，去吃中餐，然後記得吃藥喔", "49.216.244.223 06/24 11:50", "0"
"Gossiping#M.1561348116.A.4FE#00014", "darkbrigher", "笑死 言論自由不代表啥都能講，土共支那五毛對民主自由是不是有誤會", "111.242.32.227 06/24 11:50", "0"
"Gossiping#M.1561348116.A.4FE#00015", "Gsanz", "巴西人不是台灣人 沒有資格對台灣民主說三道四", "36.232.27.10 06/24 11:50", "1"
"Gossiping#M.1561348116.A.4FE#00016", "KYL1102", "你對民主，以及言論自由的認識，還需要再跟你吵，多花點時間了解吧！", "101.9.236.160 06/24 11:50", "1"
"Gossiping#M.1561348116.A.4FE#00017", "polo5615", "快去睡覺 明天不用上班逆", "39.10.202.247 06/24 11:50", "0"
"Gossiping#M.1561348116.A.4FE#00018", "shooter555", "是反統戰不是反言論自由", "60.250.238.183 06/24 11:50", "0"
"Gossiping#M.1561348116.A.4FE#00019", "m13211", "台灣在玩法西斯啊", "114.137.119.74 06/24 11:50", "0"
"Gossiping#M.1561348116.A.4FE#00020", "thepower", "先去弄懂民主再來 滾", "182.235.108.24 06/24 11:50", "0"
"Gossiping#M.1561348116.A.4FE#00021", "s20116", "巴西遊行重創台灣民主QQ", "1.165.60.70 06/24 11:50", "0"
"Gossiping#M.1561348116.A.4FE#00022", "kj632868", "歐歐歐歐歐", "101.14.145.109 06/24 11:50", "0"
"Gossiping#M.1561348116.A.4FE#00023", "ekoj", "一直發這種風向文不怕id都被抄掉嗎？", "61.228.191.145 06/24 11:50", "0"
"Gossiping#M.1561348116.A.4FE#00024", "fuhaho", "支那先言論自由了再來討論言論自由", "122.146.94.178 06/24 11:51", "0"
"Gossiping#M.1561348116.A.4FE#00025", "Necro927", "巴西仔", "223.136.128.192 06/24 11:51", "0"
"Gossiping#M.1561348116.A.4FE#00026", "td770715", "怎麼又是你 又想帶風向", "223.140.4.212 06/24 11:51", "0"
"Gossiping#M.1561348116.A.4FE#00027", "hbj1941", "你不爽也可以辦啊，我就看有多少人沒便當，沒遊覽車會出來", "101.13.255.62 06/24 11:51", "1"
"Gossiping#M.1561348116.A.4FE#00028", "tunisco", "好了啦 你們現在是有規定要發幾篇才能領錢是不是", "180.204.145.64 06/24 11:51", "1"
"Gossiping#M.1561348116.A.4FE#00029", "nojydia", "滾", "42.72.126.90 06/24 11:51", "0"
"Gossiping#M.1561348116.A.4FE#00030", "johnruby", "希望納納把這篇送帳號部", "140.112.217.58 06/24 11:52", "0"
"Gossiping#M.1561348116.A.4FE#00031", "RCYhorneT", "支那那邊不能適用人類的規則", "42.72.13.132 06/24 11:52", "0"
"Gossiping#M.1561348116.A.4FE#00032", "casnal", "孩子 該長大了", "223.136.62.65 06/24 11:52", "0"
"Gossiping#M.1561348116.A.4FE#00033", "s405510062", "支那狗滾回去好嗎？", "42.77.48.143 06/24 11:52", "0"
"Gossiping#M.1561348116.A.4FE#00034", "k10055960", "恐妳媽 滾", "27.246.130.216 06/24 11:52", "0"
"Gossiping#M.1561348116.A.4FE#00035", "LOWJ", "巴西人ㄏ", "101.136.155.224 06/24 11:52", "0"
"Gossiping#M.1561348116.A.4FE#00036", "DOOHDLIHC", "爽喇，跟中共學的，以暴制暴殲滅中國狗", "125.231.132.228 06/24 11:52", "1"
"Gossiping#M.1561348116.A.4FE#00037", "lohas723", "滾", "220.133.154.55 06/24 11:52", "0"
"Gossiping#M.1561348116.A.4FE#00038", "StayJunkies", "呵呵呵", "180.217.169.55 06/24 11:52", "0"
