"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561351519.A.660#00000", "cobepupu", "1.媒體來源:<br><br>經濟日報<br><br><br>2.記者署名<br><br>記者游智文╱即時報導<br><br><br>3.完整新聞標題:<br><br>「世上哪有這種事」賴正鎰籲修法禁止職業工會發起罷工<br><br><br>4.完整新聞內文:<br><br>長榮航空空服員罷工第5日，全國商總理事長賴正鎰今（24）日表示，台灣近年歷經三次<br>航空業罷工，重挫台灣國際形象，影響國家利益與公眾權益，更讓準備台灣投資的外資望<br>之怯步，全國商總支持旅行同業公會發起反罷工的抗議活動，也呼籲長榮空服員儘快結束<br>罷工，回歸正常。<br><br>賴正鎰也建議政府，歷經三次航空罷工後，應痛定思痛，以大眾權利與公共利益為考量，<br>修訂「工會法」及「勞資爭議處理法」，取消「職業工會」的罷工權，僅「企業工會」才<br>享罷工權，並將航空業納入「必要服務條款」的管制對象，且明訂「罷工預告期」為15天<br>，使主管機關有足夠因應準備時間，避免造成社會大眾的嚴重不便。<br><br>賴正鎰指出，過去英國在首相柴契爾時代強力修改「工會法」，嚴禁「職業工會」罷工，<br>只有「企業工會」有罷工權，才讓當年英國的社會經濟穩定下來，後來歐、美、韓等國家<br>也比照。<br><br>台灣這兩次空服員罷工，是桃園市空服員職業工會發起罷工投票，竟是華航與長榮兩家公<br>司的空服員互相參與投票同意罷工，世界上哪有這樣的事，因此他建議台灣比照修法，禁<br>止「職業工會」發起罷工，僅「企業工會」可以發起罷工。<br><br>賴正鎰表示，他對長榮空服員行使罷工權益給予尊重，但長榮空服員工會突然在20日14時<br>才決定當天16時起進行罷工，大家都措手不及，連全國商總在北京經貿考察團20日14時準<br>備在北京機場要回台灣也差點受影響，還好出發前緊急改票，改搭華航才能如期返台。<br><br>賴正鎰表示，長榮空服員罷工至今已是第5日，預計取消900航班，影響20萬人次。這次不<br>僅旅客權益受影響，連帶賠入台灣國際旅遊形象，更把長榮集團故總裁張榮發過去建立起<br>的安全性高、服務貼心、公益良善的國際航空公司形象，毀於一旦。<br><br>華航與長榮兩大航空公司的接連罷工，不只賠上航空公司業績形象，更重創台灣國際形象<br>，少數私利影響大眾利益也直接影響旅客，賴正鎰表示，台灣旅遊業損失慘重，包括旅行<br>社，遊覽車，旅館業，貨運物流業等相關產業經營，後續賠償與轉團也十分困擾，甚至嚇<br>跑外資，不敢到台灣投資。<br><br>賴正鎰表示，勞資爭議處理法第53條只規定教師、國防部及所屬單位禁止罷工，而水電、<br>天燃氣、醫院及金融證券等行業，因「影響大眾生命安全、國家安全或重大公共利益之事<br>業，勞資雙方應約定必要服務條款，工會始得宣告罷工」。但「航空業」屬公共運輸業卻<br>未受規範，似乎不合理。<br><br>賴正鎰表示，台灣接連歷經三次的航空公司罷工事件後，希望不能再有類似事件發生。在<br>顧及國家形象與公共大眾權益下，商總會員強烈建議政府應將「罷工預告期」入法，至少<br>要有15天的預告期，讓民眾可以提早做好因應準備，尤其是勞資協商不能夠把公眾權益當<br>談判籌碼。<br><br><br><br>5.完整新聞連結 (或短網址):<br><br>https://money.udn.com/money/story/5648/3889435?from=ednappsharing<br><br>6.備註:<br><br>乾脆修法罷工通通抓起來好惹<br><br>--<br>", "", ""
"Gossiping#M.1561351519.A.660#00001", "greg7575", "罷工一律死刑，民進黨是對的。先修反紅", "110.28.132.18 06/24 12:45", "0"
"Gossiping#M.1561351519.A.660#00002", "ABA0525", "金主講話了 還不快修法", "27.246.39.220 06/24 12:45", "0"
"Gossiping#M.1561351519.A.660#00003", "linhsiuwei", "法國表示", "118.163.241.157 06/24 12:46", "0"
"Gossiping#M.1561351519.A.660#00004", "wattswatts", "又是放話給政府舔的傷總", "42.72.75.13 06/24 12:46", "0"
"Gossiping#M.1561351519.A.660#00005", "douCai", "豬隊友", "42.75.86.66 06/24 12:46", "0"
"Gossiping#M.1561351519.A.660#00006", "tonyd", "Gun 豬隊友來惹 不忍笑死 ╮（╯＿╰）╭", "112.97.251.58 06/24 12:46", "1"
"Gossiping#M.1561351519.A.660#00007", "YMSH205", "產工不能罷工，那還要產工作啥", "42.72.181.90 06/24 12:46", "0"
"Gossiping#M.1561351519.A.660#00008", "AWPER", "市長罷工去選總統也一起納入吧", "42.76.29.46 06/24 12:46", "0"
"Gossiping#M.1561351519.A.660#00009", "tilamisudog", "歐美也常常在罷工，世上就是有這種事", "223.141.123.87 06/24 12:46", "1"
"Gossiping#M.1561351519.A.660#00010", "superjim", "這種資方斯想真是噁心 就怕只剩一年dpp政客如果敢這樣亂搞 2020就要讓他全面潰敗 台灣勞工才能有未來", "112.105.152.105 06/24 12:46", "1"
"Gossiping#M.1561351519.A.660#00011", "jorden", "該噓了 罷工是勞工權益", "1.170.148.251 06/24 12:46", "0"
"Gossiping#M.1561351519.A.660#00012", "enron12392", "87嗎？", "27.246.98.16 06/24 12:46", "0"
"Gossiping#M.1561351519.A.660#00013", "GrayAngel", "怎麼樣不直接說開放奴隸?", "42.73.81.174 06/24 12:46", "0"
"Gossiping#M.1561351519.A.660#00014", "jason0829", "賴正鎰不EY", "114.137.79.16 06/24 12:47", "0"
"Gossiping#M.1561351519.A.660#00015", "darkbrigher", "不能罷工那還要啥工會?", "111.242.32.227 06/24 12:47", "0"
"Gossiping#M.1561351519.A.660#00016", "ming0q", "去跟你們老闆講啦", "27.242.98.168 06/24 12:47", "0"
"Gossiping#M.1561351519.A.660#00017", "yanchou", "怎不修法雇主經查違反勞動人權即唯一死刑", "42.75.169.182 06/24 12:47", "1"
"Gossiping#M.1561351519.A.660#00018", "schumi7401", "這廝都這樣說了 罷工臭了嗎", "111.241.88.122 06/24 12:47", "0"
"Gossiping#M.1561351519.A.660#00019", "superjim", "dpp的好朋友這種思想 真得越看越反感", "112.105.152.105 06/24 12:48", "0"
"Gossiping#M.1561351519.A.660#00020", "yuehyiing", "修法禁止組工會才對吧", "101.10.81.154 06/24 12:48", "0"
"Gossiping#M.1561351519.A.660#00021", "wensan", "有事?", "114.32.37.159 06/24 12:48", "0"
"Gossiping#M.1561351519.A.660#00022", "wuchiou", "公會通通廢掉好了", "42.73.50.254 06/24 12:48", "0"
"Gossiping#M.1561351519.A.660#00023", "eugene7983", "台企給低薪給到世界知名才他媽真的重挫形象，怎麼不把這些老闆關起來?", "223.137.120.199 06/24 12:48", "1"
"Gossiping#M.1561351519.A.660#00024", "superabea", "神經病", "123.51.144.47 06/24 12:48", "0"
"Gossiping#M.1561351519.A.660#00025", "moneygg", "遵守勞基法判死刑要不要", "101.137.177.180 06/24 12:49", "0"
"Gossiping#M.1561351519.A.660#00026", "yannicklatte", "滾", "49.216.5.156 06/24 12:49", "0"
"Gossiping#M.1561351519.A.660#00027", "enjoyyou", "看到這個人就可以噓了", "60.249.146.33 06/24 12:49", "0"
"Gossiping#M.1561351519.A.660#00028", "crimemax", "又是這咖", "101.13.131.252 06/24 12:49", "0"
"Gossiping#M.1561351519.A.660#00029", "vancepeng", "合理 八卦板風向", "111.71.104.245 06/24 12:50", "0"
"Gossiping#M.1561351519.A.660#00030", "moeispop", "笑死", "219.70.120.167 06/24 12:50", "0"
"Gossiping#M.1561351519.A.660#00031", "surnameada", "這個王八快滾", "180.204.66.204 06/24 12:50", "0"
"Gossiping#M.1561351519.A.660#00032", "DJYOSHITAKA", "這咖小什麼時候要去死", "101.11.32.91 06/24 12:50", "0"
"Gossiping#M.1561351519.A.660#00033", "littleaoc", "乾娘資金黨", "223.141.145.114 06/24 12:50", "0"
"Gossiping#M.1561351519.A.660#00034", "chengcti", "他說的沒錯啊 應該是公司的工會而不是職業工會", "42.72.166.26 06/24 12:50", "1"
"Gossiping#M.1561351519.A.660#00035", "roywow", "資方天堂7777777777", "223.137.68.136 06/24 12:50", "0"
"Gossiping#M.1561351519.A.660#00036", "diefish0620", "乾脆禁止員工領薪水好不好", "223.138.160.77 06/24 12:50", "0"
"Gossiping#M.1561351519.A.660#00037", "HowieH", "他超廢", "114.137.186.235 06/24 12:51", "0"
"Gossiping#M.1561351519.A.660#00038", "AuroraSkyFox", "你在找的不是勞工 是奴工好嗎", "223.139.43.222 06/24 12:51", "0"
"Gossiping#M.1561351519.A.660#00039", "TED781120", "這傢伙上周才跑去跟國台辦跪安，看來八卦台奴思維與他一樣呢。", "223.137.84.40 06/24 12:51", "1"
"Gossiping#M.1561351519.A.660#00040", "purplecoldly", "就是不罷工這些慣老闆根本不放在心上，才走到這一步不是？", "114.137.56.60 06/24 12:51", "1"
"Gossiping#M.1561351519.A.660#00041", "jorden", "這傢伙就是反指標", "1.170.148.251 06/24 12:51", "0"
"Gossiping#M.1561351519.A.660#00042", "linzero", "那樣強制每家企業都組工會嗎？要", "1.163.18.121 06/24 12:52", "0"
"Gossiping#M.1561351519.A.660#00043", "dio0204", "正常 勞工就是貪婪", "111.71.24.11 06/24 12:52", "0"
"Gossiping#M.1561351519.A.660#00044", "waynedd", "這次長榮勞工為了堵這樣的嘴..長榮分會要取得八成贊成罷工才自認獲得罷工權..不是職業工會過半就罷工..", "140.119.46.226 06/24 12:52", "1"
"Gossiping#M.1561351519.A.660#00045", "farseer7", "資方豬隊友", "223.137.49.92 06/24 12:52", "0"
"Gossiping#M.1561351519.A.660#00046", "immmy", "PTT社會反指標 優文示範", "114.34.214.13 06/24 12:53", "0"
