"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561352365.A.2CC#00000", "DowJones", "新聞媒體自由本來就是民主的一環<br><br>中國香港暴民反送中<br><br>大陸也是沒有禁止媒體撥放<br><br>反而暴民反送中還讓香港特首出來道歉<br><br>對比台灣<br><br>想要煽動群眾剝奪媒體新聞自由<br><br>中國香港媒體自由度還是高了許多<br><br>台灣特定人士想藉民粹打擊特定媒體<br><br>民主將會開倒車<br><br>請勿戕害民眾知的權利<br><br><br>--<br>", "", ""
"Gossiping#M.1561352365.A.2CC#00001", "AWPER", "你們是不是說好一起PO的啊？", "210.202.89.77 06/24 12:59", "0"
"Gossiping#M.1561352365.A.2CC#00002", "zold", "美國跳板五毛，急了", "49.216.244.223 06/24 13:00", "0"
"Gossiping#M.1561352365.A.2CC#00003", "JFLung9536", "又在帶風向 紅的是想讓所有顏色都變紅的", "42.73.188.83 06/24 13:00", "1"
"Gossiping#M.1561352365.A.2CC#00004", "gordan123", "真正箝制新聞自由的是紅媒，紅媒有種播64真相所以台灣要將紅媒趕走，免得民主走回頭路", "111.249.36.96 06/24 13:00", "0"
"Gossiping#M.1561352365.A.2CC#00005", "m06m06no1", "自你x的由.....滾", "36.231.190.230 06/24 13:00", "0"
"Gossiping#M.1561352365.A.2CC#00006", "zxzxzzzx", "唱 繼續唱", "101.9.204.145 06/24 13:00", "0"
"Gossiping#M.1561352365.A.2CC#00007", "readper", "看到五毛崩潰就是做對了 美國跳板是吧？", "61.216.89.10 06/24 13:00", "1"
"Gossiping#M.1561352365.A.2CC#00008", "terry1020", "可悲跳板仔，幫那一家工作阿？", "223.137.225.186 06/24 13:00", "0"
"Gossiping#M.1561352365.A.2CC#00009", "dummy003", "你乾脆說禁止中資是違反自由經濟", "111.71.3.132 06/24 13:01", "0"
"Gossiping#M.1561352365.A.2CC#00010", "flavorBZ", "閉嘴。我們在討論言論自由", "110.50.170.42 06/24 13:01", "0"
"Gossiping#M.1561352365.A.2CC#00011", "davidkung112", "2020非韓不投捍衛新聞自由", "223.139.46.19 06/24 13:01", "0"
"Gossiping#M.1561352365.A.2CC#00012", "ECZEMA", "鼓吹叛國非新聞自由", "206.189.236.109 06/24 13:01", "0"
"Gossiping#M.1561352365.A.2CC#00013", "enter0314", "..", "39.8.161.179 06/24 13:01", "0"
"Gossiping#M.1561352365.A.2CC#00014", "kinmenGD", "去找正當工作吧 幫QQ", "210.59.241.79 06/24 13:02", "0"
"Gossiping#M.1561352365.A.2CC#00015", "e0936276915", "腦包邏輯", "115.82.167.14 06/24 13:02", "0"
"Gossiping#M.1561352365.A.2CC#00016", "bighorse0", "為什麼抓到的都是1450呢", "114.41.26.29 06/24 13:02", "0"
"Gossiping#M.1561352365.A.2CC#00017", "a270505969", "五毛滾", "66.98.115.159 06/24 13:03", "0"
"Gossiping#M.1561352365.A.2CC#00018", "baladahn", "發這種文還不如去找份正當工作", "223.139.39.159 06/24 13:03", "0"
"Gossiping#M.1561352365.A.2CC#00019", "gougou", "講美語", "220.130.49.242 06/24 13:05", "0"
"Gossiping#M.1561352365.A.2CC#00020", "sam0459", "協助敵國併吞本國是外患罪", "111.71.121.145 06/24 13:07", "0"
"Gossiping#M.1561352365.A.2CC#00021", "JOHNJJ", "滾，再吵通通送集中營。", "223.141.193.40 06/24 13:08", "0"
