"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561360951.A.E9A#00000", "Desire5566", "重批反紅媒遊行 韓國瑜：不應侵犯媒體監督第四權<br><br>［記者黃旭磊／高雄報導］韓國瑜重砲抨擊反紅媒遊行，稱不應侵犯媒體監督第四權，並<br>加碼諷刺，抹黑韓產業鍊業週休二日，六、日（抗議日）要好好休息。<br><br>高雄市長韓國瑜下午至新莊高中，參加107學年度模範生與優秀畢業生第4場合影活動，由<br>於前2場均遭到學生嗆聲，教育局及警方不敢大意，加派人力維持秩序，所幸，在場上百<br>名合影學生及家長尚未傳出抗議舉動。<br><br>韓國瑜拍照前受訪，被問及昨天（23日） 「反紅媒大遊行」；韓對此表示，媒體滿足人<br>民之知的權力，有自己看法（立場），建議抹黑韓國瑜產業鍊週休二日，週一到週五努力<br>就好，六、日休息。<br><br>韓國瑜說，民眾如果覺得媒體抹黑韓國瑜要強烈抗議，但要考慮媒體有市場考量、人民也<br>有自我判斷能力，不應侵犯侵犯媒體第四權及監督權力。<br><br>韓國瑜反批蔡總統得了「權力中毒症」，韓表示，全台灣懷疑民進黨初選辦法公平性，民<br>進黨長得越來越不像民進黨，民主進步黨變成民主退步黨。<br><br><br>自由時報<br>https://news.ltn.com.tw/news/politics/breakingnews/2832022<br><br>--<br>", "", ""
"Gossiping#M.1561360951.A.E9A#00001", "thenorth", "滾", "114.136.132.254 06/24 15:22", "0"
"Gossiping#M.1561360951.A.E9A#00002", "DarkKnight", "穩了", "42.72.9.39 06/24 15:22", "0"
"Gossiping#M.1561360951.A.E9A#00003", "smithjr", "噁心光頭", "1.200.193.106 06/24 15:23", "0"
"Gossiping#M.1561360951.A.E9A#00004", "kingsize5566", "說得很好啊", "111.83.74.170 06/24 15:23", "0"
"Gossiping#M.1561360951.A.E9A#00005", "bengowa", "滾喇 嘔嘔嘔嘔嘔嘔嘔", "49.217.32.159 06/24 15:23", "0"
"Gossiping#M.1561360951.A.E9A#00006", "gigibouz", "屁眼中毒症", "36.228.77.137 06/24 15:23", "0"
"Gossiping#M.1561360951.A.E9A#00007", "rabbit83035", "放你個屁", "122.116.175.110 06/24 15:23", "0"
"Gossiping#M.1561360951.A.E9A#00008", "UenoJoe", "中天有第四權？", "49.215.137.182 06/24 15:23", "0"
"Gossiping#M.1561360951.A.E9A#00009", "ys4562004", "此地無銀三百兩", "42.77.205.104 06/24 15:23", "0"
"Gossiping#M.1561360951.A.E9A#00010", "bluelune", "這麼多議題他都不知道不了解當總機，但是紅媒議題就很有意見", "114.137.82.183 06/24 15:23", "1"
"Gossiping#M.1561360951.A.E9A#00011", "acserro", "垃圾 沆瀣一氣", "49.215.204.133 06/24 15:23", "0"
"Gossiping#M.1561360951.A.E9A#00012", "yoher", "草包", "123.241.173.82 06/24 15:23", "0"
"Gossiping#M.1561360951.A.E9A#00013", "wattswatts", "竟敢反我，，，韓天電視台", "42.72.75.13 06/24 15:23", "0"
"Gossiping#M.1561360951.A.E9A#00014", "will8535", "敵國媒體不用監督嗎", "49.216.0.89 06/24 15:23", "0"
"Gossiping#M.1561360951.A.E9A#00015", "legendmtg", "中共傳聲筒不配叫做新聞", "202.246.252.97 06/24 15:24", "0"
"Gossiping#M.1561360951.A.E9A#00016", "zold", "但是可以瘋狂舔共，製造假新聞嗎？？？", "49.216.244.223 06/24 15:24", "0"
"Gossiping#M.1561360951.A.E9A#00017", "Leo4891", "旺中金主 幫忙造勢出錢  當然不敢批 ㄏ阿韓國瑜撿角啦 當總統肯定也是被旺中控制當蔡衍明的小弟  還有臉當啥總統", "114.36.162.247 06/24 15:24", "1"
"Gossiping#M.1561360951.A.E9A#00018", "wwf0322", "好喔 徹底鞏固深藍老人的票 其他放棄", "110.28.37.222 06/24 15:24", "0"
"Gossiping#M.1561360951.A.E9A#00019", "qwe6051313", "馬的只會用屁眼講話的垃圾", "223.141.81.207 06/24 15:24", "0"
"Gossiping#M.1561360951.A.E9A#00020", "speed678", "公布造勢經費阿禿頭", "1.172.78.134 06/24 15:25", "0"
"Gossiping#M.1561360951.A.E9A#00021", "linfon00", "創新定義 監督", "39.8.172.82 06/24 15:25", "0"
"Gossiping#M.1561360951.A.E9A#00022", "fastwolf2006", "監督啥 根本捧你lp而已", "101.137.91.126 06/24 15:25", "0"
"Gossiping#M.1561360951.A.E9A#00023", "hiroshi22", "噓噓噓噓噓", "39.9.203.149 06/24 15:26", "0"
"Gossiping#M.1561360951.A.E9A#00024", "Leo4891", "拿出第四權超好笑  中共有第四權嗎?", "114.36.162.247 06/24 15:26", "0"
"Gossiping#M.1561360951.A.E9A#00025", "lesasa", "禿驢很怕中舔被搞掉", "111.83.116.224 06/24 15:26", "0"
"Gossiping#M.1561360951.A.E9A#00026", "jetzake", "去 跟 中 共 說               幹你娘", "36.227.137.43 06/24 15:26", "0"
"Gossiping#M.1561360951.A.E9A#00027", "arthurkot", "草包該下去了，總統夢還沒做完？", "114.136.27.68 06/24 15:26", "0"
"Gossiping#M.1561360951.A.E9A#00028", "haha7456", "草包怕人不知道多噁心 一直刷存在感", "111.83.106.244 06/24 15:27", "0"
"Gossiping#M.1561360951.A.E9A#00029", "cylinptt", "自由不是給這些人無限上綱的", "220.136.65.35 06/24 15:27", "0"
"Gossiping#M.1561360951.A.E9A#00030", "ChenDotQ", "監督所有反共言論、六四送中下架，好棒的旺中第四權大集團", "125.224.2.45 06/24 15:27", "0"
"Gossiping#M.1561360951.A.E9A#00031", "deangod99", "皇上 救我", "60.249.247.152 06/24 15:27", "0"
"Gossiping#M.1561360951.A.E9A#00032", "koflll", "非韓不投 沒韓郊遊", "123.240.13.211 06/24 15:28", "0"
"Gossiping#M.1561360951.A.E9A#00033", "dead11", "禮拜五帳簿拿出來對開再來吠啦 屁眼俠", "39.10.126.133 06/24 15:28", "0"
"Gossiping#M.1561360951.A.E9A#00034", "silentence", "上次中天因為兩百萬噸柚子丟水庫而被罰錢的時候 也是這咖跳出來說全國該當中天的後盾XDD", "49.216.16.21 06/24 15:29", "1"
"Gossiping#M.1561360951.A.E9A#00035", "dearh09", "如果你閉嘴說不定還不會惹人厭", "111.252.75.131 06/24 15:29", "0"
"Gossiping#M.1561360951.A.E9A#00036", "sotali306", "對啊 所以你得登革熱嗎", "223.140.6.235 06/24 15:29", "0"
"Gossiping#M.1561360951.A.E9A#00037", "slimak", "幹 懂個屁", "115.82.147.102 06/24 15:29", "0"
"Gossiping#M.1561360951.A.E9A#00038", "RozenMaidenI", "沒聽懂反紅媒嗎中天如果不是你緊張?", "1.172.198.205 06/24 15:29", "1"
"Gossiping#M.1561360951.A.E9A#00039", "worldtree", "監你媽督啦好意思", "101.13.195.88 06/24 15:30", "0"
"Gossiping#M.1561360951.A.E9A#00040", "eric82531", "好意思哦幹你的，沒噓到", "111.83.187.202 06/24 15:30", "0"
"Gossiping#M.1561360951.A.E9A#00041", "DeadKaster", "背後是共產黨老闆 你跟誰說民主", "27.242.62.76 06/24 15:30", "0"
"Gossiping#M.1561360951.A.E9A#00042", "ash9911911", "翻譯中夭舔的我好爽 你們不准動他", "112.105.254.247 06/24 15:30", "0"
