"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561377067.A.A9E#00000", "WeiKitten", "卦點說明：<br><br>除了宣傳0630韓導的新竹造勢之外! 另有一篇韓導的6月感言!<br>看完還真是感動! 一切都是應觀眾要求!  哈哈哈!<br><br>-----<br><br>https://reurl.cc/4eG0j<br><br>韓國瑜高雄市長<br>昨天下午12:07 ·<br><br>這是韓國瑜市長的6月感言:<br><br>我到高雄當主委、選市長是吳敦義主席給我的機會和任務。越是艱困的地區越需要派勇敢<br>、不怕苦的人，我就是那個勇敢、不怕苦的人。我廟一間間的參拜、市場一個個的走，哪<br>裡淹水就往哪裡衝，不是拿香跟著拜，不是逛市場買菜，更不是去踩水湊熱鬧!而是真真<br>切切的走到庶民的地方去看看到底發生什麼事?到底我們的市民遇到什麼樣的問題。我相<br>信，許多時候，只有自己走一趟，才能真切的知道箇中的眉角所在。<br><br>選上高雄市長其實不是我很厲害，而是民進黨做太久、鬆懈了、怠慢了、驕縱了、做不好<br>。執政黨有執政的優勢，但是做的天怒人怨，政不通、人不和，我只不過是許多普羅百姓<br>厭倦了他們、希望改變，我的選上從某種角度來看，可以說是一個必然的結果。<br><br>我當選後沒有休息，兢兢業業，滿腦子都是要實現我的競選承諾"貨出的去、人進得來、<br>高雄發大財!"我的行程滿檔，我跑東南亞，我去港澳，我進中國大陸，我還去了美國。不<br>是遊山玩水，是為讓高雄發光、發熱，給高雄人掙一個個的發財機會!<br><br>我把市政該做的、能做的一項項、一步步的做，路鋪平了，水淹少了。就算在議會裡面被<br>在不理性的民意代表攻訐的體無完膚，我還是要繼續前進，因為，這是我選高雄市長對高<br>雄市民的承諾!<br><br>我本無意參選2020的中華民國總統，就像我之前一再說的，這不在我的規劃當中。可是，<br>計劃永遠趕不上變化，形勢也絕非我可以掌控。當市長雖然不久，但是在高雄市政推動方<br>面總有一股莫名的阻礙，明的講樂觀其成，暗地裡推三阻四。有太多的人告訴我，當高雄<br>市長幫不了高雄，當中華民國總統才可能可以真的幫助高雄。 民進黨不讓我在台北農產<br>運銷公司好好的當總經理，我只有來高雄選市長。你不能好好的讓我做高雄市市長，我只<br>有選中華民國總統。我就是在這樣的情勢和氛圍下決定順應民意，被動的接受國民黨的徵<br>召參加初選。民主社會有時就是如此，人民民意所在，我縱不願亦不可得。<br><br>你問我要不要選，其實不是我矯情，我從一開始的否定到打模糊仗，始終不願鬆口，這一<br>路的心路歷程或許只有我的至親才能體會一二。<br><br>我當然不能選，才剛選上市長，辦公室都還沒完全搬好，怎麼可能跑去選總統?想都別想!<br>起心動念都不可以!一則如同我前面所言，選市長做不了，選總統有機會，換成是你，你<br>改不改?<br><br>其二，其實要選的不是我，是賣香腸的、賣杏仁茶的、買衣服的、買傘的、開店的、開公<br>司的、當老師的、騎車繞過半個台灣的、滂沱大雨中沒撐傘坐在椅子上腰桿兒挺直給雨倒<br>的!手裡拿著青天白日滿地紅國旗搖旗吶喊的!是他們要選，我只是他們推上台的代表!我<br>只是一個人，但是我的後面有千千萬萬的人，他們來自台灣的每一個角落，他們把心中的<br>期望交給了我!他們要我實現大家的夢!一個平實、基本的夢!就是"台灣安全、人民有錢!"<br>台灣是我們生長的地方，這塊土地孕育了我們，誰不愛她?中華民國是我們的國家，從國<br>父孫中山和先賢先烈推翻滿清以來就是如此。1945年台灣回到祖國的懷抱，1949年中央政<br>府播遷來台，這是無須辯解也不需要否認的歷史，不該被一再的曲解或者拿來當做政治操<br>作的議題!我是台灣人，也是中華民國的國民!我的國家認同觀念就是如此!<br><br>九二共識是兩岸往來的最大公約數，在有更好、更適當的共識出來前，它是現階段能讓彼<br>此相互友好、擱置爭議、共生共榮的定海神針。要說美國人是好朋友，日本人是好夥伴，<br>我都可以承認，但是要說我不是中國人，這點我完完全全不能接受!我講中文，我過農曆<br>新年，我清明掃墓、端午划龍舟吃粽子、過中秋吃月餅，過重陽敬長老，喝臘八粥吃元宵<br>，啃饅頭吃水餃……，我怎麼不是中國人!不論是經濟的、社會的、文化的、教育的，我<br>都是道道地地的中華兒女、炎黃子孫，只有在政治上，我不是中華人民共和國的公民，我<br>是中華民國的國民，這是事實，也是現實。<br><br>中華民國台灣的現況走到如此有他的時代背景與因素，但是沒有人有權因為個人偏見，因<br>為歷史緣故，因為私人利益，讓台灣走向死胡同!如果我有機會，我要帶大家走出困境，<br>修正錯誤政策，回歸正途!<br><br>政府要給人民的不應該只是小確幸，而應該是大幸福!讓我們一起努力，讓我們的夢想成<br>真!<br><br>--<br>", "", ""
"Gossiping#M.1561377067.A.A9E#00001", "LouisCer", "我先", "223.137.64.213 06/24 19:51", "0"
"Gossiping#M.1561377067.A.A9E#00002", "yadogdog", "為什麼愛說謊", "111.255.213.156 06/24 19:51", "0"
"Gossiping#M.1561377067.A.A9E#00003", "WeGoYuSheng", "該我了", "115.82.236.244 06/24 19:51", "0"
"Gossiping#M.1561377067.A.A9E#00004", "popy8789", "1450噓起來", "42.73.157.45 06/24 19:51", "0"
"Gossiping#M.1561377067.A.A9E#00005", "godtim", "講那什麼幹話", "36.238.213.139 06/24 19:52", "0"
"Gossiping#M.1561377067.A.A9E#00006", "Anddyliu", "https//i.imgur.com/S69tb97.jpg", "1.34.23.26 06/24 19:52", "0"
"Gossiping#M.1561377067.A.A9E#00007", "su4vu6", "賣夢想?! 好像在哪看過", "123.192.67.178 06/24 19:52", "0"
"Gossiping#M.1561377067.A.A9E#00008", "Angelopoulos", "不乖 又說謊惹", "1.162.43.149 06/24 19:52", "0"
"Gossiping#M.1561377067.A.A9E#00009", "a10019320", "都是他們叫我選的", "27.52.130.113 06/24 19:52", "0"
"Gossiping#M.1561377067.A.A9E#00010", "dddc", "緋寒不投", "101.9.66.182 06/24 19:52", "0"
"Gossiping#M.1561377067.A.A9E#00011", "isotropic", "我實在沒有看過那麼噁心的唬爛", "42.76.35.201 06/24 19:52", "0"
"Gossiping#M.1561377067.A.A9E#00012", "HsiangFly", "好委屈 都不是自己要選", "172.56.36.224 06/24 19:52", "0"
"Gossiping#M.1561377067.A.A9E#00013", "heaven2783", "一張嘴就說謊.jpg", "210.66.65.210 06/24 19:52", "0"
"Gossiping#M.1561377067.A.A9E#00014", "HJC6666", "選上高雄市長也不再規畫內", "36.231.69.248 06/24 19:52", "0"
"Gossiping#M.1561377067.A.A9E#00015", "Rrrxddd", "噓的都是1450 真可悲，見不得人好 唉 自己執政黨不力 只會抹黑瘋狂打韓國瑜 只會讓你們無能更凸顯而已", "126.35.204.224 06/24 19:52", "0"
"Gossiping#M.1561377067.A.A9E#00016", "tavern", "沒看過這麼噁心的聲明", "101.10.77.40 06/24 19:52", "0"
"Gossiping#M.1561377067.A.A9E#00017", "haoguy", "幹話滿天飛", "61.220.35.91 06/24 19:52", "0"
"Gossiping#M.1561377067.A.A9E#00018", "BaDoYao", "為什麼愛說謊", "61.223.185.4 06/24 19:52", "0"
"Gossiping#M.1561377067.A.A9E#00019", "gaiaesque", "放屁", "61.227.115.216 06/24 19:52", "0"
"Gossiping#M.1561377067.A.A9E#00020", "CheLiu", "噁噁噁", "180.217.219.54 06/24 19:52", "0"
"Gossiping#M.1561377067.A.A9E#00021", "min840902", "噁心", "114.136.191.217 06/24 19:53", "0"
