"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561421842.A.9EF#00000", "ergostepo", "有紅媒有綠媒 沒人上街這樣搞<br>2019/06/25<br><br>中國時報 張理國 報導<br><br>時力立委黃國昌等人發起反紅媒遊行，前行政院長張善政昨接受《POP撞新聞》訪問時說，<br>有紅媒，就有綠媒，也就是所謂的「三民自」(三立、民視、自由時報)媒體，但過去沒有人<br>上街這樣搞，反紅媒有些成分是對對岸的仇視及恐懼。<br><br><br>掩蓋執政無能 營造綠色麥卡錫<br><br>媒體有自己的立場 舉世皆然<br><br>張善政在2012年2月被延攬出任行政院政務委員會時，放棄僅任職一年餘的Google亞太基礎<br>建設營運部門總監。他昨在電台訪問中提及，他曾經很困擾，為何有三民自媒體？台灣有幾<br>個媒體可以看？<br><br>他曾與美國同事抱怨，「台灣媒體沒有一兩個可看」，但同事答覆，美國也一樣，《華盛頓<br>郵報》、《紐約時報》等媒體先天就是民主黨或共和黨，立場可能或左或右，都有媒體的政<br>治傾向，他才了解原來美國也會這樣，心裡才稍為釋懷。<br><br>張善政問，紅媒是講誰？大家都很清楚，但「紅媒」若是指媒體接受中資，則是非常嚴厲的<br>指控，有中資一定要查。但反過來講，有紅媒，就有綠媒，也就是所謂「三民自」媒體，但<br>過去沒有人上街這樣搞，反紅媒有些成分是對對岸的仇視及恐懼。<br><br>心裡要有一把尺 別被牽著走<br><br>張善政表示，不論是紐時或華郵，先天編輯立場都有傾向，但「濁者自濁、清者自清」，民<br>眾看東西時，心裡要有一把尺，不管看三民自或紅媒，心裡要有應對的作法，就像他父親，<br>也會說媒體報導「看到不想看了」，有些媒體報導只看標題，不看內容，因為看標題就知道<br>在打什麼題目，就不必深入其論述。所以，他奉勸民眾，看媒體要有一把尺，不能被媒體牽<br>著鼻子走。<br><br>至於周日623舉行的反紅媒活動，張善政說，「就是讓年輕人宣洩一下」，他並不覺得宣洩<br>完了會有什麼影響，畢竟收視媒體的民眾比起遊行的人數還是多很多。<br><br>中央社前董事長陳國祥認為，民主政治應該允許不同思想都可傳播其政治理念，讓社會大眾<br>可以參考、選擇，如果有人主張消滅某一顏色聲音就是背離民主價值；民進黨以為他們可以<br>壟斷真理、設定真理，這是打著民主旗幟反民主，幹著反民主的勾當，他們是民主叛徒，應<br>該被唾棄。<br><br>https://www.chinatimes.com/politic/<br><br>蠢吱1450雙標不意外  看看陽信  看看雙子星<br><br>有台灣價值就沒事  哈哈<br><br>--<br>", "", ""
"Gossiping#M.1561421842.A.9EF#00001", "fred240753", "好了啦", "61.226.221.19 06/25 08:17", "0"
"Gossiping#M.1561421842.A.9EF#00002", "wwf0322", "巴西人上工了", "115.82.58.98 06/25 08:17", "0"
"Gossiping#M.1561421842.A.9EF#00003", "sinon0123", "中國時報自己號召阿，張善正 ㄏㄏ....", "175.181.244.80 06/25 08:17", "0"
"Gossiping#M.1561421842.A.9EF#00004", "WTF55665566", "9.25毛瘋狂洗版", "42.72.101.58 06/25 08:18", "0"
"Gossiping#M.1561421842.A.9EF#00005", "excia", "媒體分成中共宣傳機器和不是中共宣傳機器兩種畜生狗報用「綠媒」來做反擊 企圖用顏色是轉移自己作為中共傳聲筒滲透台灣破壞民主的", "180.217.86.222 06/25 08:19", "1"
"Gossiping#M.1561421842.A.9EF#00006", "greenmaplex", "巴西人早安", "49.217.177.2 06/25 08:19", "0"
"Gossiping#M.1561421842.A.9EF#00007", "stoxin", "https//i.imgur.com/H08NMxS.jpg", "39.8.62.73 06/25 08:19", "0"
"Gossiping#M.1561421842.A.9EF#00008", "bruce2248", "http//i.imgur.com/UKCe66C.jpg", "220.136.66.118 06/25 08:20", "0"
"Gossiping#M.1561421842.A.9EF#00009", "polypress", "這是在自介自己是紅媒嗎== 紅媒記者真的是智商堪慮，自婊這麼開心....", "59.115.96.150 06/25 08:20", "1"
"Gossiping#M.1561421842.A.9EF#00010", "piket", "藍媒可以 紅媒根本叛國", "220.134.88.122 06/25 08:20", "0"
"Gossiping#M.1561421842.A.9EF#00011", "excia", "事實，紅色媒體滲透已經跟藍綠無關 除非藍色跟紅色劃上等號", "180.217.86.222 06/25 08:21", "0"
"Gossiping#M.1561421842.A.9EF#00012", "kajer", "所以現在變成”媒體有特定的立場”是可以", "175.97.5.163 06/25 08:21", "1"
"Gossiping#M.1561421842.A.9EF#00013", "userpeter", "中國時報給噓！ = =", "42.78.104.76 06/25 08:21", "0"
"Gossiping#M.1561421842.A.9EF#00014", "Xceberus", "嘻嘻", "42.77.191.93 06/25 08:21", "0"
"Gossiping#M.1561421842.A.9EF#00015", "modernpkman", "公視啊", "42.73.93.216 06/25 08:21", "0"
"Gossiping#M.1561421842.A.9EF#00016", "stoxin", "之前就抹藍媒是紅媒，昨天抹公視是綠媒以為亂抹別家媒體就跟你一樣?????????????", "39.8.62.73 06/25 08:22", "0"
"Gossiping#M.1561421842.A.9EF#00017", "hiroshi", "美國有收俄羅斯錢然後攻擊民主的媒體再來說嘴", "1.34.173.134 06/25 08:23", "1"
