"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561443608.A.CAC#00000", "alterna", "新聞來源: 新頭殼<br>新聞網址: https://newtalk.tw/news/view/2019-06-25/264261<br><br><br>連遭資優生嗆聲 韓國瑜：學生不應該被過度政治化干擾<br><br><br>新頭殼newtalk | 孫家銘 綜合報導<br>發布 2019.06.25 | 13:21<br><br>連續三場與畢業生及模範生的合影活動均遭學生以不同形式嗆聲，高雄市長韓國瑜今<br> (25) 日在出席最後一場合影前表示，學生不應該被過度政治化干擾，也不需要去做一些<br>擴大的解釋，非常鼓勵年輕人勇於表達意見、表達勇氣，也可以寫信給他，沒有問題，這<br>是不衝突的。<br><br>對於昨天被一位雄中學生拿「為什麼愛說謊」的書籍暗諷，韓國瑜說他回顧昨天700位同<br>學，從頭到尾氣氛大致上非常融洽，有好多學生的和他握手、擁抱、擊掌，還有送小卡片<br>、送信，還有甚至穿國旗裝，表達他們的熱情，氣氛非常的好，最後冒出一個同學帶一本<br>書，他完全沒有注意到，也完全不了解。<br><br>他說，小孩子是一個純潔的教育空間，他們多年努力讀書，獲得全班第一名和模範生，快<br>快樂樂的照一張照片，也是他一生之中的光榮，像這樣一個環境，實在不應該被過度政治<br>化去干擾，這對學生、學校和教育來講，沒有麼幫助，所有新聞界的好朋友透過畫面都了<br>解，整個氣氛非常融洽，他覺得不需要去做一些擴大的解釋，這是他第一點看法。<br><br>韓國瑜說，第二，年輕人勇於表達意見，表達勇氣，歡迎，也可以寫信給他，沒有問題的<br>，他非常鼓勵年輕人勇於表達意見，這是不衝突的。<br><br><br>有關畢業生對韓國瑜表達不同意見，市府昨天也透過聲明回應表示，台灣最可貴的就是民<br>主及言論自由，韓國瑜市長曾從事教育工作，也鼓勵學生要具備獨立思考及自我表達的能<br>力。所以對於學生的意見，給予尊重，也請社會大眾給勇於表達想法的學生愛與包容。<br><br><br>--<br>", "", ""
"Gossiping#M.1561443608.A.CAC#00001", "i689tw", "可以偷摸奶嗎 好好喔", "114.137.141.182 06/25 14:20", "0"
"Gossiping#M.1561443608.A.CAC#00002", "reteregena", "完全沒有注意到，也完全不了解", "115.82.116.194 06/25 14:20", "0"
"Gossiping#M.1561443608.A.CAC#00003", "jack34031", "哈哈", "101.8.210.152 06/25 14:21", "0"
"Gossiping#M.1561443608.A.CAC#00004", "silentence", "學生出於自由意志的表現阿 呵呵", "49.216.16.21 06/25 14:21", "0"
"Gossiping#M.1561443608.A.CAC#00005", "s72005ming", "笑死，韓導越來越難看了", "223.137.41.164 06/25 14:21", "0"
"Gossiping#M.1561443608.A.CAC#00006", "jeff0025", "智障 學生有說謊嗎?", "175.98.141.254 06/25 14:21", "0"
"Gossiping#M.1561443608.A.CAC#00007", "seraphic298", "那12歲韓粉是....??", "211.21.229.152 06/25 14:21", "0"
"Gossiping#M.1561443608.A.CAC#00008", "SupCat", "少廢話 屁眼露出來給大家瞧瞧", "27.242.62.135 06/25 14:21", "0"
"Gossiping#M.1561443608.A.CAC#00009", "blackacre", "政治一百分的叫人家不要政治化", "211.75.124.200 06/25 14:21", "0"
