"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561478490.A.2DE#00000", "moneybuy", "如何捍衛中華民國安全？韓國瑜「泡澡塞子」神比喻<br><br>https://www.chinatimes.com/realtimenews/20190625004597-260407?chdtv<br><br><br> 中時電子報 吳玫穎<br><br><br>國民黨總統初選首場國政願景發表會今晚在高雄登場，目前進行到第二階段現場提問，高<br>雄市長韓國瑜被問起如何捍衛中華民國的國家安全？他以「泡澡塞子」來比喻，讓韓粉聽<br>完也忍不住比大拇指喊讚！<br><br>韓國瑜說70年前納粹德國軍力橫掃天下，為何不攻擊瑞士？70年前日本皇軍橫掃全亞洲，<br>為何不攻擊泰國？瑞士跟泰國價值在哪裡？有何不可替代？為何可以避開戰火？他希望台<br>灣朋友思考一下，我們台灣價值在哪？有什麼不可取代的？讓想要對台灣攻擊，不敢輕啟<br>戰端。<br><br>韓國瑜表示中美關係就像兩個下象棋的，如果台灣只是像「車馬炮」當個棋子，時間一到<br>價值沒有就被丟掉了，還是要換個角色，「身體非常疲倦、晚上很累泡個澡當個塞子」。<br><br>韓國瑜認為要泡澡必須要有水、浴缸跟塞子，水很重要、浴缸也很大，但是沒有這個塞子<br>，你今天晚上就沒辦法泡澡，他再次問：「台灣要當棋子還是塞子？」所以他才會說努力<br>靠自己，如何讓美國相信對我們放心，如何讓中國大陸相信對我們安心，更重要的是，台<br>灣人如何自己快快樂樂開心，這個題目太重要了。<br><br>韓國瑜又批，民進黨是以恨為出發點，以恐懼讓台灣人向歷朝歷代的女人裹小腳，把台灣<br>人腦袋裹起來，「好可怕主權被侵犯、好可怕台灣危險了，大錯特錯！」他認為未來的台<br>灣所有四面八方不能有圍牆，全部都是道路！<br><br><br><br>--<br>", "", ""
"Gossiping#M.1561478490.A.2DE#00001", "allen0080", "智障。", "49.216.17.100 06/26 00:01", "0"
"Gossiping#M.1561478490.A.2DE#00002", "vshchen", "狗報必噓", "128.134.26.67 06/26 00:01", "0"
"Gossiping#M.1561478490.A.2DE#00003", "frozenmoon", "哈哈哈", "14.189.169.23 06/26 00:01", "0"
"Gossiping#M.1561478490.A.2DE#00004", "tyrande", "我不懂這比喻...", "1.161.122.236 06/26 00:01", "0"
"Gossiping#M.1561478490.A.2DE#00005", "a30706520", "工三小？", "42.75.254.1 06/26 00:01", "0"
"Gossiping#M.1561478490.A.2DE#00006", "frommr", "塞林老木", "39.9.168.135 06/26 00:02", "0"
"Gossiping#M.1561478490.A.2DE#00007", "r30385", "塞你涼", "223.139.198.66 06/26 00:02", "0"
"Gossiping#M.1561478490.A.2DE#00008", "BDG", "割除失智韓瘤 消滅通匪內奸", "116.241.203.154 06/26 00:02", "0"
"Gossiping#M.1561478490.A.2DE#00009", "peoplefu5566", "那塞子塞屁眼", "223.140.78.183 06/26 00:02", "0"
"Gossiping#M.1561478490.A.2DE#00010", "povin", "狗", "111.249.23.238 06/26 00:02", "0"
"Gossiping#M.1561478490.A.2DE#00011", "MrXD", "草包腦袋太監嘴", "36.235.245.157 06/26 00:02", "0"
"Gossiping#M.1561478490.A.2DE#00012", "hu6789", "工三小", "218.161.42.127 06/26 00:02", "0"
"Gossiping#M.1561478490.A.2DE#00013", "lowsan", "87 你才塞子你全家都塞子", "111.184.10.96 06/26 00:02", "0"
"Gossiping#M.1561478490.A.2DE#00014", "bvg2536452", "快笑死", "36.231.27.155 06/26 00:02", "0"
"Gossiping#M.1561478490.A.2DE#00015", "Ericz7000", "韓粉就算韓導講幹你娘還是喊讚吧", "1.34.18.66 06/26 00:02", "0"
"Gossiping#M.1561478490.A.2DE#00016", "ohrring", "幹快笑死     一群塞子，含糞塞子     嘴跟屁眼都堵住ㄌ", "223.137.84.163 06/26 00:02", "0"
"Gossiping#M.1561478490.A.2DE#00017", "super286", "把大便當黃金還鼓勵大家一起品嘗....", "218.161.86.104 06/26 00:02", "0"
"Gossiping#M.1561478490.A.2DE#00018", "xGx", "四面八方都沒加蓋", "1.161.165.12 06/26 00:02", "0"
"Gossiping#M.1561478490.A.2DE#00019", "Doub1eK", "塞林老母", "1.200.202.41 06/26 00:02", "0"
"Gossiping#M.1561478490.A.2DE#00020", "perlone", "腦子塞住了吧", "114.34.129.120 06/26 00:02", "0"
"Gossiping#M.1561478490.A.2DE#00021", "zold", "～～～中時造神運動：屁眼塞子～～～", "49.216.135.209 06/26 00:03", "0"
"Gossiping#M.1561478490.A.2DE#00022", "highyes", "塞恁娘", "27.147.26.7 06/26 00:03", "0"
"Gossiping#M.1561478490.A.2DE#00023", "L1ON", "？？？？？？？", "180.217.176.81 06/26 00:03", "0"
