"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561506424.A.BE6#00000", "ergostepo", "柯轟蔡政府 效率差又無能<br>04:102019/06/26<br>中國時報 李依璇<br><br><br><br>周刊報導根據台北市長柯文哲陣營內部一份民調顯示，若蔡英文總統和前行政院長賴清德「<br>蔡賴配」，將壓縮柯P參選空間，並稱柯先前幫賴抱屈又打蔡，可能是為了分化兩人。柯文<br>哲25日批評中央政府處理台北雙子星案效率差、長榮罷工沒作好預防，炮轟蔡政府「把沒有<br>辦法當作辦法」是無能的表現。<br><br><br>獨立或台獨 都下輩子吧<br><br><br>而民進黨近來對柯頻頻釋出善意，除先前對外定調不主動攻擊柯文哲，黨主席卓榮泰日前接<br>受專訪指出，民進黨對和任何人、團體、政黨合作採取開放態度，但是一定要理念相同，「<br>尤其是以台灣、國家整體利益優先的理念」，言談中暗示「白綠合作」的條件是「國家主權<br>」觀點一致。<br><br>柯文哲昨日也直言，美國不可能讓台灣獨立，也不可能讓台灣跟中國統一，「所以統一、台<br>獨喔，那個都下輩子吧！」且柯也批評民進黨只會「放狗咬人」，「我就問，吳祥輝（作家<br>）是誰？吳祥輝是自動自發打我的？」談長榮罷工 國家搞什麼<br><br>據悉，柯陣營一直透過觀察各家民調動態，探討白綠合作可能，作為判斷柯P是否要投入大<br>選的依據。6月4日一份不公開民調，將韓國瑜配王金平、蔡英文配賴清德，及柯文哲配郭台<br>銘共3組正副人選放入，結果蔡賴配支持度最高，將可贏韓王配5％以上，柯郭配則跌到最後<br>一名。<br><br>由於柯文哲曾高調為賴清德抱屈，現在也遭質疑是因為從民調得知「蔡賴配」聲勢高，才藉<br>機分化兩人，柯文哲昨強調，他只是看到什麼講什麼，接著話鋒一轉說「長榮罷工，我非常<br>有意見」，預防應重於治療，不能把「沒有辦法」當作「辦法」，「整個國家是在搞什麼？<br>這是政府無能的表現！」<br><br>媒體追問這是否代表白綠合作不可能？柯說，不是針對民進黨，但他認為執政不應把沒有辦<br>法當辦法，並批評雙子星案被中央卡了5個多月，到現在還查不出一間公司有無中資，「這<br>個國家也有問題，效率這麼差是怎樣？」他要求盡快為雙子星解套。<br><br>https://www.chinatimes.com/newspapers/20190626000581-260102<br><br><br>聽說這時間比較沒有1450會亂噓？<br><br>--<br>", "", ""
"Gossiping#M.1561506424.A.BE6#00001", "NSKB", "難得講真話？", "125.227.77.31 06/26 07:47", "0"
"Gossiping#M.1561506424.A.BE6#00002", "TheZealot", "巴拿馬柯糞", "175.180.68.81 06/26 07:47", "0"
"Gossiping#M.1561506424.A.BE6#00003", "jesiuty", "酷阿北檢到砲 帥慘", "36.239.117.29 06/26 07:48", "0"
"Gossiping#M.1561506424.A.BE6#00004", "QQplay", "跳板...不敢用真實ip喔", "111.242.253.98 06/26 07:48", "0"
"Gossiping#M.1561506424.A.BE6#00005", "miler22020", "當不了總統哭哭 死媽寶", "60.248.190.59 06/26 07:48", "0"
"Gossiping#M.1561506424.A.BE6#00006", "cschuan", "不愧是柯天台 覺青又要抹紅柯天了", "202.89.121.108 06/26 07:48", "0"
"Gossiping#M.1561506424.A.BE6#00007", "BrotherAreU", "五樓被二樓肛的屁眼西吧爛", "218.166.167.74 06/26 07:48", "0"
"Gossiping#M.1561506424.A.BE6#00008", "Matamune", "看完第一段我怎麼覺得中時自己多加無能原來是個來自巴西的好碰友呢!", "59.115.159.87 06/26 07:49", "1"
"Gossiping#M.1561506424.A.BE6#00009", "dkl1027", "大巨蛋都搞不好還敢笑別人效率差喔", "101.8.193.221 06/26 07:49", "0"
