"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561518809.A.AB7#00000", "richshen", "1.媒體來源:<br><br>中時<br><br>2.記者署名<br><br>林宏聰<br><br>3.完整新聞標題:<br><br>不明人士欲偷國政會講稿 韓幕僚團驚爆資安危機<br><br>4.完整新聞內文:<br><br><br>高雄市長韓國瑜25日晚間參加黨內初選國政願景發表會，不料，25日上午竟疑似有人冒用<br>高市輪船公司董事長、韓國瑜心腹黃文財的名義，發電子郵件向市長室副主任胡美音索取<br>韓國瑜發表會講稿，胡發現有異進一步確認，才沒讓講稿外流；事後擴大追查，發現連市<br>長室主任邱源寶的身分也被人冒用，疑似寄出木馬程式連結給同仁，市府相當震驚，26日<br>早上已向警方報案，刑大科偵人員正介入偵辦中。<br><br><br>據悉，昨天上午9點57分，胡美音的gmail帳號收到一封信，署名「高雄市輪船公司董事長<br>黃文財」，內文提及：「美音姐，老板剛聯繫我，請我幫忙看看國政願景會講稿，麻煩把<br>材料發我一份，謝謝。」<br><br>因她平時不常用gmail，且黃文財不會稱呼她「美音姐」，胡美音有些懷疑，先回信「收<br>到，請寶哥發給你」，但馬上向辦公室主任「寶哥」邱源寶確認，邱再打電話給黃文財，<br>證實黃根本沒發信，且如果要索討資料，現在都用LINE聯繫，何必發電子郵件。更誇張的<br>是，對方連邱源寶的電子信箱都沒有，還回信：「美音姐，寶哥的郵箱給我發下，謝謝」<br>。<br><br>市長室擴大追查，竟發現連邱源寶的名字也被冒用，發email給另名辦公室同仁，附帶連<br>結要對方將國政願景會的補充材料打印出來，一點連結卻被市府防火牆擋下，懷疑可能是<br>惡意木馬程式，目的是竊取電腦內重要資料。<br><br>據透露，總統初選戰況激烈，如果事前獲知講稿，可能預先因應或策劃反制攻擊，韓陣營<br>難以猜測冒名發信、寄發木馬程式索討講稿者的幕後身分及目的，但研判顯然與選舉有關<br>，26日上午立刻向警察局報案，由市刑大科偵人員進入市長室調查，市府資訊室已派人進<br>駐，全面提升市長室資安層級。<br><br>(中時 )<br><br><br>5.完整新聞連結 (或短網址):<br><br>https://www.chinatimes.com/realtimenews/20190626001695-260407?chdtv<br><br>6.備註:<br><br>又在導戲囉<br><br>對手沒事偷一個草包的講稿幹嘛?<br><br>不用偷也能打趴你<br><br>韓導就是韓導<br><br>無時無刻都要導一下<br><br>--<br>", "", ""
"Gossiping#M.1561518809.A.AB7#00001", "jeff0025", "自導自演，每次到選舉韓導就特別會演", "175.98.141.254 06/26 11:13", "0"
"Gossiping#M.1561518809.A.AB7#00002", "highyes", "真心想看屁眼俠拖垮車輪黨 含導新劇本？", "1.160.46.107 06/26 11:13", "1"
"Gossiping#M.1561518809.A.AB7#00003", "moneypack3", "韓導最新力作，屁眼塞子這種講稿怕人家偷？", "114.25.119.227 06/26 11:14", "0"
"Gossiping#M.1561518809.A.AB7#00004", "wjuiahb", "韓導導起來!!!!!!!!!!!!!", "163.29.108.151 06/26 11:14", "0"
"Gossiping#M.1561518809.A.AB7#00005", "belucky", "這先噓再說  中時", "39.9.45.88 06/26 11:14", "0"
"Gossiping#M.1561518809.A.AB7#00006", "senma", "自演乙", "114.136.146.166 06/26 11:14", "0"
"Gossiping#M.1561518809.A.AB7#00007", "JAMES0128", "哈哈", "27.242.226.168 06/26 11:14", "0"
"Gossiping#M.1561518809.A.AB7#00008", "pp9960", "慟，中央卡韓又要偷韓演講稿", "111.241.215.87 06/26 11:14", "0"
"Gossiping#M.1561518809.A.AB7#00009", "verydolungbe", "還派了國高中生當間諜對吧？", "223.137.247.253 06/26 11:14", "0"
"Gossiping#M.1561518809.A.AB7#00010", "Ayreon", "一天一新片 智商遠離我", "1.163.23.37 06/26 11:14", "0"
"Gossiping#M.1561518809.A.AB7#00011", "bill750121", "厲害了 又導一齣，韓天戲劇台 最佳導演獎", "223.137.204.87 06/26 11:14", "0"
"Gossiping#M.1561518809.A.AB7#00012", "WowProctor", "偷稿?上面只寫發大財3個字 還用偷??", "218.161.115.88 06/26 11:14", "1"
"Gossiping#M.1561518809.A.AB7#00013", "wangsanmin", "偷劇本會有啥國安危機 反正也當天亂寫我之前還看過三立在路邊拍劇時亂編劇", "114.24.75.9 06/26 11:14", "1"
"Gossiping#M.1561518809.A.AB7#00014", "lomineyo123", "看到中屎，直接下結論，自導自演", "223.138.167.242 06/26 11:14", "0"
"Gossiping#M.1561518809.A.AB7#00015", "WTF55665566", "內鬥鬥起來！", "223.137.63.59 06/26 11:14", "0"
"Gossiping#M.1561518809.A.AB7#00016", "RRADA", "韓導又在自導自演了，講稿拿來一看：屁眼、塞子、發大財。沒了。", "111.250.148.59 06/26 11:15", "0"
"Gossiping#M.1561518809.A.AB7#00017", "wemee", "越來越像炮仔聲的劇情了 精彩!!!", "59.125.179.244 06/26 11:15", "0"
"Gossiping#M.1561518809.A.AB7#00018", "shinmoner", "講稿是什麼天大機密???", "114.24.222.138 06/26 11:15", "0"
"Gossiping#M.1561518809.A.AB7#00019", "diyaworld", "全世界就狗報的新聞特別獨家", "180.217.187.114 06/26 11:15", "0"
"Gossiping#M.1561518809.A.AB7#00020", "F0314", "哇 韓導又有新劇本了", "1.200.55.232 06/26 11:15", "0"
"Gossiping#M.1561518809.A.AB7#00021", "MurMur", "那種稿子誰要偷啊XDDDDDDDDDDDDDDDDDDDDDD", "1.162.112.164 06/26 11:15", "1"
"Gossiping#M.1561518809.A.AB7#00022", "spadenet", "好了啦", "39.10.172.44 06/26 11:15", "0"
"Gossiping#M.1561518809.A.AB7#00023", "yuijrt", "又來", "49.218.76.81 06/26 11:15", "0"
"Gossiping#M.1561518809.A.AB7#00024", "Moratti", "另外四個人偷的", "59.124.93.142 06/26 11:15", "0"
"Gossiping#M.1561518809.A.AB7#00025", "sunnywing", "作文比賽的稿 偷來幹嘛用", "36.230.153.51 06/26 11:15", "0"
"Gossiping#M.1561518809.A.AB7#00026", "Omara", "看標題直接噓", "61.227.116.227 06/26 11:15", "0"
"Gossiping#M.1561518809.A.AB7#00027", "jimmy885", "自導自演吧，那個屁講稿有什麼值得偷", "106.1.85.92 06/26 11:15", "0"
"Gossiping#M.1561518809.A.AB7#00028", "brennen", "韓導新作，稿子根本小學程度，誰會想偷。", "36.232.139.90 06/26 11:15", "1"
"Gossiping#M.1561518809.A.AB7#00029", "lomineyo123", "再說初選也是黨內人士自己偷的", "223.138.167.242 06/26 11:16", "0"
"Gossiping#M.1561518809.A.AB7#00030", "cheburashka", "自導自演", "223.137.107.85 06/26 11:16", "0"
"Gossiping#M.1561518809.A.AB7#00031", "iam0718", "最新力作", "118.171.133.178 06/26 11:16", "0"
"Gossiping#M.1561518809.A.AB7#00032", "e34l892", "這稿有偷的價值嗎...", "180.217.170.98 06/26 11:16", "0"
"Gossiping#M.1561518809.A.AB7#00033", "AbukumaKai", "白癡喔 你的哪需要偷  我都會寫", "111.241.101.125 06/26 11:16", "0"
