"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561524438.A.05D#00000", "Seles", "韓這句話把心都抓住 網：民調將暴增<br><br><br>昨晚（25）國民黨舉辦黨內初選第一場《國政願景發表會》，高雄市長韓國瑜、鴻海前董<br>事長郭台銘、新北市前市長朱立倫、前台北縣長周錫瑋、孫文學校總校長張亞中五人，分<br>別就憲政、外交、兩岸、國防發表見解。網友讚韓論述層次與記憶點都大勝他人，尤其那<br>句「民進黨用恨，讓人民的思考裹小腳」，更是完全命中民進黨最卑劣的選舉操作模式，<br>認為這場結束韓民調必將暴增。<br><br>網友在PTT論壇發文《這場結束……韓國瑜民調一定暴增……》寫道：「五個人一比較，<br>整個論述的層次，韓國瑜完全制覇大勝，記憶點超清楚。『民進黨用恨，讓人民的思考裹<br>小腳。』這句完全打中，完完全全，命中民進黨最卑劣的選舉操作模式。」<br><br>不僅如此，該網友更大讚：「這場結束……韓國瑜民調一定暴增……初選結束了，2020也<br>call game了，韓國瑜今天表現，太讚！」<br><br>對此，網友則紛紛回應：「這倒是確定的」、「推」、「韓會不會增不知道，但確定不會<br>掉，郭就GG了」、「韓國瑜的論述，太有記憶點了，我看完整場，只能用『佩服』兩個字<br>形容韓國瑜今天的表現」、「韓會不會升我不知道 但郭絕對不會升」、「郭表現超爛」<br>、「這場價值就是郭看稿的印象很深」、「鄉民要崩潰了」。<br><br>也有網友留言：「我很懷疑郭真的有治理鴻海過嗎」、「如果高雄罷免掉韓，那是他們自<br>己選的，肯做事的政治人物不多，這種好市長如果換到我們雙北就好了」。<br><br><br><br>https://www.chinatimes.com/realtimenews/20190626001512-260407?chdtv<br><br><br>中時電子報<br><br>王子瑄<br><br><br>--<br>", "", ""
"Gossiping#M.1561524438.A.05D#00001", "A320", "御用獵犬", "49.214.225.83 06/26 12:47", "0"
"Gossiping#M.1561524438.A.05D#00002", "baseball0203", "ㄏㄏ", "49.219.128.40 06/26 12:47", "0"
"Gossiping#M.1561524438.A.05D#00003", "belmontc", "社論掰", "113.196.176.184 06/26 12:47", "0"
"Gossiping#M.1561524438.A.05D#00004", "LEDG", "靠北，那篇是反串的", "42.76.255.4 06/26 12:47", "0"
"Gossiping#M.1561524438.A.05D#00005", "l00011799z", "非韓不投", "42.77.169.137 06/26 12:47", "0"
"Gossiping#M.1561524438.A.05D#00006", "ojmalone", "中時也太不要臉了吧", "45.32.47.19 06/26 12:47", "0"
"Gossiping#M.1561524438.A.05D#00007", "james732", "王子瑄到底有多愛韓國瑜", "111.71.214.246 06/26 12:48", "0"
"Gossiping#M.1561524438.A.05D#00008", "i689tw", "非韓不投", "111.71.3.154 06/26 12:48", "0"
"Gossiping#M.1561524438.A.05D#00009", "zold", "王子瑄： 賺錢真簡單， 造神韓導，韓粉愛", "49.216.135.209 06/26 12:48", "0"
"Gossiping#M.1561524438.A.05D#00010", "Ipadhotwater", "這個人瘋狂造神耶……", "223.137.102.133 06/26 12:48", "0"
"Gossiping#M.1561524438.A.05D#00011", "jeffky", "中狗死報", "101.11.1.112 06/26 12:48", "0"
"Gossiping#M.1561524438.A.05D#00012", "theash", "不要臉", "101.8.209.247 06/26 12:48", "0"
"Gossiping#M.1561524438.A.05D#00013", "sjlee1127", "........", "223.140.196.195 06/26 12:49", "0"
"Gossiping#M.1561524438.A.05D#00014", "pichia", "爆炸", "223.137.129.202 06/26 12:49", "0"
"Gossiping#M.1561524438.A.05D#00015", "BaDoYao", "發大財", "61.223.185.4 06/26 12:49", "0"
"Gossiping#M.1561524438.A.05D#00016", "runboy", "噓中時", "42.72.78.114 06/26 12:49", "0"
"Gossiping#M.1561524438.A.05D#00017", "kingtama", "反串當作真", "59.124.228.82 06/26 12:49", "0"
"Gossiping#M.1561524438.A.05D#00018", "ghjkl2222424", "哪篇阿想要朝聖一下", "220.133.25.244 06/26 12:49", "0"
"Gossiping#M.1561524438.A.05D#00019", "qaz214536", "這記者的智商....看不出來是反串嗎", "42.77.32.135 06/26 12:49", "0"
"Gossiping#M.1561524438.A.05D#00020", "deepdish", "新聞(X)政治宣傳（O）", "220.134.89.190 06/26 12:49", "0"
