"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561547096.A.6BE#00000", "hahaha0204", "米砂曝3次糟糕性經驗！「公開場合啪啪」奪冠：影響我一生<br><br><br>https://attach.setn.com/newsimages/2019/05/03/1907996-XXL.jpg<br>https://attach.setn.com/newsimages/2019/06/24/1985998-XXL.jpg<br>▼▲米砂透露曾在愛愛時被男生吐在身上。（圖／翻攝自YouTube）<br>https://attach.setn.com/newsimages/2019/06/24/1985997-XXL.jpg<br>https://attach.setn.com/newsimages/2019/06/24/1986001-XXL.jpg<br>▼▲米砂表示曾在一群人面前和別人發生性關係。（圖／翻攝自YouTube）<br>https://attach.setn.com/newsimages/2019/06/24/1985999-XXL.jpg<br>記者林呈育／綜合報導<br><br>有小鄧子棋之稱的網紅蕾菈（Lyla），日前和另一名網紅「老濕姬」米砂（Misa）合拍影<br>片，2人談到過去曾和男生發生過的「糟糕性經驗」，沒想到硬來、不乾淨都還只是小<br>Case，米砂透露，曾經在打通鋪的地方和剛認識的人發生關係，原本以為其他人都已經睡<br>著才開始「運動」，結果他們都是「裝睡」，完事後其他人瞬間起床，讓米砂超級尷尬，<br>而她也坦言，這件事影響了她一生。<br><br>網紅蕾菈和米砂日前合拍一支名為「YT圈兩大老濕姬合體！Misa自曝曾在公開場合做羞羞<br>臉的事？！」影片，如題她們分享了「愛愛最差的經驗」，米砂首先透露3個不好的經驗<br>，首先是和愛動漫的男生在發生關係時，「男生突然講出動漫裡的台詞」，讓米砂瞬間冷<br>卻，不想繼續和男生發生關係；第二個則是和喝醉酒的男生愛愛時，男生「運動」到一半<br>，直接吐在米砂身上，「超火大我直接去洗澡，然後洗完之後直接走掉」。<br><br><br>沒想到這還不是最糟糕的經驗，米砂表示，有一次她和大學同學聚會的時候，認識了某個<br>男生，當大家在打通鋪睡覺的時候，對方突然提出要和她發生性行為的要求，雖然米砂覺<br>得奇怪，但還是同意發生關係，結果完事後，周圍的人忽然全都「醒了過來」，她才意識<br>到原來大家都在裝睡，「我跟他瞬間尷尬，所以就是影響一生，每次聚會他們都要再提一<br>次」。<br><br>另外，蕾菈也透露自己曾跟不愛洗內褲的男友發生關係，造成每次性行為結束「妹妹都很<br>臭」，而另一個不好的經驗則是，曾和剛吵完架的前男友發生關係，對方硬要「從後面來<br>」，讓蕾菈完全嚇到，雖然曾從後面過，但她不願意在那個當下進行，沒想到遭到男生硬<br>來，她趕緊把男生推開，並和他說「我可以去告你性侵」。分享完故事後，蕾菈表示，想<br>透過這些內容倡導鏡頭前的觀眾，每當要發生性行為時，一定要慎選對象，「有危險一定<br>要馬上離開」。<br><br>https://www.setn.com/News.aspx?NewsID=560072<br><br>--<br>", "", ""
"Gossiping#M.1561547096.A.6BE#00001", "forwardgo", "這誰", "223.138.77.168 06/26 19:05", "0"
"Gossiping#M.1561547096.A.6BE#00002", "s820912gmail", "在座各位都還是包莖處男聽不懂", "101.8.240.254 06/26 19:05", "0"
"Gossiping#M.1561547096.A.6BE#00003", "bicedb", "第一張是三小，跟他發生經驗 才是不愉快ㄅ？", "180.217.135.10 06/26 19:05", "0"
"Gossiping#M.1561547096.A.6BE#00004", "kivan00", "誰??", "114.46.212.85 06/26 19:05", "0"
"Gossiping#M.1561547096.A.6BE#00005", "FlynnZhang", "誰", "49.216.175.109 06/26 19:05", "0"
"Gossiping#M.1561547096.A.6BE#00006", "kent", "五樓最糟糕的經驗是被肛有戴套 沒爽到，好險", "1.164.246.113 06/26 19:05", "0"
"Gossiping#M.1561547096.A.6BE#00007", "powernanasi", "誰？？", "36.237.63.105 06/26 19:05", "0"
"Gossiping#M.1561547096.A.6BE#00008", "scum5566", "靠 第一張修很大，這兩咖大概只剩這種話題了", "111.252.104.188 06/26 19:05", "0"
"Gossiping#M.1561547096.A.6BE#00009", "lsps40803", "修起來", "49.215.180.112 06/26 19:05", "0"
"Gossiping#M.1561547096.A.6BE#00010", "XperiaZ", "誰", "111.83.17.220 06/26 19:05", "0"
"Gossiping#M.1561547096.A.6BE#00011", "sy4826951", "修圖嗎？", "114.136.184.128 06/26 19:05", "0"
"Gossiping#M.1561547096.A.6BE#00012", "linda17a3", "好羨慕", "42.74.176.120 06/26 19:05", "0"
"Gossiping#M.1561547096.A.6BE#00013", "wwf0322", "誰", "115.82.185.204 06/26 19:05", "0"
"Gossiping#M.1561547096.A.6BE#00014", "GGrunrundela", "原來救她 真的醜到哭爸", "39.9.228.175 06/26 19:06", "0"
"Gossiping#M.1561547096.A.6BE#00015", "yannicklatte", "月半", "115.82.134.63 06/26 19:06", "0"
