"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561565504.A.9DA#00000", "thouloveme", "獨／蔡政府受不了了 夜問打權被停 只播到本周五<br><br>2019-06-26 23:10聯合報 記者黃國樑╱即時報導<br><br>據了解，由政治評論者黃智賢主持的「夜問打權」節目，消息人士稱，在蔡英文政府的施<br>壓下，將在這周五播出最後一集，畫上句點。<br>在黃國昌與館長在23日即上周日，號召所謂的數萬人上凱道，要求「紅色媒體」滾出台灣<br>的第二天，也就是本周一，黃智賢就被中天的高層告知了這個訊息。<br><br>據了解，這個停播的決定已在今天正式獲得確認，黃智賢在得知決定後，原有意就在今天<br>播出最後一集，但顧及節目製作群的相關安排，黃智賢決定做到這周五，與觀眾告別。<br><br>消息人士說，夜問打權收視率一直很好，但蔡政府不斷施壓之下，從原來的52頻道搬到39<br>頻道，再從39頻道搬到天高地遠的154台，即中視的數位台。但如今，連處在如此邊陲的<br>節目，蔡政府仍不放過，施壓中天高層停掉這個節目。<br><br>消息人士說，蔡政府要停掉節目的原因有四：一是夜問打權節目長期以來批判蔡英文總統<br>太凶；二是夜問打權是唯一剖析香港反送中真相的節目，讓民進黨操作反中氛圍的目的被<br>揭穿；三是黃智賢主張一國兩制和平統一；以及四是夜問打權深度分析此次國安法修法是<br>對於言論自由的嚴重箝制的惡法。<br><br>消息人士說，黃智賢在節目叫停後，將會在網路上開闢節目，雖然蔡政府打壓，但黃智賢<br>絕不會因此閉嘴，讓蔡英文政府無法達到目的。<br><br>UDN<br>https://udn.com/news/story/6656/3894855?<br><br>備註:<br>蔡政府有這麼厲害，可以停掉一個節目???<br><br>--<br>", "", ""
"Gossiping#M.1561565504.A.9DA#00001", "k12551", "舒服", "111.248.192.117 06/27 00:12", "0"
"Gossiping#M.1561565504.A.9DA#00002", "deepdish", "重工中天化", "220.134.89.190 06/27 00:12", "0"
"Gossiping#M.1561565504.A.9DA#00003", "Calcifer", "是被抽銀根了吧", "61.223.8.155 06/27 00:12", "0"
"Gossiping#M.1561565504.A.9DA#00004", "gogobar", "幹你娘母豬蔡英文", "218.161.67.33 06/27 00:12", "0"
"Gossiping#M.1561565504.A.9DA#00005", "emptie", "文正：你好", "180.217.230.146 06/27 00:12", "0"
"Gossiping#M.1561565504.A.9DA#00006", "maple0425", "笑死 真的能關就整台關了，明明就是發言噁到KMTer都不愛看", "39.13.32.18 06/27 00:12", "0"
"Gossiping#M.1561565504.A.9DA#00007", "ipadmini6", "明明是沒人看準備要倒了吧？", "126.35.225.240 06/27 00:12", "0"
"Gossiping#M.1561565504.A.9DA#00008", "jenchieh5", "夜問關不住", "111.83.203.63 06/27 00:12", "0"
"Gossiping#M.1561565504.A.9DA#00009", "zold", "反正節目被停掉： 都是蔡英文在打壓！", "49.216.135.209 06/27 00:12", "0"
"Gossiping#M.1561565504.A.9DA#00010", "yijhen", "鬼話連篇", "42.76.192.215 06/27 00:12", "0"
"Gossiping#M.1561565504.A.9DA#00011", "fifi0828", "收視率到底多差啊哈哈，如果他們有這麼聽蔡的話就好了哈哈哈", "119.14.45.103 06/27 00:12", "0"
"Gossiping#M.1561565504.A.9DA#00012", "yannicklatte", "沒聽過的節目", "115.82.134.63 06/27 00:12", "0"
"Gossiping#M.1561565504.A.9DA#00013", "greeneen", "早就該收了理由一堆", "115.82.98.29 06/27 00:13", "0"
"Gossiping#M.1561565504.A.9DA#00014", "https", "可以啊  看看民視那個政論節目下場? XD", "123.205.150.117 06/27 00:13", "0"
"Gossiping#M.1561565504.A.9DA#00015", "HELLDIVER", "中夭? 施壓???  XD", "112.104.72.33 06/27 00:13", "0"
"Gossiping#M.1561565504.A.9DA#00016", "kimikott", "呵，中國媒體看看就好，別當真", "42.74.28.8 06/27 00:13", "0"
"Gossiping#M.1561565504.A.9DA#00017", "miacp", "整天造謠抹黑親共誰受得了", "111.251.221.135 06/27 00:13", "0"
"Gossiping#M.1561565504.A.9DA#00018", "rxiang", "去年才一個謠言關鍵時刻被關  現在又來?", "118.166.172.24 06/27 00:13", "1"
"Gossiping#M.1561565504.A.9DA#00019", "LuckyQ", "施壓中天...有沒有看錯", "59.127.39.11 06/27 00:13", "0"
"Gossiping#M.1561565504.A.9DA#00020", "jack8759", ".....", "61.231.181.202 06/27 00:13", "0"
"Gossiping#M.1561565504.A.9DA#00021", "whiteadam", "打壓新聞自由 好棒棒ㄉdpp", "220.135.52.193 06/27 00:13", "0"
"Gossiping#M.1561565504.A.9DA#00022", "vshchen", "韓粉沒救了", "128.134.26.67 06/27 00:13", "0"
"Gossiping#M.1561565504.A.9DA#00023", "Ives20130", "垃圾節目沒收視率怪人打壓？妳便秘要不要也怪蔡英文", "49.218.85.112 06/27 00:13", "1"
"Gossiping#M.1561565504.A.9DA#00024", "lunarblue", "關蔡英文何事?蔡要是管的到中天才有鬼", "123.204.126.115 06/27 00:13", "1"
"Gossiping#M.1561565504.A.9DA#00025", "z2wen", "作弊英果然不作弊什麼都不會，只會一直作弊的總統，台灣人民不需要", "36.225.97.243 06/27 00:13", "0"
"Gossiping#M.1561565504.A.9DA#00026", "ggian123", "重工", "101.12.19.34 06/27 00:14", "0"
"Gossiping#M.1561565504.A.9DA#00027", "ted01234567", "滾去對岸 還和平統一磊頭殼裝屎逆", "36.230.196.98 06/27 00:14", "0"
"Gossiping#M.1561565504.A.9DA#00028", "jokerleo815", "沒人看怪政府，果然是韓團", "123.240.140.238 06/27 00:14", "0"
"Gossiping#M.1561565504.A.9DA#00029", "fajita", "哥哥救我", "123.193.248.178 06/27 00:14", "0"
"Gossiping#M.1561565504.A.9DA#00030", "doasgloria", "看那些理由 就知道這根本胡扯", "114.25.24.104 06/27 00:14", "0"
"Gossiping#M.1561565504.A.9DA#00031", "NEIL8278", "三更半夜 公三小", "42.74.195.12 06/27 00:14", "0"
"Gossiping#M.1561565504.A.9DA#00032", "z2wen", "會挺這個作弊老女人的英糞，可能喜歡作弊吧", "36.225.97.243 06/27 00:15", "1"
"Gossiping#M.1561565504.A.9DA#00033", "tanby", "我就算不爽蔡 也不會相信這種白癡新聞", "39.12.231.197 06/27 00:15", "0"
"Gossiping#M.1561565504.A.9DA#00034", "vizjeco", "低能統媒", "220.136.104.168 06/27 00:15", "0"
"Gossiping#M.1561565504.A.9DA#00035", "liiiiiiiio", "推 跟高知識份子柯氏夫妻見解一樣", "103.199.37.121 06/27 00:15", "0"
"Gossiping#M.1561565504.A.9DA#00036", "yutinbabe", "去跟彭文正一起開直播吧", "180.177.124.238 06/27 00:15", "0"
"Gossiping#M.1561565504.A.9DA#00037", "qazsedcft", "笑死 奇文共賞", "36.229.115.61 06/27 00:15", "0"
"Gossiping#M.1561565504.A.9DA#00038", "cailoveyou", "垃圾放到哪裡都是垃圾", "1.165.159.25 06/27 00:16", "0"
"Gossiping#M.1561565504.A.9DA#00039", "dkjirh", "消息人士是啥小", "59.115.150.164 06/27 00:16", "0"
"Gossiping#M.1561565504.A.9DA#00040", "LordOfCS", "智障節目去打槍啦", "101.137.98.47 06/27 00:16", "0"
"Gossiping#M.1561565504.A.9DA#00041", "ywchenz", "妄想症發作了", "1.200.204.127 06/27 00:16", "0"
"Gossiping#M.1561565504.A.9DA#00042", "chen44", "垃圾節目", "223.136.216.32 06/27 00:16", "0"
"Gossiping#M.1561565504.A.9DA#00043", "barber", "！？", "124.218.95.48 06/27 00:17", "0"
"Gossiping#M.1561565504.A.9DA#00044", "LLuchia", "記者黃國樑 準備被罰一百萬囉，你覺得好笑 但你家的長輩真的會信", "111.255.29.106 06/27 00:17", "0"
"Gossiping#M.1561565504.A.9DA#00045", "qazsedcft", "別噓啦 這麼有趣的理由讓大家笑一笑啦", "36.229.115.61 06/27 00:17", "1"
"Gossiping#M.1561565504.A.9DA#00046", "wellein", "「消息人士說」", "125.230.54.31 06/27 00:17", "0"
"Gossiping#M.1561565504.A.9DA#00047", "FlyKerr5566", "胡說八道一堆", "223.136.194.188 06/27 00:17", "0"
"Gossiping#M.1561565504.A.9DA#00048", "to1322", "何時將中天新聞也改到157台去?", "150.117.40.212 06/27 00:17", "0"
"Gossiping#M.1561565504.A.9DA#00049", "cwj9999", "聯合重工", "223.139.55.166 06/27 00:17", "0"
"Gossiping#M.1561565504.A.9DA#00050", "goal56", "三小", "180.217.217.38 06/27 00:18", "0"
"Gossiping#M.1561565504.A.9DA#00051", "husky1989", "要關就整台關掉", "114.32.7.207 06/27 00:18", "0"
"Gossiping#M.1561565504.A.9DA#00052", "billblack", "現在都看深喉嚨了 誰要看中國老女人", "1.173.101.226 06/27 00:18", "0"
"Gossiping#M.1561565504.A.9DA#00053", "monkeydieboy", "跟去年LBJ一樣 套路換一下好嗎 不過去年很多人信就是了啦", "223.139.119.125 06/27 00:19", "1"
"Gossiping#M.1561565504.A.9DA#00054", "jybest", "真假 那肯定要支持蔡", "42.74.218.151 06/27 00:19", "0"
"Gossiping#M.1561565504.A.9DA#00055", "kandinsky", "那就表示小英有在做事？", "1.161.46.205 06/27 00:19", "0"
"Gossiping#M.1561565504.A.9DA#00056", "j955369", "笑死XDDD", "114.36.123.157 06/27 00:19", "0"
"Gossiping#M.1561565504.A.9DA#00057", "greedypeople", "去年也有人說東森是綠媒打壓寶傑", "114.39.131.15 06/27 00:20", "0"
"Gossiping#M.1561565504.A.9DA#00058", "waterbucket", "我不相信 如果蔡要出手中天已經關了", "1.165.57.218 06/27 00:20", "1"
"Gossiping#M.1561565504.A.9DA#00059", "chinafree", "口連，揪人上凱道啊XD", "101.9.83.3 06/27 00:20", "0"
"Gossiping#M.1561565504.A.9DA#00060", "wwf0322", "先抹再說", "101.13.57.87 06/27 00:20", "0"
"Gossiping#M.1561565504.A.9DA#00061", "johnny9667", "消息人士說", "27.52.62.72 06/27 00:20", "0"
"Gossiping#M.1561565504.A.9DA#00062", "sinohara", "確定裝可憐", "101.13.108.120 06/27 00:21", "0"
"Gossiping#M.1561565504.A.9DA#00063", "sasori1027", "垃圾節目", "116.241.62.151 06/27 00:21", "0"
"Gossiping#M.1561565504.A.9DA#00064", "Henry", "原來汪汪集團看蔡總統臉色欸", "114.35.0.23 06/27 00:22", "0"
"Gossiping#M.1561565504.A.9DA#00065", "elainakuo", "好像 跟這個差不多，https//i.imgur.com/iEg3BEF.jpg", "118.167.28.245 06/27 00:22", "0"
"Gossiping#M.1561565504.A.9DA#00066", "LLuchia", "消息人士是專門放假消息的那種?", "111.255.29.106 06/27 00:22", "0"
"Gossiping#M.1561565504.A.9DA#00067", "jackz", "就連看中天的低能都不看你節目", "1.173.115.137 06/27 00:23", "0"
"Gossiping#M.1561565504.A.9DA#00068", "chej", "所以吳島主說得是對的? 他說蔡旺旺很討厭，偉哲妹", "36.229.89.22 06/27 00:23", "0"
"Gossiping#M.1561565504.A.9DA#00069", "danielww", "https//i.imgur.com/DtS78Mj.jpg", "114.136.229.84 06/27 00:23", "0"
"Gossiping#M.1561565504.A.9DA#00070", "SuperLiChun", "爽啦垃圾節目", "114.137.211.138 06/27 00:23", "0"
"Gossiping#M.1561565504.A.9DA#00071", "greedypeople", "這次會有智障說中天是綠媒了嗎", "114.39.131.15 06/27 00:23", "0"
"Gossiping#M.1561565504.A.9DA#00072", "jokebbs", "唯一剖析香港反送中真相的節目??", "42.72.6.3 06/27 00:23", "0"
"Gossiping#M.1561565504.A.9DA#00073", "Darvesi", "施壓那麼好用 那新聞深喉嚨順便施壓好不", "1.170.150.12 06/27 00:23", "1"
"Gossiping#M.1561565504.A.9DA#00074", "adamas0422", "神經...怎麼會做出這樣的結論", "27.247.68.235 06/27 00:24", "0"
"Gossiping#M.1561565504.A.9DA#00075", "z2wen", "https//i.imgur.com/9xc3Nvm.jpg，https//i.imgur.com/Yp1I2n3.jpghttps//i.imgur.com/xs9qBgF.jpghttps//i.imgur.com/8gjpiTV.jpghttps//i.imgur.com/Nm8VTN9.jpghttps//i.imgur.com/KleiwPe.jpghttps//i.imgur.com/odScyT2.jpg", "36.225.97.243 06/27 00:24", "0"
"Gossiping#M.1561565504.A.9DA#00076", "hancao0816", "騙誰 真要關整台全部關掉", "42.72.188.173 06/27 00:24", "0"
"Gossiping#M.1561565504.A.9DA#00077", "XXXXSOW", "智障舔共垃圾吃屎", "1.171.124.214 06/27 00:24", "0"
"Gossiping#M.1561565504.A.9DA#00078", "Playlemon", "爽！幹你娘黃智賢吃屎。", "1.160.115.20 06/27 00:24", "0"
"Gossiping#M.1561565504.A.9DA#00079", "LLuchia", "鄉民都不曉得你家長輩就是被這節目洗腦成反送中是香港人想當犯罪天堂", "111.255.29.106 06/27 00:24", "1"
"Gossiping#M.1561565504.A.9DA#00080", "lauver", "幹你娘工沙小", "59.115.155.159 06/27 00:24", "0"
"Gossiping#M.1561565504.A.9DA#00081", "asuka99", "哦哦哦 蔡政府原來那麼強", "218.173.129.108 06/27 00:24", "0"
"Gossiping#M.1561565504.A.9DA#00082", "moneypack3", "連國民黨自己人都不看的爛節目", "114.25.119.227 06/27 00:25", "0"
"Gossiping#M.1561565504.A.9DA#00083", "Julian9x9x9", "幹消息人士是誰啦 用四個字就抹臭總統也太划算了吧", "39.12.128.123 06/27 00:25", "1"
"Gossiping#M.1561565504.A.9DA#00084", "piket", "作夢", "220.135.75.11 06/27 00:26", "0"
"Gossiping#M.1561565504.A.9DA#00085", "ryanchen1234", "妄想症啊XD", "220.136.18.67 06/27 00:26", "0"
"Gossiping#M.1561565504.A.9DA#00086", "rossiwen", "這種文也可以一直洗留言", "1.173.36.19 06/27 00:26", "0"
"Gossiping#M.1561565504.A.9DA#00087", "popy8789", "夜問關不了", "42.73.157.45 06/27 00:27", "0"
"Gossiping#M.1561565504.A.9DA#00088", "Playlemon", "噓回來！幹，臭雞掰去死！", "1.160.115.20 06/27 00:28", "0"
"Gossiping#M.1561565504.A.9DA#00089", "bhonor", "鬼話連篇...也可以捏造成新聞！", "42.73.146.44 06/27 00:30", "0"
"Gossiping#M.1561565504.A.9DA#00090", "ciui", "聽都沒聽過 收視率拿出來看看…", "125.231.121.93 06/27 00:30", "0"
"Gossiping#M.1561565504.A.9DA#00091", "a1000359", "舒服 網路上繼續打拳吧", "59.102.149.19 06/27 00:30", "0"
"Gossiping#M.1561565504.A.9DA#00092", "cp3bg32", "豪洨節目自己關一關吧 不要繼續在那邊丟人現眼", "27.247.42.237 06/27 00:30", "1"
"Gossiping#M.1561565504.A.9DA#00093", "slive", "中共的狗現在也聽蔡的話了嗎", "114.42.153.160 06/27 00:30", "0"
"Gossiping#M.1561565504.A.9DA#00094", "iocal", "爽啦，關一關最好，啊不是很秋？無憑無據哪裡可以證明是政府施壓？而且你們中X會鳥政府？", "61.227.100.225 06/27 00:31", "0"
"Gossiping#M.1561565504.A.9DA#00095", "xamous", "可以告死他嗎", "123.194.102.248 06/27 00:31", "0"
"Gossiping#M.1561565504.A.9DA#00096", "t95912", "最好 叫你不做 你就會不做", "36.236.137.166 06/27 00:31", "0"
"Gossiping#M.1561565504.A.9DA#00097", "koeni1111", "作弊三小 你低能兒？", "220.136.127.55 06/27 00:31", "0"
