"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561605691.A.4EA#00000", "s110269", "國台辦批：台當局污蔑抹黑不得人心<br>https://www.chinatimes.com/realtimenews/20190626001694-260409?chdtv<br>11:06 2019/06/26 中時 李文輝<br><br>大陸國台辦發言人安峰山26日在例行記者會上介紹第十一屆海峽論壇成果，他表示，論壇<br>的成功舉辦，再次說明擴大兩岸民間交流、深化兩岸融合發展是兩岸民眾共同願望，民進<br>黨當局與此背道而馳，汙蔑抹黑，不得人心，最終註定失敗。<br><br>安峰山指出，6月15日至21日，兩岸83家單位和社會團體在福建成功舉辦第十一屆海峽論<br>壇，這是新形勢下擴大兩岸民間交流、深化融合發展的一次盛會。盡管民進黨當局對本屆<br>論壇百般阻撓，但「兩岸民眾交流融合的大勢任何力量壓制不住，兩岸同胞維護國家統一<br>的信心和決心任何力量動搖不了，兩岸民眾同根同源的文化紐帶任何力量切割不斷，兩岸<br>各界攜手實現民族偉大復興的願望任何力量阻擋不了。」<br><br>安峰山介紹本屆論壇特點和成果，主要體現在幾個方面：一是參會規模空前，範圍更加廣<br>泛。來自30多個界別、人數超過1萬名，創歷史新高。二是聚焦青年需求，服務青年發展<br>。與會台灣青年占比超過50％。三是合作領域多元，成果更加豐富。論壇期間，簽署了一<br>批投資、貿易、行業合作和基層交流協定。四是同胞越走越近，感情更加融洽。充滿「兩<br>岸一家親」的同胞情誼。<br><br>安峰山指出，本屆海峽論壇受到廣泛關注，影響力倍增。據不完全統計，台灣網路和社交<br>媒體報導達1600篇，評論7.6萬條，點贊近16萬次，台灣網路聲量是上屆的2倍，關注度是<br>去年同期的10倍，視頻資訊播放量是去年的20倍，達304萬次，台灣社交媒體使用者參與<br>本屆論壇的話題互動達350萬人次。<br><br>安峰山表示，本屆海峽論壇的成功舉辦，再次說明兩岸民眾彙聚起推動兩岸關係向前發展<br>的巨大力量和歷史趨勢，是任何人、任何勢力都無法阻擋的。<br>(中時 )<br><br>--<br>", "", ""
"Gossiping#M.1561605691.A.4EA#00001", "jeff0025", "狗報", "175.98.141.254 06/27 11:21", "0"
"Gossiping#M.1561605691.A.4EA#00002", "WeGoYuSheng", "死", "101.9.172.214 06/27 11:21", "0"
"Gossiping#M.1561605691.A.4EA#00003", "VVizZ", "韓天一天要出多少這類的新聞阿XD", "211.21.120.163 06/27 11:21", "0"
"Gossiping#M.1561605691.A.4EA#00004", "WolfTeacher", "幹你娘支那賤畜", "27.52.2.223 06/27 11:22", "0"
"Gossiping#M.1561605691.A.4EA#00005", "vancepeng", "去", "223.137.111.218 06/27 11:22", "0"
"Gossiping#M.1561605691.A.4EA#00006", "WTF55665566", "國台辦這個最大1450又來助選了", "223.137.63.59 06/27 11:22", "0"
"Gossiping#M.1561605691.A.4EA#00007", "BlackBass", "支那", "220.143.17.200 06/27 11:22", "0"
"Gossiping#M.1561605691.A.4EA#00008", "zz71", "狗報=支那傳聲筒", "49.217.70.203 06/27 11:22", "0"
"Gossiping#M.1561605691.A.4EA#00009", "jil", "不得人心不是因為這件事 不要再亂套了...", "111.246.148.150 06/27 11:22", "0"
