"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561615170.A.B2F#00000", "TWOOOOOOOOOO", "雙子星案遭駁回 綠議員：這是在幫柯、不是卡柯<br><br><br><br><br>2019-06-27 11:43聯合報 記者楊正海╱即時報導<br><br>雙子星案昨被投審會以「國安疑慮」否決，外界認為民進黨政府卡柯，但民進黨議員簡舒培<br>認為，這是在幫柯文哲，不是在擋，這麼大的案子，且北市府花了4000多萬去做評估，居然<br>選出資金這麼靠近中國的集團，市府還沒有發現。<br><br>簡舒培說，如果讓雙子星莫名其妙上線，柯文哲的責任才大。中資如果有問題，台北市的門<br>戶全部被中國方面掌握，這不可以。中央既然認為確實原得標廠商中資色彩過重，就把他停<br>掉，這對柯是幫助，不要說都是中央的錯 。<br><br><br>https://udn.com/news/story/120599/3895486?from=udn-ch1_breaknews-1-0-news<br><br><br>--<br>", "", ""
"Gossiping#M.1561615170.A.B2F#00001", "fedona", "真香", "61.216.156.49 06/27 13:59", "0"
"Gossiping#M.1561615170.A.B2F#00002", "whiteadam", "幫你妹", "220.135.52.193 06/27 14:00", "0"
"Gossiping#M.1561615170.A.B2F#00003", "aa1052026", "貴黨要不要先看金主?讓資金有中國的銀行當金主 你們好意思?", "123.0.200.85 06/27 14:00", "0"
"Gossiping#M.1561615170.A.B2F#00004", "Induction", "婆婆 你這是在釘我還是餵我？", "111.71.90.169 06/27 14:00", "0"
"Gossiping#M.1561615170.A.B2F#00005", "jeff0025", "柯都舔成這樣 哪需要幫 國台辦認證100分", "175.98.141.254 06/27 14:00", "1"
"Gossiping#M.1561615170.A.B2F#00006", "Israfil", "我這是在餵  不是盯", "218.161.27.244 06/27 14:00", "0"
"Gossiping#M.1561615170.A.B2F#00007", "jun1229", "那貴黨中執委開的銀行引進南海是?", "140.109.214.4 06/27 14:00", "0"
"Gossiping#M.1561615170.A.B2F#00008", "libraayu", "看到減十一億就知道是釘還是餵了", "111.235.220.38 06/27 14:00", "0"
"Gossiping#M.1561615170.A.B2F#00009", "ckshchen", "那當初怎麼說不是中資?", "220.136.44.142 06/27 14:00", "0"
"Gossiping#M.1561615170.A.B2F#00010", "frank00427", "妳的-11億呢？", "114.39.181.248 06/27 14:00", "0"
"Gossiping#M.1561615170.A.B2F#00011", "aa55667878", "就一棟建築物 是要在裡面做鋼蛋喔", "73.222.85.71 06/27 14:00", "0"
"Gossiping#M.1561615170.A.B2F#00012", "elainakuo", "柯想當台灣的歷史罪人，2.86%能做什麼 100%可以做什麼", "118.167.28.245 06/27 14:00", "0"
"Gossiping#M.1561615170.A.B2F#00013", "j2222222229", "dpp爛掉了，需要第三勢力", "101.12.8.51 06/27 14:01", "0"
"Gossiping#M.1561615170.A.B2F#00014", "lusifa2007", "那你中央資格標給過？", "111.241.215.239 06/27 14:01", "0"
"Gossiping#M.1561615170.A.B2F#00015", "JT0624", "那麼讓南海投資金融業的不就罪大惡極", "111.246.158.187 06/27 14:01", "0"
