"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561631901.A.CDE#00000", "eatk", "1.媒體來源:<br><br>中時電子報 <br><br>2.記者署名<br>黃麗蓉<br><br><br>3.完整新聞標題:<br><br>館長拒絕紅媒自爆年損上千萬 網友4字妙回<br><br><br>4.完整新聞內文:<br><br>網紅「館長」陳之漢發動「拒絕紅色媒體」遊行後，25日又爆料，直播平台金剛已確定不<br>和他續約，他一年損失上千萬。有網友4字妙回，「玩火自焚」。<br><br>館長表示，金剛確定和他中斷合約，不再和他續約，失去這個合約，他每個月至少50萬到<br>100萬收入不見了，每個月固定損失百萬，還包括他們每年贊助團隊拍格鬥比賽每月40萬<br>，以後就沒有這些了，加起來一年損失上千萬。還說最近他真的要認真把這些損失賺回來<br>。<br><br>有粉絲說「可以不要一直罵髒話嗎？會降低我的格調。」館長直言，如果是新粉，很care<br>他罵髒話，前面左轉滾！慢走不送，「今天我不是為你而生的」，聽他的直播，不能限制<br>他講什麼，他要做自己，不爽不要看，接下來館長一出口又是髒話。他說，他知道623後<br>自己有很多新粉，他希望新粉和他互相尊重，尊重就是不要教他怎樣講話，不用教他怎麼<br>做人，他做人有一把道德的尺。<br><br>網友回應說：「我以前認為館長是中立的，看來我錯了。」、「希望館長做好你自己的直<br>播，不要天天蹭韓國瑜。」、「陳之漢，你還是先擔心你的健身房生意吧？」<br><br><br><br><br>5.完整新聞連結 (或短網址):<br>https://reurl.cc/rqDxk<br><br>6.備註:<br><br>現實的風向已經變了 館長玩火自焚實在可惜<br><br>https://i.imgur.com/AYjrwAA.jpg<br>--<br>", "", ""
"Gossiping#M.1561631901.A.CDE#00001", "MrXD", "屎報正確", "36.235.13.62 06/27 18:38", "0"
"Gossiping#M.1561631901.A.CDE#00002", "RodrigueZ810", "玩妳媽的老二", "220.141.11.97 06/27 18:38", "0"
"Gossiping#M.1561631901.A.CDE#00003", "nzxc", "中屎只會提網友當新聞？", "223.138.122.247 06/27 18:39", "0"
"Gossiping#M.1561631901.A.CDE#00004", "chiu7892000", "中屎", "123.203.195.88 06/27 18:39", "0"
"Gossiping#M.1561631901.A.CDE#00005", "GOD5566", "中肯", "110.50.140.178 06/27 18:39", "0"
"Gossiping#M.1561631901.A.CDE#00006", "jump1230", "黃麗蓉 希望在中共統治下妳能闔家平安", "223.140.95.243 06/27 18:39", "0"
"Gossiping#M.1561631901.A.CDE#00007", "nightk", "會看 狗吠中屎 的人不意外", "59.105.41.133 06/27 18:39", "0"
"Gossiping#M.1561631901.A.CDE#00008", "EAsoN1123", "妙回?", "114.25.173.22 06/27 18:39", "0"
"Gossiping#M.1561631901.A.CDE#00009", "evanc", "館長：人家被動式參選；你們主動式腦殘", "112.105.73.82 06/27 18:39", "0"
"Gossiping#M.1561631901.A.CDE#00010", "ggian123", "玩你懶覺", "49.219.181.103 06/27 18:39", "0"
"Gossiping#M.1561631901.A.CDE#00011", "qqq87112", "金剛都機器人 以為真的人在看", "1.165.94.150 06/27 18:39", "0"
"Gossiping#M.1561631901.A.CDE#00012", "ma54092", "吃屎的中屎", "122.118.87.207 06/27 18:40", "0"
"Gossiping#M.1561631901.A.CDE#00013", "ldt1025", "習下韓上", "1.161.57.235 06/27 18:40", "0"
"Gossiping#M.1561631901.A.CDE#00014", "yaritai", "中屎林老師啦耖垃圾媒體", "220.132.71.223 06/27 18:40", "0"
"Gossiping#M.1561631901.A.CDE#00015", "ytotrsa", "中共是火？", "119.77.186.136 06/27 18:40", "0"
"Gossiping#M.1561631901.A.CDE#00016", "CraigKimbrel", "這記者是錫包子養的狗嗎", "61.230.209.36 06/27 18:41", "0"
"Gossiping#M.1561631901.A.CDE#00017", "eko112", "嘿嘿 看到公司 不意外XD", "114.40.162.229 06/27 18:41", "0"
"Gossiping#M.1561631901.A.CDE#00018", "mystletainn0", "中時不意外", "49.218.99.246 06/27 18:42", "0"
"Gossiping#M.1561631901.A.CDE#00019", "akway", "其實也沒錯啦 跟中國友好是玩火，哪天就跟你翻臉", "111.71.38.137 06/27 18:42", "0"
"Gossiping#M.1561631901.A.CDE#00020", "smalljacky03", "中時自以為很幽默", "42.73.40.52 06/27 18:42", "0"
"Gossiping#M.1561631901.A.CDE#00021", "yafx4200p", "投中發財", "220.133.115.236 06/27 18:42", "0"
"Gossiping#M.1561631901.A.CDE#00022", "yangtsur", "??????", "1.161.117.66 06/27 18:42", "0"
"Gossiping#M.1561631901.A.CDE#00023", "elainakuo", "舔共狗", "118.167.28.245 06/27 18:42", "0"
"Gossiping#M.1561631901.A.CDE#00024", "LordOfCS", "哪時候能看到中時玩火自焚就好笑了！", "114.136.52.113 06/27 18:42", "0"
"Gossiping#M.1561631901.A.CDE#00025", "sshwann", "每天都有狗報抹屎文", "1.170.177.78 06/27 18:43", "0"
"Gossiping#M.1561631901.A.CDE#00026", "td770715", "館長比中屎有骨氣多了", "223.137.96.45 06/27 18:43", "0"
"Gossiping#M.1561631901.A.CDE#00027", "shinobilin", "支那電子報", "110.50.136.188 06/27 18:43", "0"
"Gossiping#M.1561631901.A.CDE#00028", "BOOS0103", "敵國媒體", "101.137.76.176 06/27 18:44", "0"
"Gossiping#M.1561631901.A.CDE#00029", "happyman2015", "中夭", "223.137.112.4 06/27 18:44", "0"
"Gossiping#M.1561631901.A.CDE#00030", "conanhide", "反紅媒，滅韓流", "59.127.0.85 06/27 18:45", "0"
"Gossiping#M.1561631901.A.CDE#00031", "kfactor", "夭夭", "49.218.53.27 06/27 18:45", "0"
"Gossiping#M.1561631901.A.CDE#00032", "leonhsu", "乳清預售一定買光它", "114.26.209.130 06/27 18:46", "0"
"Gossiping#M.1561631901.A.CDE#00033", "Lawleit", "不是說金剛是台資？", "42.75.28.74 06/27 18:47", "0"
"Gossiping#M.1561631901.A.CDE#00034", "syk1104", "以前是藍的吧，還中立列智障藍粉，台資想賺人民幣啊", "42.76.216.72 06/27 18:47", "0"
"Gossiping#M.1561631901.A.CDE#00035", "lod2234", "中屎加油 繼續啊", "223.137.17.111 06/27 18:48", "0"
"Gossiping#M.1561631901.A.CDE#00036", "sunyapess", "焚你媽", "39.12.226.2 06/27 18:48", "0"
"Gossiping#M.1561631901.A.CDE#00037", "bill750121", "中夭中屎 自甘墮落", "223.140.75.11 06/27 18:49", "0"
"Gossiping#M.1561631901.A.CDE#00038", "soarling", "玩火自焚是這樣用的嗎？", "118.160.190.211 06/27 18:49", "0"
"Gossiping#M.1561631901.A.CDE#00039", "siliconsand", "我好想我家的小白，他走了以後就沒人能幫我翻譯中時的新聞了", "223.140.154.47 06/27 18:49", "1"
"Gossiping#M.1561631901.A.CDE#00040", "ims531", "屎報", "180.217.89.197 06/27 18:50", "0"
"Gossiping#M.1561631901.A.CDE#00041", "jasop", "紅喜氣", "110.50.190.139 06/27 18:50", "0"
"Gossiping#M.1561631901.A.CDE#00042", "friday2", "汪汪汪？汪汪 汪汪汪！", "223.136.0.65 06/27 18:51", "0"
"Gossiping#M.1561631901.A.CDE#00043", "futuredragon", "中天我不行", "101.12.204.188 06/27 18:51", "0"
"Gossiping#M.1561631901.A.CDE#00044", "NOREG0101282", "不演了，標題直接說紅媒耶", "61.228.145.184 06/27 18:51", "0"
"Gossiping#M.1561631901.A.CDE#00045", "diyaworld", "http//i.imgur.com/96jjPp4.jpg", "110.50.151.55 06/27 18:51", "0"
"Gossiping#M.1561631901.A.CDE#00046", "louna30cm", "挺自己國家叫玩火自焚我也是醉了", "114.43.98.14 06/27 18:51", "0"
"Gossiping#M.1561631901.A.CDE#00047", "s68432", "有骨氣的人被你說成這樣", "1.160.15.154 06/27 18:52", "0"
"Gossiping#M.1561631901.A.CDE#00048", "Newschool", "狗報不要臉", "59.124.166.19 06/27 18:52", "0"
"Gossiping#M.1561631901.A.CDE#00049", "james0146", "中時", "180.217.216.102 06/27 18:53", "0"
"Gossiping#M.1561631901.A.CDE#00050", "LingHsieh", "中時", "111.241.111.152 06/27 18:53", "0"
"Gossiping#M.1561631901.A.CDE#00051", "diyaworld", "旺中居然會報導“紅媒”新聞，天啊嚕", "110.50.151.55 06/27 18:53", "1"
"Gossiping#M.1561631901.A.CDE#00052", "NaTaO3", "館長是中立的 韓國瑜是大陸的", "223.140.39.5 06/27 18:54", "0"
"Gossiping#M.1561631901.A.CDE#00053", "ab761004", "狗報", "223.136.86.177 06/27 18:54", "0"
"Gossiping#M.1561631901.A.CDE#00054", "yyyyyyyv", "????", "223.138.29.59 06/27 18:54", "0"
"Gossiping#M.1561631901.A.CDE#00055", "KUMA2016", "中屎耶", "223.140.82.251 06/27 18:56", "0"
"Gossiping#M.1561631901.A.CDE#00056", "qwe91033", "https//i.imgur.com/GuKdrbp.jpg", "223.140.144.202 06/27 18:58", "0"
