"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561640720.A.AF2#00000", "badbadook", "黃智賢：夜問打權停播 確實是電視台受蔡政府壓力<br>分享分享留言列印<br>A-A+<br>2019-06-27 13:44聯合報 記者黃國樑╱即時報導<br><br>黃智賢。圖／擷自臉書黃智賢世界<br>黃智賢。圖／擷自臉書黃智賢世界<br>【相關閱讀】<br>‧夜問打權只播到周五 黃偉哲：不需要蔡政府出手打壓<br>‧夜問打權停播政府干預？ 總統府： 政府不會要求停播<br>中視夜問打權節目被停播，扯上蔡英文政府打壓，節目主持人黃智賢今天接受記者訪問時<br>，證實她在被告知節目停播的決定時，原因正如昨晚聯合新聞網所報導的內容，確實是受<br>到蔡政府的政治壓力。<br><br>黃智賢說，她不想公開告知者的名字，但停播的原因對方說得很清楚，第一、她批判蔡英<br>文太凶了。第二、她對美、日的批判太嚴厲，其中，在中美貿易戰的議題上，太過站在中<br>國的立場上去談，而對於日本也經常在關於殖民等歷史上著墨，也引來日方的壓力。第三<br>、就是在香港「反送中」的議題上，只有她進行抽絲剝繭，證明港府的逃犯條例並沒有任<br>何反送中抗爭所控訴的可能後果；以及第四、她主張一國兩制和平統一。<br><br>她表示，另有人告知她，她的節目是唯一批判此次國安法修法，告知觀眾這是一部惡法，<br>也是被停的原因之一。<br><br>關於「反送中」議題，她表示，蔡政府最近透過通傳會（NCC）每天都行文要求說明節目<br>中談及的內容，她表示，由於節目都完全依據已經公開的訊息與證據去進行分析，證明反<br>送中實際上只是一場反中的運動，由於證據完全站得住腳，NCC無法對節目進行任何處分<br>，蔡政府只好對電視台施壓。<br><br>對於有人說她的節目完全是收視率不好而因商業考量而停播，黃智賢表示，她的節目收視<br>一直很好，在52台的時候，收視率甚至經常比新聞龍捲風還高，那為什麼會被搬到39台娛<br>樂台去？她說，到了39台後，她的節目還是該頻道一天下來所有節目的第一名，又為什麼<br>會在去年九月左右，被移到154台這樣偏僻的頻道？但即使被移到這裡，她的節目收視率<br>仍然經常進到收視排行榜中。<br><br>她說，她確實是周一收到高層決定停播的決定，而昨天周三則確認節目做到這周五。她表<br>示，蔡政府當然會否認他們打壓媒體，但如果她說的並非屬實，可以到法院提告，這樣她<br>就可以將證據攤開來，並要求傳喚所有相關當事人。<br><br>延伸閱讀<br><br>黃智賢節目停播 黃偉哲提三點指蔡政府不可能打壓<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>還                    蠻                          屌                        的<br><br><br><br><br><br><br><br><br><br><br><br>https://udn.com/news/story/6656/3895813?from=udn-ch1_breaknews-1-cate1-news<br><br><br><br><br><br> 敢不敢告             不敢舊書惹<br><br>--<br>", "", ""
"Gossiping#M.1561640720.A.AF2#00001", "wang0301", "嘔嘔嘔嘔嘔嘔", "36.239.242.10 06/27 21:06", "0"
"Gossiping#M.1561640720.A.AF2#00002", "scum5566", "幹 我昨天尻槍沒射出來也是政府害的", "111.252.104.188 06/27 21:06", "0"
"Gossiping#M.1561640720.A.AF2#00003", "evanc", "曲解憲法還敢罵人腦殘", "112.105.73.82 06/27 21:07", "0"
"Gossiping#M.1561640720.A.AF2#00004", "brella", "跟劉寶傑一樣都在自導自演", "114.40.76.234 06/27 21:07", "0"
"Gossiping#M.1561640720.A.AF2#00005", "lovejamwu", "偉哲快帶妹妺去看醫生", "36.227.67.6 06/27 21:07", "0"
"Gossiping#M.1561640720.A.AF2#00006", "ji394tb", "嘔嘔嘔嘔嘔", "114.25.69.117 06/27 21:07", "0"
"Gossiping#M.1561640720.A.AF2#00007", "ftvs", "自抬身價", "111.82.49.91 06/27 21:07", "0"
"Gossiping#M.1561640720.A.AF2#00008", "b2305911", "偉折你妹", "111.242.202.206 06/27 21:07", "0"
"Gossiping#M.1561640720.A.AF2#00009", "doggy2525", "你講得跟政府施壓有什麼關係 智障", "61.223.154.61 06/27 21:09", "0"
