"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561692984.A.9AD#00000", "Pietro", "臉書卦點說明：（繁體中文 20 個字）<br>潘局長在臉書上回顧歷史，<br>發現台南賴清德前市長也曾經在任內與上和海運公司舉辦安平港通廈門的小三通剪綵活動<br>。<br>讓他三問通敵？通匪？通賊？<br><br>卦點就是潘局長沒有放棄，<br>依然決心對抗黑韓的浪潮，<br>好生令人敬佩，繼續努力！<br><br>https://i.imgur.com/Yu86VQ9.jpg<br>https://i.imgur.com/mNYSaok.jpg<br>留言區精華剪輯。<br>臉書連結：<br>https://m.facebook.com/story.php?story_fbid=2724963020850704&id=10000011099920<br>2<br><br>https://bit.ly/2YqNPzv<br>ＦＢ內容：<br><br>https://i.imgur.com/Aa8vAdT.jpg<br>歷史上的回顧<br>#上和盛<br>#賴清德市長<br>#台南安平直通泉州<br>#通敵？<br>#通匪？<br>#通賊？<br><br><br><br>※ 臉書爆卦請用ＦＢ當標題，並附上２０繁體中文說明卦點，違者水桶一個月。<br><br>※ 注意！濫用ＦＢ爆卦視同鬧板文處理。<br><br>※ 記得要附上來源網址。<br><br>--<br>", "", ""
"Gossiping#M.1561692984.A.9AD#00001", "aqsss", "可是你那條是幽靈航線...", "140.112.125.206 06/28 11:37", "0"
"Gossiping#M.1561692984.A.9AD#00002", "notea", "讚 潘場記繼續這樣就對了", "118.169.136.11 06/28 11:38", "0"
"Gossiping#M.1561692984.A.9AD#00003", "caesst85149", "腦子有問題 通廈門本來就有申請核准，就算抓救援也改變不了自己違法的事實潘恆旭一開始還敢騙大家說航線有核准", "36.226.95.221 06/28 11:38", "0"
"Gossiping#M.1561692984.A.9AD#00004", "conpo", "賴就合法的，現在提這個根本是在洗自己的臉這傢伙到現在還沒有被免職跟坐牢真的有夠扯", "115.82.245.45 06/28 11:38", "1"
"Gossiping#M.1561692984.A.9AD#00005", "a77942002", "他是不是lag了?!", "111.254.95.109 06/28 11:38", "0"
"Gossiping#M.1561692984.A.9AD#00006", "st210113", "按照潘的邏輯 所有飛中國的航線都通敵囉", "124.199.89.174 06/28 11:38", "1"
"Gossiping#M.1561692984.A.9AD#00007", "ZE553KL", "韓畜生養的畜生是什麼？", "101.14.216.246 06/28 11:38", "0"
"Gossiping#M.1561692984.A.9AD#00008", "bluetory99", "沒錯都是綠共迫害啦2020支持韓總", "42.73.119.216 06/28 11:38", "0"
"Gossiping#M.1561692984.A.9AD#00009", "ccm0916", "不存在的公司 通航通敵失敗", "123.205.228.116 06/28 11:38", "0"
"Gossiping#M.1561692984.A.9AD#00010", "kuoew", "潘是韓黑吧...", "223.138.15.75 06/28 11:39", "0"
"Gossiping#M.1561692984.A.9AD#00011", "cdmlin", "這齒仔沒法律觀念嗎?", "220.132.36.164 06/28 11:39", "0"
"Gossiping#M.1561692984.A.9AD#00012", "ELV420", "??????", "42.77.87.91 06/28 11:39", "0"
"Gossiping#M.1561692984.A.9AD#00013", "WeGoStyle", "潘484內鬼啊？", "110.50.160.181 06/28 11:39", "0"
"Gossiping#M.1561692984.A.9AD#00014", "qx5", "還在凹 ，別推累韓總，要獻頭別嘰嘰歪歪", "42.73.208.44 06/28 11:39", "0"
"Gossiping#M.1561692984.A.9AD#00015", "e0936276915", "真的是腦包欸 第一他們航線跟船還有，公司在當時都是合法的 現在這個船航線登記就跟典禮上完全不一樣 航線也不合法申請也不會過 2019年的上和也已經解散 潘還要硬拗嗎", "115.82.167.14 06/28 11:40", "0"
"Gossiping#M.1561692984.A.9AD#00016", "caesst85149", "潘恆旭說謊成性 無恥不要臉天下無敵", "36.226.95.221 06/28 11:40", "0"
"Gossiping#M.1561692984.A.9AD#00017", "mrlinwng", "韓粉跟潘一樣。每天都在黑韓", "118.171.33.172 06/28 11:40", "0"
"Gossiping#M.1561692984.A.9AD#00018", "sauchi39", "水啦 繼續喔", "114.32.86.126 06/28 11:40", "0"
"Gossiping#M.1561692984.A.9AD#00019", "route22", "咖哩跟大便很像 吃大便就好?", "1.163.179.16 06/28 11:40", "0"
"Gossiping#M.1561692984.A.9AD#00020", "SoWell", "蛋頭閉嘴", "79.232.147.129 06/28 11:41", "0"
"Gossiping#M.1561692984.A.9AD#00021", "stoxin", "一直拖累韓市長", "39.8.190.176 06/28 11:41", "0"
"Gossiping#M.1561692984.A.9AD#00022", "kurtsgm", "這傢伙智商真的有問題欸....人家是有經過核准的真的航線 你這是不知哪來的 硬要類比不怕打自己臉?", "36.226.217.81 06/28 11:41", "0"
"Gossiping#M.1561692984.A.9AD#00023", "conpo", "只能說高雄人真的很能忍，換作是我早揍人了", "115.82.245.45 06/28 11:41", "1"
"Gossiping#M.1561692984.A.9AD#00024", "sai0613", "人家賴那個是馬英九時代核准的吧", "220.129.22.59 06/28 11:41", "0"
"Gossiping#M.1561692984.A.9AD#00025", "Smoltzy", "這傢伙真是韓的敗票天尊", "49.217.23.167 06/28 11:42", "0"
"Gossiping#M.1561692984.A.9AD#00026", "msn12345679", "就真的是安平到"金門再去廈門"小三通", "61.223.224.155 06/28 11:42", "1"
"Gossiping#M.1561692984.A.9AD#00027", "DarkyIsCat", "看這個狀況潘應該真的很蠢 是非不分", "49.218.32.130 06/28 11:43", "0"
"Gossiping#M.1561692984.A.9AD#00028", "msn12345679", "港務局說有申請的跟你幽靈公司瞎搞比", "61.223.224.155 06/28 11:44", "1"
"Gossiping#M.1561692984.A.9AD#00029", "kurtsgm", "還在扯這些代表他真的不知道自己錯在哪", "36.226.217.81 06/28 11:44", "0"
"Gossiping#M.1561692984.A.9AD#00030", "Ipadhotwater", "他不是智商問題，而是他抓準他最後一定沒事，所以直接不演他只要韓一直保護他，他就安全了", "223.137.102.133 06/28 11:44", "1"
"Gossiping#M.1561692984.A.9AD#00031", "caesst85149", "不知道錯在哪 那進牢裡慢慢想吧", "36.226.95.221 06/28 11:44", "0"
"Gossiping#M.1561692984.A.9AD#00032", "raku", "在臉書跟民眾吵架 這咖怎麼還沒被拔？", "114.136.155.193 06/28 11:45", "0"
"Gossiping#M.1561692984.A.9AD#00033", "Zsanou", "人家合法申請你非法執行還想凹", "223.137.68.206 06/28 11:45", "0"
"Gossiping#M.1561692984.A.9AD#00034", "bigbirdfly", "讚，這樣就對了", "42.73.147.23 06/28 11:45", "0"
"Gossiping#M.1561692984.A.9AD#00035", "dinokao111", "這種咖", "101.8.233.136 06/28 11:46", "0"
"Gossiping#M.1561692984.A.9AD#00036", "deangod99", "拜託 韓導別讓他下台!!", "60.249.247.152 06/28 11:46", "0"
"Gossiping#M.1561692984.A.9AD#00037", "lomineyo123", "又要掉一把槍囉？看戲看戲", "223.138.167.242 06/28 11:46", "0"
"Gossiping#M.1561692984.A.9AD#00038", "LinBaoYan", "支持韓市長  1450別秀下限", "114.45.6.89 06/28 11:46", "0"
"Gossiping#M.1561692984.A.9AD#00039", "kobe7610", "潘根本是綠營的內應", "223.136.72.110 06/28 11:47", "0"
"Gossiping#M.1561692984.A.9AD#00040", "MXZR", "https//i.imgur.com/NuEjzhd.jpg", "180.217.160.252 06/28 11:49", "0"
"Gossiping#M.1561692984.A.9AD#00041", "msn12345679", "上面更正航港局今天有新聞說明", "61.223.224.155 06/28 11:50", "0"
"Gossiping#M.1561692984.A.9AD#00042", "denniss", "可悲。撐住不要下台，才可以繼續秀下限。", "61.223.38.64 06/28 11:50", "1"
