"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561694119.A.BBD#00000", "st210113", "1.媒體來源:<br>聯合報<br><br>2.記者署名<br>記者謝梅芬<br><br>3.完整新聞標題:<br>蘇貞昌如果說了那句話 韓國瑜：我一定當場眼淚掉下來<br><br>4.完整新聞內文:<br>高雄市長韓國瑜26日接受中廣論壇主持人郝龍斌專訪今天上午10點完整播出。韓國瑜談到<br>高雄目前最急迫的登革熱防疫，郝龍斌說，以前行政院協助地方政府登革熱防疫是「要人<br>給人、要錢給錢」，韓感慨說，現在「高雄防疫靠自救，感受不到行政院的大力資助」。<br>韓也希望行政院統合南部縣市防疫。<br><br>中廣論壇主持人郝龍斌第二次專訪韓國瑜，郝龍斌曾經擔任環保署長，他和韓國瑜針對登<br>革熱防疫談得十分深入。<br><br>郝說，他在2002、2003年任環保署長時，高雄市登革熱很嚴重，當時花了半年才壓制下來<br>。<br><br>韓國瑜說，他目前有三怕，第一害怕，70年來最熱，第二怕，新加坡今年有4千個病例，<br>第三，今天高雄不一樣，全世界都在看高雄，暑假會有很多觀光客，人一多，病例一爆發<br>，觀光客不敢來，對高雄形象影響太大。<br><br>郝龍斌談到防治登熱，他認為中央及地方要合作，尤其跨縣市的合作也很重要，尤其今年<br>是暖冬，中央配合及支持非常重要。<br><br>韓國瑜感慨中央撥款防治登熱過程慢，建議中央成立支援的架構，他希望中央及高雄聯手<br>防疫，目前軍方已同意7月起要動用化學兵協助噴藥。<br><br>郝龍斌談到提到前行政院長游錫堃對於地方登革熱的防疫是「要人給人、要錢給錢」，當<br>時，國防部、法務部都全力配合，中央的配合非常重要。<br><br>韓國瑜感慨說，蘇貞昌如果說，「要人給人、要錢給錢」，一定當場眼淚就掉下來，「但<br>他沒有講句話！」<br><br>韓國瑜說，「如果中央所有部會配合，對於高雄登革熱防疫會大有幫助，現在狀態就是高<br>雄全部都在衝，包括環保、衛生、警察、民政，截至目前為止，還沒感受到行政院強大的<br>支持力量！」<br><br>韓國瑜認為，鄰近縣市要共同防疫，登革熱疫區包括屏東、台南、高雄，要真正聯防，郝<br>龍斌跟韓想法一樣，應該每年春節過後就啟動，他還是很納悶，為何過去撲滅登革熱十幾<br>年經驗沒有傳承下來，未成為常態性。<br><br>5.完整新聞連結 (或短網址):<br>https://udn.com/news/story/10930/3897473<br><br>--<br>", "", ""
"Gossiping#M.1561694119.A.BBD#00001", "kilof", "到底有多少低能兒會被這兩個騙", "114.40.106.147 06/28 11:55", "0"
"Gossiping#M.1561694119.A.BBD#00002", "negatron", "5300萬感受不到，再加個零吧", "218.166.155.244 06/28 11:56", "0"
"Gossiping#M.1561694119.A.BBD#00003", "rk32357", "樓下示範低能兒", "39.12.96.183 06/28 11:56", "0"
"Gossiping#M.1561694119.A.BBD#00004", "kinomon", "韓總是世界偉人", "223.138.106.186 06/28 11:57", "0"
"Gossiping#M.1561694119.A.BBD#00005", "genius721105", "登革熱重點不是錢多少", "39.10.62.57 06/28 11:57", "0"
"Gossiping#M.1561694119.A.BBD#00006", "ByKiss", "我想不到詞彙形容韓粉的蠢了", "122.116.128.145 06/28 11:58", "0"
"Gossiping#M.1561694119.A.BBD#00007", "johnwu", "幹拎涼哩 不是給你了嗎", "1.160.18.163 06/28 11:58", "0"
"Gossiping#M.1561694119.A.BBD#00008", "chivale", "我快吐了", "223.137.34.0 06/28 11:58", "0"
"Gossiping#M.1561694119.A.BBD#00009", "Ipadhotwater", "開始把其他縣市拉下水了", "223.137.102.133 06/28 11:59", "0"
"Gossiping#M.1561694119.A.BBD#00010", "bass17", "到底是誰前面都沒公文 靠張嘴要錢的?", "111.251.23.7 06/28 11:59", "0"
"Gossiping#M.1561694119.A.BBD#00011", "amury", "不是有前任說要養魚啊   然後韓導就跟著喊出口", "39.9.40.205 06/28 11:59", "1"
"Gossiping#M.1561694119.A.BBD#00012", "AIDM", "乾 要哭到民國幾年", "111.241.215.141 06/28 11:59", "0"
"Gossiping#M.1561694119.A.BBD#00013", "arthurkot", "操你媽政府撥多少錢給你，到現在還在說政府不管？", "42.73.60.64 06/28 11:59", "1"
"Gossiping#M.1561694119.A.BBD#00014", "XXXXLAY", "韓導的發財政策就是從全台納稅人那邊拿啦", "39.8.96.2 06/28 12:00", "1"
"Gossiping#M.1561694119.A.BBD#00015", "elainakuo", "https//i.imgur.com/Xk0WBJ6.jpg", "118.167.28.245 06/28 12:00", "0"
"Gossiping#M.1561694119.A.BBD#00016", "aqsss", "在我任內", "140.112.125.206 06/28 12:00", "0"
"Gossiping#M.1561694119.A.BBD#00017", "janhon", "不撥的兩百億，我怎麼有錢選總統", "125.231.112.168 06/28 12:00", "0"
"Gossiping#M.1561694119.A.BBD#00018", "XDDDpupu5566", "奇怪不是在演菜鳥新移民嗎？有時間放砲", "172.58.43.61 06/28 12:00", "1"
"Gossiping#M.1561694119.A.BBD#00019", "cul287", "高雄人才想自救吧 ㄏㄏ", "114.41.120.141 06/28 12:01", "0"
"Gossiping#M.1561694119.A.BBD#00020", "toheart78945", "他真的有夠噁心", "223.139.242.63 06/28 12:01", "0"
"Gossiping#M.1561694119.A.BBD#00021", "ryanchen1234", "-口-", "114.136.61.177 06/28 12:01", "0"
"Gossiping#M.1561694119.A.BBD#00022", "hw1", "市長幹假的 操", "111.71.124.10 06/28 12:01", "0"
"Gossiping#M.1561694119.A.BBD#00023", "linder", "不會做事就不會做事，幹嘛牽拖厝邊？屏東比你高雄更熱好嗎？人家怎麼不爆發？", "117.56.41.103 06/28 12:01", "0"
"Gossiping#M.1561694119.A.BBD#00024", "b34mac2", "沒錢就快挖石油阿", "27.247.100.193 06/28 12:01", "0"
"Gossiping#M.1561694119.A.BBD#00025", "computer833", "呵呵 真的是笑話", "49.217.16.6 06/28 12:02", "0"
"Gossiping#M.1561694119.A.BBD#00026", "etiennechiu", "現在要裝扮受害者了，好委屈博取同情", "1.200.193.18 06/28 12:02", "1"
"Gossiping#M.1561694119.A.BBD#00027", "lulttm", "中央十成", "223.139.181.227 06/28 12:02", "0"
"Gossiping#M.1561694119.A.BBD#00028", "linanwang", "演夠了沒呀？", "49.217.108.98 06/28 12:02", "0"
"Gossiping#M.1561694119.A.BBD#00029", "kixer2005", "你娘老雞掰  錢拿走了  現在是怎樣", "180.217.78.119 06/28 12:02", "0"
"Gossiping#M.1561694119.A.BBD#00030", "yu1111116", "高雄人自己加油", "42.76.83.184 06/28 12:03", "0"
"Gossiping#M.1561694119.A.BBD#00031", "LaBoLa", "中央十成", "1.34.180.131 06/28 12:03", "0"
"Gossiping#M.1561694119.A.BBD#00032", "mrlinwng", "中央給錢了 陳其邁也南下....", "118.171.33.172 06/28 12:03", "0"
"Gossiping#M.1561694119.A.BBD#00033", "etiennechiu", "明明行政院撥款給你了，還敢說沒有大力資助，吃人夠夠抹黑最會噁心", "1.200.193.18 06/28 12:04", "1"
"Gossiping#M.1561694119.A.BBD#00034", "sshwann", "這禿子的新聞有沒有一篇不推卸責任的?", "1.170.179.191 06/28 12:04", "0"
"Gossiping#M.1561694119.A.BBD#00035", "CyBw", "快去割草，廢話少說", "111.242.25.33 06/28 12:04", "0"
"Gossiping#M.1561694119.A.BBD#00036", "Maiar", "幹 我就忍你到七月半 實在太噁心了", "118.167.49.61 06/28 12:04", "0"
"Gossiping#M.1561694119.A.BBD#00037", "k70113", "韓導屁眼在流淚了", "123.110.40.178 06/28 12:04", "0"
"Gossiping#M.1561694119.A.BBD#00038", "qep", "要5300萬也給了，要化學兵支援也給了，這樣不是要錢給錢，要人給人?", "114.137.103.147 06/28 12:05", "1"
"Gossiping#M.1561694119.A.BBD#00039", "abobstar", "高雄人真的會害慘台灣", "122.146.195.162 06/28 12:05", "0"
"Gossiping#M.1561694119.A.BBD#00040", "Terran06", "真的受不了這草包", "42.72.182.62 06/28 12:05", "0"
"Gossiping#M.1561694119.A.BBD#00041", "bill750121", "蚊子是要吵多久", "123.51.217.168 06/28 12:06", "0"
"Gossiping#M.1561694119.A.BBD#00042", "james0318tw", "幹你的勒", "101.137.194.28 06/28 12:07", "0"
"Gossiping#M.1561694119.A.BBD#00043", "h45279802", "幹哩良勒", "123.0.240.69 06/28 12:07", "0"
"Gossiping#M.1561694119.A.BBD#00044", "gn01622545", "韓草包 盧草包 中央十成", "49.216.16.148 06/28 12:07", "0"
"Gossiping#M.1561694119.A.BBD#00045", "ss88812", "草泥馬的錢給你還不會用", "114.25.157.10 06/28 12:09", "0"
"Gossiping#M.1561694119.A.BBD#00046", "Tenging", "低能廢物，不申請哀號沒錢 給錢又不會做事", "115.43.80.194 06/28 12:09", "0"
"Gossiping#M.1561694119.A.BBD#00047", "oops66", "還在演 甘陵娘 不愧專業演員+導演", "210.61.209.67 06/28 12:09", "0"
"Gossiping#M.1561694119.A.BBD#00048", "blpapf", "兩個垃圾", "111.82.47.212 06/28 12:09", "0"
"Gossiping#M.1561694119.A.BBD#00049", "samuncle123", "非韓不投  沒韓郊遊", "49.217.12.250 06/28 12:10", "0"
"Gossiping#M.1561694119.A.BBD#00050", "a3786589", "智障", "42.73.130.93 06/28 12:12", "0"
"Gossiping#M.1561694119.A.BBD#00051", "jack8759", ".....", "114.36.246.52 06/28 12:12", "0"
"Gossiping#M.1561694119.A.BBD#00052", "lain2002", "全世界都在看我的屁眼", "223.139.163.88 06/28 12:12", "0"
"Gossiping#M.1561694119.A.BBD#00053", "legendmtg", "人錢都給了 自己不領不用 還要中央，擔責任 智障", "202.246.252.97 06/28 12:12", "0"
"Gossiping#M.1561694119.A.BBD#00054", "jzasd22", "給你5300萬了還不夠喔 操", "183.88.232.175 06/28 12:12", "0"
"Gossiping#M.1561694119.A.BBD#00055", "stewartqq", "非韓不投!", "218.211.194.60 06/28 12:13", "0"
"Gossiping#M.1561694119.A.BBD#00056", "Ruid", "高雄市長就跑選舉然後叫中央來處理，這麼爽", "118.167.72.60 06/28 12:14", "1"
"Gossiping#M.1561694119.A.BBD#00057", "ps124125288", "韓不是已經拿到錢惹?現在又想怎樣?", "180.217.150.245 06/28 12:15", "1"
"Gossiping#M.1561694119.A.BBD#00058", "ps124125288", "不要一直把蘇貞昌當作提款機好嗎?", "180.217.150.245 06/28 12:17", "0"
"Gossiping#M.1561694119.A.BBD#00059", "thirtyto", "草包別靠杯", "36.238.78.150 06/28 12:17", "0"
"Gossiping#M.1561694119.A.BBD#00060", "xamous", "非韓不投", "39.10.128.90 06/28 12:18", "0"
"Gossiping#M.1561694119.A.BBD#00061", "Szss", "屁眼噴油啦", "42.76.70.247 06/28 12:19", "0"
"Gossiping#M.1561694119.A.BBD#00062", "newtana", "最怕：89萬智障投給白痴", "36.225.39.246 06/28 12:23", "0"
"Gossiping#M.1561694119.A.BBD#00063", "realizerwalk", "幹你娘草包還不去死一死", "101.14.204.106 06/28 12:23", "0"
"Gossiping#M.1561694119.A.BBD#00064", "cqy930", "臉皮超厚...", "125.230.120.94 06/28 12:24", "0"
"Gossiping#M.1561694119.A.BBD#00065", "koyuri", "高雄人活該～要教訓DPP結果害死自己", "59.124.71.241 06/28 12:25", "0"
"Gossiping#M.1561694119.A.BBD#00066", "katyping", "幹 這種人到底是怎樣的智障才會挺？", "42.73.244.61 06/28 12:26", "0"
"Gossiping#M.1561694119.A.BBD#00067", "demodemo", "他的屁眼會流眼淚？第一次聽過", "220.142.38.105 06/28 12:28", "0"
"Gossiping#M.1561694119.A.BBD#00068", "winterjoker", "說要發大財的不是你嗎？幹他媽的還好意思跟中央要錢", "42.77.209.33 06/28 12:28", "1"
"Gossiping#M.1561694119.A.BBD#00069", "dwolf", "何時才能罷免呀", "111.83.47.43 06/28 12:28", "0"
"Gossiping#M.1561694119.A.BBD#00070", "makakatw", "錢都給了 還在那邊裝可憐", "59.126.159.186 06/28 12:29", "0"
"Gossiping#M.1561694119.A.BBD#00071", "kissrain", "建議中央直接代行接管防疫，請市府在旁邊學習。", "111.71.72.225 06/28 12:29", "1"
"Gossiping#M.1561694119.A.BBD#00072", "cht211", "錢給了還在那邊靠北，真噁心", "36.228.56.150 06/28 12:30", "0"
"Gossiping#M.1561694119.A.BBD#00073", "gz", "韓國瑜就是個低能草包 歡迎來告", "223.136.106.167 06/28 12:34", "0"
"Gossiping#M.1561694119.A.BBD#00074", "mmu00750", "韓導幹你娘", "180.217.195.244 06/28 12:34", "0"
"Gossiping#M.1561694119.A.BBD#00075", "same01216", "到底要多噁心 無恥沒極限", "27.52.41.225 06/28 12:35", "0"
"Gossiping#M.1561694119.A.BBD#00076", "azero", "韓腫準備滾蛋嚕", "42.74.219.65 06/28 12:36", "0"
"Gossiping#M.1561694119.A.BBD#00077", "Musclefeng", "你快去死吧，下一個登革熱就是你", "117.19.225.155 06/28 12:38", "0"
"Gossiping#M.1561694119.A.BBD#00078", "nancysgn", "XDD", "42.74.37.90 06/28 12:39", "0"
"Gossiping#M.1561694119.A.BBD#00079", "charlie50704", "好了啦少在那邊演", "175.96.68.62 06/28 12:41", "0"
"Gossiping#M.1561694119.A.BBD#00080", "flare5566", "不用等啦 現在高雄人就已經哭出來了", "42.74.197.84 06/28 12:47", "0"
"Gossiping#M.1561694119.A.BBD#00081", "ptlove1222", "不愧是導演", "180.204.18.220 06/28 12:53", "0"
"Gossiping#M.1561694119.A.BBD#00082", "conanhide", "反韓流，滅紅媒，史上最爛市長", "42.77.115.165 06/28 12:54", "0"
"Gossiping#M.1561694119.A.BBD#00083", "mike7921", "牽拖完了沒？", "210.202.47.162 06/28 12:54", "0"
"Gossiping#M.1561694119.A.BBD#00084", "JYJY", "高雄人活該啊", "223.137.246.74 06/28 12:56", "0"
"Gossiping#M.1561694119.A.BBD#00085", "EqualMan", "還在自導自演騙騙騙", "115.82.10.111 06/28 12:58", "0"
"Gossiping#M.1561694119.A.BBD#00086", "Szss", "導導導", "42.76.70.247 06/28 12:59", "0"
"Gossiping#M.1561694119.A.BBD#00087", "daha1112", "每年南部都有登革熱疫情 為什麼就今年一直吵要錢？", "123.195.254.117 06/28 13:03", "1"
"Gossiping#M.1561694119.A.BBD#00088", "x0003", "我倒是看到你講這些話就當場吐出來了", "223.137.6.234 06/28 13:18", "0"
"Gossiping#M.1561694119.A.BBD#00089", "farnorth", "以前陳菊都不用這樣演戲", "60.248.24.181 06/28 13:21", "0"
"Gossiping#M.1561694119.A.BBD#00090", "dicht", "受不了此人了", "42.73.224.243 06/28 13:49", "0"
"Gossiping#M.1561694119.A.BBD#00091", "coeXist", "原來是哭戲的部分啊 韓導演太強了", "118.171.225.76 06/28 14:08", "0"
"Gossiping#M.1561694119.A.BBD#00092", "new71050", "廢物只會哭", "1.161.197.135 06/28 14:19", "0"
"Gossiping#M.1561694119.A.BBD#00093", "gwenwoo", "越描越黑  不會問市府公務員嗎??", "111.251.66.43 06/28 15:37", "0"
"Gossiping#M.1561694119.A.BBD#00094", "nari8529", "戲精", "101.12.225.175 06/28 18:18", "0"
"Gossiping#M.1561694119.A.BBD#00095", "withoutcarol", "不是錢跟人都給了，還在哭", "61.58.164.2 06/28 19:30", "0"
