"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561694633.A.ECA#00000", "xamous", "※ 例如蘋果日報、自由時報（請參考版規下方的核准媒體名單）<br><br>  三立<br><br>2.記者署名<br>※ 沒有記者署名的新聞會被版主刪除喔<br><br>  政治中心<br><br>3.完整新聞標題:<br>※ 標題沒有完整寫出來 ---> 依照板規刪除文章<br><br>  登革熱再批中央　韓國瑜：感受不到態度跟決心<br><br>4.完整新聞內文:<br>※ 社論特稿都不能貼！違者刪除（政治類水桶3個月)，貼廣告也會被刪除喔！<br><br><br>  高雄市登革熱疫情持續延燒，高雄市長韓國瑜<br>  卻與行政院長蘇貞昌隔空互嗆，對於中央、地<br>  方之間的合作情況爭論不休。韓國瑜近日接受<br>  國民黨副主席郝龍斌訪問時表示，目前為止還<br>  感受不到中央的態度跟決心。<br><br>  韓國瑜表示，中央對外都宣稱全力支持，目前<br>  撥了5300萬，但過程中他個人有一點沒面子、<br>  被嘲諷，不過他個人事小，高雄市民的生命安<br>  全事大，希望在疫情全面爆發之前，中央可以<br>  成立一個可能是臨時的編制，支援人力、物力、<br>  財力，高雄市政府衝第一線沒問題，行政院應<br>  該要有這種認知，全力協助高雄。<br><br>  郝龍斌表示，之前他當環保署署長的時候，行<br>  政院長是游錫堃，高雄市長是謝長廷，當時游<br>  錫堃跟他說，高雄登革熱疫情交給他全權負責，<br>  「我跟你保證，要錢有錢、有人有人。」國防<br>  部、法務部也都全力協助。<br><br>  韓國瑜則說，「哇，如果蘇貞昌這樣講，我一<br>  定當場眼淚就掉下來，直屬長官能說『要錢有<br>  錢、有人有人』這種話，很感動。」<br><br>  郝龍斌指出，那就一句話，「蘇貞昌比不上游<br>  錫堃」，他當時真的覺得很窩心，而且當時疾<br>  管署署長根本就住在高雄。<br><br>  韓國瑜回應，這就是代表決心，他認為指揮官<br>  的態度跟決心很重要，目前為止還感受不到行<br>  政院有這樣子。「台南市長前一陣子講的話我<br>  也滿感動的，他說如果高雄需要支援，台南也<br>  願意支援，但我更迫切需要的是中央政府提供<br>  其他協助。」<br><br>5.完整新聞連結 (或短網址):<br>※ 當新聞連結過長時，需提供短網址方便網友點擊<br><br>  https://www.setn.com/m/news.aspx?newsid=561956<br><br>6.備註:<br>※ 一個人一天只能張貼一則新聞，被刪或自刪也算額度內，超貼者水桶，請注意<br><br>  請中央有決心一點好嗎？<br><br><br>--<br>", "", ""
"Gossiping#M.1561694633.A.ECA#00001", "panzerbug", "他到底在演什麼", "42.73.92.197 06/28 12:04", "0"
"Gossiping#M.1561694633.A.ECA#00002", "angels", "你的熊庹呢？", "42.77.187.55 06/28 12:04", "0"
"Gossiping#M.1561694633.A.ECA#00003", "wwHui", "要自婊多久？態度要拿出來啦韓導他媽你無心市政快點辭職", "110.26.41.152 06/28 12:04", "0"
"Gossiping#M.1561694633.A.ECA#00004", "RoaringWolf", "高雄市長廢掉算了，直接給中央管", "42.76.122.21 06/28 12:04", "0"
"Gossiping#M.1561694633.A.ECA#00005", "computer833", "可悲仔", "49.217.16.6 06/28 12:04", "0"
"Gossiping#M.1561694633.A.ECA#00006", "s72005ming", "三小啦！明天不是要去新竹", "223.140.30.37 06/28 12:04", "0"
"Gossiping#M.1561694633.A.ECA#00007", "luuluu", "哈哈哈哈哈哈  你看看你", "36.229.151.224 06/28 12:04", "0"
"Gossiping#M.1561694633.A.ECA#00008", "DiMammaMia", "林娘卡好咧 到處趴趴走的市長，陳菊2.0進化版喔 中央十成", "125.227.222.241 06/28 12:04", "0"
"Gossiping#M.1561694633.A.ECA#00009", "adsl12367", "我也感受不到你施政的態度==", "101.11.0.146 06/28 12:04", "0"
"Gossiping#M.1561694633.A.ECA#00010", "bm0702", "真的問號", "180.217.136.80 06/28 12:04", "0"
"Gossiping#M.1561694633.A.ECA#00011", "SnakeO", "靠北,問題是韓國瑜並不想全權負責", "140.127.249.125 06/28 12:04", "0"
"Gossiping#M.1561694633.A.ECA#00012", "bill750121", "有夠煩", "123.51.217.168 06/28 12:04", "0"
"Gossiping#M.1561694633.A.ECA#00013", "a3567152", "可憐 連發文都不會，記者沒名字?", "27.247.44.154 06/28 12:05", "0"
"Gossiping#M.1561694633.A.ECA#00014", "starericc", "噁心", "180.217.129.219 06/28 12:05", "0"
"Gossiping#M.1561694633.A.ECA#00015", "lovetweet", "整天中央負責 有點擔當好嗎", "49.216.13.37 06/28 12:05", "0"
"Gossiping#M.1561694633.A.ECA#00016", "bigbirdfly", "自介?", "42.73.147.23 06/28 12:05", "0"
"Gossiping#M.1561694633.A.ECA#00017", "AllenHuang", "又要忙著去新竹鬧事了", "140.109.104.46 06/28 12:05", "0"
"Gossiping#M.1561694633.A.ECA#00018", "Rrrxddd", "你根本沒決心", "126.199.7.207 06/28 12:05", "0"
"Gossiping#M.1561694633.A.ECA#00019", "cc5566cc", "只有高雄市民感受到草包擺爛的態度和決心", "58.114.74.59 06/28 12:05", "1"
"Gossiping#M.1561694633.A.ECA#00020", "cuham", "防治高雄市登革熱要靠中央決心？請問市長要做什麼？", "42.77.44.207 06/28 12:05", "1"
"Gossiping#M.1561694633.A.ECA#00021", "mycity", "高雄人有感受到市長的決心…  選總統方面", "101.14.212.34 06/28 12:05", "0"
"Gossiping#M.1561694633.A.ECA#00022", "a77942002", "....XDDD 這就是我喜歡韓的新聞的原因~", "111.254.95.109 06/28 12:05", "1"
"Gossiping#M.1561694633.A.ECA#00023", "sshwann", "死禿子每一篇都在推給別人 你在幹殺小?", "1.170.179.191 06/28 12:05", "0"
"Gossiping#M.1561694633.A.ECA#00024", "aju0921", "所以市長功能到底是...........", "36.227.22.13 06/28 12:05", "0"
"Gossiping#M.1561694633.A.ECA#00025", "abobstar", "給了錢 現在說態度 噁心", "122.146.195.162 06/28 12:05", "0"
"Gossiping#M.1561694633.A.ECA#00026", "winloudy", "丟人現眼", "42.75.177.245 06/28 12:05", "0"
"Gossiping#M.1561694633.A.ECA#00027", "jinx5566", "盧：喂喂！別抄我", "111.253.204.156 06/28 12:06", "0"
"Gossiping#M.1561694633.A.ECA#00028", "sucktime", "行政院還不快派個市長去  沒態度耶", "60.251.209.55 06/28 12:06", "0"
"Gossiping#M.1561694633.A.ECA#00029", "lmc66", "..........................", "211.23.54.28 06/28 12:06", "0"
"Gossiping#M.1561694633.A.ECA#00030", "chanollili", "你是要有態度跟決心吧 你是一市之長", "114.33.118.73 06/28 12:06", "0"
"Gossiping#M.1561694633.A.ECA#00031", "exceedMyself", "$$還不夠?", "27.247.165.92 06/28 12:06", "0"
"Gossiping#M.1561694633.A.ECA#00032", "blpapf", "中央到底幹嘛管你去死啊", "111.82.47.212 06/28 12:07", "0"
"Gossiping#M.1561694633.A.ECA#00033", "mytoychiu", "神經病 選你當市長 事情全推給中央做", "1.167.53.75 06/28 12:07", "0"
"Gossiping#M.1561694633.A.ECA#00034", "Hirano", "幹你娘錢都給了還在靠北", "36.236.74.165 06/28 12:07", "0"
"Gossiping#M.1561694633.A.ECA#00035", "zweibeee", "Zzzzzz", "180.217.253.252 06/28 12:07", "0"
"Gossiping#M.1561694633.A.ECA#00036", "Ipadhotwater", "他真的把自己當皇帝了，知道他為什麼有這地位了，他都把錯推給別人，踩別人往上爬", "223.137.102.133 06/28 12:07", "0"
"Gossiping#M.1561694633.A.ECA#00037", "careworker26", "到底在公三小", "59.125.79.57 06/28 12:07", "0"
"Gossiping#M.1561694633.A.ECA#00038", "bighouse", "^^非韓不投", "42.77.95.91 06/28 12:07", "0"
"Gossiping#M.1561694633.A.ECA#00039", "th11yh23", "高雄柯文哲", "111.246.26.235 06/28 12:08", "0"
"Gossiping#M.1561694633.A.ECA#00040", "cpblgogogo", "敗類", "49.218.1.193 06/28 12:08", "0"
"Gossiping#M.1561694633.A.ECA#00041", "oops66", "好像你才是高雄市長ㄟ", "210.61.209.67 06/28 12:08", "0"
"Gossiping#M.1561694633.A.ECA#00042", "DFTT", "中肯　#非韓不投", "114.42.129.112 06/28 12:08", "0"
"Gossiping#M.1561694633.A.ECA#00043", "cystal", "2020滅東廠 柯粉韓粉一家親", "1.171.131.53 06/28 12:08", "0"
"Gossiping#M.1561694633.A.ECA#00044", "sulunpas", "舊聞？", "111.71.66.155 06/28 12:08", "0"
"Gossiping#M.1561694633.A.ECA#00045", "hotrain13", "你一直跑造勢好意思講？", "42.75.163.224 06/28 12:08", "0"
"Gossiping#M.1561694633.A.ECA#00046", "ZhouGongJin", "可是市長說前朝沒傳承，哪基層是在?", "49.217.138.140 06/28 12:08", "1"
"Gossiping#M.1561694633.A.ECA#00047", "ironaxe", "明天要造勢，你們快點行不行？", "111.255.3.204 06/28 12:08", "0"
"Gossiping#M.1561694633.A.ECA#00048", "allenwu79", "已感受到你離棄高雄的決心^^", "42.74.32.247 06/28 12:08", "0"
"Gossiping#M.1561694633.A.ECA#00049", "yeeroyuy", "講給低能兒聽的幹話", "61.228.44.186 06/28 12:09", "0"
"Gossiping#M.1561694633.A.ECA#00050", "lain2002", "整天不在高雄的人說別人沒有態度決心？", "223.139.163.88 06/28 12:09", "1"
"Gossiping#M.1561694633.A.ECA#00051", "tkucuh", "非韓不投。", "61.221.161.18 06/28 12:09", "0"
"Gossiping#M.1561694633.A.ECA#00052", "zasxqw56", "三小，所以面子比市政重要...", "42.73.159.242 06/28 12:09", "0"
"Gossiping#M.1561694633.A.ECA#00053", "optw", "韓導選總統的決心 有目共睹", "223.139.191.244 06/28 12:09", "0"
"Gossiping#M.1561694633.A.ECA#00054", "AnewMitch", "噁心嘴臉", "223.137.26.223 06/28 12:09", "0"
"Gossiping#M.1561694633.A.ECA#00055", "fourmemory", "都是中央的錯", "101.11.53.85 06/28 12:09", "0"
"Gossiping#M.1561694633.A.ECA#00056", "isco", "你的態度與決心在哪呀？", "101.8.231.55 06/28 12:09", "0"
"Gossiping#M.1561694633.A.ECA#00057", "alonelykid", "高雄市民：？？？？？？", "223.139.173.121 06/28 12:09", "0"
"Gossiping#M.1561694633.A.ECA#00058", "RossiBean", "總機市長：本次請行政院長回答，勿散", "223.137.27.230 06/28 12:09", "1"
"Gossiping#M.1561694633.A.ECA#00059", "pfour", "真是低能沒救了", "223.137.93.187 06/28 12:09", "0"
"Gossiping#M.1561694633.A.ECA#00060", "Keigo0415", "講得跟市長一點關係都沒有 全都中央的責任", "114.136.133.53 06/28 12:10", "1"
"Gossiping#M.1561694633.A.ECA#00061", "winterjoker", "89萬個白痴選出來的擺爛市長", "42.77.209.33 06/28 12:10", "0"
"Gossiping#M.1561694633.A.ECA#00062", "netion", "幹 韓市長說的對 中央沒照顧高雄，韓市長今天怎麼有空關心高雄登革熱啊", "118.171.66.167 06/28 12:10", "0"
"Gossiping#M.1561694633.A.ECA#00063", "cutesnow", "這傢伙有病嗎？", "110.50.131.242 06/28 12:10", "0"
"Gossiping#M.1561694633.A.ECA#00064", "murray", "我要忙選總統沒空 請中央展現決心", "61.220.206.157 06/28 12:10", "0"
"Gossiping#M.1561694633.A.ECA#00065", "js52666", "態度&決心在哪？這週末我要去新竹造勢 你中央給我好好反省反省", "36.232.143.207 06/28 12:10", "1"
"Gossiping#M.1561694633.A.ECA#00066", "zhangching", "工三", "140.117.104.155 06/28 12:10", "0"
