"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561708433.A.E0F#00000", "punksir", "女版黃安怨無法評論台灣時政　一切都因「翻牆好久翻不出去」<br><br><br><br>被稱為「女版黃安」的前女F4成員劉樂妍，昨天（25日）晚上9時多，分別在《微博》和《臉書》PO文，說自己被好多人問最近為什麼都不評論台灣政治？她抱怨不是不評論，「我是根本看不見臺灣在幹什麼」、「因為我已經好久好久好久翻牆都不成功了」。<br><br>劉樂妍在中國北京打卡，除了聊到好不容易買了新手機請友人幫忙裝翻牆軟體之外，更表示最近看《臉書》感到特別痛心，因為台灣統派的人已經很少了，呼籲統派要團結，「再互相傷害會讓臺獨看笑話的」。<br><br>而她在《微博》的PO文則多出一段簡體字，跟強國粉絲解釋：「其實想想這段時間看不見台灣的新聞也好，這個世界的中心，本來就不是圍著台灣轉的，台灣就太把自己當回事。」只是會覺得有點無聊。強國網友還很好心的在底下留言提醒劉樂妍：「不要隨便說關於翻牆的事啊，最近查得比較嚴。」（即時新聞中心／綜合報導）<br><br><br>http://tinyurl.com/y2722abn<br>翻攝劉樂妍臉書<br><br>http://tinyurl.com/yy4t4c9u<br>強國網友好心提醒劉樂妍最近查翻牆查得比較嚴。翻攝劉樂妍微博<br><br><br><br>http://tinyurl.com/yy54w537<br><br><br><br>--<br>", "", ""
"Gossiping#M.1561708433.A.E0F#00001", "Semaj543", "笑死", "27.242.228.187 06/28 15:54", "0"
"Gossiping#M.1561708433.A.E0F#00002", "ams9", ""買了新手機請友人幫忙裝翻牆軟體"", "220.129.194.53 06/28 15:54", "0"
"Gossiping#M.1561708433.A.E0F#00003", "sai0613", "哈哈哈哈哈哈哈哈哈哈哈哈哈哈", "220.129.22.59 06/28 15:54", "0"
"Gossiping#M.1561708433.A.E0F#00004", "joker1218", "臭鮑魚", "219.84.231.104 06/28 15:54", "0"
"Gossiping#M.1561708433.A.E0F#00005", "frozenmoon", "公安應該去敲門了", "113.179.187.70 06/28 15:54", "0"
"Gossiping#M.1561708433.A.E0F#00006", "if2", "別翻牆好嗎  難得耳根清靜", "42.72.52.9 06/28 15:54", "0"
"Gossiping#M.1561708433.A.E0F#00007", "elbira", "笑死", "122.117.153.96 06/28 15:54", "0"
"Gossiping#M.1561708433.A.E0F#00008", "DarthVader", "可憐", "223.141.132.93 06/28 15:55", "0"
"Gossiping#M.1561708433.A.E0F#00009", "cht211", "好好待在井底，不要隨便出來", "114.137.188.192 06/28 15:55", "0"
"Gossiping#M.1561708433.A.E0F#00010", "NohohonZoku", "不是愛中國還要翻牆，是不是精神錯亂啊", "223.140.152.239 06/28 15:55", "1"
"Gossiping#M.1561708433.A.E0F#00011", "danorken", "等等 北京爸爸的牆 這麼寬鬆的?", "60.249.112.88 06/28 15:55", "0"
"Gossiping#M.1561708433.A.E0F#00012", "huckebein12", "翻牆其實就是挺台獨", "42.72.20.194 06/28 15:55", "0"
"Gossiping#M.1561708433.A.E0F#00013", "bigsun0709", "哈哈哈哈 誰理你啊", "59.124.229.235 06/28 15:55", "0"
"Gossiping#M.1561708433.A.E0F#00014", "OpenGoodHate", "堂堂正正的中國人不翻牆的", "42.72.181.20 06/28 15:56", "0"
"Gossiping#M.1561708433.A.E0F#00015", "hogu134", "智障笑死XDDDDDDDD", "223.138.47.111 06/28 15:56", "0"
"Gossiping#M.1561708433.A.E0F#00016", "glion", "她真的不是反串嗎", "220.133.77.237 06/28 15:56", "0"
"Gossiping#M.1561708433.A.E0F#00017", "sai0613", "這傢伙是白痴嗎?好好的人不當，自願當畜牲…笑死", "220.129.22.59 06/28 15:56", "1"
"Gossiping#M.1561708433.A.E0F#00018", "lien", "那麼愛牆國幹嘛還要違規翻牆 當個正當的牆國人不好嗎", "180.217.176.192 06/28 15:56", "1"
"Gossiping#M.1561708433.A.E0F#00019", "tatata", "喜歡住在牆裡就別翻", "60.249.250.230 06/28 15:56", "0"
"Gossiping#M.1561708433.A.E0F#00020", "alonelykid", "可撥仔不要出來亂吠", "223.139.173.121 06/28 15:56", "0"
"Gossiping#M.1561708433.A.E0F#00021", "darkkairi", "天底下就你一個中國人最把台灣當一回事", "114.34.35.226 06/28 15:57", "1"
"Gossiping#M.1561708433.A.E0F#00022", "bg00004", "真是精神錯亂的一個人", "210.69.128.66 06/28 15:57", "0"
"Gossiping#M.1561708433.A.E0F#00023", "ahw12000", "八家將也沒那麼可悲", "223.139.91.215 06/28 15:57", "0"
"Gossiping#M.1561708433.A.E0F#00024", "bah", "自己要窩牆內 又拼命想翻出來是怎樣?", "59.127.47.192 06/28 15:57", "0"
"Gossiping#M.1561708433.A.E0F#00025", "ohfulow", "不要理這個可悲傢伙", "101.13.1.94 06/28 15:57", "0"
"Gossiping#M.1561708433.A.E0F#00026", "HyDroGen2528", "舉報她 哪來的87", "203.68.66.199 06/28 15:57", "0"
"Gossiping#M.1561708433.A.E0F#00027", "mikasakai", "支那國都是智障不是沒有道理的", "111.71.33.200 06/28 15:57", "0"
"Gossiping#M.1561708433.A.E0F#00028", "sassuck", "XDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD", "211.75.141.139 06/28 15:57", "0"
"Gossiping#M.1561708433.A.E0F#00029", "billionaire", "https//youtu.be/LCLVzEYsSjw", "115.82.64.206 06/28 15:58", "0"
"Gossiping#M.1561708433.A.E0F#00030", "qmaper", "她應該是情報員吧  007", "59.126.246.93 06/28 15:58", "0"
"Gossiping#M.1561708433.A.E0F#00031", "kamisun", "堂堂正正的中國人請不要違反中國法律", "36.227.49.153 06/28 15:58", "0"
"Gossiping#M.1561708433.A.E0F#00032", "yu1111116", "公安嗎？我要舉報", "111.252.237.57 06/28 15:58", "0"
"Gossiping#M.1561708433.A.E0F#00033", "stanleyliutw", "87仔最好一輩子不要翻出來", "59.120.82.4 06/28 15:58", "0"
"Gossiping#M.1561708433.A.E0F#00034", "sunyapess", "黨不准翻你翻 你還敢翻啊", "39.12.226.2 06/28 15:59", "0"
"Gossiping#M.1561708433.A.E0F#00035", "jcshie", "感恩 支那 請關好別放出來咬人", "111.184.33.26 06/28 15:59", "0"
"Gossiping#M.1561708433.A.E0F#00036", "sai0613", "自己跑進去牆裡面，然後再抱怨翻不出來", "220.129.22.59 06/28 15:59", "1"
"Gossiping#M.1561708433.A.E0F#00037", "Nerv", "有種在牆內評論", "42.72.179.131 06/28 15:59", "0"
"Gossiping#M.1561708433.A.E0F#00038", "acgotaku", "沒錢買vpn吧", "118.168.130.88 06/28 15:59", "0"
"Gossiping#M.1561708433.A.E0F#00039", "lordray1", "反串有推", "110.50.189.150 06/28 15:59", "0"
"Gossiping#M.1561708433.A.E0F#00040", "iamexwilly", "可以在牆內評論中國時政啊", "223.137.91.205 06/28 16:00", "0"
"Gossiping#M.1561708433.A.E0F#00041", "salazopyrin", "感恩中共讚嘆中共這種人就該關在牆裡", "36.232.54.217 06/28 16:00", "1"
"Gossiping#M.1561708433.A.E0F#00042", "Shaqui11e", "安份的當你的中國人阿大哥", "223.139.252.89 06/28 16:00", "0"
"Gossiping#M.1561708433.A.E0F#00043", "Maiar", "智障 快笑死", "118.167.49.61 06/28 16:00", "0"
"Gossiping#M.1561708433.A.E0F#00044", "alpha008", "笑死 好好在牆內住好住滿別再出來了XD", "220.128.123.190 06/28 16:00", "1"
"Gossiping#M.1561708433.A.E0F#00045", "rainylife", "黨不準妳翻 妳在翻三小", "114.137.240.6 06/28 16:00", "0"
