"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1508640133.A.9D0#00000", "wusbetz", "※ 引述《VIATOR (阿布拉卡達不拉)》之銘言：<br>: 剛剛好奇在網路上查了一下，<br>: https://twitter.com/NBAOfficial<br>: Greg Monroe’s (MIL) foul against Derrick Rose (CLE) at 10:12/qtr 4 on<br>: 10/20/17 has been upgraded to a Flagrant 1 after league review.<br>: 在聯盟回顧之後，將Greg Monroe對Derrick Rose於10/20/17 的犯規改判為惡意犯規<br><br>這種禁區裡的攻防受傷<br>真的只能說rose身體強度不夠<br>被輕輕拉一下就受傷<br><br>要是是90年代的籃球比賽強度<br>我看這些當今一線球星就每天都做輪椅就好了<br><br>聯盟現在就是過度保護球員<br>一根毛都碰不得<br>稍微動作大一點就吹惡意犯規<br>搞得現在切入跟切豆腐一樣<br>上籃跟上樓梯同款<br><br>籃球變得愈來愈難看真的是不意外<br><br>--<br>", "", ""
"NBA#M.1508640133.A.9D0#00001", "celticss    ", "?", "10/22 10:42", "0"
"NBA#M.1508640133.A.9D0#00002", "luck945     ", "?", "10/22 10:43", "0"
"NBA#M.1508640133.A.9D0#00003", "cs90126     ", "強度不夠? 得過MVP等級的 強度不夠?惡意犯規造成受傷 叫強度不夠? 你神邏輯", "10/22 10:43", "0"
"NBA#M.1508640133.A.9D0#00004", "iamaq18c    ", "？", "10/22 10:43", "0"
"NBA#M.1508640133.A.9D0#00005", "pig5566966  ", "名字正確哈哈哈", "10/22 10:43", "0"
"NBA#M.1508640133.A.9D0#00006", "tony790611  ", "這邏輯我給滿分", "10/22 10:43", "0"
"NBA#M.1508640133.A.9D0#00007", "steven5l5l  ", "貴古迷出現惹 這動作本來就很危險好嗎", "10/22 10:43", "0"
"NBA#M.1508640133.A.9D0#00008", "patrickhou  ", "又是以前怎樣怎樣", "10/22 10:43", "0"
"NBA#M.1508640133.A.9D0#00009", "DearDaniel  ", "名字正確", "10/22 10:44", "0"
"NBA#M.1508640133.A.9D0#00010", "andylu285   ", "暱稱說明一切", "10/22 10:44", "0"
"NBA#M.1508640133.A.9D0#00011", "q161719     ", "文如其名 大家可以回家啦", "10/22 10:44", "0"
"NBA#M.1508640133.A.9D0#00012", "SE4NLN415   ", "來約戰啦 讓我給你拉一下看你身體素質怎樣", "10/22 10:44", "0"
"NBA#M.1508640133.A.9D0#00013", "rebber      ", "我沒看 幫捅，樓上是要拉哪裡 拉雞雞喔?????????????", "10/22 10:45", "0"
"NBA#M.1508640133.A.9D0#00014", "deletenew   ", "還以為要說些什麼", "10/22 10:45", "0"
"NBA#M.1508640133.A.9D0#00015", "tony900845  ", "在比什麼啊", "10/22 10:46", "0"
"NBA#M.1508640133.A.9D0#00016", "HSNUYang    ", "整天一直碰撞打架的話，去看WWE吧", "10/22 10:46", "0"
"NBA#M.1508640133.A.9D0#00017", "ilovekobe824", "難看不要看阿 滾", "10/22 10:46", "0"
"NBA#M.1508640133.A.9D0#00018", "mark1335    ", "樓主一定很強壯 被惡犯看看好了嘻嘻，看到暱稱 好吧不意外發這個文了", "10/22 10:46", "0"
"NBA#M.1508640133.A.9D0#00019", "harry155007 ", "這暱稱跟文章的水準相符", "10/22 10:47", "0"
