"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1509792167.A.8EB#00000", "ymth", "Ben Simmons，史上最高控球後衛<br><br>By李亦伸<br><br><br>Ben Simmons攻下19分、13籃板、9助攻，率領費城76人119：109力克亞特蘭大老鷹，76人<br>取得3連勝，開季4勝4敗，勝率五成。<br><br>Simmons 208公分(6呎10吋)，他是今年76人先發控球，比80年代湖人傳奇控球後衛魔術強<br>森205公分(6呎9吋)還要更高大，速度、爆發力更好。<br><br>他應該是NBA史上最高大的控球後衛，但至少到目前為止，這名208公分的控球後衛正在改<br>變籃球，也在改變76人。照這樣打下去，年度新人肯定就是Simmons，Simmons也可能入選<br>明星賽，76人也有機會打進東區八強季後賽。<br><br>他真特別!<br><br>過去五戰Simmons場均20.2分、9.2籃板、9助攻，76人打出4勝1敗戰績，今年賽季Simmons<br>場均18.4分、9.1籃板、7.7助攻，投籃命中率5成35，他的全能表現和控球風格，幾乎搶<br>走Joel Embiid上季丰采。<br><br>Joel Embiid本季發揮同樣出色，場均20.8分、10籃板，8場比賽出賽7場，健康狀況良好<br>，他是76人核心台柱。但Simmons打控球，出色全能又穩定輸出，掌握76人比賽節奏和未<br>來，這個21歲高大後衛控球後衛引起的關注和影響力，多少轉移人們對Embiid的關注。<br><br>看過兩場Simmons控球的比賽，他跟魔術強森還真有幾分類似，但基本上他的打法和控球<br>更像LeBron James。<br><br>魔術強森當年控球，靠的是身高、身材和視野、大格局，他的速度不快，爆發力不強，體<br>能談不上勁爆。但一流的傳球技巧和經常形成「錯位」優勢，發動快攻，在低位強吃對手<br>，讓他橫行無阻，難以被防守。<br><br>LeBron James203公分(6呎8吋)，位置是小前鋒，實際上他根本就是個控球後衛，他的啟<br>動、第一步和速度爆發力都是第一流，光靠先天力量和速度、突破就能壓制對手，完成切<br>入和突破、傳球、攻擊等任務。<br><br>Simmons生涯第一季，也只打了8場比賽，經驗還嫩，但他的打法介於魔術和LeBron James<br>之間，他擁有魔術的格局、視野，但也具備出色體能和速度，可以利用他208公分身高和<br>突破、速度，製造有利「錯位」，形成戰術上優勢。<br><br>比賽解讀力強，傳球視野和節奏掌握清析，76人教練Brett Brown將Simmons擺在控球後衛<br>，擔任先發，大大改變76人體質和競爭力，未來還有無限上漲空間，確是英明之舉。<br><br>Simmons最大罩門在投籃和外線不穩定，開季8戰三分球出手5次，全部落空。但他懂得發<br>揮自己優勢和強項，解讀比賽和閱讀防守都非常出色，也會讓他投籃不好的困境，不致那<br>麼嚴重。<br><br>看Simmons打控球，很容易讓人回想到當年魔術強森的格局和比賽，也會拿他跟LeBron<br>James做比較，兩人的球路和風格、優勢非常接近。<br><br>Simmons的特別和與眾不同，讓今年76人充滿更多希望和驚奇。<br><br><br><br>http://media.pbplus.me/30724<br><br>--<br>", "", ""
"NBA#M.1509792167.A.8EB#00001", "lmf770410   ", "幹妳媽的 閉嘴啦", "11/04 18:42", "0"
"NBA#M.1509792167.A.8EB#00002", "WalterWhite ", "我先", "11/04 18:43", "0"
"NBA#M.1509792167.A.8EB#00003", "xkj22355    ", "慘了", "11/04 18:43", "0"
"NBA#M.1509792167.A.8EB#00004", "larry890122 ", "右腳開始痛了", "11/04 18:43", "0"
"NBA#M.1509792167.A.8EB#00005", "rettttt5    ", "西門掰", "11/04 18:43", "0"
"NBA#M.1509792167.A.8EB#00006", "qpeter      ", "來了", "11/04 18:43", "0"
"NBA#M.1509792167.A.8EB#00007", "cooldavid80 ", "LYS", "11/04 18:43", "0"
"NBA#M.1509792167.A.8EB#00008", "Eligor41    ", "身高瞬間矮十公分", "11/04 18:43", "0"
"NBA#M.1509792167.A.8EB#00009", "thbw666     ", "撞牆囉", "11/04 18:43", "0"
"NBA#M.1509792167.A.8EB#00010", "harrychen413", "...", "11/04 18:44", "0"
"NBA#M.1509792167.A.8EB#00011", "yoiverson   ", "超級西門斯！班西門斯報乎你知！MCW科科 學弟接招惹超級西門斯！班西門斯報乎你知！", "11/04 18:44", "0"
"NBA#M.1509792167.A.8EB#00012", "Piston0317  ", "史上最高控球？字母哥表示......", "11/04 18:44", "0"
"NBA#M.1509792167.A.8EB#00013", "liko7676    ", "好煩喔", "11/04 18:44", "0"
"NBA#M.1509792167.A.8EB#00014", "benson50913 ", "MCW", "11/04 18:44", "0"
"NBA#M.1509792167.A.8EB#00015", "linjin2     ", "啊！ACLR", "11/04 18:44", "0"
"NBA#M.1509792167.A.8EB#00016", "WeGoYuSheng ", ".......", "11/04 18:45", "0"
"NBA#M.1509792167.A.8EB#00017", "NAGI        ", "幹", "11/04 18:45", "0"
"NBA#M.1509792167.A.8EB#00018", "blackheart33", "西門...", "11/04 18:45", "0"
"NBA#M.1509792167.A.8EB#00019", "PGCHAI      ", "噓", "11/04 18:45", "0"
"NBA#M.1509792167.A.8EB#00020", "jyekid      ", "上一個受害者也是打過七六人的MCW 然後....", "11/04 18:45", "0"
"NBA#M.1509792167.A.8EB#00021", "StressND    ", "西門可以抗糗嗎？", "11/04 18:45", "0"
"NBA#M.1509792167.A.8EB#00022", "qazwsx879345", "平衡", "11/04 18:46", "0"
"NBA#M.1509792167.A.8EB#00023", "jaholin     ", "還是出現了，未看先給噓", "11/04 18:46", "0"
"NBA#M.1509792167.A.8EB#00024", "Toy17       ", "慘了 LYS發功中 幫忙西門噓", "11/04 18:47", "0"
"NBA#M.1509792167.A.8EB#00025", "crab530     ", "打那什麼爛文章 快刪文!", "11/04 18:47", "0"
"NBA#M.1509792167.A.8EB#00026", "poweroo2001 ", "小說家又要來騙錢了", "11/04 18:47", "0"
"NBA#M.1509792167.A.8EB#00027", "Parinya     ", "中肯", "11/04 18:47", "0"
"NBA#M.1509792167.A.8EB#00028", "peter080808 ", "西門哥挺住啊!!!!!", "11/04 18:47", "0"
"NBA#M.1509792167.A.8EB#00029", "ouryouth    ", "他真特別！", "11/04 18:48", "0"
"NBA#M.1509792167.A.8EB#00030", "doubleC9sun ", "噓文救西門", "11/04 18:48", "0"
"NBA#M.1509792167.A.8EB#00031", "harrychen413", "才在想這廝竟然沒發文 該來的還是會來..", "11/04 18:48", "0"
"NBA#M.1509792167.A.8EB#00032", "ZhouYeh     ", "放過76人好嗎", "11/04 18:48", "0"
"NBA#M.1509792167.A.8EB#00033", "CMPunk      ", "不..", "11/04 18:48", "0"
"NBA#M.1509792167.A.8EB#00034", "roytenpura  ", "GG......", "11/04 18:49", "0"
"NBA#M.1509792167.A.8EB#00035", "iSad56      ", "噓文救我西門", "11/04 18:49", "0"
"NBA#M.1509792167.A.8EB#00036", "airways     ", "超級「麥卡威」卡特威廉斯報乎你知！ LYS", "11/04 18:49", "0"
"NBA#M.1509792167.A.8EB#00037", "yoiverson   ", "超級「西門斯」班西門斯報乎你知！", "11/04 18:50", "0"
"NBA#M.1509792167.A.8EB#00038", "NanaoNaru   ", "幹 勿忘MCW的慘案", "11/04 18:50", "0"
"NBA#M.1509792167.A.8EB#00039", "leophior    ", "幹!!要斷腿了", "11/04 18:50", "0"
"NBA#M.1509792167.A.8EB#00040", "kano2525    ", "廢文王、協會打手、幹話球評、自以為明燈、垃圾成衣業者的同路人", "11/04 18:50", "1"
"NBA#M.1509792167.A.8EB#00041", "dusted      ", "閉嘴", "11/04 18:51", "0"
"NBA#M.1509792167.A.8EB#00042", "jyekid      ", "麥卡威 卡特威廉斯報乎你知 2013.11.03", "11/04 18:52", "0"
"NBA#M.1509792167.A.8EB#00043", "aa52189     ", "噓文就阿門", "11/04 18:52", "0"
"NBA#M.1509792167.A.8EB#00044", "okichan     ", "…", "11/04 18:53", "0"
"NBA#M.1509792167.A.8EB#00045", "jyekid      ", "2013-11-13 PHI.HOU  Did Not Play 10天就見效，關機4場後才繼續打球 現在在幹嘛? 沒球隊要", "11/04 18:54", "0"
"NBA#M.1509792167.A.8EB#00046", "a129634     ", ".....", "11/04 18:54", "0"
"NBA#M.1509792167.A.8EB#00047", "hou3DW      ", "...", "11/04 18:54", "0"
"NBA#M.1509792167.A.8EB#00048", "StressND    ", "未來不要有人來朝聖阿 救救西門", "11/04 18:54", "0"
"NBA#M.1509792167.A.8EB#00049", "DukeMonkey  ", "救我西門= =", "11/04 18:55", "0"
"NBA#M.1509792167.A.8EB#00050", "nykah20     ", "76人距Doncic又進了一大步", "11/04 18:55", "0"
"NBA#M.1509792167.A.8EB#00051", "lord82828   ", "必噓", "11/04 18:55", "0"
"NBA#M.1509792167.A.8EB#00052", "Xinz        ", "贛~出手了.....", "11/04 18:56", "0"
"NBA#M.1509792167.A.8EB#00053", "waitang     ", "西門本季掰", "11/04 18:56", "0"
"NBA#M.1509792167.A.8EB#00054", "Muma5566    ", "我們恭喜76人成功拿到今年的狀元簽", "11/04 18:57", "0"
"NBA#M.1509792167.A.8EB#00055", "HotMike     ", "白癡", "11/04 18:57", "0"
"NBA#M.1509792167.A.8EB#00056", "springman   ", "我都忘記 LYS 了，又被提醒。", "11/04 18:58", "0"
"NBA#M.1509792167.A.8EB#00057", "msdie911545 ", "noooo", "11/04 18:58", "0"
"NBA#M.1509792167.A.8EB#00058", "simon80247  ", "噓文救七十六人", "11/04 18:58", "0"
"NBA#M.1509792167.A.8EB#00059", "kobe9527    ", "幹 別害我大西門啊", "11/04 18:58", "0"
"NBA#M.1509792167.A.8EB#00060", "kawaiidesne ", "別阿~~~", "11/04 18:58", "0"
"NBA#M.1509792167.A.8EB#00061", "UncleRed    ", "噓廢文，救西門", "11/04 18:58", "0"
"NBA#M.1509792167.A.8EB#00062", "jack19931993", "該來的總是要來", "11/04 18:58", "0"
"NBA#M.1509792167.A.8EB#00063", "pinkygiveme ", "wow 難道要變矮了?", "11/04 18:58", "0"
"NBA#M.1509792167.A.8EB#00064", "nutra       ", "不會去寫賽爾提克歐 硬要弄西門", "11/04 18:59", "0"
"NBA#M.1509792167.A.8EB#00065", "pass5050    ", "我都還沒看到西門的球技，不要鬧了…", "11/04 18:59", "0"
"NBA#M.1509792167.A.8EB#00066", "hijodedios36", "超級麥卡威報乎你知", "11/04 18:59", "0"
"NBA#M.1509792167.A.8EB#00067", "Mocambique  ", "Wow 出招了", "11/04 18:59", "0"
"NBA#M.1509792167.A.8EB#00068", "chuiszt     ", "滾", "11/04 19:00", "0"
"NBA#M.1509792167.A.8EB#00069", "jyekid      ", "之前林書豪也中招過呀 不得不信 太準了", "11/04 19:00", "0"
"NBA#M.1509792167.A.8EB#00070", "aa01081008tw", "上一個被捧成神的MCW表示.......", "11/04 19:00", "0"
"NBA#M.1509792167.A.8EB#00071", "mattaus     ", "糗爺發功惹：超級「麥卡威」卡特威廉斯報乎你知!", "11/04 19:00", "0"
"NBA#M.1509792167.A.8EB#00072", "lovea       ", "超級「麥卡威」卡特威廉斯報乎你知！ LYS", "11/04 19:01", "0"
"NBA#M.1509792167.A.8EB#00073", "snakepan    ", "好久沒有～還是得噓", "11/04 19:02", "0"
"NBA#M.1509792167.A.8EB#00074", "metalj      ", "連Embiid也不放過", "11/04 19:02", "0"
"NBA#M.1509792167.A.8EB#00075", "linearppt   ", "快刪掉！X你老師！！西門是聯盟未來門面阿！", "11/04 19:03", "0"
"NBA#M.1509792167.A.8EB#00076", "eric6210    ", "差點忘記這個人 來噓一個", "11/04 19:04", "0"
"NBA#M.1509792167.A.8EB#00077", "Like5566Like", "完了", "11/04 19:05", "0"
"NBA#M.1509792167.A.8EB#00078", "shimazu     ", "噓文救西門", "11/04 19:06", "0"
"NBA#M.1509792167.A.8EB#00079", "unicotexalex", "拿三分出手5次全部落空來寫就知道根本沒研究 廢文，五球都是蜂鳴器要響前亂丟的沒有參考性Simmons大學就是根本沒有投籃 進入NBA打沒幾場已經好幾球elbow jumper 15尺附近丟進好幾球了 進步根本", "11/04 19:06", "0"
"NBA#M.1509792167.A.8EB#00080", "drosechicago", "閉嘴", "11/04 19:07", "0"
"NBA#M.1509792167.A.8EB#00081", "MonkeyCL    ", "罵球員會被水桶 罵球評就沒事XDDD", "11/04 19:07", "0"
"NBA#M.1509792167.A.8EB#00082", "gginin007   ", "超級西門斯！班西門斯報乎你知！", "11/04 19:07", "0"
"NBA#M.1509792167.A.8EB#00083", "michael025  ", "別啊", "11/04 19:07", "0"
"NBA#M.1509792167.A.8EB#00084", "pokerhow    ", "完了..先幫76人 QQ", "11/04 19:07", "0"
"NBA#M.1509792167.A.8EB#00085", "unicotexalex", "扯 只會看三分是什麼鳥 爛球評", "11/04 19:08", "0"
"NBA#M.1509792167.A.8EB#00086", "nuturewind  ", "完了！超級麥卡威報你知殷鑑不遠，76人又要被埋炸彈一次", "11/04 19:08", "1"
"NBA#M.1509792167.A.8EB#00087", "perfect07117", "XD", "11/04 19:08", "0"
"NBA#M.1509792167.A.8EB#00088", "outnow5566  ", "終於有LYS文，給推", "11/04 19:08", "0"
"NBA#M.1509792167.A.8EB#00089", "l00011799z  ", "求你閉嘴", "11/04 19:08", "0"
"NBA#M.1509792167.A.8EB#00090", "steven790303", "該來的還是會來", "11/04 19:09", "0"
"NBA#M.1509792167.A.8EB#00091", "Jason0813   ", "毀人不倦(物理", "11/04 19:09", "0"
"NBA#M.1509792167.A.8EB#00092", "qqc1220940  ", "滾", "11/04 19:10", "0"
"NBA#M.1509792167.A.8EB#00093", "locdan      ", "就是體能和傳球強化版的歐頓，外線和罰球還是歐頓，咧", "11/04 19:10", "0"
"NBA#M.1509792167.A.8EB#00094", "john91018   ", "幹", "11/04 19:11", "0"
"NBA#M.1509792167.A.8EB#00095", "terry79     ", "完了 去了", "11/04 19:12", "0"
"NBA#M.1509792167.A.8EB#00096", "scorpius109 ", "KG：你當我塑膠的？", "11/04 19:12", "0"
"NBA#M.1509792167.A.8EB#00097", "Y1999       ", "麥卡威學弟你保重", "11/04 19:12", "0"
"NBA#M.1509792167.A.8EB#00098", "answer0224  ", "這廝還在寫馬後炮文，害人不淺！", "11/04 19:12", "0"
"NBA#M.1509792167.A.8EB#00099", "d8456aaa    ", "噓文救西門", "11/04 19:12", "0"
"NBA#M.1509792167.A.8EB#00100", "nash15963   ", "挺得過這波就是全明星了！", "11/04 19:13", "0"
"NBA#M.1509792167.A.8EB#00101", "peanut910013", "李姓小丑也知道他在改變球員的命運吧", "11/04 19:13", "0"
"NBA#M.1509792167.A.8EB#00102", "MarginalOuO ", "GGGGGGGGGGGGG", "11/04 19:13", "0"
"NBA#M.1509792167.A.8EB#00103", "godofaluba  ", "幹 幫Simmons  QQ", "11/04 19:13", "0"
"NBA#M.1509792167.A.8EB#00104", "lin880905   ", "噓", "11/04 19:13", "0"
"NBA#M.1509792167.A.8EB#00105", "gex3213     ", "嗚嗚別這樣", "11/04 19:13", "0"
"NBA#M.1509792167.A.8EB#00106", "Takasteric  ", "[新聞] 超級「麥卡 威」卡特威廉斯報乎你知! LYS", "11/04 19:13", "0"
"NBA#M.1509792167.A.8EB#00107", "qlighttkms  ", "慘惹~", "11/04 19:14", "0"
"NBA#M.1509792167.A.8EB#00108", "WINONIA     ", "慘了", "11/04 19:14", "0"
"NBA#M.1509792167.A.8EB#00109", "laker7634   ", "噓文救西門", "11/04 19:14", "0"
"NBA#M.1509792167.A.8EB#00110", "Jarvis7     ", "史上最廢的文章", "11/04 19:14", "0"
"NBA#M.1509792167.A.8EB#00111", "fascism     ", "次のNBAの顏  西門氏大暴落!!!", "11/04 19:14", "0"
"NBA#M.1509792167.A.8EB#00112", "OPPAISuki   ", "不!!!!!!!!!!!!", "11/04 19:15", "0"
"NBA#M.1509792167.A.8EB#00113", "booyah0212  ", "幹", "11/04 19:15", "0"
"NBA#M.1509792167.A.8EB#00114", "NanaoNaru   ", "本板很久沒有XX了", "11/04 19:16", "0"
"NBA#M.1509792167.A.8EB#00115", "zeqcx       ", "超級麥卡威表示", "11/04 19:16", "0"
"NBA#M.1509792167.A.8EB#00116", "cpujerry    ", "噓文救西門", "11/04 19:16", "0"
"NBA#M.1509792167.A.8EB#00117", "suntai      ", "噓 airways 超級「麥卡威」卡特威廉斯報乎你知！LYS", "11/04 19:17", "0"
"NBA#M.1509792167.A.8EB#00118", "a1684114    ", "幹", "11/04 19:17", "0"
"NBA#M.1509792167.A.8EB#00119", "vltw5v      ", "解讀比賽是什麼啦", "11/04 19:17", "0"
"NBA#M.1509792167.A.8EB#00120", "fxp87117    ", "幫補", "11/04 19:18", "0"
"NBA#M.1509792167.A.8EB#00121", "ltou        ", "明天醒來發現：幹矮十公分", "11/04 19:18", "0"
"NBA#M.1509792167.A.8EB#00122", "Archer002   ", "噓文救西門", "11/04 19:18", "0"
"NBA#M.1509792167.A.8EB#00123", "avrild12    ", "trust the LYS.......", "11/04 19:18", "0"
"NBA#M.1509792167.A.8EB#00124", "hank1230    ", "西門QQ", "11/04 19:19", "0"
"NBA#M.1509792167.A.8EB#00125", "a86710985   ", "完了 被舒服了", "11/04 19:19", "0"
"NBA#M.1509792167.A.8EB#00126", "peitong0112 ", "超級西蒙斯", "11/04 19:19", "0"
"NBA#M.1509792167.A.8EB#00127", "yoiverson   ", "XDDDD再噓", "11/04 19:19", "0"
"NBA#M.1509792167.A.8EB#00128", "Wall11      ", "話說MCW到哪裡去了?還在NBA嗎?", "11/04 19:19", "0"
"NBA#M.1509792167.A.8EB#00129", "sathyathen  ", "他真特別！", "11/04 19:20", "0"
