"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1510533007.A.B55#00000", "kenny1300175", "2017-11-13 07:00 特約記者李亦伸<br><br><br>你可能早已經注意到，汽車城底特律活塞過去八戰7勝1敗，開季9勝3敗東區排第二，只落<br>後11勝2敗的波士頓塞爾蒂克。這是否讓你想起2003-04球季活塞也是在不被看好的情況下<br>，一路人讓跌破眼鏡拿下冠軍？<br><br><br>這一季活塞有幾個出人意表的超級亮點：<br><br><br><br>「抓猛哥」Andre Drummond重新復活<br><br>活塞先發中鋒Andre Drummond 14.2分、15.5籃板，球員效率值(PER)23.8全隊第一，暫<br>居聯盟籃板王，每場5.3個進攻籃板，禁區統治力和籃板球改變活塞內線競爭力，出手<br>更少，效率更高。<br><br><br>Drummond目前罰球命中率6成4，生涯最高，比雷霆後衛Russell Westbrook不到6成還要<br>出色，決勝最後5分鐘活塞教練大范甘迪不會再把Drummond放在板凳上，Drummond的籃板<br>和罰球、二波進攻、防守會讓對手付出代價，禁區優質主宰力改變了活塞。<br><br><br><br>出色的三分球命中率<br><br>活塞三分球場均出手28.2，命中10.4，三分球命中率3成7，這是聯盟一段班水平，<br>Tobias Harris、Avery Bradley、Langston Galloway三分命中率至少4成15，Harris更<br>擁有變態的4成93三分命中率，每場可以命中3.1個三分球。<br><br><br>出色的三分球和外線攻勢，穩定的內線和籃板、二波進攻，擁有禁區攻防對抗優勢，活塞<br>戰力提升回穩自不意外。<br><br><br><br>Bradley帶來新DNA<br><br>今年夏天活塞放走了先發得分後衛Kentavious Caldwell-Pope(簽約湖人)，交易送走前鋒<br>Marcus Morris(去塞爾蒂克)，同時只用三年2100萬美元簽下被低估的自由球員後衛<br>Galloway，沒有幾個人看好活塞本季會一飛沖天，扭轉乾坤。<br><br><br>Bradley用他出色的防守意識和拚勁，為活塞帶來精神面和防守端的改變。大范甘迪說，<br>「是Bradley，他改變了球隊現況」。Bradley在場上無所不在，他的一對一防守往往能<br>迅速改變比賽節奏，他的出色協防和帶動能力，讓活塞成為一支更棒的防守球隊。<br><br><br>活塞目前防守效率值每100回合失分102，排名聯盟第七，這是聯盟頂級水平，只要維持聯<br>盟前10的防守效率，活塞今年有機會成為東區前四種子。<br><br><br><br>10人輪換、深度越強<br><br>一向固執又近乎冥頑的大范甘迪，執教能力和專業、投入早已受到肯定，但他有一點不同<br>就是用兵不會保守，活塞基本「10人輪換」陣容，幫助活塞打出更好的團隊合作，同時累<br>積陣容深度，這是活塞可以在投籃不順、進攻不好、主力低潮時，還能靠防守、控制失分<br>、團隊合作彌補缺口的關鍵。<br><br><br>活塞目前最大變數在主控Reggie Jackson的情緒管控和節奏，只要Jackson保持這種穩定<br>輸出節奏，不再過度想要當英雄，Drummond繼續在籃板和禁區展現統治力，活塞會持續<br>打出令人意想不到的成績。<br><br><br>執教活塞第四季，大范甘迪前三季都在起起伏伏，經常莫明失控，現在是活塞陣容最穩定<br>，攻防節奏最合理，休息室和團隊氣氛最好的時機。<br><br><br>汽車城重新啟動，他們未必會成為東區前三種子，但如果照這樣打下去，活塞在季後賽將<br>會成為改變東區最可怕殺手。<br><br><br><br>https://udn.com/news/story/7002/2814681<br><br>--<br>", "", ""
"NBA#M.1510533007.A.B55#00001", "asdf8hjkl   ", "我先", "11/13 08:30", "0"
"NBA#M.1510533007.A.B55#00002", "IrvingLU    ", "我後", "11/13 08:30", "0"
"NBA#M.1510533007.A.B55#00003", "kent0398    ", "活塞的考驗來了", "11/13 08:30", "0"
"NBA#M.1510533007.A.B55#00004", "Aggro       ", "這時候要推啥 RIP嗎= =", "11/13 08:30", "0"
"NBA#M.1510533007.A.B55#00005", "eric7385    ", "大家跟上  救救我活塞", "11/13 08:31", "0"
"NBA#M.1510533007.A.B55#00006", "rioslo      ", "出手了", "11/13 08:31", "0"
"NBA#M.1510533007.A.B55#00007", "wwf0322     ", "幫活塞QQ", "11/13 08:31", "0"
"NBA#M.1510533007.A.B55#00008", "taipeifinest", "噓文救我塞......", "11/13 08:31", "0"
"NBA#M.1510533007.A.B55#00009", "mike88030186", "給沒落的汽車城最後一擊", "11/13 08:31", "0"
