"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1510546160.A.C2D#00000", "iSad56", "Kevin Durant has spent months quietly roasting a Warriors rookie's Instagram<br>page<br>By: Andrew Joseph       | November 7, 2017 1:33 pm<br>KD在勇士菜鳥Boucher的IG上已經持續了幾個月的攻擊<br><br>Kevin Durant’s secret Instagram account was one of the offseason’s more<br>entertaining NBA sagas, but it turns out that Durant’s official Instagram<br>account has also been busy the past couple months … at the expense of a<br>Warriors rookie.<br>KD的匿名帳號在季後帶了一些娛樂,然而他的官方帳號最近幾個月也沒閒著...攻擊一名勇<br>士菜鳥<br><br>This week, NBA fans noticed that Durant has been roasting the Instagram posts<br>of undrafted Warriors rookie Chris Boucher since September.<br>NBA的粉絲發現KD從九月開始在Chris Boucher的IG上鬧了已經好一陣子<br><br>Durant really hasn’t held back.<br>KD沒有要停止的意思<br><br>https://i.imgur.com/Z8ASvLu.png<br>KD: U trash lol (你這個垃圾 呵呵)<br><br>This has continued for quite some time.<br>這已經持續了好一陣子<br><br>https://i.imgur.com/eiutxU4.png<br>KD: L L L<br><br>All of the L’s — and to his credit, Boucher has been a good sport about<br>Durant’s social-media trolling.<br><br>https://i.imgur.com/xu2cmFr.png<br>Durant also hasn’t let Boucher’s assignment to G-League affiliate Santa<br>Cruz prevent the tormenting. When Durant noticed that Boucher wore Nike KD<br>sneakers in his Oregon photo, the Warriors star jumped right back in Boucher’<br>s comment section.<br>KD沒有在該菜鳥下放發展練盟後停止.在KD發現Boucher大學穿過KD的鞋後他又開始了<br><br>https://i.imgur.com/N3fjink.jpg<br>KD:Take my shoes off chump (蠢貨 把我的鞋子脫掉)<br><br>Durant eventually started to feel bad about his comments. After calling<br>Boucher ugly, Durant wanted to let the rookie know that it was all in good<br>fun.<br>最終KD覺得這樣不太好.在稱他醜之後,KD希望菜鳥知道這只是在玩<br><br>See, that was nice of him.<br><br>https://i.imgur.com/V4Erf3f.png<br>KD:U ugly as s*** (你醜的跟***一樣)<br>KD:u still my rook, u know I got love for ya lol (你知道我是愛你的 呵呵)<br><br>http://tinyurl.com/y7p4wbdb<br><br><br><br>https://i.imgur.com/R8NM5Fo.png<br>#1PQAlPyy (NBA)落選Boucher與勇士簽約：我曾告訴媽媽我們不會餓肚子了<br><br>--<br>", "", ""
"NBA#M.1510546160.A.C2D#00001", "a612142005  ", "無聊", "11/13 12:10", "0"
"NBA#M.1510546160.A.C2D#00002", "iandol      ", "KD發言越來越得體了 果然變成熟有風範了", "11/13 12:10", "0"
"NBA#M.1510546160.A.C2D#00003", "Kaede520    ", "職場霸凌哦", "11/13 12:11", "0"
"NBA#M.1510546160.A.C2D#00004", "kuchibu     ", "什麼意思啊??", "11/13 12:11", "0"
"NBA#M.1510546160.A.C2D#00005", "st890284    ", "有病是不是..", "11/13 12:11", "0"
"NBA#M.1510546160.A.C2D#00006", "ck10100290  ", "嗆人覺得舒服", "11/13 12:11", "0"
"NBA#M.1510546160.A.C2D#00007", "ChowDerLu   ", "神經病", "11/13 12:11", "0"
"NBA#M.1510546160.A.C2D#00008", "a60525025   ", "新人時期還塑造成乖寶寶形象 真的憋太久了", "11/13 12:11", "0"
"NBA#M.1510546160.A.C2D#00009", "lepidoptera ", "忘記換帳號", "11/13 12:11", "0"
