"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1511840853.A.C30#00000", "kenny1300175", "2017-11-28 07:00 特約記者李亦伸<br><br><br>Rose如果真的決定提前退役，28歲但終究克服不了傷病和心理創傷，令人不捨遺憾，這對<br>騎士當然是天賦和陣容深度上的損失。但如果從球隊長遠角度和用人去看，或許這也是騎<br>士得到解套和解放的一種調整，尤其是Isaiah Thomas歸隊以後。<br><br><br>健康的Rose能力無庸置疑，他上季在尼克就擁有場均18分、4.4助攻的能力，整季出賽64<br>場。本季轉入騎士，在出賽的7場比賽中，Rose場均14.3分、2.6助攻，但他的上場時間少<br>了將近6分鐘，每場出手少4次，撇開健康因素，Rose的確打出先發主控和接近球星水平的<br>表現。<br><br><br>但現在騎士後場人滿為患，Thomas預估最快在12月歸隊，最晚明年一月歸隊，騎士不管是<br>把Rose擺替補，還是將Thomas放在第六人，感覺和定位都不對，Rose和Thomas誰被拉下去<br>打替補，心情和發揮肯定都會受影響。<br><br><br>騎士除了Thomas和Rose兩名先發級主控，得分後衛位置上還有Smith、Shumpert、Korver<br>、Wade等著要上場，這四名後衛每人至少要打20分鐘，還有一個鋒衛全能的Crowder每場<br>要打27分鐘，季後賽Crowder的使用率和上場時間還會增加。<br><br><br>Rose如果決定離開騎士，甚至提早退休，對騎士是即戰力損失，但從陣容來看是很不錯的<br>「解套」，騎士教練Tyronn Lue本身就不太會打牌和出牌，騎士後場牌太多，會讓<br>Tyronn Lue手忙腳亂。少了Rose，Thomas可以安穩擺上先發，搭檔Smith或Shumpert，<br>Wade、Korver和Crowder可以稱職扮演替補和角色球員，騎士在用人輪換上比較不會面臨<br>「總有人上不了場，打不到球的困境」。<br><br><br>現在騎士正在7連勝氣勢中，是目前聯盟最多一波連勝，這波7連勝Wade、Korver、Crowder<br>不管先發板凳，都能得到至少20分鐘以上上場時間，長人三分射手Frye也得到「解凍」，<br>騎士人手即使Thomas、Rose都沒上場，但還是足夠充裕。<br><br><br>目前騎士四名主要板凳球員上場時間都提高到20分鐘以上，球隊正在連勝，攻防打法都在<br>恢復正常，這是好現象，一旦Rose歸隊，Thomas再回到陣容，騎士用人輪換又要擠爆，甚<br>至失去良好節奏和秩序。<br><br><br>因此我會大膽解讀，Rose如果真的決定離開騎士，甚至退休，對騎士來說是很好的「解套<br>」方式，騎士陣容和用人不會太擁擠，後場不會相互卡位，對Thomas和Rose究竟誰該先發<br>，也能得到更好解決。<br><br><br>少了Rose，騎士戰力和天賦、防守對位當然會有影響，但這種損失或許是騎士接下來最需<br>要的「陣容平衡」。Rose還是非常出色，但從騎士現在要起飛和現有陣容人手看來，他受<br>困傷病的心理因素，導致他對籃球、生活、競爭力不再感覺得到享受和滿足看來，這可能<br>是幫助騎士取得平衡的美麗意外。<br><br><br><br>https://udn.com/news/story/7002/2842848<br><br>--<br>", "", ""
"NBA#M.1511840853.A.C30#00001", "BOV5566     ", "Rose要渾身充滿力量了嗎", "11/28 11:47", "0"
"NBA#M.1511840853.A.C30#00002", "a88662291   ", "來了來了", "11/28 11:47", "0"
"NBA#M.1511840853.A.C30#00003", "sasa789     ", "Rose突然又覺得可以打5年", "11/28 11:48", "0"
"NBA#M.1511840853.A.C30#00004", "andy82116   ", "2", "11/28 11:48", "0"
"NBA#M.1511840853.A.C30#00005", "redsa12     ", "Rose要滿血復活啦!!", "11/28 11:48", "0"
"NBA#M.1511840853.A.C30#00006", "samioplg    ", "幹別來", "11/28 11:48", "0"
"NBA#M.1511840853.A.C30#00007", "a2b183good  ", "再戰10年", "11/28 11:48", "0"
"NBA#M.1511840853.A.C30#00008", "LaGiraffa   ", "Rose我想打到40歲", "11/28 11:48", "0"
"NBA#M.1511840853.A.C30#00009", "FatalLuna   ", "要回到MVP時的Rose了!!!!!!!!", "11/28 11:49", "0"
