"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1512019292.A.0DB#00000", "filmystery", "每次看到NBA的BOX<br>當中有個數據一直讓我很好奇<br>那就是 +/-<br><br>請問這個數值是如何算出來的??<br>是每次攻防的結果所累積下來的嗎??<br>亦即<br>目前甲隊進攻得手2分<br>那麼甲隊目前在場上的五位球員 +/- 值就分別加2??<br><br>但倘若如此<br>為何會出現以下幾種情形??<br><br>情況一<br>https://www.ptt.cc/bbs/NBA/M.1511407260.A.4D9.html<br>上陣不到26分鐘的板凳球員 Mbah a Moute +/- 值竟高達57??<br>比起先發31分鐘的主力HARDEN的29高出將近一倍??<br><br>而且上半場火箭是遙遙領先(前兩節贏35分)<br>對手下半場才與火箭勉強打平(後兩節反輸對方5分)<br>先發的HARDEN一開始沒道理坐板凳<br>那HARDEN的 +/- 值怎麼可能會輸替補上陣的 Mbah a Moute 這麼多??<br><br><br>情況二<br>https://www.ptt.cc/bbs/NBA/M.1508721909.A.82D.html<br>雷霆隊的甜瓜跟西河上場時間差不多，都是36分鐘左右<br>但一人的 +/- 值是正12、另一人卻是負17　　　<br>這兩人同時在場上的時間應該重疊不少吧<br>怎麼會出現這麼大的差異??<br><br>究竟 +/- 值是如何計算的??<br><br><br><br>--<br>", "", ""
"NBA#M.1512019292.A.0DB#00001", "s925407     ", "google", "11/30 13:22", "0"
"NBA#M.1512019292.A.0DB#00002", "sapc87952   ", "google +/-值計算就有的東西", "11/30 13:22", "0"
"NBA#M.1512019292.A.0DB#00003", "gn00607201  ", "= =", "11/30 13:23", "0"
"NBA#M.1512019292.A.0DB#00004", "event1408472", "g", "11/30 13:23", "0"
"NBA#M.1512019292.A.0DB#00005", "CMPunk      ", "...", "11/30 13:23", "0"
"NBA#M.1512019292.A.0DB#00006", "andy78714   ", "你球看太少了... 看一場完整的比賽配著live box就，知道了", "11/30 13:23", "0"
"NBA#M.1512019292.A.0DB#00007", "JayFans0610 ", "就是該球員上場時，全隊陣容的淨勝分啊（得分-失分", "11/30 13:23", "1"
"NBA#M.1512019292.A.0DB#00008", "liang850409 ", "google不就好了", "11/30 13:23", "0"
"NBA#M.1512019292.A.0DB#00009", "TaoYPingS   ", "你打那麼多字卻懶得Google?", "11/30 13:23", "0"
