"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1513560923.A.A2D#00000", "kenny1300175", "雷霆對比勇士球隊文化 困境如最後的絕地武士<br><br>2017-12-17 22:26 特約記者李亦伸<br><br><br>勇士最近一波8連勝，Curry受傷之後，Durant取代Curry領袖角色，帶領勇士取得其中4連<br>勝，這波4連勝Durant場均34分、10.2籃板、7.2助攻，三分球命中率4成2。<br><br><br>擊敗小牛之後，勇士教練Kerr說，「Curry受傷後Durant主動接管球隊，帶領球隊幫助隊<br>友一起贏球，擁有這樣的超級球星真的太棒了，當Curry回來之後，Durant的球權和得分<br>都會下降，但他並不在意」。<br><br><br>「當Curry回來後，Curry會接下Durant現在為球隊做的事，Durant退居球隊老二，他現在<br>已經不需要用數據來證明自己，Durant出色到足以做為球隊領袖，但他現在更開心跟自己<br>喜歡的人一起打球」。Kerr在勇士取得8連勝時，誇獎Durant的領袖角色和近期MVP等級表<br>現。這就像星際大戰中，莉亞公主是反抗軍的核心，但在她受傷時，何朵中將非常有默契<br>地承擔她的責任與意志，循原來團隊文化找出最好的方向。<br><br><br>Curry就是勇士領袖，講白一點就是勇士一哥，教練和隊友都這麼認為，Durant一點都不<br>在意。勇士這種球隊文化一如現在的火箭，火箭一哥就是Paul，Harden從原本火箭一哥變<br>二哥，但Harden還是非常享受這樣的角色和改變。火箭現在的球隊領袖、核心球星就是<br>Paul，隊友都尊重他，包括Harden都相信，Paul可以帶領火箭成為更優秀的球隊。<br><br><br>雷霆現況就不完全是那麼回事。Westbrook是雷霆一哥，但這個一哥很在意自己數據和球<br>權，決勝期往往只能單打獨鬥，他除了玩命打球拚數據，還不懂如何帶隊，如何幫助隊友<br>，幫助球隊戰力升級。路克·天行者認為絕地武士常常因為太自傲而失敗，而且不斷在重<br>複同樣的過錯，Westbrook在Durant離開之後，雖然球技依然高超無比，但無法打敗心魔<br>，終就孤單地成為的最後絕地武士。<br><br><br>雷霆擁有兩個比Westbrook更成熟、更老練的球星George和Anthony，兩人都願意為球隊做<br>出犧牲，願意配合Westbrook帶領雷霆。但Westbrook只會猛衝、蠻幹、單打的領導球隊方<br>式，讓全隊都很錯亂，決勝期Anthony、George經常只能在場上當觀眾，無奈看著比賽流<br>失。<br><br><br>雷霆現在最重要的是，必須確定誰才是球隊領袖，Westbrook該扮演何種角色，球權、戰<br>術設計和板凳球員等球隊文化都必須明確，雷霆才能打出團隊，打出符合天賦和球星的戰<br>力。<br><br><br>從勇士文化到火箭文化，再看雷霆文化，一支球隊的好與壞，除了取決於球星智商、格局<br>，教練與球星的互動、溝通同樣重要。<br><br><br>馬刺是個例外，馬刺文化來自教練Popovich，他擅長把每個球員安置在合適的位置，給球<br>員合理的空間和角色，再留給球星自由發揮空間，創造出獨一無二的馬刺文化。<br><br><br>湖人現在還沒有建立自己的文化，沒有合格的球隊領袖，Walton教練和湖人年輕球員都還<br>在學習、成長、犯錯。<br><br><br>真正的球隊領袖不需要驚人數據和超級天賦，那是一種魅力和氣質，是一種昇華到「素與<br>簡」的極致，Durant懂了。Westbrook領導球隊方式和幫助隊友的作法，還是像個「小屁<br>孩」一樣，這是雷霆除了教練之外最大罩門。<br><br><br><br>https://udn.com/news/story/7002/2880442<br><br>--<br>", "", ""
"NBA#M.1513560923.A.A2D#00001", "joulin      ", "OSMAN叫我?", "12/18 09:35", "0"
"NBA#M.1513560923.A.A2D#00002", "fgeorge2258 ", "推樓上Jedi Osman", "12/18 09:36", "0"
"NBA#M.1513560923.A.A2D#00003", "kix8083     ", "必噓", "12/18 09:36", "0"
"NBA#M.1513560923.A.A2D#00004", "ckshchen    ", "星戰精神", "12/18 09:36", "0"
"NBA#M.1513560923.A.A2D#00005", "VAIO911     ", "把你的髒手拿開", "12/18 09:36", "0"
"NBA#M.1513560923.A.A2D#00006", "gp03dan     ", "嗯，肯定是剛看完電影", "12/18 09:36", "0"
"NBA#M.1513560923.A.A2D#00007", "tenka92417  ", "勇士糟糕了", "12/18 09:37", "0"
"NBA#M.1513560923.A.A2D#00008", "rhythmend   ", "暴雷啊", "12/18 09:37", "0"
"NBA#M.1513560923.A.A2D#00009", "shiun1017   ", "嗯", "12/18 09:37", "0"
