"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1513611890.A.6AA#00000", "asd1289x", "各位看官阿~~~<br><br>就在明天 Kobe Bryant的球衣就要正式退休了<br><br>而Kobe Bryant也是湖人隊史上  唯一一個一次退休兩件球衣的球員<br><br>這幾天  看到網路上  也都是一片讚嘆Kobe的聲音<br><br>但本魯實在有些想法  跟大家不同  就冒著被噓爆的風險來跟各位討論一下＠＠""<br><br><br><br>先說結論：<br><br>本魯不認為Kobe該一次退休兩件球衣  就連Kobe自己都說過 希望退休的是24號球衣<br><br><br>接著  本魯提出兩個論點如下：<br><br>1.<br><br>湖人隊史上  Kobe不是最偉大的球員  至少Jabbar、Magic Johnson都比他偉大<br><br><br>Jabbar 生涯20年<br><br>累積38387分、總冠軍*6(湖人時期*5)、MVP*5(湖人時期*3)<br><br>Magic Johnson 生涯 13年<br><br>累積17707分、10141助攻、總冠軍*5、MVP*3、FMVP*3<br><br>Kobe 生涯20年<br><br>累積33643分、總冠軍*5、MVP*1、FMVP*2<br><br><br>光是魔術、賈霸的生涯成就 就完全不輸給Kobe了<br><br>不管再怎麼排  Kobe也就歷史第10-12名打轉<br><br>賈霸、魔術都至少排到歷史前五<br><br>論偉大的程度  Kobe是比不上這兩位的  為什麼可以得到兩位歷史級前輩沒有的待遇?<br><br>會有人說  Kobe兩件球衣都各穿10年  都很偉大<br><br>但就連Kobe都說過  兩件選一件的話  他也是選24號啊<br><br>24號也是他生涯帶隊的巔峰  證明自己是老大的時刻  退24號比較合理吧＠＠?<br><br><br><br>2.<br><br>Kobe到了生涯的晚期  對球隊的幫助越來越小  甚至傷害球隊<br><br>Kobe的生涯FG%是 44.7%<br><br>但到了最後兩年 Kobe的數據卻是逼近聯盟最差的等級<br><br>14-15球季  Kobe的整季FG%只有      37.3%<br><br>15-16球季  Kobe的整季FG%慘到只剩  35.8%<br><br><br>14-15球季  Kobe在湖人的命中率排名全隊第12名  出手數卻是全隊第一的20.4次<br><br>這一季 湖人陣中有兩人FG%超過5成、命中率超過44%的球員超過6名<br><br>Kobe的投籃命中率極差  卻不肯釋出更多出手次數<br><br><br>15-16球季  Kobe在湖人的命中率還是排名全隊第12名<br><br>出手數卻還是第一名的場均16.9次<br><br>隊上命中率超過五成的球員有三位  命中率超過44%的球員有四位<br><br><br>反觀賈霸呢?  賈霸在生涯最後三年<br><br>出手數下降到每場12.7、11.3、8.9次  這三年賈霸的出手數都比魔術少<br><br><br>賈霸在生涯晚期  把球權釋放給魔術<br><br>順利完成湖人王朝的交接<br><br><br>而Kobe生涯最後兩年  他有試著交棒給誰嗎? 有試著把火矩傳下去嗎?<br><br><br>這邊就不提他和大鯊魚、魔獸、馬龍...一拖拉庫巨星跟他不合的事了<br><br><br>但以本魯的角度來看  他在意的就是自己的數據  成就<br><br>而沒有把球隊競爭力延續下去放在心上<br><br>以這兩點來說<br><br>本魯不認為他有偉大到足以退休兩件球衣<br><br>不知道各位怎麼看?<br><br><br>--<br>", "", ""
"NBA#M.1513611890.A.6AA#00001", "chinhan1216 ", "我們湖迷說可以就可以 你管得著?", "12/18 23:46", "0"
"NBA#M.1513611890.A.6AA#00002", "enzocarrera ", "討論到爛了洗文章嗎", "12/18 23:46", "0"
"NBA#M.1513611890.A.6AA#00003", "pharmawind  ", "嗯嗯 你說的很對 但...你誰？湖人董事是你？", "12/18 23:46", "0"
"NBA#M.1513611890.A.6AA#00004", "zxc787848   ", "因為魔術賈霸都穿一樣號碼的球衣啊......而且這樣有話題 各種商機好嗎", "12/18 23:46", "0"
"NBA#M.1513611890.A.6AA#00005", "Dex5566     ", "這ID專發釣魚廢文", "12/18 23:46", "0"
"NBA#M.1513611890.A.6AA#00006", "slamblock15 ", "小疑問，那其他那兩隻有換過號碼嗎？", "12/18 23:47", "0"
"NBA#M.1513611890.A.6AA#00007", "gangrel     ", "NBA以後會將亞軍退休", "12/18 23:48", "0"
"NBA#M.1513611890.A.6AA#00008", "howard061288", "有阿", "12/18 23:50", "0"
"NBA#M.1513611890.A.6AA#00009", "Kimmy       ", "退愈多件就比較偉大嗎？", "12/18 23:51", "0"
"NBA#M.1513611890.A.6AA#00010", "KarlTowns   ", "你知道不少，但還是有少說，他其實非常自私", "12/18 23:52", "0"
"NBA#M.1513611890.A.6AA#00011", "Deathstroke ", "你覺得不行就不行，誰在乎？他為湖人創造多少產值跟票房？湖人覺得划算幹嘛不能退", "12/18 23:52", "0"
"NBA#M.1513611890.A.6AA#00012", "mimikillua  ", "人家高興就好", "12/18 23:52", "0"
"NBA#M.1513611890.A.6AA#00013", "dahlia7357  ", "球迷要買兩套", "12/18 23:52", "0"
"NBA#M.1513611890.A.6AA#00014", "xavier2011  ", "商機 結案", "12/18 23:53", "0"
"NBA#M.1513611890.A.6AA#00015", "eb7682peter ", "湖人爽退啥乾你屁事，甲霸有魔術可以傳老大要傳給誰王者殺奎嗎", "12/18 23:53", "0"
"NBA#M.1513611890.A.6AA#00016", "mori7336    ", "關你p4", "12/18 23:53", "0"
"NBA#M.1513611890.A.6AA#00017", "mask82      ", "商業取向 你不懂?", "12/18 23:54", "0"
"NBA#M.1513611890.A.6AA#00018", "rexagi1988  ", "爽  哈哈  不然哩", "12/18 23:55", "0"
"NBA#M.1513611890.A.6AA#00019", "heavensun   ", "Fisher  5冠  應該退休球衣", "12/18 23:55", "0"
"NBA#M.1513611890.A.6AA#00020", "lgates      ", "那退休球褲好了", "12/18 23:56", "0"
"NBA#M.1513611890.A.6AA#00021", "ouwcc       ", "因為賈霸跟魔術都只有一個號碼", "12/18 23:56", "0"
"NBA#M.1513611890.A.6AA#00022", "poet1112    ", "你湖人老闆????", "12/18 23:57", "0"
"NBA#M.1513611890.A.6AA#00023", "bq5899      ", "一下喜歡看不合理籃球一下又超愛合理籃球 你先別管~", "12/18 23:57", "1"
"NBA#M.1513611890.A.6AA#00024", "popyen      ", "嗯嗯你不認為 不過明天還是會退休哦", "12/18 23:58", "0"
"NBA#M.1513611890.A.6AA#00025", "marchcharlie", "湖人爽啊 要你管", "12/18 23:58", "0"
"NBA#M.1513611890.A.6AA#00026", "mark1335    ", "滾", "12/18 23:59", "0"
"NBA#M.1513611890.A.6AA#00027", "slamblock15 ", "其實是為了紀念幕後功臣 ，大家以後看到24-8=16=姊姊", "12/18 23:59", "1"
"NBA#M.1513611890.A.6AA#00028", "brady0912   ", "直到自己魯就好", "12/19 00:00", "0"
"NBA#M.1513611890.A.6AA#00029", "stu931134   ", "退役戰人氣高到總亞軍拿到73勝都沒啥新聞，人家就有這價值啊，要你管？", "12/19 00:00", "1"
"NBA#M.1513611890.A.6AA#00030", "ckshchen    ", "他三件只退了兩件，ok啦", "12/19 00:00", "0"
"NBA#M.1513611890.A.6AA#00031", "k1453888    ", "網吧但", "12/19 00:00", "0"
"NBA#M.1513611890.A.6AA#00032", "killptt     ", "又不是要在你家門口退休兩件球衣 你住海邊？", "12/19 00:01", "0"
"NBA#M.1513611890.A.6AA#00033", "slamblock15 ", "8號Kobe+16號Gasol=24號完全體Kobe", "12/19 00:02", "0"
"NBA#M.1513611890.A.6AA#00034", "a1773042    ", "自己都說會被噓爆 那我也只好成全你囉", "12/19 00:03", "0"
"NBA#M.1513611890.A.6AA#00035", "s891234     ", "。。。熱火退役23號，他對熱火有什麼貢獻，還不是爽", "12/19 00:03", "1"
"NBA#M.1513611890.A.6AA#00036", "ykm80214    ", "阿就是要退了你發篇廢文有啥用", "12/19 00:03", "0"
"NBA#M.1513611890.A.6AA#00037", "love1500274 ", "Kobe帶給湖人的商業價值 搞不好一個人就超過Jabbar加Magic 了", "12/19 00:04", "1"
