"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1514338738.A.B3B#00000", "kenny1300175", "2017-12-27 07:00 特約記者李亦伸<br><br><br>NBA耶誕大戰落幕，勇士證明他們還是聯盟最強大球隊，11月東區最火塞爾蒂克逐漸式微<br>，東冠三連霸騎士還有上升空間，雷霆這一波5連勝正在變得更好，火箭在少了Paul之後<br>，等級就是差了一點。<br><br><br>這麼多熱門、人氣球隊中，大家都忽略了悄悄爬上東區第一的多倫多暴龍。暴龍目前以23<br>勝8敗站上東區第一，7成42勝率，過去13戰12勝，領先塞爾蒂克27勝10敗。暴龍確實被大<br>家遺忘，但暴龍被低估了嗎？<br><br><br>暴龍這一季有幾個重要改變<br><br><br><br>板凳更高效<br><br>暴龍教練Dwane Casey的那套10人輪換，近兩年為暴龍解決板凳和陣容深度問題，Miles + <br>Powell + Wright + Siakam + Poeltl + VanVleet，這套板凳打出聯盟前三進攻能量和效<br>率，讓暴龍除了「後場雙槍」Lowry、DeRozan，擁有更可怕、穩定進攻武器。<br><br><br><br>防守效率值第6<br><br>目前暴龍防守效率值爬上第6，僅次於勇士、塞爾蒂克、雷霆、馬刺、拓荒者，進攻效率<br>值第4，只輸火箭、勇士、騎士。暴龍是全聯盟除了勇士之外，攻防兩端效率值都能排前<br>聯盟前6的另一支球隊。<br><br><br><br>三分球每場命中11.2個<br><br>三分球過去幾年一直是暴龍盲點，但今年暴龍每場可以命中11.2個三分球，雖然3成54的<br>三分球命中率並不搶眼，但場均出手31.5次三分球，暴龍的進攻、射程、三分射手都在提<br>升。<br><br><br>中距離跳投之王DeRozan本季每場以3成41，至少每場都可以命中一記三分球，DeRozan的<br>三分能力和全面進攻，成為暴龍最有力支撐。<br><br><br><br>10人輪換<br><br>暴龍後衛Lowry進攻狀況起伏，爆發能力大不如前，場均15.9分、7.1助攻，但暴龍教練<br>Dwane Casey的10人輪換調度，每一張牌都打得出奇的好，同時為暴龍解決進攻、防守、<br>三分球、籃板每個問題，Dwane Casey用陣容深度和板凳、更多輪換解除暴龍過度依靠後<br>場雙槍的難題，打出更好團隊籃球。<br><br><br><br>團隊韌性<br><br>從後場雙槍到主打球星戰術，從球星戰術+團隊籃球+防守，暴龍本季體質和打法上，都有<br>全然不同的改變和新風貌。<br><br><br>出色防守，高效進攻，紮實板凳深度，DeRozan和Lowry兩大主力球星經常性爆發，即使兩<br>大後場球星狀況時有起伏，但暴龍戰力並不受影響，球隊更有韌性、防守更緊密，使得以<br>往一直給人「季後賽弱雞」形象暴龍，本季煥然一新。<br><br><br><br>聯盟第一主場勝率<br><br>暴龍本季主場12勝1敗，聯盟第一，主場勝率高達9成2，銅牆鐵壁般的主場優勢，讓暴龍<br>逐漸成長為季後賽更難纏球隊。<br><br><br>現在東區第一是暴龍，不是塞爾蒂克，不是騎士，也不是巫師，暴龍並不靠運氣和手氣，<br>他們正在顛覆東區生態，展現不同打法和團隊。<br><br><br>東區除了騎士和綠塞，暴龍愈來愈值得大家關注。<br><br><br><br>https://udn.com/news/story/7002/2896563<br><br>--<br>", "", ""
"NBA#M.1514338738.A.B3B#00001", "bbbruce     ", "感恩", "12/27 09:39", "0"
"NBA#M.1514338738.A.B3B#00002", "NanaoNaru   ", ".....", "12/27 09:40", "0"
"NBA#M.1514338738.A.B3B#00003", "c871111116  ", "88", "12/27 09:40", "0"
"NBA#M.1514338738.A.B3B#00004", "calvin0319  ", "小丑", "12/27 09:40", "0"
"NBA#M.1514338738.A.B3B#00005", "tom082626   ", "完了 也太快就被盯上", "12/27 09:40", "0"
"NBA#M.1514338738.A.B3B#00006", "Lebaldshames", "提早進入季後賽模式 88", "12/27 09:40", "0"
"NBA#M.1514338738.A.B3B#00007", "qaz985621asd", "88暴龍", "12/27 09:40", "0"
"NBA#M.1514338738.A.B3B#00008", "opwin       ", "放心啦 暴龍通常進入季後賽才開始雷", "12/27 09:40", "0"
"NBA#M.1514338738.A.B3B#00009", "qui0914     ", "幹我以為會講暴龍是做了哪些改變才會有今天這樣的戰績 結果文章他媽就只是把結果說出來", "12/27 09:42", "1"
