"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1514356860.A.0A4#00000", "faition2", "東方神秘力量？暴龍輸墊底小牛　東區龍頭僅1天就讓出<br><br>2017/12/27 13:07:00<br>記者劉家維／綜合報導<br><br>近況極佳，剛登上東區第一的多倫多暴龍，27日客場面對西區墊底的達拉斯小牛，結果以<br>93：98暴冷輸球，一波6連勝也就此中斷。正巧以「反指標」著稱的資深球評「糗爺」李<br>亦伸才剛撰文盛讚暴龍，也讓不少網友笑說，「難道又是東方神秘力量加持了嗎」。<br><br>此役暴龍直到第3節還一度以73：66領先小牛7分，然而J.J. Barea隨後連進三球獨得6分<br>，加上Harrison Barnes的三分球挹注，小牛第三節末段拉出一波19-4的決定性攻勢，反<br>觀暴龍此役團隊命中率僅33.7%，即便第4節苦追仍無力反撲，終場無奈以93：98吞敗。<br><br>小牛J.J. Barea替補貢獻全隊最高20分功不可沒，老將Dirk Nowitzki也以13投中8的高命<br>率砍下18分。暴龍方面則以Kyle Lowry的23分最高，但他們的當家球星，才剛獲選單週最<br>佳球員的DeMar DeRozan此役卻16投僅3中，全場僅得8分難辭其咎。<br><br>賽後落敗的暴龍不但就此中止6連勝，連東區第一的寶座都僅僅只坐了「1天」，就拱手讓<br>出。<br><br>http://www.setn.com/News.aspx?NewsID=329978&PageGroupID=34<br><br>--<br>", "", ""
"NBA#M.1514356860.A.0A4#00001", "yoiverson   ", "這也一篇", "12/27 14:41", "0"
"NBA#M.1514356860.A.0A4#00002", "Sammy0820   ", "...", "12/27 14:41", "0"
"NBA#M.1514356860.A.0A4#00003", "jyekid      ", "根本在跟糗爺唱雙簧 這人托球 等等糗爺要發文", "12/27 14:42", "0"
"NBA#M.1514356860.A.0A4#00004", "GordnHayward", "LYS夠廢了  用他當題材更廢", "12/27 14:42", "0"
"NBA#M.1514356860.A.0A4#00005", "a19951218   ", "真的丟台灣體育球評的臉", "12/27 14:42", "0"
"NBA#M.1514356860.A.0A4#00006", "ksk0516     ", "比糗爺還廢", "12/27 14:43", "0"
"NBA#M.1514356860.A.0A4#00007", "lmf770410   ", "這篇跟隔壁板抄鄉長hy文章一樣廢，家維 你是國中畢業嗎", "12/27 14:43", "0"
"NBA#M.1514356860.A.0A4#00008", "zakijudelo  ", "LYS看到自己成為新聞報導的一部分不知做何感想XDD", "12/27 14:43", "0"
"NBA#M.1514356860.A.0A4#00009", "chinhan1216 ", "哈哈 東牆快倒了", "12/27 14:43", "0"
"NBA#M.1514356860.A.0A4#00010", "pooroo      ", "小牛惜敗", "12/27 14:43", "0"
"NBA#M.1514356860.A.0A4#00011", "linisthebest", "現在記者都這樣？？？", "12/27 14:44", "0"
"NBA#M.1514356860.A.0A4#00012", "ycaa        ", "東牆倒了  那就快去西牆吧", "12/27 14:45", "0"
"NBA#M.1514356860.A.0A4#00013", "sm981512    ", "可笑", "12/27 14:46", "0"
"NBA#M.1514356860.A.0A4#00014", "st890284    ", "廢到有剩", "12/27 14:47", "0"
"NBA#M.1514356860.A.0A4#00015", "jenchieh5   ", "東牆岌岌可危R", "12/27 14:47", "0"
"NBA#M.1514356860.A.0A4#00016", "willy14     ", "LYS夠廢了  用他當題材更廢", "12/27 14:47", "0"
"NBA#M.1514356860.A.0A4#00017", "manuginobii ", "覺得可以禁台媒了 以後只能發外電和虎撲", "12/27 14:47", "0"
"NBA#M.1514356860.A.0A4#00018", "micbrimac   ", "一篇比一篇廢", "12/27 14:48", "0"
"NBA#M.1514356860.A.0A4#00019", "yyes5210    ", "我還以為是神棍版，原來是NBA版啊", "12/27 14:49", "0"
"NBA#M.1514356860.A.0A4#00020", "yahooooooooo", "家維真是有才", "12/27 14:51", "0"
"NBA#M.1514356860.A.0A4#00021", "Alipapa     ", "糗爺上新聞XDDDDD", "12/27 14:51", "0"
"NBA#M.1514356860.A.0A4#00022", "tottoko0908 ", "記者真好當", "12/27 14:52", "0"
"NBA#M.1514356860.A.0A4#00023", "ownwei      ", "家維 粗乃打球", "12/27 14:52", "0"
"NBA#M.1514356860.A.0A4#00024", "YoungDE     ", "根本廢到笑XDDDD", "12/27 14:52", "0"
"NBA#M.1514356860.A.0A4#00025", "anderson1979", "東方糗爺，西方球爸......都用那反向負面操作博點閱率跟曝光率", "12/27 14:53", "1"
"NBA#M.1514356860.A.0A4#00026", "a3221715    ", "這篇可以賺多少", "12/27 14:53", "0"
"NBA#M.1514356860.A.0A4#00027", "kerkerkerbe ", "XDDD", "12/27 14:53", "0"
"NBA#M.1514356860.A.0A4#00028", "kilopewq    ", "年少不讀書 長大當記者", "12/27 14:54", "0"
"NBA#M.1514356860.A.0A4#00029", "blacktea0127", "禁台媒吧", "12/27 14:56", "0"
"NBA#M.1514356860.A.0A4#00030", "AmadeusTsou ", "台灣媒體真的很棒", "12/27 14:56", "0"
"NBA#M.1514356860.A.0A4#00031", "inshimmer   ", "無聊", "12/27 14:56", "0"
"NBA#M.1514356860.A.0A4#00032", "leaveleft   ", "下一篇：XX隊連勝後糗爺發完家維發，難道是巧合？", "12/27 14:57", "0"
"NBA#M.1514356860.A.0A4#00033", "shiun1017   ", "唉", "12/27 14:58", "0"
"NBA#M.1514356860.A.0A4#00034", "lateboy     ", "可悲，用LYS當新聞題材", "12/27 15:00", "0"
"NBA#M.1514356860.A.0A4#00035", "SEAFOODBIRD ", "自甘墮落", "12/27 15:03", "0"
"NBA#M.1514356860.A.0A4#00036", "ewc024      ", "難道是想負負得正幫助暴龍抗糗！！", "12/27 15:06", "0"
"NBA#M.1514356860.A.0A4#00037", "o0991758566 ", "比LYS更廢  丟臉", "12/27 15:06", "0"
"NBA#M.1514356860.A.0A4#00038", "peace1way   ", "媒體自己寫這種智障文章實在不要怪人說媒體素質差，光看標題就連內文都可以不用點了，真心覺得蠢", "12/27 15:07", "0"
"NBA#M.1514356860.A.0A4#00039", "edwardxearl ", "0.0", "12/27 15:10", "0"
"NBA#M.1514356860.A.0A4#00040", "losa        ", "爛", "12/27 15:16", "0"
"NBA#M.1514356860.A.0A4#00041", "kaga1991    ", "家維你寫完是不是覺得自己很聰明", "12/27 15:16", "0"
"NBA#M.1514356860.A.0A4#00042", "pobomin     ", "一廢還有一廢廢", "12/27 15:18", "0"
"NBA#M.1514356860.A.0A4#00043", "calvin0319  ", "下去", "12/27 15:23", "0"
"NBA#M.1514356860.A.0A4#00044", "Avvenire    ", "家維晚上打球、你當球", "12/27 15:25", "0"
"NBA#M.1514356860.A.0A4#00045", "shwkz       ", "記者以為這樣很好笑嗎", "12/27 15:26", "0"
"NBA#M.1514356860.A.0A4#00046", "emptie      ", "拜託不要當笑話", "12/27 15:27", "0"
"NBA#M.1514356860.A.0A4#00047", "fishlinghu  ", "家維 別再洗文章了", "12/27 15:30", "0"
"NBA#M.1514356860.A.0A4#00048", "citydiver   ", "拿一個廢物文作文章 自己就變成廢文 何必呢", "12/27 15:30", "0"
"NBA#M.1514356860.A.0A4#00049", "hank10228246", "記者就只會寫這種廢文", "12/27 15:33", "0"
"NBA#M.1514356860.A.0A4#00050", "Marshalkobe2", "好了啦家維", "12/27 15:33", "0"
"NBA#M.1514356860.A.0A4#00051", "NicECooKiE  ", "挑戰極限", "12/27 15:34", "0"
"NBA#M.1514356860.A.0A4#00052", "lateboy     ", "補噓", "12/27 15:38", "0"
"NBA#M.1514356860.A.0A4#00053", "peanut910013", "為廢文寫新聞", "12/27 15:38", "0"
"NBA#M.1514356860.A.0A4#00054", "vltw5v      ", "媽的這文比lys更廢", "12/27 15:39", "0"
"NBA#M.1514356860.A.0A4#00055", "Raskolnikov ", "拿廢文寫新聞還真厲害啊", "12/27 15:39", "0"
"NBA#M.1514356860.A.0A4#00056", "aa6300158   ", "用Box寫新聞", "12/27 15:42", "0"
"NBA#M.1514356860.A.0A4#00057", "nat99up     ", "家維等很久了，看廢文寫廢文", "12/27 15:48", "0"
"NBA#M.1514356860.A.0A4#00058", "vgil        ", "記者越來越智障了", "12/27 15:52", "0"
"NBA#M.1514356860.A.0A4#00059", "icoann      ", "家維 下午 打球 你當球", "12/27 15:56", "0"
"NBA#M.1514356860.A.0A4#00060", "RadioMan    ", "爛到流湯", "12/27 15:59", "0"
"NBA#M.1514356860.A.0A4#00061", "vvvvaaaa    ", "台灣體育版真的廢到渣 今年我還沒看到一篇稍微有水準的報導 真的是扯到翻掉", "12/27 16:00", "1"
"NBA#M.1514356860.A.0A4#00062", "TimmyDD     ", "終於出現比糗更廢的記者了", "12/27 16:08", "0"
"NBA#M.1514356860.A.0A4#00063", "yamahaya    ", "糗的傳人?", "12/27 16:10", "0"
"NBA#M.1514356860.A.0A4#00064", "Athchen     ", "貼給球星看阿 看你寫這什麼垃圾報導", "12/27 16:10", "0"
"NBA#M.1514356860.A.0A4#00065", "BlueMoonTim ", "家維夠了啦", "12/27 16:12", "0"
"NBA#M.1514356860.A.0A4#00066", "arlun       ", "把東方神秘力量和內文的拔掉 人氣大概少八成，一個是沒落的小牛 一個是沒什麼人支持的暴龍live的14推和box的89推可見一班", "12/27 16:20", "0"
"NBA#M.1514356860.A.0A4#00067", "joulin      ", "這文比LYS還更讓人想噓", "12/27 16:22", "0"
"NBA#M.1514356860.A.0A4#00068", "BrandonMai  ", "川立不意外", "12/27 16:27", "0"
"NBA#M.1514356860.A.0A4#00069", "winnieying  ", "家維 你要不要考慮重寫一篇", "12/27 16:34", "0"
"NBA#M.1514356860.A.0A4#00070", "danwhei     ", "家維出來打球", "12/27 16:34", "0"
"NBA#M.1514356860.A.0A4#00071", "star880613  ", "有夠廢", "12/27 16:35", "0"
"NBA#M.1514356860.A.0A4#00072", "b102345     ", "家維你敢跟你媽說你在當記者嗎", "12/27 16:35", "0"
"NBA#M.1514356860.A.0A4#00073", "rey0616     ", "LYS已經夠爛了  這篇居然超越了", "12/27 16:40", "0"
"NBA#M.1514356860.A.0A4#00074", "coox        ", "廢，別刷存在感", "12/27 16:46", "0"
"NBA#M.1514356860.A.0A4#00075", "gginin007   ", "體育新聞當綜藝?", "12/27 16:48", "0"
"NBA#M.1514356860.A.0A4#00076", "harrishu    ", "這樣也一篇？", "12/27 16:57", "0"
"NBA#M.1514356860.A.0A4#00077", "kulumi      ", "夠廢", "12/27 16:57", "0"
"NBA#M.1514356860.A.0A4#00078", "snowman33   ", "然後這記者會不會又發一篇更廢的", "12/27 16:59", "0"
"NBA#M.1514356860.A.0A4#00079", "Eligor41    ", "幫集氣", "12/27 16:59", "0"
"NBA#M.1514356860.A.0A4#00080", "sbflight    ", "劉家維 安安", "12/27 16:59", "0"
"NBA#M.1514356860.A.0A4#00081", "iop654      ", "看來超越柏髒的人出現了", "12/27 17:08", "0"
"NBA#M.1514356860.A.0A4#00082", "ken0000008  ", "比數還錯 更扯", "12/27 17:08", "0"
"NBA#M.1514356860.A.0A4#00083", "maydayholic ", "家維 你媽知道你在發廢文嗎", "12/27 17:09", "0"
"NBA#M.1514356860.A.0A4#00084", "tassadar1   ", "我以為LYS的文章是最廢的，直到這篇出現", "12/27 17:12", "0"
"NBA#M.1514356860.A.0A4#00085", "XXXXXXXXXGAY", "家維鬧事喔", "12/27 17:14", "0"
"NBA#M.1514356860.A.0A4#00086", "pttmylove   ", "家維打球~你當球", "12/27 17:15", "0"
"NBA#M.1514356860.A.0A4#00087", "tmmtilc     ", "這樣也一篇？每天跟著糗爺發文就好了", "12/27 17:16", "0"
"NBA#M.1514356860.A.0A4#00088", "sj210444    ", "超越LYS的天才--家維", "12/27 17:23", "0"
"NBA#M.1514356860.A.0A4#00089", "gp03dan     ", "沾光球爺，有點扯", "12/27 17:30", "0"
"NBA#M.1514356860.A.0A4#00090", "sbnj231t    ", "記者真好當", "12/27 17:41", "0"
"NBA#M.1514356860.A.0A4#00091", "jamesbsbaj  ", "真正抗糗的寫手是艾迪大", "12/27 17:44", "0"
"NBA#M.1514356860.A.0A4#00092", "PKming      ", "家維。你好diu 臉☺", "12/27 17:48", "0"
"NBA#M.1514356860.A.0A4#00093", "t5757567    ", "家維廢到笑給推", "12/27 17:51", "0"
"NBA#M.1514356860.A.0A4#00094", "dakkk       ", "家維出來玩", "12/27 17:58", "0"
"NBA#M.1514356860.A.0A4#00095", "rondoya     ", "拉基", "12/27 18:03", "0"
"NBA#M.1514356860.A.0A4#00096", "Rooxie      ", "此風不可長", "12/27 18:11", "0"
"NBA#M.1514356860.A.0A4#00097", "murmur38    ", "家維打球", "12/27 18:12", "0"
"NBA#M.1514356860.A.0A4#00098", "kuluva5476  ", "小時不讀書...", "12/27 18:15", "0"
"NBA#M.1514356860.A.0A4#00099", "alan15161718", "真的是廢文無極限", "12/27 18:31", "0"
"NBA#M.1514356860.A.0A4#00100", "bye2007     ", "這篇更廢", "12/27 18:34", "0"
"NBA#M.1514356860.A.0A4#00101", "REXDJ       ", "只看到網友笑家維", "12/27 18:41", "0"
"NBA#M.1514356860.A.0A4#00102", "et22639643  ", "XXXXXX", "12/27 18:45", "0"
"NBA#M.1514356860.A.0A4#00103", "catch27     ", "可悲家維", "12/27 18:54", "0"
"NBA#M.1514356860.A.0A4#00104", "guesswho    ", "棒上新聞，小丑的嘴角都藏不住笑意了", "12/27 18:58", "0"
"NBA#M.1514356860.A.0A4#00105", "NDSLite     ", "NBA不需要廢文", "12/27 19:07", "0"
"NBA#M.1514356860.A.0A4#00106", "willy891017 ", "西糗是SAS吧", "12/27 19:07", "0"
"NBA#M.1514356860.A.0A4#00107", "td770715    ", "臺灣最讓人瞧不起的職業", "12/27 19:14", "0"
"NBA#M.1514356860.A.0A4#00108", "eric7943    ", "自以為幽默", "12/27 19:24", "0"
"NBA#M.1514356860.A.0A4#00109", "emp675      ", "笑了", "12/27 19:29", "0"
"NBA#M.1514356860.A.0A4#00110", "WLR         ", "比扯還更扯", "12/27 19:31", "0"
"NBA#M.1514356860.A.0A4#00111", "ralphhoh2000", "家維？新來的？", "12/27 19:51", "0"
"NBA#M.1514356860.A.0A4#00112", "mijqut      ", "。", "12/27 19:59", "0"
"NBA#M.1514356860.A.0A4#00113", "a2089533    ", "☺  ☺  ☺", "12/27 20:01", "0"
"NBA#M.1514356860.A.0A4#00114", "worshipA    ", "家維 不要再發廢文了", "12/27 20:04", "0"
"NBA#M.1514356860.A.0A4#00115", "kevinkeynes ", "廢文", "12/27 20:15", "0"
"NBA#M.1514356860.A.0A4#00116", "love072642  ", "神聆老...", "12/27 20:19", "0"
"NBA#M.1514356860.A.0A4#00117", "freemail    ", "家維真的hen棒 支持家維 ☺☺☺☺☺☺☺☺☺☺☺☺", "12/27 20:19", "1"
"NBA#M.1514356860.A.0A4#00118", "conquerors71", "悲哀", "12/27 20:42", "0"
"NBA#M.1514356860.A.0A4#00119", "sbf11213    ", "無上限", "12/27 20:46", "0"
"NBA#M.1514356860.A.0A4#00120", "allyourshit ", "台媒只剩發廢文這個功能", "12/27 20:46", "0"
"NBA#M.1514356860.A.0A4#00121", "hpp730      ", "哈哈哈", "12/27 21:06", "0"
"NBA#M.1514356860.A.0A4#00122", "worm1225    ", "廢啦，噓啦乾", "12/27 21:16", "0"
"NBA#M.1514356860.A.0A4#00123", "ITUB        ", "哈哈哈", "12/27 21:19", "0"
"NBA#M.1514356860.A.0A4#00124", "rey0616     ", "測試按鈕", "12/27 22:01", "0"
"NBA#M.1514356860.A.0A4#00125", "superbatman ", "竟然有比LYS還廢的的文", "12/27 22:07", "0"
"NBA#M.1514356860.A.0A4#00126", "no321       ", "劉家維你丟不丟臉?", "12/27 22:20", "0"
"NBA#M.1514356860.A.0A4#00127", "MonDaNai    ", "家維別報了好爆", "12/27 22:34", "0"
"NBA#M.1514356860.A.0A4#00128", "cool34      ", "同意GordnHayward大", "12/27 23:35", "0"
"NBA#M.1514356860.A.0A4#00129", "cress0128   ", "報導廢文的真廢文", "12/28 00:28", "0"
"NBA#M.1514356860.A.0A4#00130", "gp03dan     ", "#1QGWtCYb(NBA)目前最有水準台媒一篇", "12/28 01:17", "0"
"NBA#M.1514356860.A.0A4#00131", "cetus       ", "這篇蠻厲害的阿 一堆人捧場", "12/28 01:46", "0"
"NBA#M.1514356860.A.0A4#00132", "sam86716    ", "...", "12/28 04:07", "0"
"NBA#M.1514356860.A.0A4#00133", "poorsin     ", "記者真好當", "12/28 08:30", "0"
"NBA#M.1514356860.A.0A4#00134", "leonmarsman ", "滾", "12/28 08:39", "0"
"NBA#M.1514356860.A.0A4#00135", "s5689       ", "下去 沒其他東西報？", "12/28 09:57", "0"
"NBA#M.1514356860.A.0A4#00136", "arnoldliaoo ", "這劉家維也是不行", "12/28 14:38", "0"
"NBA#M.1514356860.A.0A4#00137", "BroccolYee  ", "再補", "12/29 23:03", "0"
