"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1514513053.A.FA5#00000", "Yui5", "杜蘭特：我已經達到詹姆斯的等級了<br>http://www.chinatimes.com/realtimenews/20171229001353-260403<br>2017年12月29日 07:59 中時電子報 盧品青<br><br>勇士前鋒杜蘭特(Kevin Durant)在耶誕大戰的爭議聲中擊敗騎士，特別是他守住<br>了聯盟第一人「小皇帝」詹姆斯(LeBron James)，這個英勇事蹟足以讓他吹噓好<br>一陣子了。前日杜蘭特又表示：「我和詹姆斯是同一等級的球員。」<br><br>杜蘭特告訴《聖荷西信使報》說：「我跟史上最強的球員打個不相上下，我認為<br>自己有資格跟他相提並論。」杜蘭特是4度聯盟得分王、50-40-90俱樂部成員<br>(2012-13球季)，他的防守也愈來愈好，讓他自認有資格叫板詹姆斯。<br><br>「我講的不是生涯成就和霸業之類的東西，我說的是單純的球技，我和詹姆斯是<br>相同的水準，我相信他也不會否認。」<br><br>杜蘭特說：「倒不是要詹姆斯交棒給我，畢竟他還是現役球員。我是說我現在已<br>經可以跟詹姆斯、皮爾斯(Paul Pierce)、大鳥柏德(Larry Bird)、J博士相提並<br>論，我是史上最強的球員之一。」<br><br>杜蘭特當初到轉隊到勇士只是為了爭冠，如今他有了更遠大的目標，就是超越詹<br>姆斯成為聯盟第一人。<br><br>(中時電子報)<br><br>備註：<br>無<br><br>--<br>", "", ""
"NBA#M.1514513053.A.FA5#00001", "Sammy0820   ", "噁", "12/29 10:04", "0"
"NBA#M.1514513053.A.FA5#00002", "ru04d93     ", "7起來", "12/29 10:05", "0"
"NBA#M.1514513053.A.FA5#00003", "obryanto    ", "哪方面?", "12/29 10:05", "0"
"NBA#M.1514513053.A.FA5#00004", "ramirez     ", "這廝已經整個壞了", "12/29 10:05", "0"
"NBA#M.1514513053.A.FA5#00005", "NTUACCT     ", "姆咪崩潰", "12/29 10:05", "0"
"NBA#M.1514513053.A.FA5#00006", "wtaps0622   ", "喔", "12/29 10:05", "0"
"NBA#M.1514513053.A.FA5#00007", "randleslaker", "轉隊的能力是有了", "12/29 10:05", "0"
"NBA#M.1514513053.A.FA5#00008", "Alipapa     ", "各方面的精隨都算有學習到啦~ 有像! 甚至青出於藍了", "12/29 10:05", "1"
"NBA#M.1514513053.A.FA5#00009", "truevill    ", "我想兩個人球技的特點還是有點差異 LBJ也還是很強", "12/29 10:05", "0"
"NBA#M.1514513053.A.FA5#00010", "psg468203   ", "他真的是越來越嘴炮  跳到一個強隊，LBJ去也一樣神啊", "12/29 10:05", "1"
"NBA#M.1514513053.A.FA5#00011", "mask82      ", "這樣說自己真的好嗎?", "12/29 10:05", "0"
"NBA#M.1514513053.A.FA5#00012", "joeytoast   ", "沒救了", "12/29 10:06", "0"
"NBA#M.1514513053.A.FA5#00013", "fishbigman  ", "抱腿能力倒是已經超越了", "12/29 10:06", "0"
"NBA#M.1514513053.A.FA5#00014", "jeffsu      ", "恥度已經完全超越了XDDD", "12/29 10:06", "0"
"NBA#M.1514513053.A.FA5#00015", "beyondx     ", "成就還有段距離 但實力早已經超過了....", "12/29 10:06", "0"
"NBA#M.1514513053.A.FA5#00016", "jenchieh5   ", "還拉了老皮進去XD", "12/29 10:06", "0"
"NBA#M.1514513053.A.FA5#00017", "spursdog21  ", "無恥程度 yes", "12/29 10:06", "0"
"NBA#M.1514513053.A.FA5#00018", "kiske011    ", "..噁心  雷霆出來的都一樣", "12/29 10:07", "0"
"NBA#M.1514513053.A.FA5#00019", "birdman5656 ", "5F沒有講話的資格，閉嘴", "12/29 10:07", "0"
"NBA#M.1514513053.A.FA5#00020", "google60411 ", "抱腿超過 你能回帶隊奪冠再說zzz", "12/29 10:07", "0"
"NBA#M.1514513053.A.FA5#00021", "psg468203   ", "轉到打敗自己的強隊，又辦假帳號嗆前隊友，恥力完全超過", "12/29 10:07", "1"
"NBA#M.1514513053.A.FA5#00022", "nctudaniel  ", "你早已超越他了", "12/29 10:08", "0"
"NBA#M.1514513053.A.FA5#00023", "blackheart33", "這咖真的話很多", "12/29 10:08", "0"
"NBA#M.1514513053.A.FA5#00024", "fack3170    ", "怎麼到勇士後講話越來越噁心呀   那是因為你到強隊有種就去其他隊拿冠啊", "12/29 10:08", "1"
"NBA#M.1514513053.A.FA5#00025", "smartwe     ", "現在這人是不是走偏了", "12/29 10:09", "0"
"NBA#M.1514513053.A.FA5#00026", "Iversonshao ", "我阿嬤去板凳也有總冠軍", "12/29 10:09", "0"
"NBA#M.1514513053.A.FA5#00027", "Knicksmelo  ", "雖然是勇迷 但KD亂講話就是欠噓", "12/29 10:10", "0"
"NBA#M.1514513053.A.FA5#00028", "justice0616 ", "耶  kd棒棒  我最愛", "12/29 10:10", "0"
"NBA#M.1514513053.A.FA5#00029", "jcjcjcjcjc  ", "先噓再說", "12/29 10:10", "0"
"NBA#M.1514513053.A.FA5#00030", "WalterWhite ", "好了啦", "12/29 10:10", "0"
"NBA#M.1514513053.A.FA5#00031", "RicFlair    ", "腿皇腿帝 不相伯仲", "12/29 10:10", "0"
"NBA#M.1514513053.A.FA5#00032", "youga       ", "噁心 勇迷到底喜不喜歡KD我很疑惑", "12/29 10:11", "0"
"NBA#M.1514513053.A.FA5#00033", "h5t6566556  ", "KD神霸氣！", "12/29 10:12", "0"
"NBA#M.1514513053.A.FA5#00034", "mmmn52332   ", "抱腿超越了拉~~~~~~~", "12/29 10:12", "0"
"NBA#M.1514513053.A.FA5#00035", "infinitem35 ", "打輸就加入", "12/29 10:12", "0"
"NBA#M.1514513053.A.FA5#00036", "DogBe105    ", "分身被抓包以後就越來越狂了", "12/29 10:12", "0"
"NBA#M.1514513053.A.FA5#00037", "dydark      ", "有人這樣一直吹自己的嗎？", "12/29 10:12", "0"
"NBA#M.1514513053.A.FA5#00038", "WCPang      ", "轉隊學得很像", "12/29 10:12", "0"
"NBA#M.1514513053.A.FA5#00039", "zxcv3147    ", "KD的歷史地位應該有前20拉 不過要進前10就有點難了", "12/29 10:13", "1"
"NBA#M.1514513053.A.FA5#00040", "edismo      ", "看哪方面啦 如果比轉隊無恥的程度 肯定已經超過LB", "12/29 10:13", "0"
"NBA#M.1514513053.A.FA5#00041", "smtp        ", "加油...可以把喇叭守到戲精細胞牙起來就是一種肯定~", "12/29 10:13", "1"
"NBA#M.1514513053.A.FA5#00042", "Sammy0820   ", "這咖還一堆人支持", "12/29 10:13", "0"
"NBA#M.1514513053.A.FA5#00043", "deathsman   ", "假賽喇，連在雷霆都打不下西冠你他媽有臉說這屁話", "12/29 10:13", "0"
"NBA#M.1514513053.A.FA5#00044", "memory790987", "奇怪 沒奪冠前滿謙虛的啊..非本人是不是", "12/29 10:14", "0"
"NBA#M.1514513053.A.FA5#00045", "wadeinthe   ", "拿個冠軍講話就不一樣了", "12/29 10:14", "0"
"NBA#M.1514513053.A.FA5#00046", "kunda       ", "Bird沒事也中槍...", "12/29 10:14", "0"
"NBA#M.1514513053.A.FA5#00047", "jeffsu      ", "竟然還有金身腿肚迷XDDD", "12/29 10:14", "0"
"NBA#M.1514513053.A.FA5#00048", "NewShiisDog ", "你超越他了 姆斯不要臉還不會開分身", "12/29 10:15", "0"
"NBA#M.1514513053.A.FA5#00049", "icou        ", "懷疑勇迷喜不喜歡KD+1", "12/29 10:15", "0"
"NBA#M.1514513053.A.FA5#00050", "XCaper      ", "聯盟第一人！！", "12/29 10:15", "0"
"NBA#M.1514513053.A.FA5#00051", "j22255johnso", "是 就抱腿而言 甚至還超過", "12/29 10:15", "0"
"NBA#M.1514513053.A.FA5#00052", "turnkolan   ", "分身能力你強", "12/29 10:15", "0"
"NBA#M.1514513053.A.FA5#00053", "Gcobs130275 ", "分身能力加成", "12/29 10:16", "0"
"NBA#M.1514513053.A.FA5#00054", "sucabe      ", "舒服自己", "12/29 10:16", "0"
"NBA#M.1514513053.A.FA5#00055", "fack3170    ", "先回雷霆奪冠在來比", "12/29 10:16", "0"
"NBA#M.1514513053.A.FA5#00056", "jackhenry101", "有膽明年回雷霆", "12/29 10:16", "0"
"NBA#M.1514513053.A.FA5#00057", "oklagg      ", "太客氣了，他就靠長時間拿球發動，多刷那2個助攻而已", "12/29 10:16", "1"
"NBA#M.1514513053.A.FA5#00058", "NiuBi5566   ", "這種事情怎麼會自己來講 有點奇怪..", "12/29 10:17", "0"
"NBA#M.1514513053.A.FA5#00059", "wang2346581 ", "抱腿能力早就看不到你的車尾燈了", "12/29 10:17", "0"
"NBA#M.1514513053.A.FA5#00060", "ratiugyokai ", "抱腿的部分完全超越了，達到歷史留名特等級", "12/29 10:17", "0"
"NBA#M.1514513053.A.FA5#00061", "Y1999       ", "你說噁心程度還是臉皮厚度?", "12/29 10:18", "0"
"NBA#M.1514513053.A.FA5#00062", "pttisshit   ", "他誰 還我乖寶寶kd", "12/29 10:18", "0"
"NBA#M.1514513053.A.FA5#00063", "oklagg      ", "這2年兩個人放單，LBJ至少被巴10鍋，1顆都巴不回來", "12/29 10:18", "1"
"NBA#M.1514513053.A.FA5#00064", "qk56        ", "抱腿能力青出於藍", "12/29 10:19", "0"
"NBA#M.1514513053.A.FA5#00065", "downtoearth ", "光說單打 你能這麼說 但是更高的層級 我不覺得讓，KD獨自帶隊 能帶著一支球隊走多遠", "12/29 10:19", "0"
"NBA#M.1514513053.A.FA5#00066", "danlove     ", "讚，好久沒看這麼噁心的球員了，加入勇士剛剛好", "12/29 10:19", "0"
"NBA#M.1514513053.A.FA5#00067", "jimmyaspire ", "抱腿又怎樣？當初kobe也組F4還不是沒奪冠，KD確實虐姆斯了", "12/29 10:20", "1"
"NBA#M.1514513053.A.FA5#00068", "ghostxx     ", "嘲諷能力也是", "12/29 10:20", "0"
"NBA#M.1514513053.A.FA5#00069", "DoubleA5566 ", "杜蘭特心魔好重", "12/29 10:21", "0"
"NBA#M.1514513053.A.FA5#00070", "roger29     ", "打不贏就加入 抱腿 開分身 霸凌新人肯定是歷史第一其他就要繼續加把勁了", "12/29 10:21", "1"
"NBA#M.1514513053.A.FA5#00071", "Alan555     ", "球技是沒錯 羞恥心的下限也超越了", "12/29 10:22", "0"
"NBA#M.1514513053.A.FA5#00072", "truth76901  ", "太舒適到開始舒服自己了XDDD", "12/29 10:22", "0"
"NBA#M.1514513053.A.FA5#00073", "ducklingwu  ", "媽寶杜", "12/29 10:22", "0"
"NBA#M.1514513053.A.FA5#00074", "NAGI        ", "xDD", "12/29 10:22", "0"
"NBA#M.1514513053.A.FA5#00075", "daily07     ", "抱腿等級更勝一籌", "12/29 10:23", "0"
"NBA#M.1514513053.A.FA5#00076", "hua0122     ", "靠三個 早就超越靠兩個的姆斯了", "12/29 10:23", "0"
"NBA#M.1514513053.A.FA5#00077", "qpeter      ", "KD把LBJ當做一生之敵 各方面都想超越LBJ 各方面...", "12/29 10:23", "1"
"NBA#M.1514513053.A.FA5#00078", "jerry92363  ", "抱腿程度吧", "12/29 10:23", "0"
"NBA#M.1514513053.A.FA5#00079", "kahigh      ", "開分身能力A+", "12/29 10:23", "0"
"NBA#M.1514513053.A.FA5#00080", "robots      ", "很難比較....論統治力還是姆強，論團隊戰力肚強！若把肚放回雷霆，可能無法達到這水準！", "12/29 10:24", "1"
"NBA#M.1514513053.A.FA5#00081", "Gregbird    ", "在轉一次", "12/29 10:26", "0"
"NBA#M.1514513053.A.FA5#00082", "m791017     ", "不是自己說吧 XD", "12/29 10:26", "0"
"NBA#M.1514513053.A.FA5#00083", "jokethelife ", "趕快趁這波洗白皇上XDD", "12/29 10:26", "0"
"NBA#M.1514513053.A.FA5#00084", "tim8333     ", "無侈跟軟弱程度完全超越 人家LBJ可沒有開分身，無恥", "12/29 10:26", "0"
"NBA#M.1514513053.A.FA5#00085", "WorldPeace26", "強", "12/29 10:27", "0"
"NBA#M.1514513053.A.FA5#00086", "STB1        ", "真的強", "12/29 10:27", "0"
"NBA#M.1514513053.A.FA5#00087", "smik        ", "有種離開勇士自己組隊友", "12/29 10:29", "0"
"NBA#M.1514513053.A.FA5#00088", "qq19970610  ", "沒人出來嘴這咖？", "12/29 10:29", "0"
"NBA#M.1514513053.A.FA5#00089", "ray710166   ", "腦呢", "12/29 10:30", "0"
"NBA#M.1514513053.A.FA5#00090", "druu        ", "只論球技的話 跟LBJ同等級的不少吧...", "12/29 10:31", "0"
"NBA#M.1514513053.A.FA5#00091", "williamlo   ", "聯盟最討厭", "12/29 10:32", "0"
"NBA#M.1514513053.A.FA5#00092", "amber419    ", "杯糕太謙虛 他早就超越詹皇了 秀下限的能力", "12/29 10:32", "0"
