"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1515373186.A.F87#00000", "kenny1300175", "2018-01-08 07:00 特約記者李亦伸<br><br><br>傷癒復出4戰場均36分，每場命中7個三分球，投籃命中率5成84，三分球命中率5成36，勇<br>士後衛Curry不但手感火熱，他的牽制力和傳球也為隊友創造更多空間和出手機會，打亂<br>對手節奏和防守布局，抓狂版Curry正在回到年度MVP競爭行列！<br><br><br>2017-18NBA季前，全世界預測NBA年度MVP有三大熱門，第一是騎士James，第二是火箭後<br>衛Harden，第三是公鹿前鋒Antetokounmpo、勇士前鋒Durant、馬刺前鋒 Leonard。這分<br>季前MVP預測少了雷霆後衛Westbrook，因為雷霆三巨頭組合會分散球權和MVP光環，讓<br>Westbrook失去競爭力和驚人數據。名單也少了塞爾蒂克後衛Irving，塞爾蒂克打團隊籃<br>球，陣中兩球星Hayward、Horford也會分散Irving競爭光環。<br><br><br>2015、2016兩季MVP勇士後衛Curry排不進前六，但本季季前我的MVP預測是Curry，分析理<br>由有幾個。<br><br><br>1、年度MVP熱門關鍵在下半季，不是上半季，下半季爆發，打出狀況，球隊戰績拉升，會<br>讓投票者和媒體關注印象更深刻，有助於MVP選票和聲勢。<br><br><br>2、Curry上季以領袖角色幫助Durant融入勇士，也為勇士贏下三年內第二座總冠軍，接下<br>來就是他再度爆發，主宰比賽，用犀利投籃和突破、傳球改變聯盟的「Show Time」。<br><br><br>3、勇士是最近幾年NBA戰力、天賦、球星指數最強大球隊，Curry是這支球隊核心領袖，<br>他還會有3-4年顛峰，只是勇士球星太多，加上Curry打的是控球後衛角色，他必須幫助隊<br>友融入團隊，接下來才能打出自己數據和功能。<br><br><br>4、Curry的投籃能力和射程空前，也可能絕後，他正在改變籃球和這個世代，短期內<br>Curry還會有抓狂爆發和高峰。最出色的投籃，更穩定的跳投，更不可思議的射程，還有<br>出神入化的控球、突破、傳球能力，Curry的球技、技巧和統治力，還會有很大主宰空間<br>。<br><br><br>NBA官網「MVP排行榜」，Curry上周排名和聲勢回到第五，第一是Durant，第二是Harden(<br>傷停中)，第三是Irving，第四是James。<br><br><br>Durant最近一周輪休，他歸隊後，抓狂版Curry數據會稍稍平緩，但他的狀況和出色投籃<br>還會帶動勇士，成為勇士下半季戰力再上升的靈魂。<br><br><br>目前看來勇士本季至少65勝，合理67勝，上看69勝，Curry只要下半季健康，他會重新回<br>到MVP競爭雷達，在戰績、個人表現和聲勢上，逐漸搶回MVP舞台光環。<br><br><br>抓狂版Curry回來了，瘋狂三分球也跟著回來，勇士也會隨著季後賽接近，逐漸收拾玩心<br>，打出衛冕軍架式。<br><br><br><br>https://udn.com/news/story/7002/2916655<br><br>--<br>", "", ""
"NBA#M.1515373186.A.F87#00001", "lovefish0428", "未看先噓", "01/08 09:00", "0"
"NBA#M.1515373186.A.F87#00002", "chenliu0716 ", "柯神抗糗模式啟動", "01/08 09:00", "0"
"NBA#M.1515373186.A.F87#00003", "yanme810508 ", "完了", "01/08 09:00", "0"
"NBA#M.1515373186.A.F87#00004", "callmeblack ", "要變柯鐵了", "01/08 09:00", "0"
"NBA#M.1515373186.A.F87#00005", "ITUB        ", "抓狂…", "01/08 09:00", "0"
"NBA#M.1515373186.A.F87#00006", "StressND    ", "我咖抗糗", "01/08 09:00", "0"
"NBA#M.1515373186.A.F87#00007", "eb7682peter ", "垃圾糗爺", "01/08 09:01", "0"
"NBA#M.1515373186.A.F87#00008", "acse123     ", "ZZ", "01/08 09:01", "0"
"NBA#M.1515373186.A.F87#00009", "jeffsu      ", "幫咖哩默哀", "01/08 09:01", "0"
