"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1517304991.A.4CF#00000", "aryten", "今年Drummond可以說是打出了不錯的賽季<br><br>隊伍也在前一陣子打進東區前段<br><br><br>然而就在最近的六連敗讓總管發現不對勁<br><br>應該要做出什麼改變了<br><br>因為總管是想繼續衝擊季後賽的<br><br><br>或許是這個陣容已經嘗試過 也發現沒辦法走得長遠<br><br>換來BG可以讓隊伍走出低潮<br><br>隊伍離季後賽真的只是一步之遙而已<br><br><br>另外不上不下沒有人潮，不如換個大明星讓球館收益更好一點也是個出發點<br><br>--<br>", "", ""
"NBA#M.1517304991.A.4CF#00001", "mask82      ", "紅", "01/30 17:37", "0"
"NBA#M.1517304991.A.4CF#00002", "flannery0123", "紅色的推文^^", "01/30 17:37", "0"
"NBA#M.1517304991.A.4CF#00003", "Wojnarowski ", "紅塞", "01/30 17:37", "0"
"NBA#M.1517304991.A.4CF#00004", "FAYeeeeeeee ", "紅推", "01/30 17:39", "0"
"NBA#M.1517304991.A.4CF#00005", "alex526611  ", "紅起來", "01/30 17:39", "0"
"NBA#M.1517304991.A.4CF#00006", "yoiverson   ", "要紅我給你", "01/30 17:39", "0"
"NBA#M.1517304991.A.4CF#00007", "chrisplash  ", "=                        =", "01/30 17:40", "0"
"NBA#M.1517304991.A.4CF#00008", "slimak      ", "紅", "01/30 17:40", "0"
"NBA#M.1517304991.A.4CF#00009", "gaiaesque   ", "?", "01/30 17:41", "0"
"NBA#M.1517304991.A.4CF#00010", "poorsin     ", "紅起來", "01/30 17:41", "0"
"NBA#M.1517304991.A.4CF#00011", "auron4041   ", "哈哈哈", "01/30 17:42", "0"
"NBA#M.1517304991.A.4CF#00012", "abc31216    ", "紅起來", "01/30 17:42", "0"
"NBA#M.1517304991.A.4CF#00013", "QAQAQAQA    ", "紅的喜氣", "01/30 17:43", "0"
"NBA#M.1517304991.A.4CF#00014", "Lpissostrong", "大家紅起來", "01/30 17:43", "0"
"NBA#M.1517304991.A.4CF#00015", "dustinhuang ", "真的好紅", "01/30 17:43", "0"
"NBA#M.1517304991.A.4CF#00016", "lonelysin   ", "偏給推。", "01/30 17:44", "0"
"NBA#M.1517304991.A.4CF#00017", "james049240 ", "那我就給你的紅色", "01/30 17:52", "0"
"NBA#M.1517304991.A.4CF#00018", "Toy17       ", "紅賽？ 拜託選個字，紅塞", "01/30 17:54", "0"
"NBA#M.1517304991.A.4CF#00019", "f771213     ", "紅三小", "01/30 17:54", "0"
"NBA#M.1517304991.A.4CF#00020", "orangeray   ", "紅塞是三小?", "01/30 17:55", "0"
"NBA#M.1517304991.A.4CF#00021", "DioEraclea  ", "我還紅魔勒", "01/30 17:55", "0"
"NBA#M.1517304991.A.4CF#00022", "vltw5v      ", "給你紅", "01/30 17:55", "0"
"NBA#M.1517304991.A.4CF#00023", "essicjj     ", "ㄏㄨㄥㄑㄧㄌㄞ", "01/30 17:58", "0"
"NBA#M.1517304991.A.4CF#00024", "a16625t     ", "紅", "01/30 18:02", "0"
"NBA#M.1517304991.A.4CF#00025", "ClownT      ", "....", "01/30 18:02", "0"
"NBA#M.1517304991.A.4CF#00026", "yayato1231  ", "聊天室紅起來", "01/30 18:05", "0"
"NBA#M.1517304991.A.4CF#00027", "justice0616 ", "洪洪", "01/30 18:08", "0"
"NBA#M.1517304991.A.4CF#00028", "MorikonHase ", "新年快熱", "01/30 18:08", "0"
"NBA#M.1517304991.A.4CF#00029", "friends29   ", "你標題都說紅了 不給你紅有點不好意思", "01/30 18:11", "0"
"NBA#M.1517304991.A.4CF#00030", "OPPAISuki   ", "紅賽雷", "01/30 18:14", "0"
"NBA#M.1517304991.A.4CF#00031", "emptie      ", "呵呵 說青賽綠賽就可以 紅塞就不行 鄉民真的兩套標", "01/30 18:16", "1"
"NBA#M.1517304991.A.4CF#00032", "gn025       ", "紅敢", "01/30 18:21", "0"
"NBA#M.1517304991.A.4CF#00033", "edcs        ", "看成缸塞", "01/30 18:21", "0"
"NBA#M.1517304991.A.4CF#00034", "YummyWall   ", "缸塞XDD", "01/30 18:30", "0"
