"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1517742504.A.B1E#00000", "b19880115", "※ [本文轉錄自 Gossiping 看板 #1QTk8Nmi ]<br><br>作者: b19880115 ( ☯) 看板: Gossiping<br>標題: Re: [新聞] NBA》慘輸火箭讓詹皇氣瘋 湯瑪斯再爆：球<br>時間: Sun Feb  4 18:35:56 2018<br><br>雖然我是nba一日球迷，完全沒有專業跟可信度可言。<br><br>但是我還是得說幾句話。<br><br>這可能跟詹姆是會去夜店有關係，去夜店會影響表現，至於<br><br>curry是不喜歡去夜店的。<br><br>請看這則報導http://tinyurl.com/yalhwhf7。<br><br>所以如果想要表現的穩定要優質，先從戒掉夜店開始。<br><br>雖然我是NBA一日球迷加上完全沒有專業度可言。<br><br>但是偶然知道curry不去夜店就很看好他，一看到詹皇會去其實我已<br><br>經偷偷幫他打上了問號，雖然這是事後諸葛，但我只能說這個結果不意外。<br><br>以上NBA一日球迷不專業唬爛分析。<br><br><br>謝謝。<br><br>--<br>", "", ""
"NBA#M.1517742504.A.B1E#00001", "Levitt", "買飯登整天泡夜店還不是60分大三元==", "02/04 18:36", "0"
"NBA#M.1517742504.A.B1E#00002", "mk1689", "我覺得哈登才是個笑話，你看過哪個nba球員進攻的時候防守球員不太敢守，就算被硬靠上去買飯也高舉雙手的？更不用說一堆罰球....", "02/04 18:45", "1"
"NBA#M.1517742504.A.B1E#00003", "mk1689", "季後賽沒裁判看哈登有多慘..", "02/04 18:48", "0"
"NBA#M.1517742504.A.B1E#00004", "goal56", "中肯", "02/04 19:00", "0"
"NBA#M.1517742504.A.B1E#00005", "rioslo      ", "轉自己的文過來是要？", "02/04 19:10", "0"
"NBA#M.1517742504.A.B1E#00006", "leo755269   ", "轉這廢文幹嘛= =", "02/04 19:10", "0"
"NBA#M.1517742504.A.B1E#00007", "blitz       ", "不懂?", "02/04 19:11", "0"
"NBA#M.1517742504.A.B1E#00008", "brokenXD    ", "你誰?", "02/04 19:11", "0"
"NBA#M.1517742504.A.B1E#00009", "ewc024      ", "今日之最", "02/04 19:12", "0"
"NBA#M.1517742504.A.B1E#00010", "a19951218   ", "反串？ curry人品屌打詹皇還需要你說？Curry最近幾場也有小烙賽好嗎", "02/04 19:12", "0"
"NBA#M.1517742504.A.B1E#00011", "rioslo      ", "真的不知道該怎麼解讀這篇，反串是吧", "02/04 19:13", "0"
"NBA#M.1517742504.A.B1E#00012", "energyy1104 ", "問號", "02/04 19:14", "0"
