"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1518134931.A.D2E#00000", "Jhan17", "https://i.imgur.com/29RYysu.jpg<br>很多熱火球迷表示自己才睡一個覺，醒來還搞不清楚狀況，就聽到Wade回熱火的消息。<br>不少球迷湧入熱火以及Wade的社群網站留言慶祝。<br><br>熱火隊的官方Instagram也引用油頭萊利的感言來歡迎閃電俠歸隊，不過下方倒是引來不<br>少謾罵萊利的回覆。<br><br>不少球迷更是要萊利好好的尊重這位球隊歷史至今最偉大的當家球星。<br><br>--<br>", "", ""
"NBA#M.1518134931.A.D2E#00001", "happy1234557", "不舒服", "02/09 08:09", "0"
"NBA#M.1518134931.A.D2E#00002", "Grammy      ", "講幹話", "02/09 08:09", "0"
"NBA#M.1518134931.A.D2E#00003", "retre77     ", "虛偽", "02/09 08:09", "0"
"NBA#M.1518134931.A.D2E#00004", "qazwsx879345", "樓下說油頭會洗白嗎 先知", "02/09 08:09", "0"
"NBA#M.1518134931.A.D2E#00005", "nutra       ", "當初不知道是誰吼 開那種腦殘合約", "02/09 08:10", "0"
"NBA#M.1518134931.A.D2E#00006", "icoann      ", "suck", "02/09 08:10", "0"
"NBA#M.1518134931.A.D2E#00007", "kyo90637    ", "雖然討厭油頭但還是替wade感到高興 回家了", "02/09 08:10", "0"
"NBA#M.1518134931.A.D2E#00008", "Kaede520    ", "球迷很難買油頭的單吧", "02/09 08:10", "0"
"NBA#M.1518134931.A.D2E#00009", "BoYuYou     ", "看到韋德回家還是推", "02/09 08:10", "0"
"NBA#M.1518134931.A.D2E#00010", "hmwin       ", "ㄜ", "02/09 08:11", "0"
"NBA#M.1518134931.A.D2E#00011", "pokerhow    ", "又可以壓榨了！！不過還是歡迎 我韋 歸來", "02/09 08:12", "0"
"NBA#M.1518134931.A.D2E#00012", "king45645   ", "場面話", "02/09 08:13", "0"
"NBA#M.1518134931.A.D2E#00013", "Arsenalhenry", "幹XDDDD", "02/09 08:13", "0"
"NBA#M.1518134931.A.D2E#00014", "liafree     ", "早點出錢就不用換了", "02/09 08:14", "0"
"NBA#M.1518134931.A.D2E#00015", "ntusimmon   ", "官話", "02/09 08:14", "0"
"NBA#M.1518134931.A.D2E#00016", "s880303     ", "還在演", "02/09 08:14", "0"
