"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1518165981.A.A18#00000", "zoosleep", "※ 引述《f22313467 (軍曹)》之銘言：<br>: https://goo.gl/X6Ljpv<br>: 大家好，這是 ALT<br>: 先說結論，未來將不會再製作聯盟四格與電影版影片。<br>: www.altoops.com/pages/alt20180208<br>: 克里阿密迷們的悲歌<br>: -----<br>: Sent from JPTT on my iPhone<br><br>剛才看到一個廣告<br><br>https://i.imgur.com/mtII2U7.jpg<br>這也po.我不知道消費這幹什麼?<br><br>沒四格圖的alt,我看整天只剩下姆斯了<br><br>下次清明節會不會還要推出什麼?<br><br>當初四格圖還蠻好笑的<br><br>但為了營利?都變質了<br><br>衣服賣的比名牌還貴<br><br>創作者整天戴全身的alt走路<br><br>我不知道nba的商標是那麼好用的<br><br>那下次要不要mlb也來一個blt<br><br>還是足球也來一個<br><br>沒錯nba有笑點才好看<br><br>雖然姆斯某部份很誇張<br><br>但因為人家當紅就整天小姆斯的<br><br>我真的不知道他在想什麼<br><br>一直說沒被吉，可是漫畫是你主幹耶<br><br>主幹沒了，還剩下什麼可以說嘴<br><br><br><br><br><br>--<br>", "", ""
"NBA#M.1518165981.A.A18#00001", "willy891017 ", ".", "02/09 16:47", "0"
"NBA#M.1518165981.A.A18#00002", "Acetoxy     ", "喔", "02/09 16:47", "0"
"NBA#M.1518165981.A.A18#00003", "alan01006   ", "放心啦迷迷們會繼續捧", "02/09 16:47", "0"
"NBA#M.1518165981.A.A18#00004", "kuaiphoto   ", "ALT的幹嘛回文或轉文", "02/09 16:47", "0"
"NBA#M.1518165981.A.A18#00005", "Leaflock    ", "各位小姆斯還不買十個", "02/09 16:48", "0"
"NBA#M.1518165981.A.A18#00006", "q1057581    ", "只有你在看", "02/09 16:48", "0"
"NBA#M.1518165981.A.A18#00007", "kiske011    ", "I don't care", "02/09 16:48", "0"
"NBA#M.1518165981.A.A18#00008", "yoiverson   ", "我比較喜歡看下面留言的帳號", "02/09 16:48", "0"
"NBA#M.1518165981.A.A18#00009", "CKNTUErnie  ", "喔，I dot' car", "02/09 16:48", "0"
"NBA#M.1518165981.A.A18#00010", "LoMing1021  ", "不要一直發廢文討論一個已經過氣的小丑好嗎", "02/09 16:48", "0"
"NBA#M.1518165981.A.A18#00011", "ksk0516     ", "不要幫忙打知名度好嗎", "02/09 16:48", "0"
"NBA#M.1518165981.A.A18#00012", "leophior    ", "轉垃圾過來淦嘛", "02/09 16:48", "0"
"NBA#M.1518165981.A.A18#00013", "auron4041   ", "他有畫甚麼?", "02/09 16:49", "0"
"NBA#M.1518165981.A.A18#00014", "MoWilliams  ", "那不拿金指部的標誌改的嗎，不是", "02/09 16:49", "0"
"NBA#M.1518165981.A.A18#00015", "Moneygerm   ", "講個題外話 香港的足球快報也盜了一堆國外IG的梗跟圖ㄎㄎ 還是一堆人看", "02/09 16:50", "1"
"NBA#M.1518165981.A.A18#00016", "mroweht     ", "I dot car", "02/09 16:50", "0"
"NBA#M.1518165981.A.A18#00017", "shifa       ", "ALT前期酸姆斯算有梗，但後來愈來愈多為酸而酸的圖片，就收回讚了。", "02/09 16:51", "1"
"NBA#M.1518165981.A.A18#00018", "lsps40803   ", "賣醜死的東西就躺著賺了", "02/09 16:51", "0"
"NBA#M.1518165981.A.A18#00019", "Liaocavalier", "沒空", "02/09 16:51", "0"
"NBA#M.1518165981.A.A18#00020", "tom501062003", "Who cares", "02/09 16:52", "0"
"NBA#M.1518165981.A.A18#00021", "kenkuo1688  ", "乾我啊", "02/09 16:52", "0"
"NBA#M.1518165981.A.A18#00022", "mhfo3035    ", "低能ALT粉還敢回文秀下限", "02/09 16:52", "0"
"NBA#M.1518165981.A.A18#00023", "GAOTT       ", "被姆斯鬥倒惹 QQ", "02/09 16:52", "0"
"NBA#M.1518165981.A.A18#00024", "perfect64732", "就垃圾被看破手腳", "02/09 16:52", "0"
"NBA#M.1518165981.A.A18#00025", "Sammy0820   ", "這也po", "02/09 16:54", "0"
"NBA#M.1518165981.A.A18#00026", "fishinthesky", "小畫家等級的設計也變潮牌", "02/09 16:55", "0"
"NBA#M.1518165981.A.A18#00027", "s50101      ", "詹酸沒得笑了", "02/09 16:55", "0"
"NBA#M.1518165981.A.A18#00028", "inmoohuadaw ", "台灣之恥，低能丟臉屁孩最愛", "02/09 16:55", "0"
"NBA#M.1518165981.A.A18#00029", "Toy17       ", "回文是要討噓嗎？？", "02/09 16:56", "0"
"NBA#M.1518165981.A.A18#00030", "AKIRAYOUNG  ", "詹酸的附隨組織，怎麼還不倒一倒", "02/09 16:59", "0"
"NBA#M.1518165981.A.A18#00031", "bagayellow  ", "真的認為衣服就只是普通好看而已 但價格卻是不普通的貴", "02/09 16:59", "1"
"NBA#M.1518165981.A.A18#00032", "liafree     ", "不要關注他 早晚就倒了", "02/09 17:00", "0"
"NBA#M.1518165981.A.A18#00033", "hwtone      ", "是不是普通的醜吧", "02/09 17:00", "0"
"NBA#M.1518165981.A.A18#00034", "Kulan       ", "別污辱漫畫好嗎?", "02/09 17:00", "0"
"NBA#M.1518165981.A.A18#00035", "pubfire     ", "漫畫抄襲就算了 衣服也抄...抄的還很醜", "02/09 17:04", "0"
"NBA#M.1518165981.A.A18#00036", "aa01081008tw", "詹酸大本營...版上一堆對LBJ恨之入骨的應該不少粉絲", "02/09 17:06", "1"
"NBA#M.1518165981.A.A18#00037", "BlackTea1023", "你這篇也很廢 又佔版面", "02/09 17:07", "0"
"NBA#M.1518165981.A.A18#00038", "LoveDonGin  ", "沒腦的人才買這種垃圾東西 尤74屁孩", "02/09 17:08", "0"
"NBA#M.1518165981.A.A18#00039", "terminator3 ", "還回文啊鐵粉", "02/09 17:09", "0"
"NBA#M.1518165981.A.A18#00040", "duncan1015  ", "爛東西都騙小屁孩的", "02/09 17:10", "0"
"NBA#M.1518165981.A.A18#00041", "gunlinuu    ", "挖姆斯啦", "02/09 17:10", "0"
"NBA#M.1518165981.A.A18#00042", "vincent14   ", "反正他們一樣賺錢 鄉民們就省著點發文或酸了啦", "02/09 17:11", "0"
"NBA#M.1518165981.A.A18#00043", "kairiyu     ", "就跟狂新聞惹到___ ALT惹到____", "02/09 17:13", "0"
"NBA#M.1518165981.A.A18#00044", "wayne0226   ", "關注他的人水準也是跟他差不多", "02/09 17:17", "0"
"NBA#M.1518165981.A.A18#00045", "kosha       ", "可以不要再re這個系列了嗎Zzzz", "02/09 17:18", "0"
"NBA#M.1518165981.A.A18#00046", "IMpcFox     ", "乾我屁事", "02/09 17:18", "0"
"NBA#M.1518165981.A.A18#00047", "justice0616 ", "干你娘", "02/09 17:18", "0"
"NBA#M.1518165981.A.A18#00048", "kokskuld    ", "有夠low...", "02/09 17:19", "0"
"NBA#M.1518165981.A.A18#00049", "PrimeKobe   ", "我家屁孩如果去買我就打斷他腿幹，好險還沒這個煩惱", "02/09 17:20", "1"
"NBA#M.1518165981.A.A18#00050", "summer08818 ", "它除了盜圖跟偷耿 它到底畫了啥?", "02/09 17:20", "0"
"NBA#M.1518165981.A.A18#00051", "sonofgod    ", "https//i.imgur.com/8NPF8oe.jpg 對姆斯有莫名堅持https//i.imgur.com/ATjAujE.jpg", "02/09 17:21", "1"
"NBA#M.1518165981.A.A18#00052", "tw88        ", ".", "02/09 17:21", "0"
"NBA#M.1518165981.A.A18#00053", "stage0121   ", "呵呵ALT 靠姆斯來賺錢喔== 收一收啦成衣工廠", "02/09 17:22", "0"
"NBA#M.1518165981.A.A18#00054", "zingy       ", "垃圾品牌。", "02/09 17:24", "0"
"NBA#M.1518165981.A.A18#00055", "kakain      ", "這外套是在開玩笑嗎！？！", "02/09 17:24", "0"
"NBA#M.1518165981.A.A18#00056", "shengkao    ", "那件外套醜爆，然後超貴", "02/09 17:26", "0"
"NBA#M.1518165981.A.A18#00057", "marchcharlie", "說實話那外套真他媽有夠醜", "02/09 17:28", "0"
"NBA#M.1518165981.A.A18#00058", "Transfat    ", "國中生永遠一直有", "02/09 17:29", "0"
"NBA#M.1518165981.A.A18#00059", "s00105albert", "很可憐的粉專", "02/09 17:30", "0"
"NBA#M.1518165981.A.A18#00060", "LazyCool    ", "他有「畫」過什麼，不就一直截圖玩那個四格梗，到，底有「畫」過什麼？", "02/09 17:32", "0"
"NBA#M.1518165981.A.A18#00061", "sonofgod    ", "我記得以前HOOP台灣 NBA漫畫也是讓官方不爽所以停掉", "02/09 17:33", "1"
"NBA#M.1518165981.A.A18#00062", "marchcharlie", "https//i.imgur.com/O6hpBYY.png 快2000人的預定", "02/09 17:34", "0"
