"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1518237995.A.93A#00000", "kenny1300175", "by 李亦伸‧2018年2月9日 下午9:12<br><br><br>台北時間2月9日凌晨，就在NBA球員交易截止日後，騎士前鋒LeBron James失眠了!<br><br><br>LeBron James興奮到失眠。<br><br><br>騎士在幾小時內完成三筆交易，送走Jae Crowder、Channing Frye、Derrick Rose、<br>Iman Shumpert、Isaiah Thomas、Dwyane Wade六名球員，其中有兩名先發，三名主要替<br>補，一名二線替補。換來George Hill、Rodney Hood、Jordan Clarkson和Larry Nance<br>Jr.四名新血。<br><br><br><br>騎士總經理Koby Altman說，「球季即將進入三月分，我們感覺球隊正走在慢性自殺路上<br>，近況一團糟，我不想跟著陷進去」。<br><br><br>Altman強調，「跟我們季前完成交易、布局時的期待完全不同，我們預期的天賦、經驗、<br>陣容深度並沒有發揮作用，球隊文化和磨合一直不到位，透過交易改變球隊組合，增加新<br>鮮血液，重新建立球隊文化和競爭力」。<br><br><br><br>騎士這一波出清，有幾個重大意義和改變：<br><br><br>#年輕化<br><br>騎士今年戰績一直起不來，防守也拉不上來最大困境是主力球員年紀偏高。這一波三筆交<br>易六出四進，其中Hood、Clarkson、Nance都才25歲，都能扛下先發角色，控球後衛Hill<br>31歲，他的作用就是防守、替補、穩定節奏、投進外線、讓LeBron James可以喘息。<br><br><br><br>#改變防守提升外線<br><br><br>Rose、Wade都沒有穩定外線，IT本季為騎士出賽15場，三分球命中率僅2成5，Crowder 3<br>成3，Shumpert 2成7，都在聯盟水準以下。Hill本季三分命中率4成53，Hood 3成89，<br>Clarkson也接近3成3，這次交易騎士外線穩定性和牽制力大有提升。<br><br><br>六出四進，這四名球員運動能力和防守都更為出色，騎士陣容老化和運動能力都能得到改<br>善。<br><br><br><br>#精簡後場人手<br><br>IT卡在先發，讓騎士陣容動彈不得，Rose和Wade都需要上場時間，卡在替補，兩人上場時<br>間和空間都受到限制，騎士後場人滿為患，調度用人都讓原本就不擅於調兵遣將的<br>Tyronn Lue更手足無措。<br><br><br>透過這次交易，三名後衛出清，Hill功能單純化，外線、經驗、防守都穩，不佔球權，<br>Hood鋒衛全能，Clarkson增加騎士板凳得分和打爛仗能力，騎士先發、替補、角色球員功<br>能性更齊全。<br><br><br><br>#進可攻退可守<br><br>騎士原本就一團糟的球隊文化和團隊合作，在重新出清整合後，LeBron James可以完美掌<br>權，教練不必再錯開他和IT上場時間，LeBron不必讓出更多球權給IT，Hill、Hood、<br>Clakrson的防守能力和攻防水平，教練不再需要在決勝期進行進攻組和防守組球員輪換。<br><br><br>對騎士來說，年輕、防守、運動能力和外線同時得改善，球員輪換也再精簡，沒有太多重<br>疊，本季騎士還有兩個月賽季重新磨合，並等待Kevin Love傷癒歸隊，除了再爭東冠，即<br>使LeBron James2018夏天決定離開，騎士仍有足夠年輕、天賦球員可以保持競爭力。<br><br><br>騎士新的陣容組合肯定讓LeBron James相當興奮，原本東區雙雄塞爾蒂克、暴龍對位騎士<br>的信心和優勢都不會再那麼明顯。<br><br><br>我喜歡前灰熊教練David Fizdale為騎士交易所做的註解，「騎士完成這三筆交易後，東<br>區許多球隊都會開始胃痛了…」。<br><br><br><br>https://goo.gl/eLswbP<br><br>--<br>", "", ""
"NBA#M.1518237995.A.93A#00001", "j30916      ", "我先", "02/10 12:46", "0"
"NBA#M.1518237995.A.93A#00002", "ksuenjjr    ", "lys", "02/10 12:47", "0"
"NBA#M.1518237995.A.93A#00003", "CHELun      ", "lbj 怎麼突然想睡覺?", "02/10 12:47", "0"
"NBA#M.1518237995.A.93A#00004", "BlackTea1023", "轉他的垃圾文幹嘛", "02/10 12:47", "0"
"NBA#M.1518237995.A.93A#00005", "kratos0993  ", "好", "02/10 12:47", "0"
"NBA#M.1518237995.A.93A#00006", "b08297      ", "他是打電話告訴Lys他失眠逆", "02/10 12:47", "0"
"NBA#M.1518237995.A.93A#00007", "hunt5566    ", "這是我與lbj髮線的合照", "02/10 12:47", "0"
"NBA#M.1518237995.A.93A#00008", "FatalLuna   ", "...", "02/10 12:47", "0"
"NBA#M.1518237995.A.93A#00009", "DogBe105    ", "b嘴", "02/10 12:47", "0"
