"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1518575126.A.6EC#00000", "kenny1300175", "2018-02-14 07:00 特約記者李亦伸<br><br><br>上半季沒有意外，費城76人狀元新秀Ben Simmons就是「年度新人」唯一人選，不管是個<br>人數據、表現還是全能身手、鋒頭，Simmons場均16.4分、7.7籃板、7.3助攻讓所有競爭<br>者都失去競爭力。<br><br><br>賽季剩下三分之一不到，本季已經出賽53場Simmons，原本遙遙領先的年度新人情勢開始<br>有了改變，猶他爵士後衛Donovan Mitchell正以驚人速度成長，場均19.5分、3.5籃板、<br>3.4助攻的表現，率領爵士趕上季後賽雷達。<br><br><br>Mitchell是2017年第一輪第13順位新秀，6呎3吋得分後衛，在爵士他是控球、得分兩門抱<br>，Mitchell攻擊型控球特質，在以守為攻的爵士隊相當討喜，他是爵士得分第一主力，也<br>是攻勢最重要發起點，現在更成為爵士進攻最穩定終結者。<br><br><br>爵士剛完成一波10連勝，Mitchell這波連勝場均貢獻21.3分，三分球命中率4成1。比戰績<br>，爵士29勝28敗，稍稍落後76人29勝25敗，76人暫居東區第7，爵士上升到西區第10。比<br>個人表現，Mitchell的進攻爆發力和球隊第一主攻角色，賽季可能達成場均20分，<br>Mitchell幾乎主導爵士進攻戰術和節奏，鋒頭略勝Simmons。<br><br><br>Simmons全能球風和全面身手備受讚揚，但Simmons本季三分球10投0中，還沒有投進過三<br>分球紀錄，多少會影響媒體票選和觀感，這對Simmons競爭年度新人大不利。<br><br><br>不管是球隊排名、戰績還是個人表現，Mitchell已經趕上Simmons，兩人在形象和觀感、<br>數據上不相上下，平分秋色，接下來76人和爵士誰能搶下季後賽名額，很可能就是決定最<br>終年度新人終極指標。<br><br><br>TNT電視球評Barkley看好76人，他認為76人可以穩定拿下一席東區季後賽，目前76人排名<br>和勝率確實稍佔優勢。不過Mitchell的優勢在得分和球隊關鍵角色，從2018年的表現可以<br>預見，Mitchell很可能成為今年新人唯一一個場均20分射手，控球、得分雙能衛角色，<br>Mitchell在媒體心目中留下深刻印象。場均20分一旦加上西區季後賽席位，Mitchell極具<br>年度新人競爭力。<br><br><br>爵士教練Quin Snyder說，「Mitchell現在打球方式，好像他在這個聯盟已經打了8年、10<br>年，他沒有菜鳥生澀，更沒有老鳥俗氣，打法擅於帶動隊友士氣和節奏，他是一名攻防兩<br>端都能改變比賽節奏關鍵球員」。<br><br><br>Mitchell帶領爵士正在趕上西區季後賽，10連勝中包括二勝馬刺，再勝勇士和暴龍兩支東<br>西區龍頭，勝場貨真價實。<br><br><br>「贏球氣氛和球隊文化讓我們更團結，也更能盡情享受比賽」Mitchell說出爵士這波連勝<br>的休息室氛圍，在聯盟第七的防守基礎上，爵士樂高奏前進，西區第9快艇、第8鵜鶘、第<br>7金塊的領先優勢正在拉近。<br><br><br><br><br>https://udn.com/news/story/7002/2985632<br><br>--<br>", "", ""
"NBA#M.1518575126.A.6EC#00001", "dotdotisme  ", "GGGGGGGGGGGGG", "02/14 10:25", "0"
"NBA#M.1518575126.A.6EC#00002", "remix999    ", "米丘！！！！！", "02/14 10:25", "0"
"NBA#M.1518575126.A.6EC#00003", "bbbruce     ", "比西門強，超級米丘 報乎你知黃蜂", "02/14 10:26", "0"
"NBA#M.1518575126.A.6EC#00004", "t4qup3      ", "...........東方神秘力量開示?", "02/14 10:26", "0"
"NBA#M.1518575126.A.6EC#00005", "xul4vup4    ", "無聊，轉傳廢文的不要再帶風向", "02/14 10:26", "0"
"NBA#M.1518575126.A.6EC#00006", "Ayanami5566 ", "撐這麼久  終於被盯上了  幫QQ", "02/14 10:26", "0"
"NBA#M.1518575126.A.6EC#00007", "kkevil      ", "先說結論 幫Mitchell QQ", "02/14 10:26", "0"
"NBA#M.1518575126.A.6EC#00008", "BorisDiaw3  ", "好 西門穩了", "02/14 10:26", "0"
"NBA#M.1518575126.A.6EC#00009", "cblade      ", "Jazz要掰了", "02/14 10:26", "0"
