"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1519535008.A.E9D#00000", "smallrayray", "剛剛在金州勇士與奧克拉荷馬雷霆的比賽中<br><br>Russell Westbrook 切入籃下與 Nick Young 肢體接觸後<br><br>兩人雙雙倒地<br><br>但這時一旁的 Zaza 不知為何倒了下來<br><br>將龐大身軀壓在 Westbrook 身上<br><br>因為觀看重播時 每個人多少參雜一點主觀因素<br><br>想討論看看身為職業球員的 Zaza 是否想刻意造成其他球員受傷<br><br>還是只是被 Young 勾到才自己重心不穩而倒下<br><br>以下附上聯結:<br>https://goo.gl/xxQmv3<br><br>--<br>", "", ""
"NBA#M.1519535008.A.E9D#00001", "angus       ", ".....有夠故意", "02/25 13:03", "0"
"NBA#M.1519535008.A.E9D#00002", "chris0701   ", "來了來了", "02/25 13:03", "0"
"NBA#M.1519535008.A.E9D#00003", "kokskuld    ", "垃圾", "02/25 13:04", "0"
"NBA#M.1519535008.A.E9D#00004", "TWeng       ", "不是被老尖的腳勾到嗎?", "02/25 13:04", "0"
"NBA#M.1519535008.A.E9D#00005", "ShawnYang   ", "都有前科了，你覺得?", "02/25 13:04", "0"
"NBA#M.1519535008.A.E9D#00006", "qDaniel     ", "我覺得倒的很不自然啊，可是就Zaza啊，不然你能怎，樣？", "02/25 13:04", "0"
"NBA#M.1519535008.A.E9D#00007", "kootiger    ", "有夠假", "02/25 13:04", "0"
"NBA#M.1519535008.A.E9D#00008", "sd2567      ", "髒阿", "02/25 13:04", "0"
"NBA#M.1519535008.A.E9D#00009", "krara       ", "老尖的腳勾到了，並不是沒有人和他接觸到。", "02/25 13:04", "0"
"NBA#M.1519535008.A.E9D#00010", "kent0398    ", "我覺得是被勾到膝蓋內側", "02/25 13:04", "0"
"NBA#M.1519535008.A.E9D#00011", "lt5114      ", "這完全是故意的啊 他根本沒重心不穩 固意放倒的", "02/25 13:04", "0"
"NBA#M.1519535008.A.E9D#00012", "l2l         ", "這就是所謂的人間凶器吧", "02/25 13:04", "0"
"NBA#M.1519535008.A.E9D#00013", "KarlTowns   ", "很不自然", "02/25 13:04", "0"
"NBA#M.1519535008.A.E9D#00014", "Benchou2002 ", "https//i.imgur.com/dZ6gk6B.jpg", "02/25 13:04", "0"
"NBA#M.1519535008.A.E9D#00015", "skybin      ", "明明老尖有半倒他，想帶風向?", "02/25 13:05", "0"
"NBA#M.1519535008.A.E9D#00016", "kenny949    ", "說不是故意的你信嗎", "02/25 13:05", "0"
"NBA#M.1519535008.A.E9D#00017", "Bart824     ", "毀了一個還不夠", "02/25 13:05", "0"
"NBA#M.1519535008.A.E9D#00018", "Sammy0820   ", "Zaza", "02/25 13:05", "0"
"NBA#M.1519535008.A.E9D#00019", "kenkuo1688  ", "Zaza啊不意外", "02/25 13:05", "0"
"NBA#M.1519535008.A.E9D#00020", "as508114    ", "這也沒啥好討論的  他就是負責這種的", "02/25 13:05", "0"
"NBA#M.1519535008.A.E9D#00021", "bbrret      ", "髒", "02/25 13:05", "0"
"NBA#M.1519535008.A.E9D#00022", "chogosu     ", "zaza嬌喘一聲,撲倒西河. 沒事的", "02/25 13:05", "0"
"NBA#M.1519535008.A.E9D#00023", "xxxx5566    ", "看到了看到了，這一定是替身攻擊讓ZAZA跌倒", "02/25 13:05", "0"
"NBA#M.1519535008.A.E9D#00024", "ssd123698745", "Nick Young的腳勾到啊，當然你說他是不是故意倒下沒有人知道只是不像這篇說的好像無碰撞忽然自己倒下一樣", "02/25 13:05", "1"
"NBA#M.1519535008.A.E9D#00025", "tonight0329 ", "渣渣不意外 勇迷繼續護航", "02/25 13:05", "0"
"NBA#M.1519535008.A.E9D#00026", "Morrison1   ", "垃圾", "02/25 13:05", "0"
"NBA#M.1519535008.A.E9D#00027", "pujos       ", "https//i.imgur.com/kr3c05Y.jpg，這種很明細被勾倒的也能帶風向....", "02/25 13:05", "0"
"NBA#M.1519535008.A.E9D#00028", "shower0713  ", "蛹迷會噓你，幫補", "02/25 13:05", "0"
"NBA#M.1519535008.A.E9D#00029", "s66449      ", "不意外", "02/25 13:05", "0"
"NBA#M.1519535008.A.E9D#00030", "dahlia7357  ", "這非常需要討論 他有這種心態真的很靠背", "02/25 13:05", "0"
"NBA#M.1519535008.A.E9D#00031", "steven88669 ", "好像有被勾到腿 只是力道不知道有沒有這麼大", "02/25 13:05", "0"
"NBA#M.1519535008.A.E9D#00032", "a1684114    ", "髒", "02/25 13:05", "0"
"NBA#M.1519535008.A.E9D#00033", "mrYiDa      ", "一群不思考的", "02/25 13:06", "0"
"NBA#M.1519535008.A.E9D#00034", "lucky0623   ", "勇士打球最乾淨了怎麼會是故意的呢？", "02/25 13:06", "0"
"NBA#M.1519535008.A.E9D#00035", "Benchou2002 ", "老尖的腳被西河往下壓 勾到他膝蓋後側啊傻眼欸 有，種放側面畫面重播啊", "02/25 13:06", "0"
"NBA#M.1519535008.A.E9D#00036", "CMPunk      ", "上一篇一樣的討論文章怎麼刪了", "02/25 13:06", "0"
"NBA#M.1519535008.A.E9D#00037", "REI3173     ", "超順暢，有夠自然XDDD", "02/25 13:06", "0"
"NBA#M.1519535008.A.E9D#00038", "yoji520     ", "瞎了嗎？沒人接觸？", "02/25 13:06", "0"
"NBA#M.1519535008.A.E9D#00039", "gp03dan     ", "他很多都這種順勢的，就看傷到誰吧，KD也吃過一次虧", "02/25 13:06", "1"
"NBA#M.1519535008.A.E9D#00040", "ghchen1978  ", "你正面和側面配合一起看，一開始被絆住他沒倒，是羊", "02/25 13:06", "1"
"NBA#M.1519535008.A.E9D#00041", "loserloser  ", "你怎麼能不愛ZAZA!!顆顆 還記得去年明星賽投票的時候一堆人這樣講", "02/25 13:06", "0"
"NBA#M.1519535008.A.E9D#00042", "hfi780      ", "Zaza母湯喔", "02/25 13:06", "0"
"NBA#M.1519535008.A.E9D#00043", "shamus0309  ", "渣渣真的很故意", "02/25 13:06", "0"
"NBA#M.1519535008.A.E9D#00044", "ssd123698745", "這篇就故意說的好像無碰撞倒下來帶風向啊XDD", "02/25 13:07", "0"
"NBA#M.1519535008.A.E9D#00045", "shwkz       ", "以詹酸的標準 這絕對是假倒，在壓之前 腳也沒很安份 全身都是兇器", "02/25 13:07", "0"
"NBA#M.1519535008.A.E9D#00046", "lillardfor3 ", "耶", "02/25 13:07", "0"
"NBA#M.1519535008.A.E9D#00047", "NicoRobin26 ", "誇張", "02/25 13:07", "0"
"NBA#M.1519535008.A.E9D#00048", "Jotard      ", "人家光年球隊餒你敢嘴", "02/25 13:07", "0"
"NBA#M.1519535008.A.E9D#00049", "citydiver   ", "KD就是不想跟他對上才加入勇士的", "02/25 13:07", "0"
"NBA#M.1519535008.A.E9D#00050", "Benchou2002 ", "反正原po裝傻 下面一堆不經查證就先開噴的 用腦子，很難嗎？", "02/25 13:08", "0"
"NBA#M.1519535008.A.E9D#00051", "mariandtmac ", "可怕 還沒季後賽也...", "02/25 13:08", "0"
"NBA#M.1519535008.A.E9D#00052", "Carsr       ", "不是被絆倒嗎？", "02/25 13:08", "0"
"NBA#M.1519535008.A.E9D#00053", "ghchen1978  ", "轉了身傳球他撐不住才倒的，反正我也懶地說了，造謠無罪= =", "02/25 13:08", "0"
"NBA#M.1519535008.A.E9D#00054", "cow7585519  ", "幹你娘垃圾渣渣 看一次噓一次", "02/25 13:08", "0"
"NBA#M.1519535008.A.E9D#00055", "wastedoor   ", "勇士球員意外嗎", "02/25 13:08", "0"
"NBA#M.1519535008.A.E9D#00056", "racefirst   ", "故意的啊", "02/25 13:08", "0"
"NBA#M.1519535008.A.E9D#00057", "DEATHKAZE   ", "下一個可愛會是誰呢?", "02/25 13:08", "0"
"NBA#M.1519535008.A.E9D#00058", "ivan22809   ", "髒的不連貫 太拙劣了", "02/25 13:08", "0"
"NBA#M.1519535008.A.E9D#00059", "Muma5566    ", "勾到能有那麼大力量能讓一個中鋒倒地 講話不經腦子的", "02/25 13:08", "1"
"NBA#M.1519535008.A.E9D#00060", "dalipkid    ", "我覺得重點是他倒下前還往西河的腿看 如果有良心可以用手撐地啊", "02/25 13:08", "1"
"NBA#M.1519535008.A.E9D#00061", "s425247     ", "勇士第二 雷霆第七 這樣你懂了嗎", "02/25 13:08", "0"
"NBA#M.1519535008.A.E9D#00062", "waynesmlie  ", "看也知道是故意的 就算被勾到 力道也不可能那麼大，一下就倒下去 都能打NBA是有這麼脆弱喔", "02/25 13:08", "0"
"NBA#M.1519535008.A.E9D#00063", "howard92105 ", "有勾到 可是倒下速度位置不知道故不故意啊", "02/25 13:08", "0"
"NBA#M.1519535008.A.E9D#00064", "otwtsap1349 ", "被勾吧 雖然人髒 但硬要帶風向？", "02/25 13:08", "0"
"NBA#M.1519535008.A.E9D#00065", "jazz1617821 ", "Zaza", "02/25 13:08", "0"
"NBA#M.1519535008.A.E9D#00066", "DirkIsBest  ", "沒摸到都能讓人彈飛了，結果勾到不能倒地", "02/25 13:09", "0"
"NBA#M.1519535008.A.E9D#00067", "white75724  ", "超髒 沒實力專門在做髒活的咖", "02/25 13:09", "0"
"NBA#M.1519535008.A.E9D#00068", "Lmkcat      ", "老實說這件事真相已經不重要了 各自表述而已", "02/25 13:09", "0"
"NBA#M.1519535008.A.E9D#00069", "essicjj     ", "那倒下的動作 好像被緩慢光線照到一樣", "02/25 13:09", "0"
"NBA#M.1519535008.A.E9D#00070", "ssd123698745", "勾到膝蓋後側不會倒，是沒運動過是不是？", "02/25 13:09", "0"
"NBA#M.1519535008.A.E9D#00071", "whyen23     ", "名字都叫 拉薩 了 當然是故意的", "02/25 13:09", "0"
"NBA#M.1519535008.A.E9D#00072", "shwkz       ", "平常大概有研究摔角吧 粉碎的藝術", "02/25 13:09", "0"
"NBA#M.1519535008.A.E9D#00073", "zero73413   ", "每次有這種爭議性問題 就會有ZAZA跟對方主力 這XDDD", "02/25 13:09", "1"
"NBA#M.1519535008.A.E9D#00074", "Maxhuge     ", "他倒前還停頓了一下 根本就看機不可失果斷慢動作倒一波", "02/25 13:10", "1"
"NBA#M.1519535008.A.E9D#00075", "citydiver   ", "當然要被勾到才能動作 不然早被判出場了", "02/25 13:10", "0"
"NBA#M.1519535008.A.E9D#00076", "skybin      ", "國高中時候不是都有從後面突襲後膝的動作，本來就很容易倒", "02/25 13:10", "1"
"NBA#M.1519535008.A.E9D#00077", "dalipkid    ", "為啥真相不重要 黑人問號 就是這樣才會有人專門幹這骯髒事", "02/25 13:10", "1"
"NBA#M.1519535008.A.E9D#00078", "kazzak16    ", "一看就知道故意的還在那邊凹難看得要死麵包仔", "02/25 13:10", "0"
"NBA#M.1519535008.A.E9D#00079", "ssisters    ", "他停頓時 你為什麼不說他努力不要倒下去但無法控制什麼話都可以各自表述 這樣有意義嗎", "02/25 13:11", "1"
"NBA#M.1519535008.A.E9D#00080", "armageddonwa", "當然是故意的，你面朝下摔倒居然手不會去撐，還表演180度轉體屁股朝下坐在西河腿上", "02/25 13:11", "1"
"NBA#M.1519535008.A.E9D#00081", "aryten      ", "才剛刪一篇 又來一篇", "02/25 13:11", "0"
"NBA#M.1519535008.A.E9D#00082", "smtp        ", "https//imgur.com/5YsGSzn Zaza被老尖勾到拖著倒地", "02/25 13:11", "1"
"NBA#M.1519535008.A.E9D#00083", "tonight0329 ", "勇迷護航的嘴臉真的是很棒 ：）", "02/25 13:11", "0"
"NBA#M.1519535008.A.E9D#00084", "Jotard      ", "倒之前還猶疑了一秒要往哪裡壓  這才是重點", "02/25 13:11", "0"
"NBA#M.1519535008.A.E9D#00085", "flymoon1114 ", "看了慢動作還能說被勾，呵呵", "02/25 13:11", "0"
"NBA#M.1519535008.A.E9D#00086", "luvstarrysky", "勇士不意外", "02/25 13:11", "0"
"NBA#M.1519535008.A.E9D#00087", "vincent0525 ", "還真相不重要勒 快要笑死 無腦無航成這樣，髒就髒 他髒也不是一兩天了 zaza就是個骯髒的球員", "02/25 13:12", "0"
"NBA#M.1519535008.A.E9D#00088", "Kyameron    ", "不就老尖的腳勾到了，姆迷ㄏㄏ...", "02/25 13:12", "0"
"NBA#M.1519535008.A.E9D#00089", "jehow       ", "有手可以撐地不撐 明顯故意用全身重量往他腳上壓的", "02/25 13:12", "1"
"NBA#M.1519535008.A.E9D#00090", "alittleghost", "這是 屁股著地平沙落雁式", "02/25 13:12", "0"
"NBA#M.1519535008.A.E9D#00091", "jazz1617821 ", "姆咪? 騎士輸球我最爽 扣帽子你最會?", "02/25 13:12", "0"
"NBA#M.1519535008.A.E9D#00092", "DirkIsBest  ", "真相當然不重要，重要的是快趁機黑一波阿", "02/25 13:12", "0"
"NBA#M.1519535008.A.E9D#00093", "society     ", "要倒之前還停頓看一下，最好是勾到而已啦", "02/25 13:13", "0"
"NBA#M.1519535008.A.E9D#00094", "ssd123698745", "要說他是故意順勢倒下壓人這我沒意見，但這篇故意講成無碰撞，然後推文還要硬拗說中鋒被踢倒膝蓋後側不會倒XDDD zaza這麼好酸了，還連酸都酸不好XD", "02/25 13:13", "1"
"NBA#M.1519535008.A.E9D#00095", "jack19931993", "倒就倒 有必要所有重量都壓下去嗎?這又不是激烈碰撞下 無法控制的倒地", "02/25 13:13", "0"
"NBA#M.1519535008.A.E9D#00096", "mio1987     ", "渣渣最乾淨了", "02/25 13:13", "0"
"NBA#M.1519535008.A.E9D#00097", "willy50307  ", "好巧喔 每次弄受傷的都是對方主將欸xD", "02/25 13:13", "0"
"NBA#M.1519535008.A.E9D#00098", "shwkz       ", "拿對手當肉墊 XD", "02/25 13:13", "0"
"NBA#M.1519535008.A.E9D#00099", "DirkIsBest  ", "真的要全身重量壓下去，手就直接幹他腳了", "02/25 13:14", "0"
"NBA#M.1519535008.A.E9D#00100", "guagua1101  ", "完全不覺得有到那個力量能把他勾倒", "02/25 13:14", "0"
"NBA#M.1519535008.A.E9D#00101", "nashill13   ", "黑刺迷，走出來好嗎？？  要不要臉？", "02/25 13:14", "0"
"NBA#M.1519535008.A.E9D#00102", "eric6616    ", "來看蛹糜護航嘴臉", "02/25 13:14", "0"
"NBA#M.1519535008.A.E9D#00103", "smallrayray ", "不好意思 我等下編輯一下 Nick 有絆到他 是有肢體接觸的", "02/25 13:15", "1"
"NBA#M.1519535008.A.E9D#00104", "snow5566    ", ".... 是找不到東西酸我勇了嗎 酸民水準待加強", "02/25 13:15", "0"
"NBA#M.1519535008.A.E9D#00105", "ownwei      ", "勇迷會跟你說勾到而已  然後在把你抹成勇酸", "02/25 13:15", "0"
"NBA#M.1519535008.A.E9D#00106", "kuiyy       ", "超級不自然", "02/25 13:15", "0"
"NBA#M.1519535008.A.E9D#00107", "jazz1617821 ", "你勇關我屁事 Zaza就欠噓有意見?", "02/25 13:15", "0"
"NBA#M.1519535008.A.E9D#00108", "Ethan45     ", "勇士不意外 怕輸就用這招", "02/25 13:16", "0"
"NBA#M.1519535008.A.E9D#00109", "vincent0525 ", "超多勇迷秀下限XD 還沒意見勒 故意壓人就是骯髒垃圾人格有問題 沒運動精神的爛球員", "02/25 13:16", "1"
"NBA#M.1519535008.A.E9D#00110", "Dex5566     ", "這是故意的，不管哪隊這種動作都欠罵", "02/25 13:16", "0"
"NBA#M.1519535008.A.E9D#00111", "zero73413   ", "每次都是對方主力這真的很難洗白XD", "02/25 13:16", "0"
"NBA#M.1519535008.A.E9D#00112", "z2004hume   ", "我還以為是在玩搶椅子大賽", "02/25 13:16", "0"
"NBA#M.1519535008.A.E9D#00113", "a82813267   ", "看看龜龜的表情 就知道那重量是怎樣，說正常的 同理心拿出來好嗎?", "02/25 13:16", "0"
"NBA#M.1519535008.A.E9D#00114", "kira123     ", "最不要臉的問人要不要臉 這XDDD?看看自己走出來沒? 啊 我忘記都已經跳槽支持別隊了顆顆", "02/25 13:17", "0"
"NBA#M.1519535008.A.E9D#00115", "tonight0329 ", "不管啦 你們都是勇酸 我神渣把對方弄受傷有犯規嗎？", "02/25 13:17", "1"
"NBA#M.1519535008.A.E9D#00116", "kkc890048   ", "光明正大比賽很難? 都要出這種爭議play才說明不是，故意的", "02/25 13:17", "0"
