"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1519565337.A.D1F#00000", "backham5566", "我覺得從側面看<br><br>ZAZA應該是真的被YOUNG絆倒<br><br>被拐到小腿 失去重心 向前傾<br><br>我覺得是滿自然的<br><br>尤其ZAZA又那麼大一隻 很容易失去重心<br><br>當然你說下面有人 不應該直接給他下去<br><br>我覺得這其實不容易 手掌關節很容易受傷<br><br>而且倒下去時 也已經避開西河的膝蓋了<br><br>不然ZAZA有心要傷西河 直接跪下去 膝蓋垂直下去就好<br><br>事實也證明西河沒什麼事<br><br>就是球迷過度反應 放大解釋而已<br><br>老實說沒什麼意義<br><br>況且認真說 這只是例行賽 不是季後賽<br><br>ZAZA沒什麼理由 非得傷西河不可<br><br>還實雷迷真的認真覺得<br><br>雷廷是勇士連任的大威脅呢<br><br><br><br>--<br>", "", ""
"NBA#M.1519565337.A.D1F#00001", "gold97972000", "風向不對欸", "02/25 21:29", "0"
"NBA#M.1519565337.A.D1F#00002", "rudy0115    ", "你看過放羊的小孩對吧", "02/25 21:30", "0"
"NBA#M.1519565337.A.D1F#00003", "ChengYan0611", "西河有事蛹蛹也會說不是故意啦", "02/25 21:30", "0"
"NBA#M.1519565337.A.D1F#00004", "wen456789   ", "雷霆當然不是威脅", "02/25 21:30", "0"
"NBA#M.1519565337.A.D1F#00005", "kess        ", "本來就不是故意吧 如果故意的話咖哩 KT會出來譴責", "02/25 21:31", "0"
"NBA#M.1519565337.A.D1F#00006", "Khan0826    ", "你以為這種機會常出嗎??當然要把握阿", "02/25 21:31", "0"
"NBA#M.1519565337.A.D1F#00007", "jack19931993", "標題疑問句 內文卻自問自答", "02/25 21:31", "0"
"NBA#M.1519565337.A.D1F#00008", "sapc87952   ", "就算這次不是也是自作自受 前幾次早就臭名遠播了", "02/25 21:31", "0"
"NBA#M.1519565337.A.D1F#00009", "paul5566    ", "拿戰績護航，沒傷我龜的理由？我覺得不行", "02/25 21:31", "0"
"NBA#M.1519565337.A.D1F#00010", "teakdavid968", "你可以發到nba甲版", "02/25 21:31", "0"
"NBA#M.1519565337.A.D1F#00011", "ZIDENS      ", "其實被勾到膝蓋 第一個自然反應應該是把腳抬起來，會直接跪下去的據我所知只有看到中國的國民黨", "02/25 21:32", "0"
"NBA#M.1519565337.A.D1F#00012", "zxcz8901111 ", "如果是故意的怎麼辦", "02/25 21:32", "0"
"NBA#M.1519565337.A.D1F#00013", "cloudal     ", "本來前面還好，看到最後兩句就她媽超不爽，壓人還要嘲諷就跟髒綠一樣打人頭還要亂吼耍屌還是你們勇迷都這樣???????", "02/25 21:33", "0"
"NBA#M.1519565337.A.D1F#00014", "a79102112   ", "當然不是故意的阿 是蓄意的 ~西西", "02/25 21:33", "0"
"NBA#M.1519565337.A.D1F#00015", "a0025068    ", "我也覺得不是故意的，又不是季後賽 我za怎麼可能這麼拼", "02/25 21:33", "0"
"NBA#M.1519565337.A.D1F#00016", "andrew0621  ", "所以你意思是戰績好傷人都合理？？？？？？", "02/25 21:34", "0"
"NBA#M.1519565337.A.D1F#00017", "loserloser  ", "如果ZAZA是故意der怎麼辦?", "02/25 21:34", "0"
"NBA#M.1519565337.A.D1F#00018", "QoGIVoQ     ", "反正沒受傷 OK", "02/25 21:34", "0"
"NBA#M.1519565337.A.D1F#00019", "w130132132  ", "字打對再來護航好嗎", "02/25 21:34", "0"
"NBA#M.1519565337.A.D1F#00020", "qwer007700  ", "不可能吧 風向說是故意的就是故意的啊", "02/25 21:34", "0"
"NBA#M.1519565337.A.D1F#00021", "society     ", "別在凹了，髒球員承認很難？還在如果哩", "02/25 21:35", "0"
"NBA#M.1519565337.A.D1F#00022", "kess        ", "而且真的故意 聯盟會盯上吧", "02/25 21:35", "0"
"NBA#M.1519565337.A.D1F#00023", "leophior    ", "如果他是故意的而且死不承認要怎麼辦??", "02/25 21:35", "0"
"NBA#M.1519565337.A.D1F#00024", "kimigogo    ", "我也不是故意要罵你髒話的，如果你沒發文的話", "02/25 21:35", "0"
"NBA#M.1519565337.A.D1F#00025", "One102bird  ", "大家太嚴苛了 ><", "02/25 21:36", "0"
"NBA#M.1519565337.A.D1F#00026", "loserloser  ", "阿 是故意的 好像拿他沒什麼辦法，*的話", "02/25 21:36", "0"
"NBA#M.1519565337.A.D1F#00027", "Matsuda     ", "護航啥 你比ki 小李懂嗎", "02/25 21:36", "0"
"NBA#M.1519565337.A.D1F#00028", "teakdavid968", "去勇版 勇版自稱一鍋清粥 跟無套肛開毒趴卻說得愛，滋都異性戀 何必來這邊跟一群老鼠屎討論", "02/25 21:36", "0"
"NBA#M.1519565337.A.D1F#00029", "ddban       ", "不只球迷反應 KI也說話了 這完全是可以避免但他不，避免", "02/25 21:37", "0"
"NBA#M.1519565337.A.D1F#00030", "howdy       ", "風向錯了", "02/25 21:37", "0"
"NBA#M.1519565337.A.D1F#00031", "cigaretteass", "釣魚技能+1", "02/25 21:37", "0"
"NBA#M.1519565337.A.D1F#00032", "noname78531 ", "膝蓋跪下去 是想殺人?", "02/25 21:37", "0"
"NBA#M.1519565337.A.D1F#00033", "TimmyDD     ", "太弱了", "02/25 21:38", "0"
"NBA#M.1519565337.A.D1F#00034", "uini        ", "不是故意是有意。", "02/25 21:38", "0"
"NBA#M.1519565337.A.D1F#00035", "brian21201  ", "回隊版", "02/25 21:38", "0"
"NBA#M.1519565337.A.D1F#00036", "BuzzerBeater", "又扯到戰績 邏輯謬誤", "02/25 21:38", "0"
"NBA#M.1519565337.A.D1F#00037", "nostar      ", "Zaza不是故意的  傷人跟呼吸一樣自然", "02/25 21:38", "0"
"NBA#M.1519565337.A.D1F#00038", "hitomi47    ", "照某迷說法 馬刺也沒威脅到勇士 那zaza弄傷可愛也，不是故意的？", "02/25 21:39", "0"
"NBA#M.1519565337.A.D1F#00039", "star1234    ", "扯個屁風向，NBA球員都說髒了，他們帶風向？我呸!", "02/25 21:39", "0"
"NBA#M.1519565337.A.D1F#00040", "jtch        ", "畢竟是戰績迷嘛", "02/25 21:39", "0"
"NBA#M.1519565337.A.D1F#00041", "monen       ", "風向不對啊（笑）", "02/25 21:40", "0"
"NBA#M.1519565337.A.D1F#00042", "xz222       ", "當然不是故意的啊，自己球風本來就這樣，一切習慣成自然，何來故意", "02/25 21:40", "0"
"NBA#M.1519565337.A.D1F#00043", "mic5060     ", "不會", "02/25 21:40", "0"
"NBA#M.1519565337.A.D1F#00044", "qq4268028   ", "如果", "02/25 21:41", "0"
"NBA#M.1519565337.A.D1F#00045", "poyu        ", "沒有如果", "02/25 21:41", "0"
"NBA#M.1519565337.A.D1F#00046", "rycheal     ", "反串嘻嘻", "02/25 21:42", "0"
"NBA#M.1519565337.A.D1F#00047", "ennui       ", "https//youtu.be/Qw2XqX1Ig08  4分50秒，之前渣渣就有對龜"小"動作", "02/25 21:43", "1"
"NBA#M.1519565337.A.D1F#00048", "Sammy0820   ", "沒有如果", "02/25 21:43", "0"
"NBA#M.1519565337.A.D1F#00049", "gankgf      ", "如果我說 愛我沒有如果 錯過就過你是不是會難過", "02/25 21:43", "0"
"NBA#M.1519565337.A.D1F#00050", "billgreenoil", "當然不是故意的 一定是西河開手塚區把人吸過來", "02/25 21:43", "0"
"NBA#M.1519565337.A.D1F#00051", "q70412      ", "嘿嘿嘿", "02/25 21:44", "0"
"NBA#M.1519565337.A.D1F#00052", "lai162      ", "當然不是故意的 對渣渣而言這叫常規操作 懂？", "02/25 21:44", "0"
"NBA#M.1519565337.A.D1F#00053", "and5151015  ", "大家都覺得不是故意的啊", "02/25 21:44", "0"
"NBA#M.1519565337.A.D1F#00054", "toorger     ", "渣渣應該被驅逐離開nba", "02/25 21:44", "0"
