"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1519606095.A.DDE#00000", "kenny1300175", "2018-02-26 07:00 特約記者李亦伸<br><br><br><br>被視為勇士「終極殺手」，聯盟「共同敵人」，上季季後賽因為防守時墊腳，導致馬刺明<br>星前鋒Kawhi Leonard跳投下落時扭傷左腳踝，Leonard傷停後改變勇士vs.馬刺系列賽走<br>向的勇士中鋒Zaza Pachulia又闖禍了。<br><br><br>這次Pachulia傷害的是雷霆後衛「衛少」Russell Westbrook，還好衛少左膝沒有大礙。<br><br><br><br>事件意外是這樣發生的：<br><br>雷霆vs.勇士第三節，衛少快攻突破籃下，面對勇士後衛Nick Young對位防守，衛少強行<br>切到籃下上籃，沒有要到犯規，衛少和Young兩人身體接觸後雙雙倒地，正好Pachulia也<br>出現在兩人之間，衛少和Young身體糾纏倒地瞬間，人們看見Pachulia也順勢倒下，整個<br>身體壓在衛少的右膝上。<br><br><br><br>這一壓衛少很久站不起，這樣的角度和身體重量，確實可能造成衛少膝蓋重傷害。賽後衛<br>少認為Pachulia倒下是故意的，雷霆前鋒Paul George也大膽聲援衛少，George覺得聯盟<br>應該重視這個人不斷發生的防守行為，因為那可能對球員造成更大意外傷害。<br><br><br>透過慢動作重播和社群分享，加上衛少和George加油添料，憤怒的球迷和世人開始對<br>Pachulia展開聲討和譴責。<br><br><br>一如對Leonard的伸腳，我不認為Pachulia是故意的。這次Pachulia倒下，壓到衛少的左<br>膝蓋側面，他也不是故意的。透過慢動作重播可以發現，Young和衛少倒下時，Pachulia<br>確實沒有跟著順勢跌倒、壓人的可能，但Young在倒地時，Young的右腳勾到Pachulia的左<br>膝後側，順勢把Pachulia勾倒在地。<br><br><br>這一勾，Young當然不是故意的，Pachulia站在那裡，他的左膝後方被Young的腳一勾，失<br>去重心前傾倒地，這是一種慣性和無可避免的動作，他也遭到波及和意外。<br><br><br>被勾到膝蓋後方順勢倒地，這是一種慣性和打球動作，這是任何球員避免受傷的直覺和反<br>應，但如果把這解讀成Pachulia是要故意去壓傷衛少膝蓋，那太邪惡。<br><br><br>我不知道George為何要這麼說，更不懂衛少為什麼會認為Pachulia是故意的行為，但這是<br>一種不恰當的「陰謀」。Pachulia或許幾次防守動作和意外，導致他的形象受損，一直遭<br>到指責，但說他是故意要去傷害對手和球員，這是不能被原諒的中傷和陰謀。<br><br><br>Pachulia的防守、意外，一如被取了「垃圾狗」綽號的快艇傷停後衛Patrick Beverley，<br>Beverley的防守動作和不怕死的決心，更容易搞傷對手和意外，你不能說他是故意要弄傷<br>對手，但他的積極、過度和玩命防守風格，就是可能造成對手更多傷害。那跟故意要弄傷<br>對手無關，Beverley自己打球防守不要命，但他卻可能造成對手傷害和意外，這是事實。<br><br><br>對Leonard伸腳，我認為純屬意外，這次倒地壓到衛少左膝，我也不認為Pachulia是故意<br>的，因為他被Young右腳勾到左膝後方。<br><br><br>球員健康非常重要，運動精神更高貴，但用這種方式去給球員貼標籤，既不恰當更不道德<br>。<br><br><br><br>https://udn.com/news/story/7002/3000029<br><br>--<br>", "", ""
"NBA#M.1519606095.A.DDE#00001", "joulin      ", "冤?", "02/26 08:48", "0"
"NBA#M.1519606095.A.DDE#00002", "fireforce   ", "喔", "02/26 08:48", "0"
"NBA#M.1519606095.A.DDE#00003", "aoba        ", "喔", "02/26 08:49", "0"
"NBA#M.1519606095.A.DDE#00004", "aaagang     ", "zaza雪上加霜XD", "02/26 08:49", "0"
"NBA#M.1519606095.A.DDE#00005", "ianzack     ", "LYS", "02/26 08:49", "0"
"NBA#M.1519606095.A.DDE#00006", "andy82116   ", "LYS", "02/26 08:49", "0"
"NBA#M.1519606095.A.DDE#00007", "tw88        ", "2", "02/26 08:49", "0"
"NBA#M.1519606095.A.DDE#00008", "yenyu73     ", "我不小心按到噓 我認為純屬意外 不是故意的", "02/26 08:50", "0"
"NBA#M.1519606095.A.DDE#00009", "paul5566    ", "沒有其他意思，純噓作者", "02/26 08:50", "0"
"NBA#M.1519606095.A.DDE#00010", "l00011799z  ", "你說是冤枉的那就是故意的囉", "02/26 08:50", "0"
"NBA#M.1519606095.A.DDE#00011", "NetsFan     ", "KD表示：我也被Za撞到副韌帶扭傷啊，其實是敵我不分吧", "02/26 08:50", "0"
"NBA#M.1519606095.A.DDE#00012", "dragon803   ", "完了，Zaza這樣子應該是完蛋了XD", "02/26 08:50", "0"
"NBA#M.1519606095.A.DDE#00013", "nuturewind  ", "這個萬年刺血人高級反串耶", "02/26 08:50", "0"
"NBA#M.1519606095.A.DDE#00014", "WizZ        ", "糗爺要替天行道給推", "02/26 08:50", "0"
"NBA#M.1519606095.A.DDE#00015", "DogBe105    ", "看標題就笑了", "02/26 08:50", "0"
"NBA#M.1519606095.A.DDE#00016", "AixStyle    ", "LYS", "02/26 08:51", "0"
"NBA#M.1519606095.A.DDE#00017", "Wardyal     ", "好", "02/26 08:51", "0"
"NBA#M.1519606095.A.DDE#00018", "Heyjeanyo   ", "？", "02/26 08:51", "0"
"NBA#M.1519606095.A.DDE#00019", "rettttt5    ", "冤你媽", "02/26 08:51", "0"
"NBA#M.1519606095.A.DDE#00020", "jack19931993", "你倒地會戰斧式垂直落下?", "02/26 08:51", "0"
"NBA#M.1519606095.A.DDE#00021", "ueiueiuei   ", "冤枉啊大人，是地板帶壞他的", "02/26 08:51", "0"
"NBA#M.1519606095.A.DDE#00022", "Godiverson  ", "有夠無恥", "02/26 08:51", "0"
"NBA#M.1519606095.A.DDE#00023", "mj22332004  ", "腿一伸懂球", "02/26 08:51", "0"
"NBA#M.1519606095.A.DDE#00024", "dhajmd      ", "仔細看影片他真的不是故意被拌倒的!!", "02/26 08:52", "0"
"NBA#M.1519606095.A.DDE#00025", "qDaniel     ", "看完第一段就end了", "02/26 08:52", "0"
"NBA#M.1519606095.A.DDE#00026", "spadenet    ", "不知道PG、Lillard、KI為什麼要這樣說，可能他們都不懂籃球吧", "02/26 08:52", "1"
"NBA#M.1519606095.A.DDE#00027", "GodisTaiwan ", "？？我看了什麼", "02/26 08:52", "0"
"NBA#M.1519606095.A.DDE#00028", "LiamNeeson  ", "勇迷跟糗爺一樣懂球lol", "02/26 08:52", "0"
"NBA#M.1519606095.A.DDE#00029", "s155260     ", "真的 慢速倒下手還撐不到地", "02/26 08:52", "0"
"NBA#M.1519606095.A.DDE#00030", "jay0601zzz  ", "LYS一直寫廢文也不是故意的", "02/26 08:53", "0"
"NBA#M.1519606095.A.DDE#00031", "THCxyz      ", "標題長一點 可以藏lys 應該噓會更多喔", "02/26 08:53", "0"
"NBA#M.1519606095.A.DDE#00032", "aspired     ", ".............扯淡", "02/26 08:53", "0"
"NBA#M.1519606095.A.DDE#00033", "weeber      ", "噢！", "02/26 08:53", "0"
"NBA#M.1519606095.A.DDE#00034", "ELMOCUTE    ", "勇迷lys   當然說冤", "02/26 08:53", "0"
"NBA#M.1519606095.A.DDE#00035", "Transfat    ", "NBA 陳沂", "02/26 08:54", "0"
"NBA#M.1519606095.A.DDE#00036", "serval623   ", "假裝馬刺迷的勇迷：LYS", "02/26 08:54", "0"
"NBA#M.1519606095.A.DDE#00037", "uuuc1223    ", "每次都剛好是Zaza 真巧", "02/26 08:55", "0"
"NBA#M.1519606095.A.DDE#00038", "nuturewind  ", "LYS參加過馬刺迷聚會好嗎，可以爬一下他的噁心史", "02/26 08:55", "0"
"NBA#M.1519606095.A.DDE#00039", "jeannie1210 ", "冤？", "02/26 08:55", "0"
"NBA#M.1519606095.A.DDE#00040", "ljps9910432 ", "糗爺開示 看來ZAZA是故意的", "02/26 08:56", "0"
"NBA#M.1519606095.A.DDE#00041", "UCAthena    ", "作者我不行", "02/26 08:56", "0"
"NBA#M.1519606095.A.DDE#00042", "louisxxiii  ", "純屬意外 戴佩妮", "02/26 08:56", "0"
"NBA#M.1519606095.A.DDE#00043", "lovesinker  ", "高級反串哈哈給推", "02/26 08:56", "0"
"NBA#M.1519606095.A.DDE#00044", "nuturewind  ", "他就批著刺迷皮的跟風強者迷，跟尚書大人差不多", "02/26 08:57", "0"
"NBA#M.1519606095.A.DDE#00045", "iceman6107  ", "東方神秘力量來認證了", "02/26 08:57", "0"
"NBA#M.1519606095.A.DDE#00046", "sGossHandLeg", "小丑下去啦", "02/26 08:58", "0"
"NBA#M.1519606095.A.DDE#00047", "asamipaul   ", "噓一個", "02/26 08:58", "0"
"NBA#M.1519606095.A.DDE#00048", "yellowlin   ", "^^", "02/26 09:00", "0"
"NBA#M.1519606095.A.DDE#00049", "jimmy5680   ", "滾", "02/26 09:00", "0"
"NBA#M.1519606095.A.DDE#00050", "BadGame     ", "誰又轉文", "02/26 09:00", "0"
"NBA#M.1519606095.A.DDE#00051", "arashicool  ", "糗爺大概是全世界最有仁慈的馬刺迷了，這樣都能寬恕", "02/26 09:01", "1"
"NBA#M.1519606095.A.DDE#00052", "terminator3 ", "糗爺說話了 某迷還不認錯??", "02/26 09:01", "0"
"NBA#M.1519606095.A.DDE#00053", "wizkhalifa23", "你行", "02/26 09:02", "0"
"NBA#M.1519606095.A.DDE#00054", "starain     ", "哈哈 又來跟主流民意唱反調增加人氣了欸 小丑", "02/26 09:02", "0"
"NBA#M.1519606095.A.DDE#00055", "ilovesgi    ", "有人想藉此洗白...哈哈哈哈哈 無恥", "02/26 09:02", "0"
"NBA#M.1519606095.A.DDE#00056", "lepidoptera ", "閉嘴", "02/26 09:02", "0"
"NBA#M.1519606095.A.DDE#00057", "pp9960      ", "他躺下去故意", "02/26 09:03", "0"
"NBA#M.1519606095.A.DDE#00058", "Kf950214D   ", "87", "02/26 09:04", "0"
"NBA#M.1519606095.A.DDE#00059", "hank10228246", "笑死 蝦球評", "02/26 09:04", "0"
"NBA#M.1519606095.A.DDE#00060", "vcooter     ", "我說這是垃圾文 抱歉我也不是故意的", "02/26 09:07", "0"
"NBA#M.1519606095.A.DDE#00061", "cpeyeshield ", "事實很清楚了", "02/26 09:07", "0"
"NBA#M.1519606095.A.DDE#00062", "GenesisXD   ", "挺包溫的支持zaza也是合情合理", "02/26 09:07", "0"
"NBA#M.1519606095.A.DDE#00063", "showen1976  ", "誰說沒有槍頭就捅不死人！", "02/26 09:08", "0"
"NBA#M.1519606095.A.DDE#00064", "youa        ", "LYS", "02/26 09:09", "0"
"NBA#M.1519606095.A.DDE#00065", "tenching    ", "Ops 按到噓", "02/26 09:10", "0"
"NBA#M.1519606095.A.DDE#00066", "scorpioleo  ", "自以為清流 笑死XDD", "02/26 09:10", "0"
"NBA#M.1519606095.A.DDE#00067", "fataxfat    ", "呃呃呃呃呃呃呃", "02/26 09:12", "0"
"NBA#M.1519606095.A.DDE#00068", "s9x56666    ", "我也是不小心噓的~沒事兒", "02/26 09:12", "0"
"NBA#M.1519606095.A.DDE#00069", "tom501062003", "操你媽的特別來噓這個無腦小丑", "02/26 09:12", "0"
"NBA#M.1519606095.A.DDE#00070", "gilbertmac  ", "LYS的認知總是與事實相反 就如預測輸贏一樣，看來可以確定是故意的了", "02/26 09:14", "0"
"NBA#M.1519606095.A.DDE#00071", "shiun1017   ", "唉", "02/26 09:14", "0"
"NBA#M.1519606095.A.DDE#00072", "EricTao     ", "糗耶信心加持", "02/26 09:15", "0"
"NBA#M.1519606095.A.DDE#00073", "xyz0123     ", "這咖就支持勇士 不意外", "02/26 09:15", "0"
"NBA#M.1519606095.A.DDE#00074", "and5151015  ", "說得好", "02/26 09:15", "0"
"NBA#M.1519606095.A.DDE#00075", "yankees733  ", "姆迷森77", "02/26 09:15", "0"
"NBA#M.1519606095.A.DDE#00076", "lookyour    ", "ALT出產認證   難怪緯來不請他來了", "02/26 09:16", "0"
"NBA#M.1519606095.A.DDE#00077", "linjin2     ", "幹你老師廢物", "02/26 09:16", "0"
"NBA#M.1519606095.A.DDE#00078", "d147258     ", "逆風而行給推", "02/26 09:16", "0"
