"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1519696303.A.2E3#00000", "pttpepe", "日前金州勇士中鋒Zaza Pachulia在比賽中壓在奧克拉荷馬雷霆後衛Russell Westbrook腿<br>上的事件，引起不小的爭議。但根據報導，聯盟將不會針對此事件對Pachulia做出處分。<br><br>《華盛頓郵報》記者Tim Bontemps今天（27日）率先報導，聯盟不會為此懲處Pachulia，<br>隨後聯盟也證實，他們在檢視過影片後，不認為Pachulia是故意壓在Westbrook腿上，因<br>此不會懲處他。<br><br>當然，Westbrook有不同看法。25日當天賽後他表示，Pachulia「當然是」打法骯髒的球<br>員，被問到是否認為Pachulia是故意的時他則說：「不要問我你自己都知道答案的蠢問題<br>好嗎？那很顯然是故意的。所以不要問我那是不是故意的。沒有人碰到他，他就倒下來壓<br>在我腳上，想要讓我受傷。」<br><br>對此當天賽後Pachulia表示，他認為這樣的指控很幼稚，拒絕予以回應。他的隊友Kevin<br>Durant則說：「我不認為Zaza有故意要傷害任何人，他就是笨手笨腳的。別會錯意，很多<br>大個子都是這樣，但我看過了影片，我看到Nick（Young）的腳勾到了Zaza的腿。」<br><br>Pachulia今天在客場對紐約尼克的比賽中替補出賽。明星賽前48場比賽都先發出賽的他，<br>明星賽後至今3戰都是替補。<br><br>勇士今天比賽結束後，休息1天將在台灣時間3月1日上午9時於客場出戰華盛頓巫師，這是<br>他們5天3戰客場之旅的第2場比賽，ELEVEN體育一台將直播此場賽事。<br><br>http://news.tsna.com.tw/tw/news/show.php?c=1&num=17249<br><br><br>--<br>", "", ""
"NBA#M.1519696303.A.2E3#00001", "tb1201      ", "你認真嗎.... 我今天才考慮要換電池 但檢測工程師說另外想問  有人前鏡頭出現汙點嗎?  拿去檢查  工程", "04/10 19:24", "1"
"NBA#M.1519696303.A.2E3#00002", "nk950357    ", "要來一晚嗎", "04/10 19:24", "0"
"NBA#M.1519696303.A.2E3#00003", "nk950357    ", "師又要一晚", "04/10 19:26", "0"
"NBA#M.1519696303.A.2E3#00004", "tb1201      ", "文字斷了... 直接想問 你在哪一家做保固的我也要去", "04/10 19:26", "1"
"NBA#M.1519696303.A.2E3#00005", "class21535  ", "跟工程師來一碗", "04/10 19:27", "0"
"NBA#M.1519696303.A.2E3#00006", "sm981512    ", "聯盟懂球", "02/27 09:52", "0"
"NBA#M.1519696303.A.2E3#00007", "DiegoYoh    ", "聯盟坐辦公室的比 KI DL小李 SJ船長 還懂籃球???", "02/27 09:52", "0"
"NBA#M.1519696303.A.2E3#00008", "hugolaxd    ", "可悲聯盟", "02/27 09:52", "0"
"NBA#M.1519696303.A.2E3#00009", "pounil      ", "親爹棒棒", "02/27 09:52", "0"
