"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1520822264.A.98C#00000", "kenny1300175", "2018-03-12 07:00 特約記者李亦伸<br><br><br>TNT電視球評史密斯(Kenny Smith)說，「每一支球隊都需要LeBron James，因為James還<br>是聯盟最好球員之一，唯獨火箭不需要，我已經厭倦球星抱團…，他如果去加入火箭，這<br>太不公平了」。<br><br><br>傳奇球星「狼王」賈奈特(Kevin Garnett)的看法是，「如果我是James，我會選擇去火箭<br>，這裡有James最好的朋友保羅(Chris Paul)，擁有最大總冠軍競爭力，同時德州還免稅<br>…」。<br><br><br>前活塞傳奇後衛「運球教科書」湯瑪斯(Isiah Thomas)認為，「如果我是James，我會選<br>擇去勇士，除了勇士具備最好爭冠實力，更重要的是James即將34歲，他已經無法再獨立<br>帶隊前進，他需要依靠更出色、更穩定的隊友…」。<br><br><br>從專業人士和球評觀點不難看出，不少人認為James的動向有幾個「忌諱」。<br><br><br>第一忌是球星抱團，因為大家都厭煩了，尤其是去加入勇士或火箭。不過儘管聯盟會失去<br>很多競爭力和改變，但同樣可以增加非常多話題，對市場、形勢好壞，不一而定。<br><br><br>第二忌是離開騎士，大多數專業人士和球迷並不喜歡James再度離開克里夫蘭，因為一旦<br>James離開騎士，騎士就會變成為一支樂透球隊，甚至是大爛隊。<br><br><br>對James來說，他現在肯定不會想這麼多，也無法做出決定，一切都要等到六月中總冠軍<br>賽結束後，看看聯盟情勢、市場動向、再融入自己想法和意願、利益考量，衡量市場回應<br>和各隊狀況才能做出決定。<br><br><br>影響James「決定3.0」的因素有幾個：<br><br><br>1、團隊競爭力：留騎士的爭冠實力和把握，並不會比去湖人或76人來得更差，是James最<br>可能的決定3.0。湖人和76人核心主力球員都還很嫩，需要2-3年成長和磨合，James年紀<br>已經等不了2-3年。<br><br><br>2、奪冠考量：去勇士或火箭，甚至馬刺，James持續奪冠機會和把握性更高，但可能引起<br>全球球迷和媒體更大反彈。<br><br><br>3、情感考量：留在克里夫蘭，這是一種完美和感恩，但James很可能再也無法、無力奪冠<br>。<br><br><br>4、市場商業考量：湖人是全美兩大城市之一，擁有最漂亮市場和商業價值，休士頓也全<br>美前五大城市又是免稅天堂，這兩支球隊都有意爭取James加盟，商業價值最大化是除了<br>奪冠、情感之外，「決定3.0」最主要考量。<br><br><br>5、兄弟之情：James已經33歲，跟最好的兄弟一起同隊打球，完成爭冠目標，享受兄弟籃<br>球，這會是一種無法拒絕的心願和夢想。去火箭跟CP3同隊，或者跟Carmelo、Wade、Paul<br>三名好友另謀天地，同樣不無可能。<br><br><br>James非常清楚他的「決定3.0」會重新定義他的歷史地位和價值，甚至取得完全不同的商<br>業價值和爭冠實力，改變他在NBA歷史和球星排名中的定位。<br><br><br>球星抱團或許讓許多人厭煩，但抱團是時代所趨，是市場走向，更是創造新世代的最好方<br>式，任何營造商機和爭冠最好考量都是抱團。做為聯盟第一人James，他的決定對聯盟現<br>在和未來影響力難以估計。<br><br><br><br>https://udn.com/news/story/7002/3025249<br><br><br>--<br>", "", ""
"NBA#M.1520822264.A.98C#00001", "Kristoflower", "好", "03/12 10:38", "0"
"NBA#M.1520822264.A.98C#00002", "hsu749      ", "講這什麼屁話 誰不是這樣考量？", "03/12 10:38", "0"
"NBA#M.1520822264.A.98C#00003", "randy101021 ", "又來", "03/12 10:38", "0"
"NBA#M.1520822264.A.98C#00004", "Aceyalone   ", "................", "03/12 10:39", "0"
"NBA#M.1520822264.A.98C#00005", "B05504021   ", "連笑笑湯名字都錯：[", "03/12 10:39", "0"
"NBA#M.1520822264.A.98C#00006", "jordan1109  ", "洋洋灑灑的一堆廢話", "03/12 10:39", "0"
"NBA#M.1520822264.A.98C#00007", "DiegoYoh    ", "怎不說說牠勇的危機  腿肚看起來比LBJ更有機會轉隊", "03/12 10:40", "1"
"NBA#M.1520822264.A.98C#00008", "CW4         ", "姆斯突然覺得這五個因素都不重要惹", "03/12 10:40", "0"
"NBA#M.1520822264.A.98C#00009", "lxf         ", "廢文", "03/12 10:40", "0"
"NBA#M.1520822264.A.98C#00010", "brosucks    ", "笑死", "03/12 10:40", "0"
"NBA#M.1520822264.A.98C#00011", "shwei2012   ", "如果我是就去台灣打581喇", "03/12 10:40", "0"
"NBA#M.1520822264.A.98C#00012", "RieX        ", "球哥需要一位得力助手，lbj真的不能再遲疑了", "03/12 10:40", "0"
"NBA#M.1520822264.A.98C#00013", "kkevil      ", "雖然我詹酸 但我很簡單 有Lys就給噓...", "03/12 10:41", "0"
"NBA#M.1520822264.A.98C#00014", "diamondchen ", "只是來噓這個土立土及專欄", "03/12 10:41", "0"
"NBA#M.1520822264.A.98C#00015", "ccc5b683    ", "好喔", "03/12 10:41", "0"
"NBA#M.1520822264.A.98C#00016", "iverson88   ", "笑死 3.0", "03/12 10:44", "0"
"NBA#M.1520822264.A.98C#00017", "rrrrewqqwe  ", "?", "03/12 10:44", "0"
"NBA#M.1520822264.A.98C#00018", "Buelaa      ", "結果騎士冠軍..", "03/12 10:45", "0"
"NBA#M.1520822264.A.98C#00019", "kakain      ", "都可以有勇士這種隊伍了 還求什麼公平 反正有冠誰都嘴不了 看看生涯無冠的球星被噴成什麼樣子？", "03/12 10:45", "1"
"NBA#M.1520822264.A.98C#00020", "bilibo      ", "喔", "03/12 10:46", "0"
"NBA#M.1520822264.A.98C#00021", "Noren       ", "有完沒完", "03/12 10:47", "0"
"NBA#M.1520822264.A.98C#00022", "Godiverson  ", "我來", "03/12 10:47", "0"
"NBA#M.1520822264.A.98C#00023", "yowhatsupsli", "報乎你知", "03/12 10:48", "0"
"NBA#M.1520822264.A.98C#00024", "ASDF0714    ", "講半天，結果每隊都有它的道理", "03/12 10:49", "0"
"NBA#M.1520822264.A.98C#00025", "vagr8       ", "滾", "03/12 10:53", "0"
"NBA#M.1520822264.A.98C#00026", "cool34      ", "如果真的去勇士也太扯了~~~", "03/12 10:54", "0"
"NBA#M.1520822264.A.98C#00027", "gold97972000", "勇士沒位置了阿= =", "03/12 10:55", "0"
"NBA#M.1520822264.A.98C#00028", "leoggg2003  ", "我皇再度領導騎士總冠軍!!", "03/12 10:55", "0"
"NBA#M.1520822264.A.98C#00029", "qpeter      ", "看來就是76人了", "03/12 10:56", "0"
"NBA#M.1520822264.A.98C#00030", "tLuesuGi    ", "好了啦", "03/12 10:56", "0"
"NBA#M.1520822264.A.98C#00031", "slamblock15 ", "厲害了，我的皇", "03/12 10:56", "0"
"NBA#M.1520822264.A.98C#00032", "patrickhao  ", "詹皇降薪去勇士是要連霸幾冠？", "03/12 11:00", "0"
"NBA#M.1520822264.A.98C#00033", "JerrySloan  ", "去勇士  生涯就穩贏KD  智匠", "03/12 11:01", "0"
"NBA#M.1520822264.A.98C#00034", "martinshi   ", "所以？", "03/12 11:01", "0"
"NBA#M.1520822264.A.98C#00035", "burly       ", "3.0 那前面的2.0 1.0勒？", "03/12 11:01", "0"
"NBA#M.1520822264.A.98C#00036", "dick3588    ", "齁齁齁齁齁", "03/12 11:01", "0"
"NBA#M.1520822264.A.98C#00037", "wei32372    ", "整篇屁話", "03/12 11:01", "0"
"NBA#M.1520822264.A.98C#00038", "ac147963    ", "這不都廢話嗎= =", "03/12 11:02", "0"
"NBA#M.1520822264.A.98C#00039", "j3307002    ", "第二忌是離開騎士?他已經離開過一次了，照LYS分析看起來lbj似乎會續留騎士", "03/12 11:03", "0"
"NBA#M.1520822264.A.98C#00040", "pp9960      ", "好，反指標開示", "03/12 11:04", "0"
"NBA#M.1520822264.A.98C#00041", "fongmcn     ", "最佳解就是去勇士啦 詹杜科湯綠 完美", "03/12 11:04", "0"
"NBA#M.1520822264.A.98C#00042", "j3307002    ", "問題是騎士薪資都被卡死無法補強,lbj會再浪費一年?騎版說能清空間,問題是你能清空間其他隊一樣可以除了名聲跟留騎士能拿最多錢外,lbj沒有理由續留就跟lbj回騎士一樣,若不是為贖罪,沒必要回去有人說當年騎士沒照lbj意思補強,那時沒資源怎麼補?", "03/12 11:05", "1"
"NBA#M.1520822264.A.98C#00043", "weslee      ", "稿費好賺", "03/12 11:06", "0"
"NBA#M.1520822264.A.98C#00044", "lewisk      ", "廢文", "03/12 11:06", "0"
