"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1521422145.A.E1A#00000", "kenny1300175", "2018-03-19 07:00 特約記者李亦伸<br><br><br>過去一周，金州勇士最搶版面和新聞焦點的人物不是Curry還要傷停一周，也不是Durant<br>肋骨軟骨骨折，至少要休養兩周，Thompson右手大拇指骨折，兩周後檢驗再觀察也很驚悚<br>。但這三大球星的驚奇指數都不如Quinn Cook。<br><br><br>Cook，24歲187公分打控球，2015年NBA落選新秀，杜克大學畢業，Cook2017年10月跟勇士<br>簽下「雙向合約」，過去一周他成為勇士本賽季收穫的「最大驚喜」，這分驚喜，甚至可<br>能超越菜鳥大前鋒Jordan Bell。<br><br><br>Cook在被勇士簽下前，NBA生涯一共只打過14場球，小牛5場，鵜鶘9場，平均上場時間13<br>分鐘，但只是打零工性質，一旦主力或替補歸隊，Cook只能回到NBA發展聯盟(G聯盟)繼續<br>磨練，等待機會。<br><br><br>加入勇士這一季Cook一共出賽20場(包括6場先發)，過去三場比賽Cook都得到先發，場均<br>貢獻22分、2.7助攻，三分球一共17投11中，三分命中率高達6成47。<br><br><br>3場數據可能太小，不夠代表性，那麼最近兩周5場球Cook場均15.6分、三分球命中率5成<br>，場均失誤1.4次。Cook每場出賽超過33分鐘，比Curry這個賽季32.1分鐘更多一些。<br><br><br>勇士教練Kerr誇獎了Cook的表現和努力，Kerr說：「Cook非常努力，而且願意投入防守，<br>他把發展聯盟的拚勁和決心帶到球隊，為我們帶來更多能量」。<br><br><br>勇士明星前鋒Green在Cook對太陽攻下生涯單場最高28分後，忍不住談起這個勇士挖寶挖<br>到的奇蹟小子。格林表示，「我不懂為為什麼Cook只能拿雙向合約(依相關規定，在NBA和<br>G聯盟打球領不同薪水)，竟然沒有人注意他的出色能力，Cook正在證明他是一名NBA球員<br>」。<br><br><br>Cook已經連續兩年入選G聯盟明星賽，同時也是2017年G聯盟明星賽MVP，做為2015年杜克<br>大學奪下NCAA美國大學冠軍主力後衛，Cook是一名出身優秀，外線投籃精準，同時也能打<br>出最好防守的後衛。<br><br><br>能突破，有速度，外線穩，Cook打出勇士最需要板凳元素，他的球技特色和功能性也能取<br>代過去兩年勇士板凳奇兵Ian Clark、Barbosa等這類型球員。其實上季在小牛、鵜鶘打零<br>工的14場比賽，Cook的三分球命中率也有4成2(26投11中)，穩定的投籃能力和突破速度，<br>Cook具備成為一名角色球員所有基本條件。<br><br><br>勇士眼前最大挑戰下三大力主球星都在傷停，至少傷停周，最多可能2-3周，勇士另一個<br>困境是板凳不是老就是功能性不足，Cook年輕、有速度、能突破，加上三分外線在水準以<br>上，Curry缺陣這兩周，Cook用實際表現和穩定投籃，讓勇士更加安心。<br><br><br>季後賽前撿到寶，挖到奇兵，Cook可能是勇士這一季最意外的大收穫。論實力和能力、經<br>驗，Cook還只是勇士替補的料，但論功能性和投籃，Cook接下來將會扮演更多角色，他會<br>是勇士板凳最主要DNA之一。<br><br><br>2015年選秀落選新人Cook在總冠軍球隊勇士找到新生，不管柯瑞何時傷癒復出歸隊，Cook<br>都將成為勇士和Curry最安全板凳備胎。<br><br><br><br><br>https://udn.com/news/story/7002/3038156<br><br>--<br>", "", ""
"NBA#M.1521422145.A.E1A#00001", "emptie      ", "這標題難得有點意思", "03/19 09:16", "0"
"NBA#M.1521422145.A.E1A#00002", "NAGI        ", ".噓文就廚師，救", "03/19 09:17", "0"
"NBA#M.1521422145.A.E1A#00003", "B05504021   ", "慘 剛被拉上來就...", "03/19 09:17", "0"
"NBA#M.1521422145.A.E1A#00004", "pcs90507    ", "來了來了～", "03/19 09:18", "0"
"NBA#M.1521422145.A.E1A#00005", "mimiasd0722 ", "大好前途的新人...", "03/19 09:18", "0"
"NBA#M.1521422145.A.E1A#00006", "Toy17       ", "LYS發功 cook請保重", "03/19 09:19", "0"
"NBA#M.1521422145.A.E1A#00007", "nuturewind  ", "淦這次演羅拉卡夫特的女星慘了.球星糗完改糗影星囉", "03/19 09:19", "1"
"NBA#M.1521422145.A.E1A#00008", "NicECooKiE  ", "噓文救蘋果", "03/19 09:19", "0"
"NBA#M.1521422145.A.E1A#00009", "aduijjr     ", "複製貼上資方狗就是噓", "03/19 09:20", "0"
"NBA#M.1521422145.A.E1A#00010", "jingthreept ", "小丑要鬧也剩沒幾次了，一個好好的人 把自己搞成這樣 真的悲哀聽說他還有女兒不知道他女兒看到作何感想", "03/19 09:22", "0"
"NBA#M.1521422145.A.E1A#00011", "ludo88      ", "先不要啦", "03/19 09:22", "0"
"NBA#M.1521422145.A.E1A#00012", "ooxxman     ", "連古墓奇兵都被糗了，幫QQ", "03/19 09:23", "0"
"NBA#M.1521422145.A.E1A#00013", "nuturewind  ", "原po能轉每天這種文為樂的日子也是不久了，請好好把握轉廢文的日子", "03/19 09:23", "1"
"NBA#M.1521422145.A.E1A#00014", "chrison     ", "其實不用硬湊真的沒關係.....", "03/19 09:23", "0"
"NBA#M.1521422145.A.E1A#00015", "Edison1174  ", "噓文救Cook", "03/19 09:24", "0"
"NBA#M.1521422145.A.E1A#00016", "ghchen1978  ", "才打幾場就捧..他這3場打很棒沒錯可是前兩場根本雷打球態度的確很好，但身材限制還需要再多觀察幾場", "03/19 09:25", "1"
"NBA#M.1521422145.A.E1A#00017", "tf310244    ", "蘇湖真可憐 快沒得轉費雯了只好現在趕進度", "03/19 09:26", "0"
"NBA#M.1521422145.A.E1A#00018", "daniel919927", "慘了要壞掉了", "03/19 09:26", "0"
"NBA#M.1521422145.A.E1A#00019", "Wojnarowski ", "LYS的文也只有原Po會轉啊", "03/19 09:28", "0"
"NBA#M.1521422145.A.E1A#00020", "o0991758566 ", "GG囉  勇士", "03/19 09:28", "0"
"NBA#M.1521422145.A.E1A#00021", "ghchen1978  ", "他是不太傳高風險的球，不過相對也讓勇士戰術少了，些變化，目前看來吃替補時間應該是沒問題的", "03/19 09:28", "0"
"NBA#M.1521422145.A.E1A#00022", "cool34      ", "這也能用電影梗 偉哉糗爺", "03/19 09:29", "0"
"NBA#M.1521422145.A.E1A#00023", "s925407     ", "現在版上的LYS文只有你在轉，你是跟廢文大師有什麼利益關係嗎，幹嘛一直幫他衝曝光率？", "03/19 09:31", "1"
"NBA#M.1521422145.A.E1A#00024", "jim986988   ", "這是電影廣告行銷嗎？", "03/19 09:32", "0"
"NBA#M.1521422145.A.E1A#00025", "shamus0309  ", "沒機會簽正式合約了 下季再來", "03/19 09:33", "0"
"NBA#M.1521422145.A.E1A#00026", "a1624a      ", "唉", "03/19 09:34", "0"
"NBA#M.1521422145.A.E1A#00027", "tenka92417  ", "糟糕了，廚師小心撞牆", "03/19 09:34", "0"
"NBA#M.1521422145.A.E1A#00028", "tf310244    ", "各位千萬不能噓 噓了就是爽到蘇湖", "03/19 09:35", "0"
"NBA#M.1521422145.A.E1A#00029", "thebestlawer", "標題有梗給箭頭", "03/19 09:36", "0"
"NBA#M.1521422145.A.E1A#00030", "jingthreept ", "我真的不能理解這種素質的球評怎麼還能存在，台灣人就喜歡看小丑？", "03/19 09:36", "0"
"NBA#M.1521422145.A.E1A#00031", "cs1122332001", "又來搶版面了 渣人", "03/19 09:40", "0"
"NBA#M.1521422145.A.E1A#00032", "shwkz       ", "還沒禁LYS文？", "03/19 09:40", "0"
"NBA#M.1521422145.A.E1A#00033", "D0128431    ", "ㄊㄨㄟ", "03/19 09:40", "0"
"NBA#M.1521422145.A.E1A#00034", "peterw      ", "硬要湊梗？", "03/19 09:41", "0"
"NBA#M.1521422145.A.E1A#00035", "svchost6    ", "可不可以 Ban 這傢伙的文？越來越難笑", "03/19 09:41", "0"
"NBA#M.1521422145.A.E1A#00036", "KeMBaWallKer", "你要不要改名LYS", "03/19 09:42", "0"
"NBA#M.1521422145.A.E1A#00037", "ccc5b683    ", "好喔", "03/19 09:43", "0"
"NBA#M.1521422145.A.E1A#00038", "Aldridge2006", "低能", "03/19 09:44", "0"
"NBA#M.1521422145.A.E1A#00039", "jingthreept ", "李亦伸到底有沒有看過辱罵他的推文啊，怎麼有人好意思一直發這種文", "03/19 09:44", "0"
"NBA#M.1521422145.A.E1A#00040", "RazaviSmith ", "別亂", "03/19 09:45", "0"
"NBA#M.1521422145.A.E1A#00041", "mchen11     ", "投票結果到底什麼時候開始執行", "03/19 09:49", "0"
"NBA#M.1521422145.A.E1A#00042", "WLR         ", "業配古墓奇兵喔XDD", "03/19 09:50", "0"
"NBA#M.1521422145.A.E1A#00043", "peanut910013", "3場太少那5場 笑死", "03/19 09:51", "0"
"NBA#M.1521422145.A.E1A#00044", "JoelEmbiid  ", "此ID也永久水桶", "03/19 09:54", "0"
"NBA#M.1521422145.A.E1A#00045", "b08297      ", "勇士也是沒人用了啊不用他不然用誰，現在不是可以觀察他能不能上的時候", "03/19 09:54", "1"
"NBA#M.1521422145.A.E1A#00046", "microuzi9797", "古墓奇兵你大頭", "03/19 09:55", "0"
"NBA#M.1521422145.A.E1A#00047", "junwh       ", "恭喜糗爺拿到電影業配", "03/19 09:55", "0"
"NBA#M.1521422145.A.E1A#00048", "leonmarsman ", "冥燈", "03/19 09:55", "0"
"NBA#M.1521422145.A.E1A#00049", "circleli    ", "原po應該是lys的忠誠粉絲 機會剩下不多了", "03/19 09:56", "0"
"NBA#M.1521422145.A.E1A#00050", "krara       ", "廢文", "03/19 09:59", "0"
"NBA#M.1521422145.A.E1A#00051", "hot987eagle ", "廢文，跟樓上也太有默契", "03/19 10:00", "0"
"NBA#M.1521422145.A.E1A#00052", "cress0128   ", "LYS廢文倒數", "03/19 10:04", "0"
"NBA#M.1521422145.A.E1A#00053", "owhfr69c    ", "古墓奇兵 我還 穢土轉生", "03/19 10:09", "0"
"NBA#M.1521422145.A.E1A#00054", "ijk77692    ", "滾", "03/19 10:10", "0"
"NBA#M.1521422145.A.E1A#00055", "ICELEE      ", "犧牲庫克換勇士整隊幸福", "03/19 10:12", "0"
"NBA#M.1521422145.A.E1A#00056", "ilikeroc    ", "還好吧 糗爺又不會發造謠文= =", "03/19 10:13", "0"
"NBA#M.1521422145.A.E1A#00057", "HaHaPoint   ", "古墓傷兵 XDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD", "03/19 10:14", "1"
"NBA#M.1521422145.A.E1A#00058", "TVXFQ       ", "太早就被糗了吧", "03/19 10:18", "0"
"NBA#M.1521422145.A.E1A#00059", "Linkzibata12", "慘囉", "03/19 10:20", "0"
"NBA#M.1521422145.A.E1A#00060", "a0025068    ", "XDDDDDDDDDDDD", "03/19 10:20", "0"
"NBA#M.1521422145.A.E1A#00061", "Dope5566    ", "Cook掰", "03/19 10:22", "0"
"NBA#M.1521422145.A.E1A#00062", "Benado      ", "樓上一堆等著被吉囉ㄏㄏ", "03/19 10:25", "0"
"NBA#M.1521422145.A.E1A#00063", "dripping    ", "才打個幾場就再捧  不愧是專業的勇士迷", "03/19 10:25", "0"
"NBA#M.1521422145.A.E1A#00064", "tom82124    ", "又是你 我說原PO", "03/19 10:27", "0"
"NBA#M.1521422145.A.E1A#00065", "justice0616 ", "閉嘴", "03/19 10:29", "0"
"NBA#M.1521422145.A.E1A#00066", "dripping    ", "看了一下 五場兩勝三負 暴發的兩場分別是國王太陽，打這兩隊才暴發有什麼好捧的....", "03/19 10:33", "0"
"NBA#M.1521422145.A.E1A#00067", "asdfg5435   ", "恭喜勇士 有人要下去了= =", "03/19 10:33", "0"
"NBA#M.1521422145.A.E1A#00068", "getx105     ", "滾", "03/19 10:37", "0"
"NBA#M.1521422145.A.E1A#00069", "toeic900    ", "沒梗了", "03/19 10:43", "0"
"NBA#M.1521422145.A.E1A#00070", "qtbang      ", "下一篇 復仇者聯盟", "03/19 10:48", "0"
"NBA#M.1521422145.A.E1A#00071", "LiamNeeson  ", "糗", "03/19 10:49", "0"
"NBA#M.1521422145.A.E1A#00072", "kay1030     ", "投票要等到3/28實在太久了", "03/19 10:56", "0"
"NBA#M.1521422145.A.E1A#00073", "dick3588    ", "幫q", "03/19 10:58", "0"
"NBA#M.1521422145.A.E1A#00074", "er4488      ", ".............", "03/19 11:00", "0"
"NBA#M.1521422145.A.E1A#00075", "tw88        ", ",", "03/19 11:07", "0"
"NBA#M.1521422145.A.E1A#00076", "anoymouse   ", "叫kenny還一直發LYS的廢文", "03/19 11:11", "0"
"NBA#M.1521422145.A.E1A#00077", "xbit        ", "阿cook剛投的順就要被東方神秘力量收走了..", "03/19 11:15", "0"
"NBA#M.1521422145.A.E1A#00078", "sinben      ", "再貼啊 我看你還能貼多久", "03/19 11:28", "0"
"NBA#M.1521422145.A.E1A#00079", "tLuesuGi    ", "嗯", "03/19 11:37", "0"
"NBA#M.1521422145.A.E1A#00080", "z2266510    ", "前途不錯的說......", "03/19 11:39", "0"
"NBA#M.1521422145.A.E1A#00081", "judgeGGININ ", "把蘇湖也終身水桶啦！", "03/19 11:47", "0"
"NBA#M.1521422145.A.E1A#00082", "chimori     ", "能發LYS廢文也沒幾天了", "03/19 11:57", "0"
"NBA#M.1521422145.A.E1A#00083", "aowen       ", "庫克掰", "03/19 12:16", "0"
"NBA#M.1521422145.A.E1A#00084", "BSIOC       ", "所以他目前是GTD", "03/19 12:17", "0"
"NBA#M.1521422145.A.E1A#00085", "absurd0605  ", "滾啦", "03/19 12:23", "0"
"NBA#M.1521422145.A.E1A#00086", "Tawara      ", "業配古墓奇兵?", "03/19 12:26", "0"
"NBA#M.1521422145.A.E1A#00087", "Rooxie      ", "標題硬要= =", "03/19 12:33", "0"
