"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1521524964.A.0AC#00000", "vm6jo6456", "熱火金塊2OT惡戰　打到紀錄台機器故障<br>作者：賴意文<br><br><br>分別在力拚東、西區季後賽資格的邁阿密熱火與丹佛金塊，今天（20日）延長2次才分出<br>勝負，由地主熱火以8分之差獲勝。這場惡戰，甚至打到官方紀錄台的機器都故障。<br><br><br>透過網路關注這場比賽的球迷惑許發現，第1節結束後官方網站、官方App的數據就不再更<br>新。根據在場媒體報導，這是因為官方紀錄台有機器故障，就連2支球隊在比賽結束後都<br>沒有收到官方的攻守數據。<br><br><br>「沒有攻守數據，好像是機器故障了吧。」金塊總教練Michael Malone說：「不過今晚我<br>唯一在意的攻守數據，是我為球員們全力奮戰的表現感到有多麼驕傲，我為我們的執行感<br>到驕傲，我為我們給了自己機會而感到驕傲。」<br><br><br>儘管在客場落敗，在西區季後賽之爭中依舊暫居第10名，落後第8名明尼蘇達灰狼的勝差<br>擴大到2場。但他們奮力攻下141分逼出2次延長，前3節結束時雙方都只有1分之差。<br>Nikola Jokic攻得34分14籃板，Wilson Chandler攻下26分，Jamal Murray攻下23分，<br>Will Barton攻下22分，讓Malone仍能為自己的子弟兵感到驕傲。<br><br><br>地主熱火則攻下NBA本季單隊單場最高的149分，James Johnson攻下生涯單場新高31分，<br>其中18分是在延長賽得到，寫下熱火隊史紀錄。此外Kelly Olynyk也替補攻下30分。熱火<br>總教練Erik Spoelstra說：「他們也不該是輸家，球員們大概都很享受這樣的比賽。」<br><br><br>自己擊敗金塊加上密爾瓦基公鹿落敗，2連勝的熱火超越公鹿登上東區第8，領先公鹿半場<br>勝差，也領先東區第9的底特律活塞7場勝差。<br><br><br>http://www.tsna.com.tw/tw/news/show.php?publish=3&num=17867<br><br><br>PS：<br>相信大家都想知道比賽結果，我花了很久才打聽到這個新聞，不用謝我了！<br><br>--<br>", "", ""
"NBA#M.1521524964.A.0AC#00001", "peter2003310", "熱火超越公鹿登上東區第八  記者知道自己在寫什麼嗎", "03/20 13:52", "1"
"NBA#M.1521524964.A.0AC#00002", "bing515     ", "最後一段應該是說活塞第10？", "03/20 13:53", "0"
"NBA#M.1521524964.A.0AC#00003", "hot987eagle ", "一支季後賽球隊超過另一支季後賽球隊，我誤會什麼了嗎", "03/20 13:54", "1"
"NBA#M.1521524964.A.0AC#00004", "ntusimmon   ", "2OT就會當機喔…", "03/20 13:55", "0"
"NBA#M.1521524964.A.0AC#00005", "dakkk       ", "原來攻守數據沒出來是因為計時器故障", "03/20 13:55", "0"
"NBA#M.1521524964.A.0AC#00006", "unexpect    ", "他搞錯了 熱火是第7", "03/20 13:55", "0"
"NBA#M.1521524964.A.0AC#00007", "Ayanami5566 ", "熱火第七吧", "03/20 13:56", "0"
"NBA#M.1521524964.A.0AC#00008", "jacky0122   ", "Kelly Olajuwon 力抗 Jokic ,最後由James 關門，叫James的沒有一個是弱者", "03/20 13:56", "1"
"NBA#M.1521524964.A.0AC#00009", "Vedan       ", "請補上文章作者，感謝", "03/20 13:57", "0"
"NBA#M.1521524964.A.0AC#00010", "nekoten     ", "金塊熱火梅竹賽 平手作收", "03/20 13:59", "0"
"NBA#M.1521524964.A.0AC#00011", "Vedan       ", "痾...我是依照板規提醒您而已，別生氣，如果有人檢舉就會刪無附作者新聞了", "03/20 14:02", "1"
"NBA#M.1521524964.A.0AC#00012", "dakkk       ", "板主會刪新聞的", "03/20 14:04", "0"
"NBA#M.1521524964.A.0AC#00013", "tokiki123   ", "Kelly Olajuwon…?", "03/20 14:07", "0"
"NBA#M.1521524964.A.0AC#00014", "TFADolly    ", "板主好意提醒你 還兇勒 態度有必要這樣?", "03/20 14:13", "0"
"NBA#M.1521524964.A.0AC#00015", "Larry0806   ", "版主提醒你  你卻這麼兇   理直氣壯呢  可惜理不直", "03/20 14:15", "1"
"NBA#M.1521524964.A.0AC#00016", "nutra       ", "欠噓 等到被桶再來戰板主 有夠噁", "03/20 14:18", "0"
"NBA#M.1521524964.A.0AC#00017", "calvin0319  ", "那你就他媽不要補作者啊    補三小", "03/20 14:21", "0"
"NBA#M.1521524964.A.0AC#00018", "kkkuccu     ", "欠桶", "03/20 14:21", "0"
"NBA#M.1521524964.A.0AC#00019", "seanmao0918 ", "很派喔v大，真的很叛逆欸", "03/20 14:22", "0"
"NBA#M.1521524964.A.0AC#00020", "yankslakers ", "真的很二 桶了啦", "03/20 14:22", "0"
"NBA#M.1521524964.A.0AC#00021", "lostheaven  ", "補一下會死嗎", "03/20 14:23", "0"
"NBA#M.1521524964.A.0AC#00022", "louispencer ", "金塊掰惹", "03/20 14:25", "0"
"NBA#M.1521524964.A.0AC#00023", "louispencer ", "噓態度", "03/20 14:27", "0"
"NBA#M.1521524964.A.0AC#00024", "jack86326   ", "又是你 一天兩po的男人", "03/20 14:31", "0"
"NBA#M.1521524964.A.0AC#00025", "Bulls23     ", "打到2OT很累吧..", "03/20 14:33", "0"
"NBA#M.1521524964.A.0AC#00026", "brokenXD    ", "滾啦", "03/20 14:47", "0"
"NBA#M.1521524964.A.0AC#00027", "kloseQ      ", "推推", "03/20 14:52", "0"
"NBA#M.1521524964.A.0AC#00028", "riceworm520 ", "hen 兇", "03/20 14:54", "0"
"NBA#M.1521524964.A.0AC#00029", "cloud886    ", "版主很好心了", "03/20 14:56", "0"
"NBA#M.1521524964.A.0AC#00030", "theone5204  ", "兇.JPG", "03/20 14:59", "0"
"NBA#M.1521524964.A.0AC#00031", "danorken    ", "還以為被吹20T原來是2OT 順便幫噓一下", "03/20 15:04", "0"
"NBA#M.1521524964.A.0AC#00032", "skylove21   ", "欠噓 桶不遠矣", "03/20 15:05", "0"
"NBA#M.1521524964.A.0AC#00033", "tmac0321    ", "2OT", "03/20 15:09", "0"
"NBA#M.1521524964.A.0AC#00034", "ghostxx     ", "兇屁", "03/20 15:13", "0"
"NBA#M.1521524964.A.0AC#00035", "tommy88520  ", "兇", "03/20 15:16", "0"
"NBA#M.1521524964.A.0AC#00036", "tpc231250   ", "來", "03/20 15:17", "0"
"NBA#M.1521524964.A.0AC#00037", "XtinaGrimmie", "凶！怕！", "03/20 15:17", "0"
"NBA#M.1521524964.A.0AC#00038", "Mcgeeagenius", "兇", "03/20 15:17", "0"
"NBA#M.1521524964.A.0AC#00039", "pansonican1 ", "兇.jpg", "03/20 15:18", "0"
"NBA#M.1521524964.A.0AC#00040", "mic5060     ", "樓下支援怕.jpg", "03/20 15:22", "0"
"NBA#M.1521524964.A.0AC#00041", "Saphyyy     ", "兇", "03/20 15:22", "0"
"NBA#M.1521524964.A.0AC#00042", "literchance ", "凶凶der", "03/20 15:30", "0"
"NBA#M.1521524964.A.0AC#00043", "abc31216    ", "兇屁兇", "03/20 15:36", "0"
"NBA#M.1521524964.A.0AC#00044", "asd860079   ", "不看板規還兇人 鬧板仔下去啦", "03/20 15:41", "0"
"NBA#M.1521524964.A.0AC#00045", "emp675      ", "兇", "03/20 15:45", "0"
"NBA#M.1521524964.A.0AC#00046", "payday      ", "金派喔", "03/20 15:53", "0"
"NBA#M.1521524964.A.0AC#00047", "kevin83h    ", "可憐", "03/20 15:54", "0"
"NBA#M.1521524964.A.0AC#00048", "lillard000  ", "滾", "03/20 15:54", "0"
"NBA#M.1521524964.A.0AC#00049", "k870357     ", "這不是沒看版規吧，是連最上面的版主都沒在看XD", "03/20 15:55", "0"
"NBA#M.1521524964.A.0AC#00050", "puro        ", "拍三小", "03/20 16:10", "0"
"NBA#M.1521524964.A.0AC#00051", "kohna535    ", "紅的喜氣", "03/20 16:15", "0"
"NBA#M.1521524964.A.0AC#00052", "loopdiuretic", "矽赫88", "03/20 16:24", "0"
"NBA#M.1521524964.A.0AC#00053", "avtime      ", "看標題好像是大陸小說", "03/20 16:31", "0"
"NBA#M.1521524964.A.0AC#00054", "JustWinslow ", "很凶欸 欠吉？", "03/20 16:38", "0"
"NBA#M.1521524964.A.0AC#00055", "percyiverson", "金派", "03/20 16:39", "0"
"NBA#M.1521524964.A.0AC#00056", "asd07633    ", "還不桶", "03/20 17:03", "0"
"NBA#M.1521524964.A.0AC#00057", "kkjjkkjj    ", "兇什麼", "03/20 17:22", "0"
"NBA#M.1521524964.A.0AC#00058", "Timmy21     ", "兇哪一條的ㄏㄏ", "03/20 17:28", "0"
"NBA#M.1521524964.A.0AC#00059", "sinben      ", "兇三小", "03/20 17:29", "0"
"NBA#M.1521524964.A.0AC#00060", "wadeheat    ", "不是很兇，怎麼補作者了?，可以拿掉啊", "03/20 17:37", "0"
"NBA#M.1521524964.A.0AC#00061", "chochola    ", "喜氣，喜氣", "03/20 17:42", "0"
"NBA#M.1521524964.A.0AC#00062", "everettofu  ", "兇啊 再派啊", "03/20 17:51", "0"
"NBA#M.1521524964.A.0AC#00063", "keycho5566  ", "嚇到吃手收", "03/20 17:59", "0"
"NBA#M.1521524964.A.0AC#00064", "smartddd    ", "兇？", "03/20 18:14", "0"
"NBA#M.1521524964.A.0AC#00065", "finger213   ", "凶", "03/20 18:22", "0"
"NBA#M.1521524964.A.0AC#00066", "cutemouse   ", "兇欸", "03/20 18:26", "0"
"NBA#M.1521524964.A.0AC#00067", "eskawater   ", "拖別人下水來比較的惡習", "03/20 18:37", "0"
"NBA#M.1521524964.A.0AC#00068", "maydayholic ", "滾", "03/20 18:47", "0"
"NBA#M.1521524964.A.0AC#00069", "aa89028500  ", "你誰", "03/20 18:51", "0"
"NBA#M.1521524964.A.0AC#00070", "PANTSer     ", "滾", "03/20 19:00", "0"
"NBA#M.1521524964.A.0AC#00071", "lpoki10     ", "前面那台車也違停啊，怎不去抓!!", "03/20 19:39", "0"
"NBA#M.1521524964.A.0AC#00072", "sanxiao     ", "兇餒  怕怕哦   再邱阿", "03/20 19:56", "0"
"NBA#M.1521524964.A.0AC#00073", "blake1003   ", "敢嗆就帶種一點刪掉嗚作者阿 不是很邱?", "03/20 20:07", "0"
"NBA#M.1521524964.A.0AC#00074", "MarXXXX     ", "怕.jpg", "03/20 20:27", "0"
"NBA#M.1521524964.A.0AC#00075", "SelTek      ", "敢嗆版主 欠噓阿?", "03/20 22:42", "0"
"NBA#M.1521524964.A.0AC#00076", "warmblue    ", "哈哈哈哈哈哈", "03/20 23:06", "0"
"NBA#M.1521524964.A.0AC#00077", "binodal     ", "滾啦", "03/21 05:07", "0"
"NBA#M.1521524964.A.0AC#00078", "laygoyolo   ", "兇咧", "03/21 12:31", "0"
