"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1521674853.A.7EF#00000", "kenny1300175", "2018-03-22 07:00 特約記者李亦伸<br><br><br>4連勝之後，馬刺排名回到西區第5-6名之間，不管Kawhi Leonard會不會復出、復出之後<br>有沒有八成功力，西區季後賽各隊面對馬刺還是都要感到「害怕」。<br><br><br>馬刺是聯盟失分最少球隊，防守效率值聯盟前三，馬刺的比賽風格往往是馬刺命中率更<br>差，籃板略少，三分球更不準，但馬刺卻能贏球，靠的就是防守+團隊+教練Popovich。<br><br><br>在Popovich季後賽藍圖裡，尚未復出、狀況不明的明星前鋒Leonard不一定是要打的牌，<br>這是馬刺一慣傳統，也是Popovich厲害之處。他總能把功能性球員轉換為主角，也能把<br>二、三線角色球員，在各隊毫不起眼，但擺在馬刺棋盤上，卻是虎虎生風，功能性十足，<br>打出典型馬刺籃球。<br><br><br>手裡沒有王牌，但Popovich還是能在極不被看好、賽程吃緊、七成以上對手都是季後賽<br>球隊，加上主力和板凳老化的逆境下，扭轉乾坤，創造奇蹟。<br><br><br>馬刺不死，季後賽西區列強都要害怕。依照西區目前情勢戰局看來，馬刺排名最終會<br>落在西區第4-6名之間。<br><br><br><br>狀況一 如果馬刺第4<br><br><br>那麼第5的對手，不管是雷霆、鵜鶘、爵士還是灰狼，就要倒楣了。季後賽第一輪打馬刺<br>，這幾支對手想要闖過Popovich的球隊，勢必艱難。<br><br><br>季後賽馬刺肯定跟例行賽不同，Popovich可以出的牌和玩的戰略也會跟例行賽不同，<br>季後賽比的就是防守、教練和執行力，這方面馬刺是西區僅次於火箭、勇士的第三好<br>球隊。<br><br><br><br>狀況二 如果馬刺第5<br><br><br>如果馬刺最終例行賽排名第5，狀況一的情形和情勢，同樣會發生，因為季後賽第一輪就<br>是4-5，不管第4是鵜鶘、爵士還是灰狼、雷霆，第一輪要遇馬刺都不會是好消息。<br><br><br>馬刺如果以第4或第5晉季後賽，過了第一輪會遇上火箭，火箭當然更強大、更犀利，但<br>馬刺會不會是火箭難逃的「劫數」？結局勢必非常有趣。<br><br><br><br>狀況三 如果馬刺第6<br><br><br>現在看來，馬刺最終最可能會以西區第6晉級，那麼馬刺遇上最可能的對手就是西區第3<br>拓荒者。論天賦、人手和陣容深度，拓荒者的進攻+後場雙槍肯定要讓馬刺很頭大，但<br>拓荒者和馬刺之間的勝場差最多不會超過3場，基本上兩支球隊戰力相去不大，相去不大<br>，最終決定勝敗的就是防守、團隊+教練，這一點馬刺還是給人相當信心。<br><br><br>拓荒者今年球季表現說不上脫胎換骨，但骨子裡確實有很大不同，雙槍Lillard+McCollum<br>更穩更刁更準，內線Nurkic+Davis衝擊力和防守能力出色，角色球員Aminu、Turner、<br>Harkless相當實在穩定，狀況更勝以往，拓荒者能站上西區第3，絕不靠運氣。殺敵一千，<br>自損八百，拓荒者肯定不會希望第一輪就遇上老辣的馬刺。<br><br><br>兩周前，全美還在瘋狂討論馬刺能不能晉季後賽？兩周後，話題必須轉向，馬刺季後賽<br>能上演多大奇蹟!<br><br><br><br>https://udn.com/news/story/7002/3043417<br><br>--<br>", "", ""
"NBA#M.1521674853.A.7EF#00001", "pinkygiveme ", "馬刺掰掰", "03/22 07:28", "0"
"NBA#M.1521674853.A.7EF#00002", "xul4m4vu6666", "馬刺不要掰啊幹", "03/22 07:29", "0"
"NBA#M.1521674853.A.7EF#00003", "laughingchen", "噓文救我刺啊啊啊啊", "03/22 07:29", "0"
"NBA#M.1521674853.A.7EF#00004", "dydark      ", "馬刺可以休息了", "03/22 07:29", "0"
"NBA#M.1521674853.A.7EF#00005", "NLchu       ", "還不夠慘啊......", "03/22 07:29", "0"
"NBA#M.1521674853.A.7EF#00006", "blackheart33", "啊啊啊啊啊啊糟了", "03/22 07:29", "0"
"NBA#M.1521674853.A.7EF#00007", "eagnij      ", "馬刺掰掰", "03/22 07:30", "0"
"NBA#M.1521674853.A.7EF#00008", "mmmn52332   ", "為何要一直發LYS廢文啊…", "03/22 07:30", "0"
"NBA#M.1521674853.A.7EF#00009", "LiamNeeson  ", "糗", "03/22 07:31", "0"
"NBA#M.1521674853.A.7EF#00010", "roytenpura  ", "馬刺GG", "03/22 07:31", "0"
"NBA#M.1521674853.A.7EF#00011", "hunterh01   ", "POPO.........", "03/22 07:31", "0"
"NBA#M.1521674853.A.7EF#00012", "jlu         ", "都是同一個人在發", "03/22 07:32", "0"
"NBA#M.1521674853.A.7EF#00013", "QoGIVoQ     ", "可以進棺材了", "03/22 07:32", "0"
"NBA#M.1521674853.A.7EF#00014", "Freesen     ", "可以閉嘴嗎", "03/22 07:32", "0"
"NBA#M.1521674853.A.7EF#00015", "rc4317526   ", "幫我刺噓你", "03/22 07:32", "0"
"NBA#M.1521674853.A.7EF#00016", "amaru03     ", "靠背今天要輸巫師了", "03/22 07:32", "0"
"NBA#M.1521674853.A.7EF#00017", "jeffmao5566 ", "要跌出季後賽了？", "03/22 07:33", "0"
"NBA#M.1521674853.A.7EF#00018", "youwiiiiiii ", "噓穩救馬刺", "03/22 07:33", "0"
"NBA#M.1521674853.A.7EF#00019", "opoppp      ", "煩不煩啊", "03/22 07:33", "0"
"NBA#M.1521674853.A.7EF#00020", "taker627    ", "RIP", "03/22 07:33", "0"
"NBA#M.1521674853.A.7EF#00021", "jason0829   ", "欠噓", "03/22 07:34", "0"
"NBA#M.1521674853.A.7EF#00022", "chimori     ", "可以不要轉廢文嗎", "03/22 07:35", "0"
"NBA#M.1521674853.A.7EF#00023", "qwaszx012   ", "GG", "03/22 07:35", "0"
"NBA#M.1521674853.A.7EF#00024", "tony880515  ", "救我刺", "03/22 07:35", "0"
"NBA#M.1521674853.A.7EF#00025", "calvin0319  ", "小丑", "03/22 07:35", "0"
"NBA#M.1521674853.A.7EF#00026", "hunt5566    ", "馬刺第八 打火箭 勇士笑嘻嘻", "03/22 07:35", "0"
"NBA#M.1521674853.A.7EF#00027", "answerai3   ", "結果跌出救後賽 在拿這篇舊神了", "03/22 07:36", "0"
"NBA#M.1521674853.A.7EF#00028", "ilovekobe824", "純噓ID快點桶一桶啦，推錯補噓", "03/22 07:36", "0"
"NBA#M.1521674853.A.7EF#00029", "NicECooKiE  ", "樓上我幫你噓回來", "03/22 07:38", "0"
"NBA#M.1521674853.A.7EF#00030", "kevint20    ", "別來亂", "03/22 07:38", "0"
"NBA#M.1521674853.A.7EF#00031", "jemmak629   ", "笑死", "03/22 07:42", "0"
"NBA#M.1521674853.A.7EF#00032", "nash3000    ", "偷電影名字的梗....", "03/22 07:45", "0"
"NBA#M.1521674853.A.7EF#00033", "zxcv60558   ", "跪求嘴下留刺一命，今天必敗了", "03/22 07:45", "0"
"NBA#M.1521674853.A.7EF#00034", "Sabo5566    ", "死了", "03/22 07:46", "0"
"NBA#M.1521674853.A.7EF#00035", "jimmy5680   ", "滾", "03/22 07:47", "0"
"NBA#M.1521674853.A.7EF#00036", "leonmarsman ", "馬刺掰", "03/22 07:48", "0"
"NBA#M.1521674853.A.7EF#00037", "tw88        ", "E04", "03/22 07:49", "0"
"NBA#M.1521674853.A.7EF#00038", "s66449      ", "塊陶啊", "03/22 07:50", "0"
"NBA#M.1521674853.A.7EF#00039", "shower0713  ", "純噓作者，通篇廢話", "03/22 07:50", "0"
"NBA#M.1521674853.A.7EF#00040", "boardsee    ", "去嘴火箭勇士騎士不行嗎………………", "03/22 07:50", "0"
"NBA#M.1521674853.A.7EF#00041", "crazypower  ", "金塊要開狂暴了嗎？", "03/22 07:51", "0"
"NBA#M.1521674853.A.7EF#00042", "kevinkeynes ", "幹...廢文不要po了吧...", "03/22 07:51", "0"
"NBA#M.1521674853.A.7EF#00043", "Gsun        ", "馬刺掰", "03/22 07:51", "0"
"NBA#M.1521674853.A.7EF#00044", "asdeax08    ", "QQ", "03/22 07:51", "0"
"NBA#M.1521674853.A.7EF#00045", "proudC      ", "雖然是刺迷，但我真的覺得一輪遊機會很高", "03/22 07:53", "0"
"NBA#M.1521674853.A.7EF#00046", "lekurtismay ", "閉嘴", "03/22 07:53", "0"
"NBA#M.1521674853.A.7EF#00047", "ATand       ", "馬刺一輪遊(認證中", "03/22 07:54", "0"
"NBA#M.1521674853.A.7EF#00048", "tadanobuta  ", "沒看內文純噓", "03/22 07:54", "0"
"NBA#M.1521674853.A.7EF#00049", "td770715    ", "閉嘴啦你", "03/22 07:54", "0"
"NBA#M.1521674853.A.7EF#00050", "JustIam     ", "這下真的死透了", "03/22 07:55", "0"
"NBA#M.1521674853.A.7EF#00051", "breakyi     ", "爆掉......", "03/22 07:57", "0"
