"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1527307406.A.5CE#00000", "amaru03", "※ 引述《shiuichi (三隻魚閃鏢)》之銘言：<br>: https://www.youtube.com/watch?v=iByIT1cB-Eo<br>: 在第四節關鍵時刻，連投進兩顆不可思議的三分，動作還幾乎一模一樣，今年幾乎打滿<br>全<br>: 場還可以生涯新高的33歲詹，是不是才是真正的地下的MVP？<br>: https://www.youtube.com/watch?v=Uz6vJuG1BmY<br>: 另外這是去年ESPN請來老皮跟T-MAC，來討論詹皇的後撤步三分<br>: 昔有人稱狗屁三分的溪蛙，今有拉進G7詹皇的死之三分，不得不說，今年的他真的是最<br>接<br>: 近喬神的男人，NBA史上最強小前鋒無誤，沒有之一<br><br>先講我馬後炮啦<br>但是這兩顆球就我來看真的是Tatum防守經驗不足<br><br>首先，看了十幾年喇叭詹的球迷應該都很熟悉喇叭在這種倒數決勝的階段，如果在三分線<br>附近運球到進攻時間剩下3秒左右，很大機率是要向後墊步出手三分球<br><br>第二點，喇叭在出手這兩球的盤球時間都過長，Tatum為了要防他切入其實都離他太遠。<br>但是Tatum如果防守經驗再好一點有辦法去注意進攻計時器的時間的話，不應該在剩下3秒<br>左右放一步的空間給喇叭這種空間做出手<br><br>如果貼上去，喇叭選擇切入自幹的話受到的防守壓力會比較大；或是喇叭選擇切入之後往<br>外分球，接球的人應該是剩下不到一秒倉促出手，都比要讓今天手感不錯的喇叭有這麼大<br>空間投3分要好<br><br>或許有人會認為防守者其實已經貼上去<br>但是你去看Video 根本連眼睛都沒遮到<br>對於NBA的進攻者來說這種防守其實影響很小<br>尤其今天的喇叭又on fire<br><br>那為什麼我會覺得Tatum經驗不足？<br>第一球猜錯失掉防守位置我覺得可以接受<br>因為不論喇叭今天手感好或壞<br>讓喇叭切入跟投三分正常一定選擇讓他投籃<br><br>但第二球又是一樣節奏的情況下<br>Tatum就應該去注意進攻時間伺機貼上去造成喇叭更大的壓力，讓喇叭不得不選擇切入自<br>幹或是傳球，結果或許都會比讓喇叭B2B噴進三分好<br><br><br>--<br>", "", ""
"NBA#M.1527307406.A.5CE#00001", "Aikos       ", "你來守", "05/26 12:04", "0"
"NBA#M.1527307406.A.5CE#00002", "wayne654852 ", "可是三秒也夠他切入了，說實在QQ", "05/26 12:04", "0"
"NBA#M.1527307406.A.5CE#00003", "wpd         ", "左邊45度 --> 後撤步三分 右邊45度 --> 左邊坦克切", "05/26 12:04", "0"
"NBA#M.1527307406.A.5CE#00004", "AndyWT      ", "貼上去一定被假動作騙跳...然後三分犯 16年就這樣，然後下一球就投鼠忌器完全不敢守 再顏射一顆完美的歷史重演", "05/26 12:04", "0"
"NBA#M.1527307406.A.5CE#00005", "alittleghost", "鍵盤防守專家", "05/26 12:05", "0"
"NBA#M.1527307406.A.5CE#00006", "ShenMayn    ", "不是守不好，是遇見了神", "05/26 12:05", "0"
"NBA#M.1527307406.A.5CE#00007", "wii128      ", "你去守 嘴巴倒是很厲害", "05/26 12:05", "0"
"NBA#M.1527307406.A.5CE#00008", "qw99992     ", "請問Vedio是哪個youtube頻道 我搜不到", "05/26 12:05", "0"
"NBA#M.1527307406.A.5CE#00009", "frankmilk   ", "video", "05/26 12:05", "0"
