"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1527929147.A.2CD#00000", "yehudi", "五巨頭KD+DG+KT+SC+AI<br><br>已經在西區連續四年進總冠軍<br><br>這在過往抱腿團前所未見<br><br>即使是LBJ也只有Bosh跟Wade<br><br>雖然勇士除了KD 其餘算是養出來<br><br>但仍改變不了史上最強最大團事實<br><br>LBJ真的運氣非常差<br><br>原本已經穩穩追上MJ<br><br>結果遇上最大團<br><br>之後除了加入報隊外<br><br>已經想不出追上MJ的可能<br><br>勇士只要能維持這種陣容<br><br>這五位起碼還能巔峰五年以上<br><br>壟斷了總冠軍<br><br>也斷了許多球員的歷史定位<br><br>想想LBJ 他只要跟KD交換下<br><br>早就五冠 今年在爭第六冠了<br><br>還是不禁得欽佩LBJ<br><br>在騎士→熱火→騎士<br><br>永遠在帶小兵拿冠<br><br>哪像KB 有大歐加索<br><br>再怎樣打鐵都能拿五冠<br><br>唉<br><br><br><br><br>-----<br>Sent from JPTT on my HTC_D816x.<br><br>--<br>", "", ""
"NBA#M.1527929147.A.2CD#00001", "bolide77    ", "FB?", "06/02 16:46", "0"
"NBA#M.1527929147.A.2CD#00002", "manuginobii ", "沒梗反串滾", "06/02 16:46", "0"
"NBA#M.1527929147.A.2CD#00003", "Kevin10613  ", "唉", "06/02 16:47", "0"
"NBA#M.1527929147.A.2CD#00004", "lunsanity   ", "wade bosh小兵?", "06/02 16:49", "0"
"NBA#M.1527929147.A.2CD#00005", "tsangerh    ", "？", "06/02 16:49", "0"
"NBA#M.1527929147.A.2CD#00006", "svchost6    ", "別反串了", "06/02 16:50", "0"
"NBA#M.1527929147.A.2CD#00007", "MarkFung    ", "看不慣姆迷一點，就是他們永遠把姆斯隊友當空氣", "06/02 16:50", "0"
"NBA#M.1527929147.A.2CD#00008", "sylviehsiang", "公牛表示 湖人雙F4表示", "06/02 16:50", "0"
"NBA#M.1527929147.A.2CD#00009", "AnubisJK    ", "原來AI是勇士養出來的啊 學到一課了", "06/02 16:50", "0"
"NBA#M.1527929147.A.2CD#00010", "raiderho    ", "勇迷也愛說AI是他們養出來的XD", "06/02 16:51", "0"
"NBA#M.1527929147.A.2CD#00011", "sustainer123", "反串", "06/02 16:51", "0"
"NBA#M.1527929147.A.2CD#00012", "t67109      ", "認真說Kobe carry大歐 沒kobe吸怪兩中鋒穩死", "06/02 16:51", "0"
"NBA#M.1527929147.A.2CD#00013", "anyu0805    ", "DG是巨頭？體系下的產物好嗎！", "06/02 16:51", "0"
"NBA#M.1527929147.A.2CD#00014", "moccabranco ", "當然沒有 勇士對面才是最大團", "06/02 16:51", "0"
"NBA#M.1527929147.A.2CD#00015", "fdtu0928    ", "騎士組的團小？錢花哪去了？", "06/02 16:52", "0"
"NBA#M.1527929147.A.2CD#00016", "washawayee  ", "看到反串然後釣到自己人都覺蠻好笑的XD", "06/02 16:52", "0"
"NBA#M.1527929147.A.2CD#00017", "alanhome    ", "看到說lbj隊友小兵就是噓了", "06/02 16:54", "0"
"NBA#M.1527929147.A.2CD#00018", "chrisplash  ", "史上薪資最大團表示", "06/02 16:54", "0"
"NBA#M.1527929147.A.2CD#00019", "obryanto    ", "小兵？  沒有Ray KI小兵三分，姆斯瞬間剩一冠", "06/02 16:55", "0"
"NBA#M.1527929147.A.2CD#00020", "mmchen      ", "史上最快解體的大團表示：", "06/02 16:55", "0"
"NBA#M.1527929147.A.2CD#00021", "chrispherd  ", "姆斯最可憐了拉 隊友都廢物", "06/02 16:56", "0"
"NBA#M.1527929147.A.2CD#00022", "AndyWT      ", "這個ID很喜歡po這種文", "06/02 16:59", "0"
"NBA#M.1527929147.A.2CD#00023", "smalldds    ", "沒有the跨又瞬間少了一冠……", "06/02 17:01", "0"
"NBA#M.1527929147.A.2CD#00024", "AndyWT      ", "https//i.imgur.com/wxhHFm0.jpg", "06/02 17:03", "0"
"NBA#M.1527929147.A.2CD#00025", "answermangtr", "小AI都幾歲了?", "06/02 17:06", "0"
"NBA#M.1527929147.A.2CD#00026", "NetsFan     ", "扣掉26歲組巔峰團 再少兩冠", "06/02 17:07", "0"
"NBA#M.1527929147.A.2CD#00027", "a12124477   ", "例行賽73勝再加上mvpKD 想不到哪隊湊的出那麼大團", "06/02 17:12", "0"
"NBA#M.1527929147.A.2CD#00028", "andersonwei ", "反串好玩嗎？", "06/02 17:13", "0"
"NBA#M.1527929147.A.2CD#00029", "islu        ", "很氣欸，都過整整一天了還在氣喔，去找心理諮商好，嗎？", "06/02 17:17", "0"
"NBA#M.1527929147.A.2CD#00030", "jen77531    ", "都自己養的好嗎", "06/02 17:20", "0"
"NBA#M.1527929147.A.2CD#00031", "YouGot5566  ", "自己養? 小AI KD?別忘了一冠是靠KD拿的", "06/02 17:21", "0"
"NBA#M.1527929147.A.2CD#00032", "sa1456as    ", "那lbj現在三冠是不是都組團拿的", "06/02 17:24", "0"
"NBA#M.1527929147.A.2CD#00033", "yenjoe      ", "騎士迷素質 笑死", "06/02 17:28", "0"
"NBA#M.1527929147.A.2CD#00034", "seancschang ", "不是喔 史上最大團在今年季中解散了", "06/02 17:34", "0"
"NBA#M.1527929147.A.2CD#00035", "YouGot5566  ", "LBJ三冠都FMVP 就算組團也是他在carry有問題嗎0.0，有本事組團也有本事carry", "06/02 17:39", "0"
"NBA#M.1527929147.A.2CD#00036", "majongson   ", "母獼好棒棒，海珊最不愛打仗，戈巴契夫鳥毛最多", "06/02 17:40", "0"
"NBA#M.1527929147.A.2CD#00037", "GGdong      ", "史上最大團被29隊霸凌到季中解體?現實不可能發生吧", "06/02 17:40", "1"
"NBA#M.1527929147.A.2CD#00038", "cs90126     ", "AI 76人養的", "06/02 17:40", "0"
"NBA#M.1527929147.A.2CD#00039", "nat99up     ", "小AI不就跟喇叭一樣老", "06/02 17:42", "0"
"NBA#M.1527929147.A.2CD#00040", "wesley60709 ", "柯仙不但有歐肥、加索抱腿，還有聯盟、裁犬加持", "06/02 17:44", "0"
"NBA#M.1527929147.A.2CD#00041", "johnathan168", "笑死", "06/02 17:48", "0"
"NBA#M.1527929147.A.2CD#00042", "ScarletRain ", "最大團那個今年季中解體了", "06/02 17:49", "0"
"NBA#M.1527929147.A.2CD#00043", "iloveyu     ", "雷槍 小胖 玫瑰 矮湯都當過一哥你要不要也算一下", "06/02 17:50", "0"
"NBA#M.1527929147.A.2CD#00044", "zombi       ", "這種釣魚引戰文桶一桶版面比較乾淨啦", "06/02 18:01", "0"
"NBA#M.1527929147.A.2CD#00045", "asd0217j    ", "唉", "06/02 18:03", "0"
"NBA#M.1527929147.A.2CD#00046", "loiol       ", "反串讓詹酸集體高潮", "06/02 18:03", "0"
"NBA#M.1527929147.A.2CD#00047", "HSKAO       ", "不管是用什麼方式組成的，最後結果就是勇士最大團啊XD", "06/02 18:03", "0"
"NBA#M.1527929147.A.2CD#00048", "funeasy     ", "。", "06/02 18:05", "0"
"NBA#M.1527929147.A.2CD#00049", "roy1190     ", "可憐母迷森77蹦蹦跳", "06/02 18:05", "0"
