"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1528559513.A.FDF#00000", "vchenkoshe", "2014-2015 總冠 G1 KI Love 早已報廢<br>2016-2017 西冠 G1 可愛    被埋直接報廢<br>2017-2018 西冠 G7 CP3     受傷不能上場<br>          總冠 G1 LBJ     眼睛被插,手骨折<br>          總冠 G3 LBJ     腳扭到<br><br>回顧過去4年<br>勇士都在西冠或總冠遇上當年最強的對手時<br>對方總會因為”某些原因”,主力或副手們帶傷上陣或直接報廢<br>還有這幾年西冠前對手也會有各種莫名的傷病困擾<br>導致西冠前的各種EASY<br>更不用說因為裁判得利而做掉的15-16電霆和17-18火箭<br>加上2MVP+2FMP的三人組合<br>勇士這4年來的3冠純度夠嗎?<br><br>PS:請先不要討論移動迷宮的問題,以免轉移焦點<br><br>--<br>", "", ""
"NBA#M.1528559513.A.FDF#00001", "jamison04   ", "好了啦", "06/09 23:52", "0"
"NBA#M.1528559513.A.FDF#00002", "buneng      ", "不用怕.輸不起的純度一定夠，先為健康道歉了.該感謝勇士健康讓你有理由", "06/09 23:53", "0"
"NBA#M.1528559513.A.FDF#00003", "ishiki      ", "喔", "06/09 23:53", "0"
"NBA#M.1528559513.A.FDF#00004", "edchrist    ", "勇黑持續崩潰中", "06/09 23:53", "0"
"NBA#M.1528559513.A.FDF#00005", "hawk920412  ", "這個話題要OP幾次", "06/09 23:53", "0"
"NBA#M.1528559513.A.FDF#00006", "alkuo       ", "廢文。", "06/09 23:53", "0"
"NBA#M.1528559513.A.FDF#00007", "FatalLuna   ", "我為我們的健康道歉", "06/09 23:53", "0"
"NBA#M.1528559513.A.FDF#00008", "houston0710 ", "開心", "06/09 23:53", "0"
"NBA#M.1528559513.A.FDF#00009", "amano       ", "why勇士不會受傷?????", "06/09 23:53", "0"
"NBA#M.1528559513.A.FDF#00010", "kane840104  ", "你沒列的那年換勇士有傷兵這樣可以了嗎", "06/09 23:53", "0"
"NBA#M.1528559513.A.FDF#00011", "Gentile     ", "勇士受傷也有讓大家笑開懷啊 扯平啦", "06/09 23:54", "0"
"NBA#M.1528559513.A.FDF#00012", "nuclear     ", "廁所好像有空位了", "06/09 23:55", "0"
"NBA#M.1528559513.A.FDF#00013", "Dlanor450   ", "這兩年真的蠻扯的 都是第一場廢對面主將", "06/09 23:55", "0"
"NBA#M.1528559513.A.FDF#00014", "jack10814   ", "推同意", "06/09 23:55", "0"
"NBA#M.1528559513.A.FDF#00015", "kai08130623 ", "手傷為什麼可以拿出來當藉口 當初阿罵滅火器被罵愚蠢怎麼換了主角就變成心疼同情他", "06/09 23:55", "1"
"NBA#M.1528559513.A.FDF#00016", "sd09090     ", "4", "06/09 23:55", "0"
"NBA#M.1528559513.A.FDF#00017", "demonh311   ", "我覺得兩邊都有錯   y", "06/09 23:56", "0"
"NBA#M.1528559513.A.FDF#00018", "Bastille    ", "今天廁所到底多擠  到晚上還在崩潰", "06/09 23:56", "0"
"NBA#M.1528559513.A.FDF#00019", "leophior    ", "兩邊都有錯是什梗阿", "06/09 23:56", "0"
"NBA#M.1528559513.A.FDF#00020", "onmybed5566 ", "其實不用那些也是能贏 但運氣真的好", "06/09 23:57", "0"
"NBA#M.1528559513.A.FDF#00021", "gold97972000", "拜託別刪  放著給大家笑XD", "06/09 23:57", "0"
"NBA#M.1528559513.A.FDF#00022", "kevin0123   ", "誰不是帶傷打 嬌嫩路人 vs.  自己弄傷手 心疼姆斯", "06/09 23:57", "0"
"NBA#M.1528559513.A.FDF#00023", "hauwie      ", "04就乖乖回廁所蹲 一直為失敗找理由幹嘛", "06/09 23:57", "0"
"NBA#M.1528559513.A.FDF#00024", "buneng      ", "[花邊] KD返回酒店途中遭騎士球迷挑釁..這篇", "06/09 23:57", "0"
"NBA#M.1528559513.A.FDF#00025", "jerryshift  ", "秀秀～母湯浩啦", "06/09 23:58", "0"
"NBA#M.1528559513.A.FDF#00026", "lonelysin   ", "運氣4實力的一部分，懂?", "06/09 23:58", "0"
"NBA#M.1528559513.A.FDF#00027", "leophior    ", "3qqq", "06/09 23:58", "0"
"NBA#M.1528559513.A.FDF#00028", "op520ptt    ", "還好有受傷你才敢發這篇 不然你現在應該躲在廁所裡", "06/09 23:58", "1"
"NBA#M.1528559513.A.FDF#00029", "hiro1221    ", "第一輪Curry、西冠小AI", "06/09 23:59", "0"
"NBA#M.1528559513.A.FDF#00030", "ymcg        ", "廁所要掃了 快出來！", "06/09 23:59", "0"
"NBA#M.1528559513.A.FDF#00031", "rockway5718 ", "好啦！好啦！別難過了", "06/10 00:00", "0"
"NBA#M.1528559513.A.FDF#00032", "nuclear     ", "我記得73總亞那年路人膝蓋不是也有傷? 不過好像也被嗆不要找藉口?", "06/10 00:00", "1"
"NBA#M.1528559513.A.FDF#00033", "rupcj8      ", "媽的都要下班了  還不從廁所離開  給不給人活路啊", "06/10 00:00", "0"
"NBA#M.1528559513.A.FDF#00034", "surprised   ", "乖啦，要崩潰多久", "06/10 00:01", "0"
"NBA#M.1528559513.A.FDF#00035", "samginbin   ", "可憐，還在崩", "06/10 00:01", "0"
"NBA#M.1528559513.A.FDF#00036", "pujolshomer ", "哈哈哈", "06/10 00:01", "0"
"NBA#M.1528559513.A.FDF#00037", "hcl00       ", "73那年 第二輪Curry就復出了啦，還殺爆我拓 破了季後賽延長最高得分記錄", "06/10 00:01", "0"
"NBA#M.1528559513.A.FDF#00038", "cancboy     ", "強運也是比賽的一部份", "06/10 00:01", "0"
