"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1529034066.A.DA4#00000", "djviva", "Kevin Durant: ‘I’m Just Not Obsessed With Winning Championships’<br>https://tinyurl.com/y6u3o2hy<br><br>收集冠軍戒數量不是KD打籃球的理由<br><br>連兩屆FMVP的KD說他打籃球的理由有很多, 其中包含了個人成長<br><br>他並不會像Kobe跟LBJ一樣的去追逐Michael Jordan的歷史地位 (ghost of MJ)<br><br>根據ESPN報導, KD表示:"誰會去認為我會跟Michael Jordan同等地位呢?"<br><br>被扯入跟MJ歷史地位排名的爭論, 並沒減緩KD對贏下總冠軍的渴望, 至少現在沒有<br>KD父親說:"KD不會去追逐前人的陰影, 他不會想試著去成為MJ, 或超越MJ"<br><br>KD告訴ESPN:"我瘋狂的渴望贏球, 但請別誤會我的意思<br>我不會被冠軍戒指數量所迷惑, 這不是我打球的唯一理由<br>我是為了追求自我成長而打籃球的"<br><br>--<br>", "", ""
"NBA#M.1529034066.A.DA4#00001", "SurfacePro4 ", "？？？？？", "06/15 11:41", "0"
"NBA#M.1529034066.A.DA4#00002", "c22501656   ", "?_?收集推特帳號數量", "06/15 11:41", "0"
"NBA#M.1529034066.A.DA4#00003", "CaTkinGG    ", "不只是個籃球員", "06/15 11:41", "0"
"NBA#M.1529034066.A.DA4#00004", "kbming14    ", "誠實點才不會顯得那麼噁心", "06/15 11:42", "0"
"NBA#M.1529034066.A.DA4#00005", "whaleliu    ", "這樣你應該還在雷霆啊！", "06/15 11:42", "0"
"NBA#M.1529034066.A.DA4#00006", "thujimmy    ", "我有沒有聽錯什麼？", "06/15 11:42", "0"
"NBA#M.1529034066.A.DA4#00007", "bestshow500 ", "KDKD是斜槓青年", "06/15 11:42", "0"
"NBA#M.1529034066.A.DA4#00008", "sggfirstteam", "中邪？", "06/15 11:42", "0"
"NBA#M.1529034066.A.DA4#00009", "Lambo1228   ", "回雷霆啊", "06/15 11:42", "0"
"NBA#M.1529034066.A.DA4#00010", "x851221     ", "KD搶走CURRY的FMVP才是我最大的目標", "06/15 11:42", "0"
"NBA#M.1529034066.A.DA4#00011", "Like5566Like", "嘔嘔嘔嘔嘔嘔", "06/15 11:42", "0"
"NBA#M.1529034066.A.DA4#00012", "yehpi       ", "???", "06/15 11:42", "0"
"NBA#M.1529034066.A.DA4#00013", "wa530       ", "噗，不執著冠軍那你去勇士做什麼...", "06/15 11:43", "0"
"NBA#M.1529034066.A.DA4#00014", "bkm1        ", "有兩枚了  "現在"不追求冠軍戒指", "06/15 11:43", "0"
"NBA#M.1529034066.A.DA4#00015", "OPPAISuki   ", "舒適才是我追求的目標", "06/15 11:43", "0"
"NBA#M.1529034066.A.DA4#00016", "gj94ek      ", "KDKD不愛總冠軍", "06/15 11:43", "0"
"NBA#M.1529034066.A.DA4#00017", "Gentile     ", "言行合一好嗎？ 根本...", "06/15 11:44", "0"
"NBA#M.1529034066.A.DA4#00018", "QQStanGD666 ", "看不太懂==在雷霆也贏不少球吧", "06/15 11:44", "0"
"NBA#M.1529034066.A.DA4#00019", "sana113821  ", "不追求總冠軍 然後跑去73勝球隊 笑死", "06/15 11:44", "0"
"NBA#M.1529034066.A.DA4#00020", "frank8233   ", "嘔嘔嘔嘔嘔", "06/15 11:44", "0"
"NBA#M.1529034066.A.DA4#00021", "f860506     ", "看來真的好多人被KD G3那顆射到還走不出來XDD", "06/15 11:44", "0"
"NBA#M.1529034066.A.DA4#00022", "o0991758566 ", "再裝就不像囉  KD~", "06/15 11:44", "0"
"NBA#M.1529034066.A.DA4#00023", "ithic       ", "講的好 有骨氣 讚", "06/15 11:44", "0"
"NBA#M.1529034066.A.DA4#00024", "crazywill   ", "KD：KD追求的是fmvp 只有冠軍是沒意義的", "06/15 11:45", "0"
"NBA#M.1529034066.A.DA4#00025", "GothicMetal ", "自我成長？哈哈", "06/15 11:45", "0"
"NBA#M.1529034066.A.DA4#00026", "iamaq18c    ", "也沒錯 不追求總冠軍 只想要舒適地輕鬆奪得總冠軍", "06/15 11:45", "0"
"NBA#M.1529034066.A.DA4#00027", "neil112379  ", "認真?", "06/15 11:45", "0"
"NBA#M.1529034066.A.DA4#00028", "max60209    ", "舒適牌", "06/15 11:45", "0"
"NBA#M.1529034066.A.DA4#00029", "aa01081008tw", "不就拿過冠軍了開始在那我不是為了冠軍打球....嘲諷LBJ輸給勇士是一回事.KD這人超噁是另一回事", "06/15 11:46", "0"
"NBA#M.1529034066.A.DA4#00030", "GKDOOMHAMMER", "?????", "06/15 11:46", "0"
"NBA#M.1529034066.A.DA4#00031", "NLchu       ", "從一個25M MVP抱腿73勝恥力史上最低的人口中講出來", "06/15 11:46", "1"
"NBA#M.1529034066.A.DA4#00032", "fack3170    ", "喔喔喔喔喔喔", "06/15 11:46", "0"
"NBA#M.1529034066.A.DA4#00033", "iwnat       ", "噁心 噁心 他媽的還是噁心", "06/15 11:47", "0"
"NBA#M.1529034066.A.DA4#00034", "kixer2005   ", "KD  KD只是想買滿等帳號虐菜  冠軍數只是浮雲", "06/15 11:47", "0"
"NBA#M.1529034066.A.DA4#00035", "bubblewn    ", "風向不對幫補血 等會被噓爆", "06/15 11:47", "0"
"NBA#M.1529034066.A.DA4#00036", "bolide77    ", "亂扯一通", "06/15 11:47", "0"
"NBA#M.1529034066.A.DA4#00037", "neil112379  ", "這種身教，難怪國中生...", "06/15 11:47", "0"
"NBA#M.1529034066.A.DA4#00038", "begebao     ", "不管是對內還是對外都讓成這樣了 所有的獎項都還是輕鬆獨攬 意興闌珊是正常的", "06/15 11:47", "1"
"NBA#M.1529034066.A.DA4#00039", "f860506     ", "被打爆迷氣到不行欸 哈哈哈哈", "06/15 11:47", "0"
"NBA#M.1529034066.A.DA4#00040", "roger2623900", "之後不降薪要一張頂約再相信你冠軍拿夠多了", "06/15 11:48", "0"
"NBA#M.1529034066.A.DA4#00041", "std87123    ", "嘔嘔嘔嘔嘔", "06/15 11:48", "0"
"NBA#M.1529034066.A.DA4#00042", "bravo       ", "反觀 NOT 1, NOT 2, NOT 3", "06/15 11:48", "0"
"NBA#M.1529034066.A.DA4#00043", "colchi      ", "就像小資女嫁入豪門，說是真愛不重錢", "06/15 11:49", "0"
"NBA#M.1529034066.A.DA4#00044", "dppss90136  ", "KD只是個大孩子", "06/15 11:49", "0"
"NBA#M.1529034066.A.DA4#00045", "begebao     ", "笑輸家的主子們繼續被一個毫無熱情、企圖心的人輕鬆碾過", "06/15 11:49", "1"
"NBA#M.1529034066.A.DA4#00046", "neil112379  ", "入籍中華民國台灣帶動籃球發展也可以讓你自我成長", "06/15 11:49", "0"
"NBA#M.1529034066.A.DA4#00047", "koga5566    ", "誠實", "06/15 11:50", "0"
"NBA#M.1529034066.A.DA4#00048", "magneto5566 ", "73勝勇士", "06/15 11:50", "0"
"NBA#M.1529034066.A.DA4#00049", "alex53001   ", "嘔嘔嘔嘔嘔嘔嘔嘔", "06/15 11:50", "0"
"NBA#M.1529034066.A.DA4#00050", "f860506     ", "KD總冠軍賽FMVP拿冠軍是他應得的阿 又不想某皇總冠軍賽烙賽到輸小牛", "06/15 11:50", "1"
"NBA#M.1529034066.A.DA4#00051", "GAOTT       ", "推kd 射到很多森77", "06/15 11:51", "0"
"NBA#M.1529034066.A.DA4#00052", "Mrlaba      ", "中肯XD", "06/15 11:51", "0"
"NBA#M.1529034066.A.DA4#00053", "loserloser  ", "KD老實人", "06/15 11:51", "0"
"NBA#M.1529034066.A.DA4#00054", "chrischang  ", "@@？", "06/15 11:52", "0"
"NBA#M.1529034066.A.DA4#00055", "yonggan     ", "抱腿拿冠後才說不在乎", "06/15 11:52", "0"
"NBA#M.1529034066.A.DA4#00056", "ghchen1978  ", "有很難懂??打贏姆斯就好了，其他不重要!!", "06/15 11:52", "0"
"NBA#M.1529034066.A.DA4#00057", "GKFIV       ", "這話從KD口中講出來就是討噓", "06/15 11:52", "0"
"NBA#M.1529034066.A.DA4#00058", "kaiyoung    ", "這人真的無下限XDD", "06/15 11:53", "0"
"NBA#M.1529034066.A.DA4#00059", "kievn       ", "拿過了就滿足了", "06/15 11:53", "0"
"NBA#M.1529034066.A.DA4#00060", "Maxhuge     ", "矯情 那幹嗎加入勇士", "06/15 11:53", "0"
"NBA#M.1529034066.A.DA4#00061", "ejijo761115 ", "這是本尊還是小號", "06/15 11:54", "0"
"NBA#M.1529034066.A.DA4#00062", "godbye45    ", "自我成長  然後跑去抱腿  這咖腦袋到底裝什麼", "06/15 11:54", "0"
"NBA#M.1529034066.A.DA4#00063", "zlzooq      ", "嘔嘔嘔嘔嘔嘔嘔", "06/15 11:54", "0"
"NBA#M.1529034066.A.DA4#00064", "brunomarsfan", "這...", "06/15 11:55", "0"
