"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1529316051.A.9BA#00000", "Tosca", "其實Kobe說的真的是對的<br>因為LBJ什麼都不缺 總冠 MVP FMVP通通都有<br>他再來要追求的只剩歷史地位<br><br>論生涯總得分 總籃板 總助攻 這幾樣<br>只有總得分最有機會超越 籃板跟助攻未來十年還看不到有人有機會<br>LBJ目前31038<br>歷史第一人賈霸是38387<br>差距7349分<br>一場平均得25分 需要7349/25 = 293.96 約294場<br>一季82場 最多只要 3.6季即可達成<br>如果每季都打到總冠軍賽 那記錄更快 因為這樣季後賽至少就是四輪<br>4*4 = 16 起碼會多16場 通常是20場左右(今年就22場)<br><br>要能確保達成這像成就<br>在騎士是最好的選擇<br>因為在騎士 他有無限開火權 就跟老大一樣<br>通通給你投 退休戰還可以砍六十分<br><br>如果他轉隊去湖人 火箭 等等<br>就不能無限開火了<br>運氣不好阿基里斯鍵也斷掉<br>就跟歷史得分第一人無緣了<br><br><br><br>--<br>", "", ""
"NBA#M.1529316051.A.9BA#00001", "coolshak2006", "季後賽不算吧", "06/18 18:01", "0"
"NBA#M.1529316051.A.9BA#00002", "HomerEDLee  ", "平均得分不計季後賽==", "06/18 18:02", "0"
"NBA#M.1529316051.A.9BA#00003", "IMISSA      ", "季賽是分開算的", "06/18 18:02", "0"
"NBA#M.1529316051.A.9BA#00004", "ajul1230    ", "季後賽季賽分不清楚？", "06/18 18:02", "0"
"NBA#M.1529316051.A.9BA#00005", "loserloser  ", "八卦是季賽季後賽紀錄分開算，賈霸如果算季後賽應該4W+ 不曉得你在說啥?", "06/18 18:02", "0"
"NBA#M.1529316051.A.9BA#00006", "beastlcc12  ", "有人跟我一樣看到中間開始聞到菜味嗎", "06/18 18:02", "0"
"NBA#M.1529316051.A.9BA#00007", "crawford438 ", "搞不清楚狀況不要來亂好嗎.....", "06/18 18:02", "0"
"NBA#M.1529316051.A.9BA#00008", "killer1103  ", "他如果這麼愛刷他早就好幾季平均大三元了，他就是想要冠軍好嗎", "06/18 18:03", "1"
"NBA#M.1529316051.A.9BA#00009", "Ethan45     ", "不懂別裝懂", "06/18 18:03", "0"
"NBA#M.1529316051.A.9BA#00010", "MrSatan     ", "數據上他是強在進階數據吧 只有MJ比他好一些，總得分他沒差吧 他已經比同年紀賈霸快幾千分了", "06/18 18:04", "0"
"NBA#M.1529316051.A.9BA#00011", "loserloser  ", "LBJ保守出手20次也可以破吧", "06/18 18:04", "0"
"NBA#M.1529316051.A.9BA#00012", "kikijuice   ", "總得分只計例行賽", "06/18 18:04", "0"
"NBA#M.1529316051.A.9BA#00013", "crawford438 ", "所以說你搞不清楚狀況 追求歷史定位冠軍比得分重要史上最佳球員的稱號 又不是在Jabbar頭上", "06/18 18:06", "1"
