"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1530172813.A.2D4#00000", "Gary0620", "來源:https://m.hupu.com/nba/news/2317187.html<br><br>呂曉明為衝突事件致歉：是一個很嚴重的球場錯誤<br><br>虎撲6月28日訊前CBA球員呂曉明在微博上對昨晚事件發表了道歉聲明，以下為全文：<br><br>首先，要向所有球迷朋友們說對不起！<br><br>昨晚活動結束後，我內心也一直無法平靜，在看網上很多的評論，也在反思自己的行為。<br><br>今天我還是想先跟大家誠摯的道歉，對不起！作為一名曾經的職業球員，我昨日在球場上<br>的動作的確十分不當，也失去了籃球體育精神，還差點導致外國朋友的受傷。這是一個很<br>嚴重的球場錯誤。<br><br>前期得知能與湯普森這樣的NBA球員在球場過招，我特意調整了自己的狀態，想要跟克萊<br>一塊兒為球迷奉獻一場精彩的戶外籃球表演。由於太過興奮，導致自己在場上的動作有些<br>失控，最後做出了不應該發生的危險動作。在這裡我要誠摯的跟這位外國朋友以及廣大球<br>迷道歉，對不起，我錯了！<br><br>我真心接受所有對我昨晚行為的批評，謝謝你們讓我深刻的認識到自己的錯誤。我應該成<br>為一個更好的球場榜樣，更好的籃球精神傳遞者，而不是昨晚那樣。這是一個深刻的教訓<br>，我會把這件事當做我的警鐘，時常提醒自己。<br><br>最後再一次真誠的向所有人道歉。<br><br>這一次我的確錯了，對不起！<br><br>@克雷湯普森thompson<br><br>--<br>", "", ""
"NBA#M.1530172813.A.2D4#00001", "mmmn52332   ", "所以紅衣胖子是誰啊??", "06/28 16:01", "0"
"NBA#M.1530172813.A.2D4#00002", "BoYuYou     ", "可撥", "06/28 16:01", "0"
"NBA#M.1530172813.A.2D4#00003", "aniji       ", "就推人那個啊，一興奮就想給人坐飛機 棒棒", "06/28 16:01", "0"
"NBA#M.1530172813.A.2D4#00004", "god2        ", "某人：嗄？不是兩邊都有錯嗎？", "06/28 16:01", "0"
"NBA#M.1530172813.A.2D4#00005", "lovemasteru ", "太興奮？？", "06/28 16:01", "0"
"NBA#M.1530172813.A.2D4#00006", "GenesisXD   ", "道歉個屁啊 驅逐韃虜 恢復中華啊", "06/28 16:02", "0"
"NBA#M.1530172813.A.2D4#00007", "Ghostxwolf  ", "??????", "06/28 16:02", "0"
"NBA#M.1530172813.A.2D4#00008", "Mochizou    ", "翻譯不小心太興奮，本性就出來了", "06/28 16:02", "0"
"NBA#M.1530172813.A.2D4#00009", "liusim      ", "中國鄉民：太興奮做這種動作？那我看你真的是有病", "06/28 16:02", "0"
"NBA#M.1530172813.A.2D4#00010", "pneumo      ", "我好興奮啊!我好興奮啊!我好興奮啊!", "06/28 16:02", "0"
"NBA#M.1530172813.A.2D4#00011", "yoshro      ", "壓力太大，風向不對縮惹", "06/28 16:03", "0"
"NBA#M.1530172813.A.2D4#00012", "blake1003   ", "前一次的動作也很危險好嗎", "06/28 16:03", "0"
"NBA#M.1530172813.A.2D4#00013", "a176893     ", "太興奮連續兩次廢人動作", "06/28 16:04", "0"
"NBA#M.1530172813.A.2D4#00014", "aniji       ", "前一次就已經興奮起來了，https//imgur.com/0xqqeuf.jpg 大概4 john", "06/28 16:04", "0"
"NBA#M.1530172813.A.2D4#00015", "lonelysam   ", "可撥仔", "06/28 16:04", "0"
"NBA#M.1530172813.A.2D4#00016", "manuginobii ", "興奮到模糊", "06/28 16:04", "0"
"NBA#M.1530172813.A.2D4#00017", "aduijjr     ", "太興奮變zaza", "06/28 16:04", "0"
"NBA#M.1530172813.A.2D4#00018", "RadioMan    ", "辣雞 滾", "06/28 16:04", "0"
"NBA#M.1530172813.A.2D4#00019", "Bigcookie2  ", "垃圾426", "06/28 16:04", "0"
"NBA#M.1530172813.A.2D4#00020", "chrisplash  ", "那個胖子不知道來幹嘛的", "06/28 16:04", "0"
"NBA#M.1530172813.A.2D4#00021", "vanson37    ", "迫於無奈道歉", "06/28 16:04", "0"
"NBA#M.1530172813.A.2D4#00022", "southernwood", "沒球品", "06/28 16:05", "0"
"NBA#M.1530172813.A.2D4#00023", "phoenician  ", "平常太壓抑自己了 其實這是真情流露 情不自禁", "06/28 16:05", "0"
"NBA#M.1530172813.A.2D4#00024", "bigbearee   ", "不可否認的爛", "06/28 16:05", "0"
"NBA#M.1530172813.A.2D4#00025", "kosha       ", "至少有道歉了嘛～", "06/28 16:05", "0"
"NBA#M.1530172813.A.2D4#00026", "hunt5566    ", "認錯就好 k湯也會原諒的 畢竟$$", "06/28 16:05", "0"
"NBA#M.1530172813.A.2D4#00027", "kenbo       ", "這咖自盡吧，大NBA球員豈是你這種沒有文化水平的種族惹得起的？", "06/28 16:06", "1"
"NBA#M.1530172813.A.2D4#00028", "kenlin0105  ", "爛貨", "06/28 16:06", "0"
