"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1530593780.A.ABC#00000", "pp787753", "http://i.imgur.com/LeceWpm.jpg<br>https://twitter.com/ShamsCharania?s=0<br><br><br>恭喜AB拿到千萬合約<br><br>AB加油！！<br><br><br>----<br><br>Avery Bradley為美國NBA聯盟的職業籃球運動員，現效力於洛杉磯快艇。<br><br>2010年NBA選秀會第一輪19順位被波士頓賽爾提克選中<br><br>身高：188公分<br><br>目前效力球隊：洛杉磯快艇（背號 11，得分後衛）<br><br>http://i.imgur.com/xMQsmJu.jpg<br>http://i.imgur.com/JPb5IJC.jpg<br>http://i.imgur.com/twVGqzX.jpg<br>-----<br>Sent from JPTT on my Sony F3215.<br><br>--<br>", "", ""
"NBA#M.1530593780.A.ABC#00001", "sodistrues  ", "比表妹貴一倍", "07/03 12:56", "0"
"NBA#M.1530593780.A.ABC#00002", "jyekid      ", "等著兩年後薪資空間解放", "07/03 12:57", "0"
"NBA#M.1530593780.A.ABC#00003", "logojuju55  ", "500", "07/03 12:57", "0"
"NBA#M.1530593780.A.ABC#00004", "dayjay      ", "當年還以為這之會是核心人物", "07/03 12:57", "0"
"NBA#M.1530593780.A.ABC#00005", "c25783499   ", "有點佛", "07/03 12:57", "0"
"NBA#M.1530593780.A.ABC#00006", "manuginobii ", "在快艇根本沒打幾場…期待和小貝的地獄後防", "07/03 12:57", "0"
"NBA#M.1530593780.A.ABC#00007", "TVXFQ       ", "恭喜", "07/03 12:57", "0"
"NBA#M.1530593780.A.ABC#00008", "DuoDuokk77  ", "有表妹強？", "07/03 12:57", "0"
"NBA#M.1530593780.A.ABC#00009", "a123456cg   ", "還以為是那個狀元", "07/03 12:57", "0"
"NBA#M.1530593780.A.ABC#00010", "f22313467   ", "這隻好用 除了身高", "07/03 12:58", "0"
"NBA#M.1530593780.A.ABC#00011", "chigo520    ", "5倍表弟", "07/03 12:58", "0"
"NBA#M.1530593780.A.ABC#00012", "a1684114    ", "2表妹", "07/03 12:58", "0"
"NBA#M.1530593780.A.ABC#00013", "keroromoa   ", "2.4表弟", "07/03 12:58", "0"
"NBA#M.1530593780.A.ABC#00014", "aryten      ", "ab到底是誰", "07/03 12:58", "0"
"NBA#M.1530593780.A.ABC#00015", "MyLittle30cm", "Anthony Bennett ?", "07/03 12:58", "0"
"NBA#M.1530593780.A.ABC#00016", "aniji       ", "哇靠快艇賭太大了吧", "07/03 12:58", "0"
"NBA#M.1530593780.A.ABC#00017", "Foye        ", "AB是誰 說清楚阿 有Aaron Brooks  Anthony Bennett", "07/03 12:58", "1"
"NBA#M.1530593780.A.ABC#00018", "Myosotis    ", "恭喜ㄚ", "07/03 12:59", "0"
"NBA#M.1530593780.A.ABC#00019", "Bigcookie2  ", "重建球隊 不重要", "07/03 12:59", "0"
"NBA#M.1530593780.A.ABC#00020", "n88526      ", "兩個表妹", "07/03 12:59", "0"
"NBA#M.1530593780.A.ABC#00021", "same60710   ", "還以為是Bennett", "07/03 12:59", "0"
"NBA#M.1530593780.A.ABC#00022", "paulbrian34 ", "好貴比表弟貴1倍多", "07/03 12:59", "0"
"NBA#M.1530593780.A.ABC#00023", "AaronHicks  ", "一堆不知名的咖都馬叫AB", "07/03 12:59", "0"
"NBA#M.1530593780.A.ABC#00024", "Y225        ", "布萊德利我不知道值不值，只記得他是雷槍離開超賽的原因", "07/03 13:00", "0"
"NBA#M.1530593780.A.ABC#00025", "wa530       ", "自己沒看內文是要怪誰...", "07/03 13:00", "0"
"NBA#M.1530593780.A.ABC#00026", "aegis43210  ", "這季是過度期，下季看logo爺的操盤功力", "07/03 13:00", "0"
"NBA#M.1530593780.A.ABC#00027", "gj94ek      ", "AB是誰?", "07/03 13:00", "0"
"NBA#M.1530593780.A.ABC#00028", "Pro80       ", "新單位表弟", "07/03 13:00", "0"
"NBA#M.1530593780.A.ABC#00029", "GleybeTorres", "還能是誰......能簽到這個價的就一個人而已", "07/03 13:00", "0"
"NBA#M.1530593780.A.ABC#00030", "Aaronko     ", "AB很有名？", "07/03 13:00", "0"
"NBA#M.1530593780.A.ABC#00031", "chiminglin  ", "有這麼急 標題都不打全名，原PO很急", "07/03 13:00", "0"
"NBA#M.1530593780.A.ABC#00032", "klcs50304   ", "5個表弟", "07/03 13:00", "0"
"NBA#M.1530593780.A.ABC#00033", "m791017     ", "好貴喔 表弟才500欸", "07/03 13:01", "0"
"NBA#M.1530593780.A.ABC#00034", "articlebear ", "打個全名很難嗎？", "07/03 13:01", "0"
"NBA#M.1530593780.A.ABC#00035", "tfoxboy     ", "這啥雜魚", "07/03 13:01", "0"
"NBA#M.1530593780.A.ABC#00036", "liusim      ", "這......", "07/03 13:01", "0"
"NBA#M.1530593780.A.ABC#00037", "Foye        ", "用電腦看ptt懶得開連結還要被嘴不看內文", "07/03 13:01", "0"
"NBA#M.1530593780.A.ABC#00038", "WalterWhite ", "佛，怎不來湖人？", "07/03 13:01", "0"
"NBA#M.1530593780.A.ABC#00039", "YummyCurry  ", "等於5個表弟", "07/03 13:01", "0"
"NBA#M.1530593780.A.ABC#00040", "kenike      ", "狀元AB是吧", "07/03 13:01", "0"
"NBA#M.1530593780.A.ABC#00041", "su06su06    ", "太貴了吧，怎麼不拿底薪去圓夢", "07/03 13:01", "0"
"NBA#M.1530593780.A.ABC#00042", "z6a6        ", "連打個全名都懶，丟個 連結就完事", "07/03 13:02", "0"
"NBA#M.1530593780.A.ABC#00043", "aniji       ", "雖然知道是AB 但一堆叫AB的又不是每個人都跟快艇熟大家有疑問你補個全名也沒多難吧", "07/03 13:02", "1"
