"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1530629489.A.E0B#00000", "monopoliest", "    我不會把James當成球員來理解他的交易，James的行為更像是一個商業炒手，他的<br>  目標很明確就是盡量抬高商品（也就是他自己）的價值。<br><br>    過去他的作法很明顯，待在相對容易進入總決賽的區域，而且在還有抬價空間的情<br>  況下盡量簽短約。他要維持自己的話題性和市場價值，然後盡力最大化自己的利益。<br><br>    而這次的交易模式和過去截然不同，顯然整個邏輯就不同了。<br><br>    首先，他簽了四年的長約，四年之後他大概就可以退休了，這意味著他很清楚自己<br>  James這個商品的市場價值已經下跌（冠軍賽被橫掃、MVP也不再是他），未來也不能<br>  夠期待他有所突破再創高峰，所以最理性的決策，就是最後咬下一個可以讓他安心的<br>  大約。<br><br>    其次，Lebron James和過去的傳奇球星比起來，最被人詬病之處就是他的鬥志不高<br>  ，沒有勝算的時候他傾向於選擇放棄。換言之，如果他已經判斷自己沒有衝擊總冠軍<br>  的機會時，最合理的估算是：乾脆連決賽都不要打。現在進入一級戰區對他的好處，<br>  就是只要進八強就可以跟球迷交代了（我只是八強「不幸」遇到....所以才被淘汰）<br>  ，不再需要拼死拼活打進決賽，這是很方便省力的一回事。<br><br>    湖人會找Rondo這類的控位，和James喊自己要打「無球」這兩件事搭起來，也可以<br>  進一步推斷說James甚至已經考慮減少自己的上場及持球時間（我不記得過去有James<br>  和控位搭檔良好的說法），走向「養生」這條路了。我知道他一直有什麼生化人的說<br>  法，但我懷疑他其實身上已經有不少隱傷，必須減少自己比賽時間來多撐幾個賽季。<br><br>    總而言之，我認為Lebron James的籃球傳奇最多再維持一年到一年半，之後就是他<br>  的垃圾時間了。<br><br>--<br>", "", ""
"NBA#M.1530629489.A.E0B#00001", "a0989322187 ", "...", "07/03 22:52", "0"
"NBA#M.1530629489.A.E0B#00002", "a1684114    ", "又一個說書的", "07/03 22:52", "0"
"NBA#M.1530629489.A.E0B#00003", "lovecmgirls ", "豆滯不糕XD", "07/03 22:53", "0"
"NBA#M.1530629489.A.E0B#00004", "koga5566    ", "樓下給分，亞綸4ni?", "07/03 22:53", "0"
"NBA#M.1530629489.A.E0B#00005", "w6607282    ", "會說懂說 給尊重", "07/03 22:53", "0"
"NBA#M.1530629489.A.E0B#00006", "Amagami     ", "你不就更慘 從發文就是你的____時間", "07/03 22:53", "0"
"NBA#M.1530629489.A.E0B#00007", "dennis0985  ", "閱", "07/03 22:53", "0"
"NBA#M.1530629489.A.E0B#00008", "young123    ", "你LYS?", "07/03 22:53", "0"
"NBA#M.1530629489.A.E0B#00009", "hunt5566    ", "笑了", "07/03 22:53", "0"
"NBA#M.1530629489.A.E0B#00010", "wrath1      ", "真長呀", "07/03 22:53", "0"
"NBA#M.1530629489.A.E0B#00011", "GYao        ", "養老時間", "07/03 22:53", "0"
"NBA#M.1530629489.A.E0B#00012", "FungiCharlie", "嗯…鬥志不高，你有看今年final了嗎?", "07/03 22:53", "0"
"NBA#M.1530629489.A.E0B#00013", "a25853478   ", "垃圾時間?", "07/03 22:54", "0"
"NBA#M.1530629489.A.E0B#00014", "chrisplash  ", "蝦，你說商業價值下滑?明年球衣明星賽雙料冠軍，等於商業價值下滑= =，他商業價值才剛要起飛", "07/03 22:54", "0"
"NBA#M.1530629489.A.E0B#00015", "s50101      ", "下去吧", "07/03 22:54", "0"
"NBA#M.1530629489.A.E0B#00016", "babyMclaren ", "哈哈", "07/03 22:55", "0"
"NBA#M.1530629489.A.E0B#00017", "migration265", "還蠻認同的", "07/03 22:55", "0"
"NBA#M.1530629489.A.E0B#00018", "DarkHolbach ", "他就算沒鬥志，湖人也不可能只八強就滿意了，拜託，湖人隊耶，怎麼可能不放眼總冠軍而且湖人真的想辦法交易大咖，姆斯會不想奪冠？", "07/03 22:56", "0"
"NBA#M.1530629489.A.E0B#00019", "RamonJames  ", "這篇文一行半就進入垃圾時間了", "07/03 22:56", "0"
"NBA#M.1530629489.A.E0B#00020", "on32        ", "別小看LBJ了 到LA就還有無限可能可以交易，賺錢+拿冠軍都還有機會", "07/03 22:56", "0"
"NBA#M.1530629489.A.E0B#00021", "ccc5b683    ", "結論 湖人被噱了", "07/03 22:56", "0"
"NBA#M.1530629489.A.E0B#00022", "josepharick ", "姆斯開始下滑的話聯盟99.9%的球員都已經是退休狀態", "07/03 22:57", "1"
"NBA#M.1530629489.A.E0B#00023", "DarkHolbach ", "現在湖人簽一堆一年打工仔就是之後要交易大咖來", "07/03 22:58", "0"
"NBA#M.1530629489.A.E0B#00024", "wllw124     ", "那解釋一下打不贏加入73勝報腿的商業行為", "07/03 22:58", "0"
"NBA#M.1530629489.A.E0B#00025", "leophior    ", "Lys味好重的腦補文", "07/03 22:58", "0"
"NBA#M.1530629489.A.E0B#00026", "uuuuOPuff   ", "前面還可以 最後垃圾時間是怎樣", "07/03 22:59", "0"
"NBA#M.1530629489.A.E0B#00027", "bobyacool   ", "你知道騎士可以開更高的約嗎? XDDDDDD", "07/03 22:59", "0"
"NBA#M.1530629489.A.E0B#00028", "event1408472", "公啥小", "07/03 22:59", "0"
"NBA#M.1530629489.A.E0B#00029", "peter080808 ", "安心大約 你知道這合約還不是他能簽的最大約嗎?", "07/03 23:00", "0"
"NBA#M.1530629489.A.E0B#00030", "high552     ", "有道理", "07/03 23:00", "0"
"NBA#M.1530629489.A.E0B#00031", "stock5566   ", "XDDD你是誰喇", "07/03 23:02", "0"
"NBA#M.1530629489.A.E0B#00032", "TimerGsL    ", "暑假作業好好寫，小學返校日會檢查唷。", "07/03 23:04", "0"
"NBA#M.1530629489.A.E0B#00033", "ELMOCUTE    ", "乾我屁事啊，指考完就開始胡言亂語", "07/03 23:04", "0"
"NBA#M.1530629489.A.E0B#00034", "Worthy126   ", "詹酸已經在胡言論語了，可憐", "07/03 23:04", "0"
"NBA#M.1530629489.A.E0B#00035", "lohon       ", "暑假到了就是一堆廢文暫版面", "07/03 23:06", "0"
"NBA#M.1530629489.A.E0B#00036", "ccc5b683    ", "幫補血~", "07/03 23:06", "0"
"NBA#M.1530629489.A.E0B#00037", "chang1122   ", "你也懂商業價值？", "07/03 23:07", "0"
"NBA#M.1530629489.A.E0B#00038", "Worthy126   ", "*亂", "07/03 23:07", "0"
"NBA#M.1530629489.A.E0B#00039", "smalltalker ", "有道理欸", "07/03 23:08", "0"
"NBA#M.1530629489.A.E0B#00040", "airbear     ", "為何一堆人都說的一年短約是姆斯簽的一樣，真的當姆斯是GM?", "07/03 23:08", "0"
"NBA#M.1530629489.A.E0B#00041", "KrisNYC     ", "...鬥志不高 呵呵", "07/03 23:11", "0"
"NBA#M.1530629489.A.E0B#00042", "NiuBi5566   ", "沒看球的高談闊論", "07/03 23:11", "0"
"NBA#M.1530629489.A.E0B#00043", "MidoriG     ", "勇迷", "07/03 23:13", "0"
