"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1531135533.A.7EE#00000", "stock5566", "大家好<br>今年表弟因為大傷後錯估自己的身價<br>拒絕了2000萬兩年的合約<br>又錯估第二次對外開價1500萬 沒球團詢價<br>然後又錯估第三次中產530萬加入湖人被拒<br>萬念俱灰下答應我勇中產530萬收<br>我勇成為史上最接近宇宙的大團<br>五門齊 全明星先發<br><br>如果明年表弟滿血復活<br>這樣說起來只能算我勇挑人眼光好吧？<br>是我勇花了530+戒指換表弟來我勇療養<br>就像Curry KT Green都是自己養的<br>這樣484可以說自己養的？<br><br>--<br>", "", ""
"NBA#M.1531135533.A.7EE#00001", "rogerk1016  ", "不算☺", "07/09 19:25", "0"
"NBA#M.1531135533.A.7EE#00002", "kc9420      ", "好笑嗎", "07/09 19:26", "0"
"NBA#M.1531135533.A.7EE#00003", "sugark02    ", "☺", "07/09 19:26", "0"
"NBA#M.1531135533.A.7EE#00004", "misaka10032 ", "☺☺☺☺☺☺☺☺☺☺☺☺，☺", "07/09 19:26", "0"
"NBA#M.1531135533.A.7EE#00005", "ethan1988   ", "酸的夠爛", "07/09 19:26", "0"
"NBA#M.1531135533.A.7EE#00006", "king12272   ", "當然算", "07/09 19:26", "0"
"NBA#M.1531135533.A.7EE#00007", "ktkowhypop  ", "84", "07/09 19:26", "0"
"NBA#M.1531135533.A.7EE#00008", "cshu0520    ", "爛", "07/09 19:26", "0"
"NBA#M.1531135533.A.7EE#00009", "KatanaW     ", "自己癢", "07/09 19:26", "0"
"NBA#M.1531135533.A.7EE#00010", "ac147963    ", "算啊 怎麼不算☺", "07/09 19:26", "0"
"NBA#M.1531135533.A.7EE#00011", "Lpissostrong", "這篇是我看過最廢的", "07/09 19:26", "0"
"NBA#M.1531135533.A.7EE#00012", "l26921216   ", "無聊當有趣，廢文", "07/09 19:27", "0"
"NBA#M.1531135533.A.7EE#00013", "anthony0628 ", "哪裡癢？", "07/09 19:27", "0"
"NBA#M.1531135533.A.7EE#00014", "f860506     ", "不好笑", "07/09 19:27", "0"
"NBA#M.1531135533.A.7EE#00015", "CGS0        ", "養傷的養嗎？", "07/09 19:27", "0"
"NBA#M.1531135533.A.7EE#00016", "kikijuice   ", "反串能力低劣", "07/09 19:27", "0"
