"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1531626017.A.E3E#00000", "JRSmith", "達欣洋將布拉 印度裔加拿大人<br><br>外號印度姚明<br><br>前火箭中鋒姚明 中國人<br><br>外號移動長城 02年狀元<br><br>布拉曾在今年締造雙30的恐怖數據<br><br>兩人身高也差不多<br><br>為什麼一個進的了NBA 還入選名人堂<br><br>雖然也沒有多難進就是了<br><br>另一個卻只能在台灣打球<br><br>兩人際遇怎麼差這麼多<br><br>是不是發生了什麼事<br><br>或許會說速度<br><br>但都長到7尺5吋了<br><br>速度本來就不可能多快<br><br>姚明速度也不快<br><br>想和大家討論一下:)<br><br>--<br>", "", ""
"NBA#M.1531626017.A.E3E#00001", "gotornado   ", "?", "07/15 11:41", "0"
"NBA#M.1531626017.A.E3E#00002", "simon0529   ", "581都沒辦法屠殺了，就別想NBA了吧，歐洲聯賽可能是天花板", "07/15 11:41", "1"
"NBA#M.1531626017.A.E3E#00003", "gaiaesque   ", "布拉布拉 布拉布拉", "07/15 11:41", "0"
"NBA#M.1531626017.A.E3E#00004", "caesst85149 ", "布拉太慢 靠身材殺581而已", "07/15 11:41", "0"
"NBA#M.1531626017.A.E3E#00005", "nuggets0916 ", "= =?????孫悅進得了 NBA 林志傑不行?JR還是多練球少廢文", "07/15 11:42", "0"
"NBA#M.1531626017.A.E3E#00006", "AmadeusC    ", "…，…", "07/15 11:42", "0"
"NBA#M.1531626017.A.E3E#00007", "dxwin0000   ", "姚明敏捷蠻多的吧", "07/15 11:42", "0"
"NBA#M.1531626017.A.E3E#00008", "heavensun   ", "姚國際賽  展現出實力", "07/15 11:42", "0"
"NBA#M.1531626017.A.E3E#00009", "jenchieh5   ", "Yao不算慢了  581常看布拉跟別隊洋將後場散步", "07/15 11:43", "0"
"NBA#M.1531626017.A.E3E#00010", "ok60116     ", "NBA?去被虐而已！", "07/15 11:43", "0"
"NBA#M.1531626017.A.E3E#00011", "Wickl       ", "NBA場均25分跟581場均25分的比小", "07/15 11:44", "0"
"NBA#M.1531626017.A.E3E#00012", "z1987090    ", "Yao光靠投籃的準頭就可以射爆亞洲了", "07/15 11:45", "0"
"NBA#M.1531626017.A.E3E#00013", "tofly       ", "你有看過姚明的投籃嗎……", "07/15 11:45", "0"
"NBA#M.1531626017.A.E3E#00014", "steve91240  ", "布拉腳步跟手感還是很不錯的 只是毅力輸3條街", "07/15 11:46", "0"
"NBA#M.1531626017.A.E3E#00015", "peanut7516  ", "慢成這樣要幹嘛", "07/15 11:48", "0"
"NBA#M.1531626017.A.E3E#00016", "naskate     ", "差多了= =", "07/15 11:48", "0"
"NBA#M.1531626017.A.E3E#00017", "manuginobii ", "布拉也算是上過NBA啊 而且還是正式的不是夏聯，屌打一堆人了", "07/15 11:49", "0"
"NBA#M.1531626017.A.E3E#00018", "william12tw ", "姚明的投籃很準耶 尤其是罰球 比一票後衛都準", "07/15 11:50", "0"
"NBA#M.1531626017.A.E3E#00019", "Kevin0608   ", "nba能在場上散步被5打4嗎，在台灣可以靠進攻拿30分補  在nba3分都很拼", "07/15 11:51", "0"
"NBA#M.1531626017.A.E3E#00020", "jeff5221    ", "唉", "07/15 11:51", "0"
"NBA#M.1531626017.A.E3E#00021", "AhirunoSora ", "https//goo.gl/dp2Jat", "07/15 11:51", "0"
"NBA#M.1531626017.A.E3E#00022", "nockyouout  ", "看標題就想噓", "07/15 11:51", "0"
"NBA#M.1531626017.A.E3E#00023", "RieX        ", "其實SBL進步很多目前整體水準不輸NBA後段球隊", "07/15 11:52", "0"
"NBA#M.1531626017.A.E3E#00024", "ecbytesan   ", "nba回防可以用散步的？", "07/15 11:53", "0"
"NBA#M.1531626017.A.E3E#00025", "EMSOK       ", "不輸後段球隊??  別作夢好嗎", "07/15 11:53", "0"
"NBA#M.1531626017.A.E3E#00026", "noname78531 ", "這裡不歡迎討論連次級聯盟都摸不上邊的581球員討論這裡是最高殿堂NBA", "07/15 11:53", "1"
