"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1542011855.A.0C3#00000", "leo921080931", "林書豪遇到對手「鬼腳」伺候 網友直呼超髒<br><br>老鷹台裔好手林書豪今天在客場對上湖人的比賽中，拿到6分、2助攻，末節只能坐板凳，老鷹終場以106：107不敵對手，吞下4連敗。該場比賽中，林書豪運球切入時，卻被L.史岱芬森（Lance Stephenson）「出腳」導致跌倒，讓網友直呼超髒。<br><br>林書豪在首節剩下51.1秒時，他運球突破到禁區，被L.史岱芬森從後方踢了一腳、這腳還踩在林書豪的腳踝上，害他跌倒。裁判當下吹L.史岱芬森犯規，林書豪獲得2罰機會，他也都罰進。<br><br>來源：<br><br>自由時報 ／體育中心／綜合報導<br><br>http://sports.ltn.com.tw/m/news/breakingnews/2609949<br><br>備註：影片<br><br>https://streamable.com/awsrr<br><br><br><br>-----<br>Sent from JPTT on my Xiaomi Redmi Note 4.<br><br>--<br>", "", ""
"NBA#M.1542011855.A.0C3#00001", "a86425380   ", "骯髒", "11/12 16:40", "0"
"NBA#M.1542011855.A.0C3#00002", "andy82116   ", "舞王", "11/12 16:40", "0"
"NBA#M.1542011855.A.0C3#00003", "karta1992560", "速度真快", "11/12 16:40", "0"
"NBA#M.1542011855.A.0C3#00004", "JustWinslow ", "幹嘛弄豪神", "11/12 16:41", "0"
"NBA#M.1542011855.A.0C3#00005", "jim12441    ", "抄很快", "11/12 16:41", "0"
"NBA#M.1542011855.A.0C3#00006", "IronMan555  ", "我看到火氣很大.幸好林那時沒跳或高速行進", "11/12 16:42", "0"
"NBA#M.1542011855.A.0C3#00007", "RussellWestb", "你記者出生?", "11/12 16:43", "0"
"NBA#M.1542011855.A.0C3#00008", "kyo90637    ", "這真的很過分，有打球都 想到就會痛", "11/12 16:43", "0"
"NBA#M.1542011855.A.0C3#00009", "a86425380   ", "提醒一下原po 好像不能用體育中心", "11/12 16:43", "0"
"NBA#M.1542011855.A.0C3#00010", "gginin007   ", "抄三小", "11/12 16:44", "0"
"NBA#M.1542011855.A.0C3#00011", "leo921080931", "看有沒有人檢舉 這篇我也找不到作者", "11/12 16:44", "0"
"NBA#M.1542011855.A.0C3#00012", "jeff12280   ", "百萬豪粉站出來", "11/12 16:46", "0"
"NBA#M.1542011855.A.0C3#00013", "ricky100fang", "這個超痛欸……", "11/12 16:47", "0"
"NBA#M.1542011855.A.0C3#00014", "Blazeleo819 ", "這種引外電的通常都是用綜合報導,蘋果那篇也是", "11/12 16:48", "0"
"NBA#M.1542011855.A.0C3#00015", "BlackTea1023", "豬油這樣也一篇...記者真好當", "11/12 16:48", "0"
"NBA#M.1542011855.A.0C3#00016", "puma1011    ", "舞王", "11/12 16:48", "0"
