"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1542445330.A.E14#00000", "bobyacool", "首先恭喜KI數據漂亮，還達到生涯10000分的紀錄，而今天我發現KI也找到了適合賽隊<br>的老將?!<br>　　　<br>今天東區兩強相爭 果然是一場精彩的比賽，更難的是，看到了KI帶隊帶得有聲有色，<br>跟前幾天輸球的情形，馬上跪求要有老將的發言簡直判若兩人。仔細一看，我發現了<br>一點端倪，原來KI已經找到所謂賽隊需要的老將! 他是誰呢?<br><br>答案就是T.Washington<br><br>他出生於1957.12.25，多麼神聖的日子，果然是賽隊的聖人，在前一個R.Acosta誤判可愛<br>自己把球傳出去，還判給暴龍之後，下一個play就直接判綠推人搶球，讓他六犯下場，而<br>且輕易給賽隊兩次罰球。在最後25秒，賽隊星海哥在沒有明顯身體接觸下，自己軟腳，暴<br>龍球員又被判推人搶球，直接給兩罰追平比數，有這位老將壓陣，果然賽就是穩!<br><br>沒錯! T.Washington<br><br>今年62歲，裁判資歷28年的他，就是KI口中賽隊所需要的老將，大家覺得呢?<br><br><br>理性、和平、勿戰<br><br>------------------------------------------------------------------------------<br>推 axxxxxx     : Bobyacool快出來酸啊 哈哈哈哈哈哈哈哈<br>11/17 11:01<br>→ naxxxxx     : 協尋boby<br> 11/17 11:03<br>推 Jixxxxxxxx  : 咦 某b不是一向很急著出現嗎<br> 11/17 11:32<br>應板友要求，發文恭喜KI~<br><br>--<br>", "", ""
"NBA#M.1542445330.A.E14#00001", "axxxxxx     ", "Bobyacool快出來酸啊 哈哈哈哈哈哈哈哈", "11/17 11:01", "0"
"NBA#M.1542445330.A.E14#00002", "naxxxxx     ", "協尋boby", "11/17 11:03", "0"
"NBA#M.1542445330.A.E14#00003", "Jixxxxxxxx  ", "咦 某b不是一向很急著出現嗎", "11/17 11:32", "0"
"NBA#M.1542445330.A.E14#00004", "JayFans0610 ", "好了啦", "11/17 17:03", "0"
"NBA#M.1542445330.A.E14#00005", "qazwsx879345", "嘻嘻", "11/17 17:03", "0"
"NBA#M.1542445330.A.E14#00006", "sexycute    ", "拔草", "11/17 17:03", "0"
"NBA#M.1542445330.A.E14#00007", "yuh15420    ", "無聊", "11/17 17:04", "0"
"NBA#M.1542445330.A.E14#00008", "kevin194059 ", "唉……", "11/17 17:04", "0"
"NBA#M.1542445330.A.E14#00009", "eric6210    ", "好", "11/17 17:04", "0"
"NBA#M.1542445330.A.E14#00010", "realkgfans  ", "唉...好了啦這樣就難看了", "11/17 17:05", "0"
"NBA#M.1542445330.A.E14#00011", "duckkking   ", "偏不噓", "11/17 17:05", "0"
"NBA#M.1542445330.A.E14#00012", "Pixis       ", "你怎麼不講講唐納吉，還有東尼兄弟", "11/17 17:05", "0"
"NBA#M.1542445330.A.E14#00013", "BoYuYou     ", "想進桶之心真強烈", "11/17 17:06", "0"
"NBA#M.1542445330.A.E14#00014", "before76127 ", "好聰明ㄛ", "11/17 17:06", "0"
"NBA#M.1542445330.A.E14#00015", "gogojazz    ", "這樣就難看囉", "11/17 17:07", "0"
"NBA#M.1542445330.A.E14#00016", "dwc999      ", "工三小", "11/17 17:07", "0"
"NBA#M.1542445330.A.E14#00017", "TimDuncan21 ", "還沒出來喔", "11/17 17:07", "0"
"NBA#M.1542445330.A.E14#00018", "fgeorge2258 ", "可憐 繼續追殺KI煩不煩", "11/17 17:08", "0"
"NBA#M.1542445330.A.E14#00019", "hodsala     ", "不只數據漂亮 還贏球了", "11/17 17:08", "0"
"NBA#M.1542445330.A.E14#00020", "ellisteng145", "a一下id就知道是lbj粉ki黑", "11/17 17:08", "0"
"NBA#M.1542445330.A.E14#00021", "ccl007      ", "天亮以後說分手", "11/17 17:10", "0"
"NBA#M.1542445330.A.E14#00022", "Audien      ", "。", "11/17 17:10", "0"
"NBA#M.1542445330.A.E14#00023", "CW4         ", ".....你討厭哪個球員就去支持他 喜歡哪個球員就去反對他", "11/17 17:10", "0"
"NBA#M.1542445330.A.E14#00024", "ckdc16jheng ", "無聊", "11/17 17:11", "0"
"NBA#M.1542445330.A.E14#00025", "ai1robert   ", "嗯哼", "11/17 17:11", "0"
"NBA#M.1542445330.A.E14#00026", "baiweilo    ", "詹迷就是中肯", "11/17 17:12", "0"
"NBA#M.1542445330.A.E14#00027", "CW4         ", "說不定還更有效率的達到想做的事", "11/17 17:12", "0"
"NBA#M.1542445330.A.E14#00028", "dannywhat   ", "釣魚", "11/17 17:12", "0"
"NBA#M.1542445330.A.E14#00029", "nocebo      ", "Box看到好多人呼喚這個ID，果然不負眾望", "11/17 17:13", "0"
"NBA#M.1542445330.A.E14#00030", "kakain      ", "好了啦", "11/17 17:13", "0"
"NBA#M.1542445330.A.E14#00031", "pharhan     ", "好啦 如你所願的噓你", "11/17 17:14", "0"
"NBA#M.1542445330.A.E14#00032", "happy1234557", "2沒壞", "11/17 17:14", "0"
"NBA#M.1542445330.A.E14#00033", "narutotha   ", "可以，這很姆咪", "11/17 17:14", "0"
"NBA#M.1542445330.A.E14#00034", "ltivs       ", "真的不好笑", "11/17 17:14", "0"
"NBA#M.1542445330.A.E14#00035", "WinShot     ", "浪費時間看廢文", "11/17 17:16", "0"
"NBA#M.1542445330.A.E14#00036", "gggger      ", "傻眼", "11/17 17:16", "0"
"NBA#M.1542445330.A.E14#00037", "Amilous     ", "這id不意外", "11/17 17:16", "0"
"NBA#M.1542445330.A.E14#00038", "williamlo   ", "好啦 這個不好笑 想點別的好嗎", "11/17 17:16", "0"
"NBA#M.1542445330.A.E14#00039", "ltivs       ", "4篇有3篇在追殺KI  水準？", "11/17 17:17", "0"
