"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1546671454.A.F7C#00000", "melogod", "安安大家<br><br>強者我朋友說Stephen Curry的打法其實和小學生沒兩樣<br><br>拿到球就投，只是一個會進一個不會進而已<br><br>對比上個世代的王者Kobe Bryant有墊步<br><br>又有轉身蝦捲式跳投，急停跳投等<br><br>各種假動作，看他打球和看一幅畫沒兩樣<br><br>又順便嘴小弟的Lebron James打球豪無美感<br><br>聽著聽著小弟很想反駁但又不知道如何說起<br><br>各位可以幫幫我怎麼講ㄇ<br>-----<br>Sent from JPTT on my iPhone<br><br>--<br>", "", ""
"NBA#M.1546671454.A.F7C#00001", "fack3170    ", "???", "01/05 14:58", "0"
"NBA#M.1546671454.A.F7C#00002", "airbear     ", "==費雯", "01/05 14:58", "0"
"NBA#M.1546671454.A.F7C#00003", "HFang       ", "廢文必噓", "01/05 14:58", "0"
"NBA#M.1546671454.A.F7C#00004", "OGCOGCOGCOGC", "你的作文也和小學生一樣", "01/05 14:58", "0"
"NBA#M.1546671454.A.F7C#00005", "gold97972000", "你發的文跟幼稚園差不多", "01/05 14:59", "0"
"NBA#M.1546671454.A.F7C#00006", "s505015     ", "...", "01/05 14:59", "0"
"NBA#M.1546671454.A.F7C#00007", "Chiya0911   ", "你發的文小學生不如", "01/05 15:00", "0"
"NBA#M.1546671454.A.F7C#00008", "mhkt        ", "看看會有人幫你嗎……", "01/05 15:00", "0"
"NBA#M.1546671454.A.F7C#00009", "lewdtaoist  ", "亡者", "01/05 15:00", "0"
"NBA#M.1546671454.A.F7C#00010", "dustinhuang ", "小學生能打系際盃嗎", "01/05 15:00", "0"
"NBA#M.1546671454.A.F7C#00011", "qweasdzzx   ", "嘻嘻", "01/05 15:00", "0"
"NBA#M.1546671454.A.F7C#00012", "IMISSA      ", "lol", "01/05 15:00", "0"
"NBA#M.1546671454.A.F7C#00013", "heyisjimmy  ", "？？？", "01/05 15:00", "0"
"NBA#M.1546671454.A.F7C#00014", "csw14114    ", "你是不是就是小學生", "01/05 15:01", "0"
"NBA#M.1546671454.A.F7C#00015", "roger2623900", "你的LBJ 甲甲？", "01/05 15:01", "0"
"NBA#M.1546671454.A.F7C#00016", "lonelysin   ", "被小學生打到六亞會不會很可恥啊？", "01/05 15:01", "0"
"NBA#M.1546671454.A.F7C#00017", "toeic900    ", "蝦式投籃有笑給推", "01/05 15:02", "0"
"NBA#M.1546671454.A.F7C#00018", "Toy17       ", "跟系隊五投八中比起來 確實是小學生 呵呵", "01/05 15:02", "0"
"NBA#M.1546671454.A.F7C#00019", "chrisplash  ", "你朋友系際盃5投8中?", "01/05 15:02", "0"
"NBA#M.1546671454.A.F7C#00020", "mrWillyyang ", "= =", "01/05 15:03", "0"
"NBA#M.1546671454.A.F7C#00021", "nt880245    ", "你朋友一定是看臉的", "01/05 15:03", "0"
"NBA#M.1546671454.A.F7C#00022", "ikeepcool   ", "你朋友投籃出手是不是圓滑婉轉？", "01/05 15:04", "0"
"NBA#M.1546671454.A.F7C#00023", "gtor7923    ", "你朋友是有世念準嗎", "01/05 15:04", "0"
"NBA#M.1546671454.A.F7C#00024", "ciafbi007   ", "被系隊屌打 小學生差不多", "01/05 15:05", "0"
"NBA#M.1546671454.A.F7C#00025", "formap      ", "笑死", "01/05 15:08", "0"
"NBA#M.1546671454.A.F7C#00026", "guardian128 ", "OK", "01/05 15:09", "0"
"NBA#M.1546671454.A.F7C#00027", "ahinetn123  ", "這啥廢文==", "01/05 15:11", "0"
"NBA#M.1546671454.A.F7C#00028", "saintmin1002", "現在除了路人 又多了一個小學生的外號了嗎", "01/05 15:11", "0"
"NBA#M.1546671454.A.F7C#00029", "gtgra053789 ", "？？？", "01/05 15:12", "0"
"NBA#M.1546671454.A.F7C#00030", "Noxus       ", "連我勇黑都推不下去= =", "01/05 15:13", "0"
"NBA#M.1546671454.A.F7C#00031", "Kyrieisme   ", "補血", "01/05 15:13", "0"
"NBA#M.1546671454.A.F7C#00032", "canhong     ", "MLB有高中生，現在連NBA都有小學生了", "01/05 15:14", "0"
"NBA#M.1546671454.A.F7C#00033", "tobo        ", "姿勢優美技藝純熟的鐵匠", "01/05 15:15", "0"
"NBA#M.1546671454.A.F7C#00034", "a2156700    ", "從路人退化成小學生", "01/05 15:16", "0"
"NBA#M.1546671454.A.F7C#00035", "adplz53     ", "小學生能夠73勝亞軍嗎", "01/05 15:16", "0"
"NBA#M.1546671454.A.F7C#00036", "k5545332    ", "現在的小學生會用PTT喔", "01/05 15:18", "0"
"NBA#M.1546671454.A.F7C#00037", "QVQ9487     ", "符合總版素質的文章", "01/05 15:18", "0"
