"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1546677975.A.DC3#00000", "hhll5566", "乳題<br><br>論 近幾年新秀之養成緩慢是否與球隊有關？？<br><br><br><br>有感於近日版上對於湖人小將 灰狼小將成長之慮<br><br>吾私以為各隊皆然<br><br>故發此文以咨佐證<br><br><br>我們看一下從13年開始的選秀<br><br>2013<br><br>雖然這年是公認的小年<br><br>發育不良是可以預見的<br><br>狀元AB極其慘烈 榜眼Oladipo直到第五年才打出像樣的成績入選明星賽<br><br>探花波特算是中規中矩<br><br>整梯除了Ola, 鴨蛋, 麥卡倫, 字母哥, 狗貝 這些顯眼的之外<br><br>也都還算堪用 目前也都邁入穩定<br><br><br>2014<br><br>大年，卻沒幾個上得了台面<br><br>狀元圍巾  ：超健康超飛，僅此而已<br><br>榜眼賈霸二：不健康，目前養成仍遙遙無期<br><br>探花鉛筆  ：不健康，但極強，有帶隊能力<br><br>餅皇      ：小球時代下的堪用中鋒<br><br>A.狗蛋    ：會灌籃<br><br>Joker     ：第二年開始崛起，目前西區第一金塊的核心<br><br><br>2015<br><br>大年，整梯有天賦卻幾乎無法帶隊進季後賽<br><br>狀元KAT   ：進攻極強，數據神猛，目前僅一季進季後賽<br><br>榜眼靈氣  ：當年備受湖人期待，後來發現不過是球哥的備胎，目前還可以接受<br><br>探花Okafor：時代的眼淚<br><br>KP        ：不健康，疑似有帶隊能力<br><br>往後的除了哈肉，Turner之外似乎沒什麼期待了<br><br>目前已經打四年了也沒看到希望<br><br><br>2016<br><br>狀元西門   ：練好跳投就是未來希望，和鉛筆搭檔似乎就是東區前四的水準<br><br>榜眼IG     ：慘...，打到第三年了還是看不到養成的結果<br><br>探花杰倫   ：不知道是體系，還是體系球員，今年三分很慘<br><br>Siakam，剝個蛋 可以期待一下<br><br><br>2017<br><br>兩個tier1的PG<br><br>狀元富兒子 ：不健康，有基本動作投籃整組壞掉<br><br>榜眼球哥   ：投籃慘，有靈性有防守<br><br>探花Tatum  ：可期，但還不知道是不是只是個體系球員，成長趨緩<br><br>Kuzma      ：目前發育不錯<br><br>米邱，遭遇撞牆期<br><br>阿爹不要，Collins，Allen這些也都還有希望<br><br><br>這樣一串看下來<br><br>14年至今的新秀不管是期望多高 天賦多好<br><br>也只有鉛筆 西門 joker 三隻能夠站穩主力帶隊打進季後賽<br><br>而小年13年卻開始嶄露頭角<br><br>個人認為不是小將不行 教練不會帶這麼單純的問題<br><br>而是整個大環境讓新秀的成長變難<br><br>球員平均水平提升使得天賦兌現難度上升<br><br>導致新秀從以前的三年可以收割<br><br>到現在的五年才開始有成果<br><br>或許是應該再觀察一下的<br><br>--<br>", "", ""
"NBA#M.1546677975.A.DC3#00001", "seth582025", "多益考110..你的id是不是原本要取kevin", "11/24 17:49", "0"
"NBA#M.1546677975.A.DC3#00002", "qazwsx879345", "17 18不是都還沒到你說的三年，13到15 也有你說得好幾個不錯啦  沒那麼慘吧", "01/05 16:48", "0"
"NBA#M.1546677975.A.DC3#00003", "FatalLuna   ", "從08年KD後  #2這順位真的頗雷，07", "01/05 16:49", "0"
"NBA#M.1546677975.A.DC3#00004", "FAYeeeeeeee ", "16 17還不能拿來比 但16確實慘", "01/05 16:49", "0"
"NBA#M.1546677975.A.DC3#00005", "Leaflock    ", "看時間不夠長啊", "01/05 16:50", "0"
"NBA#M.1546677975.A.DC3#00006", "Puye        ", "我只知道大概還要給IG十年的時間", "01/05 16:50", "0"
"NBA#M.1546677975.A.DC3#00007", "bbbyes123   ", "卡培拉 17+12+2阻攻 只是堪用?", "01/05 16:50", "0"
"NBA#M.1546677975.A.DC3#00008", "tanga666    ", "樣本數有夠小", "01/05 16:50", "0"
"NBA#M.1546677975.A.DC3#00009", "rettttt5    ", "到底在說啥......", "01/05 16:51", "0"
"NBA#M.1546677975.A.DC3#00010", "emptie      ", "我覺得戰術變複雜可能有一定的關係，但其實這個不應該用前15順位一定要養成明星的標準來要求 太難了也不切實際", "01/05 16:51", "0"
"NBA#M.1546677975.A.DC3#00011", "ray020507   ", "AG你就只寫會灌籃 認真的？Capela明星等級的變堪用中鋒？", "01/05 16:51", "0"
"NBA#M.1546677975.A.DC3#00012", "ctw01       ", "看你對養成功定義 是成為稱職先發 還是球星", "01/05 16:51", "0"
"NBA#M.1546677975.A.DC3#00013", "Costco5566  ", "印象文", "01/05 16:51", "0"
"NBA#M.1546677975.A.DC3#00014", "peter080808 ", "大部分狀元還是不錯 除了投籃故障的 和莫名其妙賽，到狀元的AB", "01/05 16:52", "0"
"NBA#M.1546677975.A.DC3#00015", "lovevivia   ", "人人都是LBJ你才滿意吧", "01/05 16:52", "0"
"NBA#M.1546677975.A.DC3#00016", "ctw01       ", "你是希望每年樂透區2/3都要養成明星嗎...", "01/05 16:53", "0"
"NBA#M.1546677975.A.DC3#00017", "FAYeeeeeeee ", "幫14梯LaVine補噓", "01/05 16:53", "0"
"NBA#M.1546677975.A.DC3#00018", "DaLanPaa    ", "你認識的就這幾隻而已吧", "01/05 16:54", "0"
"NBA#M.1546677975.A.DC3#00019", "jack34031   ", "哈肉是誰，樓上認真?", "01/05 16:54", "0"
"NBA#M.1546677975.A.DC3#00020", "PengPengLin ", "13 14其實已經算很不錯了特別是13年，03年扣掉姆斯也沒有比13年強到那裡", "01/05 16:54", "1"
"NBA#M.1546677975.A.DC3#00021", "Timmy21     ", "都打英文名字很難嗎 然後通篇印象 ㄏㄏ", "01/05 16:55", "0"
"NBA#M.1546677975.A.DC3#00022", "a1223356    ", "這幾年我觀察，有一種急需雙能衛和投三分的中鋒的超強烈趨勢，其他類型都是擺飾，不被NBA需要。", "01/05 16:55", "1"
"NBA#M.1546677975.A.DC3#00023", "chang860708 ", "幫補血，嘻嘻", "01/05 16:55", "0"
"NBA#M.1546677975.A.DC3#00024", "harrybbs    ", "15年Booooker太陽一哥", "01/05 16:56", "0"
"NBA#M.1546677975.A.DC3#00025", "foward      ", "fox??", "01/05 16:56", "0"
"NBA#M.1546677975.A.DC3#00026", "ray020507   ", "15沒Booker更扯", "01/05 16:56", "0"
"NBA#M.1546677975.A.DC3#00027", "highwayshih ", "還好吧...每年選秀明星賽等級的也不過7隻上下", "01/05 16:58", "0"
"NBA#M.1546677975.A.DC3#00028", "icou        ", "真貨不用養 要養非真貨", "01/05 17:00", "0"
"NBA#M.1546677975.A.DC3#00029", "KobeBryant60", "太陽booker 小牛77 哪裡不成功了", "01/05 17:00", "0"
"NBA#M.1546677975.A.DC3#00030", "Mike9       ", "又一個說笑話的", "01/05 17:01", "0"
"NBA#M.1546677975.A.DC3#00031", "sOuOr       ", "有些真的看起來就是養不起來了 看看真正明星很多人前兩三年就展露頭角了 像KD Curry LBJ這種", "01/05 17:02", "1"
"NBA#M.1546677975.A.DC3#00032", "a3221715    ", "77算完成度高 不用養 都在歐洲奪冠了", "01/05 17:04", "0"
"NBA#M.1546677975.A.DC3#00033", "dfish       ", "卡佩拉只是堪用中鋒？？？", "01/05 17:05", "0"
"NBA#M.1546677975.A.DC3#00034", "andymaves   ", "亂取綽號自以為有創意？", "01/05 17:06", "0"
"NBA#M.1546677975.A.DC3#00035", "flashkent   ", "有夠廢 多看點球好嗎？", "01/05 17:07", "0"
"NBA#M.1546677975.A.DC3#00036", "qwerty789   ", "好廢的文", "01/05 17:08", "0"
"NBA#M.1546677975.A.DC3#00037", "yeswecan    ", "樂透區的新秀太早拉去戰場，可能是折損嚴重的原因。身體和心理素質甚至技術的不到位。", "01/05 17:08", "1"
"NBA#M.1546677975.A.DC3#00038", "TomBoHu     ", "一堆奇怪人名", "01/05 17:09", "0"
"NBA#M.1546677975.A.DC3#00039", "Denny224    ", "沒我王的Fox?", "01/05 17:12", "0"
"NBA#M.1546677975.A.DC3#00040", "hank13241   ", "你是看不起還是忘記我王的FOX跟BUDDY了", "01/05 17:15", "0"
"NBA#M.1546677975.A.DC3#00041", "nono830209  ", "好好打名字很難嗎", "01/05 17:19", "0"
"NBA#M.1546677975.A.DC3#00042", "owhfr69c    ", "Ola在魔術，高層在內鬥，沒被養壞就要偷笑", "01/05 17:19", "0"
"NBA#M.1546677975.A.DC3#00043", "owhfr69c    ", "新秀的養成本來就很難，一堆去海外打工", "01/05 17:21", "0"
"NBA#M.1546677975.A.DC3#00044", "yeswecan    ", "相對POPO就很有耐心，海外、發展聯盟磨了又磨。登錄了也先是吃垃圾時間。", "01/05 17:22", "0"
"NBA#M.1546677975.A.DC3#00045", "kl015013    ", "要到LBJ才叫成功是不是", "01/05 17:23", "0"
"NBA#M.1546677975.A.DC3#00046", "owhfr69c    ", "至於17梯列入討論很多餘，才二年級你就看出養成??你所謂成功養成的定義要攻守兼具同時要準三分要控球", "01/05 17:23", "0"
"NBA#M.1546677975.A.DC3#00047", "liafree     ", "卡佩拉 養一陣子才上位", "01/05 17:23", "0"
"NBA#M.1546677975.A.DC3#00048", "andersonlin ", "14Levine,15Booker,16Murray,17Fox竟然都沒提到", "01/05 17:23", "0"
"NBA#M.1546677975.A.DC3#00049", "owhfr69c    ", "那這樣聯盟能及格的沒多少人...", "01/05 17:25", "0"
"NBA#M.1546677975.A.DC3#00050", "david8840505", "XDDDDDD ?", "01/05 17:25", "0"
"NBA#M.1546677975.A.DC3#00051", "owhfr69c    ", "新秀養成，除了球隊的養成方針外，還要看個人心態，有些身體素質好，防守心態差，不然就是痛痛人", "01/05 17:27", "0"
"NBA#M.1546677975.A.DC3#00052", "maxliao     ", "給原文吧 一堆看不懂", "01/05 17:28", "0"
"NBA#M.1546677975.A.DC3#00053", "manuginobii ", "不列還好 一列發現養起來的滿多的啊XDDD", "01/05 17:29", "0"
"NBA#M.1546677975.A.DC3#00054", "owhfr69c    ", "照你的標準那表弟以前在國王無法帶隊入季後賽算失敗KI以前在騎士帶隊搶狀元，也算養成失敗了", "01/05 17:31", "1"
"NBA#M.1546677975.A.DC3#00055", "kilmmy149   ", "自以為很專業的廢文", "01/05 17:32", "0"
"NBA#M.1546677975.A.DC3#00056", "ken720331   ", "數據會說話", "01/05 17:32", "0"
"NBA#M.1546677975.A.DC3#00057", "qaz13579    ", "多謝整理", "01/05 17:32", "0"
"NBA#M.1546677975.A.DC3#00058", "mossedole   ", "廢文", "01/05 17:33", "0"
"NBA#M.1546677975.A.DC3#00059", "owhfr69c    ", "鉛筆很強但是要改善的地方超多，關鍵時刻一直自爆", "01/05 17:34", "0"
"NBA#M.1546677975.A.DC3#00060", "tpc231250   ", "你誰", "01/05 17:36", "0"
"NBA#M.1546677975.A.DC3#00061", "tommy910174 ", "17年有點水 前四順位全都爆掉", "01/05 17:39", "0"
"NBA#M.1546677975.A.DC3#00062", "ksk0516     ", "看球好嗎", "01/05 17:39", "0"
"NBA#M.1546677975.A.DC3#00063", "Pixis       ", "13還有丁手中和KCP，15還有Josh Richardson,Bobby Portis和Oubre", "01/05 17:43", "0"
"NBA#M.1546677975.A.DC3#00064", "drsung48    ", "想討論獨立帶隊能力根本辦法沒有控制變因數，我76迷 但他們也是拼圖完整才起來拔掉鉛筆就很堪憂 路還很遠", "01/05 17:44", "0"
"NBA#M.1546677975.A.DC3#00065", "tommy910174 ", "16年除了西門 其他都很慘", "01/05 17:46", "0"
"NBA#M.1546677975.A.DC3#00066", "drsung48    ", "你的合格真的只有喇叭", "01/05 17:46", "0"
"NBA#M.1546677975.A.DC3#00067", "ray020507   ", "你用狀元的標準看每一個新秀也太屌", "01/05 17:46", "0"
"NBA#M.1546677975.A.DC3#00068", "tommy910174 ", "但今年J Murray Siakam Brogdon Heild都不錯，說明了除了狀元  抽中樂透也不一定有用湖賽的雙榜眼雙探花都養成這樣就知道...", "01/05 17:48", "0"
"NBA#M.1546677975.A.DC3#00069", "andy78714   ", "看的少就不用出來發文秀下限好嗎？", "01/05 17:56", "0"
"NBA#M.1546677975.A.DC3#00070", "VIATOR      ", "Capela明星等級的變堪用中鋒？ +1", "01/05 17:57", "0"
"NBA#M.1546677975.A.DC3#00071", "NiaosongLBJ ", "77不用養", "01/05 17:58", "0"
"NBA#M.1546677975.A.DC3#00072", "ChrisDavis  ", "Booker在一群垃圾裡面努力成長還算不強我也是暈了", "01/05 17:58", "0"
"NBA#M.1546677975.A.DC3#00073", "drung1110   ", "2015 是小年吧？", "01/05 18:06", "0"
"NBA#M.1546677975.A.DC3#00074", "PoBa        ", "國中生的文都比你有內容", "01/05 18:09", "0"
"NBA#M.1546677975.A.DC3#00075", "wnba2763216 ", "敢嘴我餅皇?", "01/05 18:16", "0"
"NBA#M.1546677975.A.DC3#00076", "Sabo5566    ", "垃圾文", "01/05 18:28", "0"
"NBA#M.1546677975.A.DC3#00077", "kochiOuO    ", "那你有說金塊Murray嗎，除了自以為是你還會幹嘛阿", "01/05 18:28", "0"
"NBA#M.1546677975.A.DC3#00078", "JayFans0610 ", "你的養成好的定義還真狹隘", "01/05 18:34", "0"
"NBA#M.1546677975.A.DC3#00079", "qpqp7788    ", "capela有明星等級嗎？ 我真的覺得他是受惠有鬍子和cp3", "01/05 18:39", "1"
"NBA#M.1546677975.A.DC3#00080", "ksk0516     ", "所以老頭有哪些符合你標準", "01/05 18:44", "0"
"NBA#M.1546677975.A.DC3#00081", "yist        ", "可不可以講本名 用一堆聽不懂的綽號真的惱人", "01/05 18:45", "0"
"NBA#M.1546677975.A.DC3#00082", "steve11631  ", "聰明", "01/05 18:59", "0"
"NBA#M.1546677975.A.DC3#00083", "cphs102007  ", "不覺得西門有養出來 沒投射能力 三分 罰球不到6成，還會搶鉛筆籃板  但傳球視野能力強", "01/05 19:08", "0"
"NBA#M.1546677975.A.DC3#00084", "purplecoldly", "印象", "01/05 19:15", "0"
"NBA#M.1546677975.A.DC3#00085", "black510113 ", "Murray直接被消失  他不是新秀？？", "01/05 19:18", "0"
"NBA#M.1546677975.A.DC3#00086", "a9564208    ", "標準是LBJ?", "01/05 19:18", "0"
"NBA#M.1546677975.A.DC3#00087", "google60411 ", "當每個人都是 LBJ 速成形喔", "01/05 19:21", "0"
"NBA#M.1546677975.A.DC3#00088", "GiftjokerPTT", "打本名很難嗎", "01/05 19:23", "0"
"NBA#M.1546677975.A.DC3#00089", "drsung48    ", "所以現在季後賽隊伍的球星多少是進來三年時就帶隊，成功的?", "01/05 19:25", "0"
"NBA#M.1546677975.A.DC3#00090", "ccrr1234    ", "看不懂 補血 阿爹不要是甚麼", "01/05 19:29", "0"
"NBA#M.1546677975.A.DC3#00091", "bll135      ", "呵呵", "01/05 19:34", "0"
"NBA#M.1546677975.A.DC3#00092", "ok22205983  ", "為啥回文要一直XDDDD我也來XDDDD一下", "01/05 19:39", "0"
"NBA#M.1546677975.A.DC3#00093", "leo755269   ", "2015大年你在開玩笑吧", "01/05 19:43", "0"
"NBA#M.1546677975.A.DC3#00094", "betteron    ", "做點功課再發文很難?", "01/05 19:43", "0"
"NBA#M.1546677975.A.DC3#00095", "mudiayyy    ", "語畢", "01/05 19:44", "0"
"NBA#M.1546677975.A.DC3#00096", "BardxBaymax ", "笑死 XDDDDDDDDDDDDDDDDD", "01/05 19:45", "0"
"NBA#M.1546677975.A.DC3#00097", "louispencer ", "Zzzz", "01/05 20:08", "0"
"NBA#M.1546677975.A.DC3#00098", "ojmarc      ", "滾，感覺像國中生在發文 不知所云", "01/05 20:27", "0"
"NBA#M.1546677975.A.DC3#00099", "eatk        ", "XDDDDD", "01/05 20:45", "0"
"NBA#M.1546677975.A.DC3#00100", "eatk        ", "看到這篇文 你爸才會阿爹不要", "01/05 20:50", "0"
"NBA#M.1546677975.A.DC3#00101", "yallow1230  ", "練好中文再來發文好嗎？", "01/05 21:04", "0"
"NBA#M.1546677975.A.DC3#00102", "hughjetman  ", "對養成成功的定義有問題就算了，連功課都不做一堆人都被你忽略，你這個標準看起來就是新秀沒養成球星", "01/05 21:18", "1"
"NBA#M.1546677975.A.DC3#00103", "hughjetman  ", "就是失敗，完全不考慮每個球員的特性", "01/05 21:20", "0"
