"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1548515766.A.4B3#00000", "s66449", "數據會說話！　哈登：扣掉罰球我仍是聯盟得分王<br><br>記者張曜麟／綜合報導<br><br><br><br><br>哈登(James Harden)自保羅(Chris Paul)受傷後獨自一人扛起全隊，近期狀況更是火燙到<br><br>極致，目前已經連續21場至少得到30分，位列歷史第4，儘管如此仍有許多人不滿他的打<br><br>法，認為他得分這麼高都是因為「買犯」所導致，不過「大鬍子」先前在臉書上放上放出<br><br>一張霸氣照片，內文表示自己得分若不算罰球，仍是聯盟得分王。<br><br><br>目前哈登場均可以攻下36.3分，是聯盟當之無愧的得分王，比起排名第2的柯瑞29.5分仍<br><br>高出多，進入一月以來他場均更是爆炸到達45.3分，上一場面對尼克還轟下61分的生涯新<br><br>高，可見已經無人可以限制他得分。就算他的得分能力幾乎無解，但還是有許多人質疑他<br><br>的能力，因為眾所皆知「大鬍子」有多數得分皆靠罰球拿下，球迷也砲轟他這根本就是讓<br><br>比賽變得相當難看。<br><br><br>對於外界質疑，哈登終於忍不住跳出來發聲，他在臉書上放出一張數據圖，上面分析解釋<br><br>就算不計算罰球得分，哈登仍有25.7分，一就是聯盟得分王，比排名第2柯瑞24.7還要高<br><br>。就算把三分球算成兩分，依舊也是聯盟得分王，可以得到30.7分，第2名則是戴維斯的<br><br>28.4分。而他在臉書的配文也寫上，「男人會說謊，女人會說謊，但數據不會說謊。」<br><br><br>過去5場比賽哈登一共拿下261分，僅次於2007年布萊恩的268分，然而球迷多數仍無法認<br><br>可他的數據。因為哈登本賽季至今，場均可以得到11.9次罰球，並且命中10.3次，在過去<br><br>5戰中，他有2場比賽都獲得超過23次的罰球機會。雖然他遭多人質疑，但目前他憑藉個人<br><br>爆量得分幫助火箭戰績提升到西區第5，自身也重回MVP討論行列。<br><br><br><br><br>原文網址: 數據會說話！　哈登：扣掉罰球我仍是聯盟得分王 | ETtoday運動雲 |<br>ETtoday新聞雲 https://sports.ettoday.net/news/1366306#ixzz5dj8Sa9FF<br>Follow us: @ETtodaynet on Twitter | ETtoday on Facebook<br><br><br>--<br>", "", ""
"NBA#M.1548515766.A.4B3#00001", "chi16803000 ", "那是因為沒人敢守你", "01/26 23:17", "0"
"NBA#M.1548515766.A.4B3#00002", "PeterHenson ", "沒有罰球因素 你最好是能投這麼爽", "01/26 23:18", "0"
"NBA#M.1548515766.A.4B3#00003", "bestteam    ", "數據沒辦法呈現 因為你的討飯功力讓人不知怎麼防守", "01/26 23:18", "1"
"NBA#M.1548515766.A.4B3#00004", "tau123      ", "鬍酸們，衝鋒啦！", "01/26 23:18", "0"
"NBA#M.1548515766.A.4B3#00005", "k1453888    ", "逢鬍必噓", "01/26 23:19", "0"
"NBA#M.1548515766.A.4B3#00006", "peanut910013", "今天沒碰到也三罰 乾兒子", "01/26 23:19", "0"
"NBA#M.1548515766.A.4B3#00007", "tnfsh11287  ", "Ref don’t lie", "01/26 23:19", "0"
"NBA#M.1548515766.A.4B3#00008", "eric7943    ", "好啦", "01/26 23:19", "0"
"NBA#M.1548515766.A.4B3#00009", "heyjude1118 ", "扣掉走步後撤步呢", "01/26 23:20", "0"
"NBA#M.1548515766.A.4B3#00010", "shwkz       ", "他的邏輯怪怪的 算了 隨便他", "01/26 23:20", "0"
"NBA#M.1548515766.A.4B3#00011", "formap      ", "一分球王者", "01/26 23:20", "0"
"NBA#M.1548515766.A.4B3#00012", "serendipity ", "打臉酸民会被狂噓喔", "01/26 23:22", "0"
"NBA#M.1548515766.A.4B3#00013", "nO25948     ", "碰到就吹誰敢守", "01/26 23:23", "0"
"NBA#M.1548515766.A.4B3#00014", "cpeyeshield ", "戰場開 舒服起來", "01/26 23:23", "0"
"NBA#M.1548515766.A.4B3#00015", "ciafbi007   ", "一登：不要對我犯規就好了", "01/26 23:23", "0"
"NBA#M.1548515766.A.4B3#00016", "ltivs       ", "因為沒人敢跟正常對手一樣防守啊 蔣幹化", "01/26 23:23", "0"
"NBA#M.1548515766.A.4B3#00017", "lpca        ", "噁", "01/26 23:24", "0"
"NBA#M.1548515766.A.4B3#00018", "featherof   ", "失敗者們  進攻囉", "01/26 23:24", "0"
"NBA#M.1548515766.A.4B3#00019", "obovqq      ", "幫主威武 酸民退散", "01/26 23:24", "0"
"NBA#M.1548515766.A.4B3#00020", "tony09100920", "自己知道還要扣掉罰球喔 自己知道罰球很過分就好", "01/26 23:24", "0"
"NBA#M.1548515766.A.4B3#00021", "kiske011    ", "嘔嘔嘔嘔嘔嘔嘔嘔嘔", "01/26 23:24", "0"
"NBA#M.1548515766.A.4B3#00022", "nO25948     ", "樓下支援hart背後防守", "01/26 23:25", "0"
"NBA#M.1548515766.A.4B3#00023", "jyekid      ", "沒那些罰球判罰 防守者更能貼近防守....", "01/26 23:25", "0"
"NBA#M.1548515766.A.4B3#00024", "MichaelRedd ", "對手真的因為怕買飯，對他的防守超鬆，不敢貼不敢跟", "01/26 23:27", "1"
"NBA#M.1548515766.A.4B3#00025", "aa2266748   ", "嗯哼", "01/26 23:28", "0"
"NBA#M.1548515766.A.4B3#00026", "s92215yun   ", "真的是大家守很鬆", "01/26 23:29", "0"
"NBA#M.1548515766.A.4B3#00027", "dragonlucky ", "沒扣罰球多curry快7分 扣掉只多1分 這樣也在獻寶 XD", "01/26 23:29", "1"
"NBA#M.1548515766.A.4B3#00028", "teruhyde12  ", "祝丐登永世無冠", "01/26 23:30", "0"
"NBA#M.1548515766.A.4B3#00029", "nick790111  ", "等著捧殺，季後賽往生。", "01/26 23:31", "0"
"NBA#M.1548515766.A.4B3#00030", "Lou940726   ", "喔", "01/26 23:31", "0"
"NBA#M.1548515766.A.4B3#00031", "dameLee     ", "一就還是依舊？", "01/26 23:34", "0"
"NBA#M.1548515766.A.4B3#00032", "hoks        ", "貼了或手舉起來就被要飯了，三兩下被吃垮", "01/26 23:34", "0"
"NBA#M.1548515766.A.4B3#00033", "jb0110      ", "就是因為罰球多，才不敢守你讓你投爽爽", "01/26 23:37", "0"
"NBA#M.1548515766.A.4B3#00034", "LinuxKernel ", "嘔嘔嘔", "01/26 23:38", "0"
"NBA#M.1548515766.A.4B3#00035", "torg795587  ", "罰球命中率好高", "01/26 23:38", "0"
"NBA#M.1548515766.A.4B3#00036", "eric050692  ", "嘔嘔嘔嘔嘔嘔嘔", "01/26 23:38", "0"
"NBA#M.1548515766.A.4B3#00037", "raku        ", "這什麼小學等級的分析,他罰球連帶影響別人防守他不敢太緊,讓他其他得分方式也變容易,真正扣掉罰球就是以往他季後賽買不到飯那慘樣...", "01/26 23:39", "1"
"NBA#M.1548515766.A.4B3#00038", "trusti      ", "curry又沒那麼自幹啊", "01/26 23:39", "0"
"NBA#M.1548515766.A.4B3#00039", "bandon      ", "怎麼不想想因為罰球所以沒人敢守你！真有臉說", "01/26 23:39", "0"
"NBA#M.1548515766.A.4B3#00040", "nuclear     ", "吹成這副德性 別人都手放後面在守你 得利成這樣當然好得分", "01/26 23:40", "1"
"NBA#M.1548515766.A.4B3#00041", "eric050692  ", "氣到忘記噓，補", "01/26 23:40", "0"
"NBA#M.1548515766.A.4B3#00042", "Yhlin0827   ", "我在此宣佈改錯字大會 大會開始", "01/26 23:42", "0"
"NBA#M.1548515766.A.4B3#00043", "alonelykid  ", "你也知道買飯難看喔", "01/26 23:43", "0"
"NBA#M.1548515766.A.4B3#00044", "gt097231    ", "沒有罰球 你還會這麼好切???", "01/26 23:43", "0"
"NBA#M.1548515766.A.4B3#00045", "nakinight   ", "買成這樣", "01/26 23:43", "0"
"NBA#M.1548515766.A.4B3#00046", "shaq129     ", "得分王很重要嗎?拿不到戒指吃粗飽才是真的!", "01/26 23:44", "0"
"NBA#M.1548515766.A.4B3#00047", "obryanto    ", "沒罰球，得分 助攻馬上減半", "01/26 23:44", "0"
"NBA#M.1548515766.A.4B3#00048", "kobe7610    ", "扣掉罰球就是個廢物", "01/26 23:44", "0"
"NBA#M.1548515766.A.4B3#00049", "crishding   ", "數據會說話  數據幹~我這季好浮誇", "01/26 23:45", "0"
"NBA#M.1548515766.A.4B3#00050", "GundamW     ", "科科", "01/26 23:46", "0"
"NBA#M.1548515766.A.4B3#00051", "qqwenfu     ", "https//i.imgur.com/osJfNZ0.jpg", "01/26 23:49", "0"
"NBA#M.1548515766.A.4B3#00052", "lottopop2   ", "守他手要放後面當然好得分", "01/26 23:51", "0"
"NBA#M.1548515766.A.4B3#00053", "Gumball3000 ", "這情形就跟之前雷霆KD一樣", "01/26 23:53", "0"
"NBA#M.1548515766.A.4B3#00054", "smoke47s    ", "講實話被噓爆 噓的可憐狗", "01/26 23:53", "0"
"NBA#M.1548515766.A.4B3#00055", "Gary0620    ", "每個得分王都有絕招https//i.imgur.com/0qfHQJu.jpghttps//i.imgur.com/pY1Zmvg.jpg", "01/26 23:53", "1"
"NBA#M.1548515766.A.4B3#00056", "ac830566    ", "這咖吃相真的沒下限", "01/26 23:55", "0"
