"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1548651440.A.8BE#00000", "ctw01", "※ [本文轉錄自 Spurs 看板 #1SJe6oe9 ]<br><br>作者: love1500274 (CoWuCoWu) 看板: Spurs<br>標題: [情報] 聯盟以3分量不夠 婉拒Bertans參加3分球<br>時間: Mon Jan 28 12:14:38 2019<br><br><br>https://twitter.com/JabariJYoung/status/1089711281446273025<br><br>So I’m told Davis Bertans wanted to participate in the #NBAAllStarGame2019<br><br>3-Pt contest, but got stiffed... apparently told he didn’t shoot enough of<br><br>them... weird because I swear there are at least 2 guys in the contest who<br><br>doesn’t either Spurs @TheAthleticNBA<br><br>馬刺記者Jabari Young推特上表示<br><br>Bertans想參加三分球大賽  但聯盟以數量不夠的理由拒絕了<br><br>另外目前受邀名單中 有兩位三分數量比Bertans少<br><br>分別是Seth Curry 跟 Dirk Nowitzki<br><br><br><br>--<br>", "", ""
"NBA#M.1548651440.A.8BE#00001", "XD15041", ".....這樣是排擠的意思？", "01/28 12:17", "0"
"NBA#M.1548651440.A.8BE#00002", "bbbyes123", "就不夠大咖阿 呵呵 阿銀不意外", "01/28 12:19", "0"
"NBA#M.1548651440.A.8BE#00003", "ctw01", "三分命中率最準的球員 竟然不給上...還可以吸引拉脫維亞人", "01/28 12:26", "1"
"NBA#M.1548651440.A.8BE#00004", "love1500274", "要轉總版嗎 還是沒有那個必要 0.0", "01/28 12:32", "0"
"NBA#M.1548651440.A.8BE#00005", "sm10236", "呵呵", "01/28 12:34", "0"
"NBA#M.1548651440.A.8BE#00006", "drung1110", "最準的不能比？", "01/28 12:39", "0"
"NBA#M.1548651440.A.8BE#00007", "BlackTea1023", "星度不夠 不意外，哪怕是seth都有個咖哩弟的身份 兄弟對決話題十足轉總版好啊XD", "01/28 12:48", "0"
"NBA#M.1548651440.A.8BE#00008", "PeterHenson", "這比賽就看名氣的阿", "01/28 12:51", "0"
"NBA#M.1548651440.A.8BE#00009", "ssaw5166    ", "波燙QQ 綠葉的哀傷", "01/28 12:58", "0"
"NBA#M.1548651440.A.8BE#00010", "windrain0317", "不帥，沒話題，你乖乖退下", "01/28 12:58", "0"
"NBA#M.1548651440.A.8BE#00011", "SophisJr    ", "星度>話題性>>>>>>>>>>雜魚", "01/28 12:58", "0"
"NBA#M.1548651440.A.8BE#00012", "sezna       ", "沒名氣誰要看你投的意思", "01/28 12:58", "0"
"NBA#M.1548651440.A.8BE#00013", "wayne64001  ", "垃圾聯盟", "01/28 12:59", "0"
"NBA#M.1548651440.A.8BE#00014", "g27834618   ", "☺☺☺", "01/28 12:59", "0"
"NBA#M.1548651440.A.8BE#00015", "Leaflock    ", "阿銀 可撥", "01/28 12:59", "0"
